user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_ptmmws5i,2024-07-14T13:44:00,Saigon Emerald Resort,"chất lượng, phục vụ tận tình",10.0,10.0,10.0,10.0,10.0,None,0,binh-thuan,all,48/92/,45/
foodee_t8muwrv4,2024-06-22T12:38:00,Saigon Emerald Resort,Tốt Tốt Tốt,5.0,5.0,5.0,5.0,5.0,None,0,binh-thuan,all,48/92/,45/
foodee_3yf8z00a,2024-06-16T13:34:00,Tuyệt,Không gian thoáng mát,10.0,10.0,10.0,10.0,10.0,None,0,binh-thuan,all,48/92/,45/
foodee_cmfrjpzj,2024-06-10T12:43:00,Tốt,Gia đình mình thích nghỉ dưỡng tại đây,5.0,5.0,5.0,5.0,5.0,None,0,binh-thuan,all,48/92/,45/
foodee_4mtf5rp5,2024-06-04T13:10:00,Tốt,Hài lòng,5.0,5.0,5.0,5.0,5.0,None,0,binh-thuan,all,48/92/,45/
foodee_n0wf1p0l,2023-11-17T15:32:00,Saigon Emerald Resort,Thích bình luận cho nghỉ dưỡng,10.0,10.0,10.0,10.0,10.0,None,0,binh-thuan,all,48/92/,45/
tra.giap,2023-11-17T12:57:00,Saigon Emerald Resort,Thích hợp cho nghỉ dưỡng nha,5.0,5.0,5.0,5.0,5.0,None,0,binh-thuan,all,48/92/,45/
foodee_0he6nfzw,2023-11-17T10:03:00,Saigon Emerald Resort,Điểm đến lý tưởng,5.0,5.0,5.0,5.0,5.0,None,0,binh-thuan,all,48/92/,45/
foodee_0he6nfzw,2023-11-17T10:02:00,Saigon Emerald Resort,Dv rất tốt,5.0,5.0,5.0,5.0,5.0,None,0,binh-thuan,all,48/92/,45/
foodee_0he6nfzw,2023-11-17T10:02:00,Saigon Emerald Resort,Tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,binh-thuan,all,48/92/,45/
foodee_13qhhpyo,2023-11-17T09:54:00,Saigon Emerald Resort,Thích hợp cho nghỉ dưỡng,6.0,5.0,6.0,6.0,6.0,None,0,binh-thuan,all,48/92/,45/
foodee_x79v6iwk,2023-11-17T09:42:00,thích hợp cho nghỉ dưỡng,thích hợp cho nghỉ dưỡng,10.0,10.0,10.0,10.0,10.0,None,0,binh-thuan,all,48/92/,45/
foodee_fmaokk2t,2023-11-17T09:19:00,Saigon Emerald Resort,Chê kêu ngta cmt tốt r trả công ngta cmt x mất hút làm ăn lừa đảo vậy.,1.0,1.0,1.0,1.0,1.0,None,0,binh-thuan,all,48/92/,45/
anhsang_phale128,2023-11-16T20:37:00,Saigon Emerald Resort,Thích hợp cho nghỉ dưỡng,10.0,10.0,10.0,10.0,10.0,None,0,binh-thuan,all,48/92/,45/
