user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_gauyeo7k,2024-07-15T17:10:00,Quán phục vụ chu đáo 10 điểm,Không gian Ok 10 điểm,8.0,8.0,9.0,10.0,9.0,None,0,ca-mau,all,23/67/,45/
foodee_gauyeo7k,2024-07-15T16:34:00,Nhà hàng Ok lắm 10 điểm,Không gian và dịch vụ ok 10 điểm,9.0,10.0,9.0,10.0,10.0,None,0,ca-mau,all,48/,45/
foodee_kxr31kx4,2024-07-08T14:25:00,Bún Nước Lèo Thái,"Ngon, chất lượng",5.0,5.0,5.0,5.0,5.0,None,0,ca-mau,all,77/,14/
teppilin,2016-03-15T14:27:00,Bún nước lèo ngon số 1 Cà Mau,"Nằm ở Tắc Vân chứ không phải ngay trung tâm thành phố Cà Mau nhưng quán rất đắt khách, nước lèo thanh ngọt, mặn nhẹ, nhiều tép tươi, cả bì cũng rất ngon. 1 tô tầm 30K, bán tầm xế, đi trễ là hết. Quán này nổi tiếng lắm, cách Cà Mau khoảng 30p đi xe hơi nha. Mình ăn rất nhiều quán bún nước lèo ở Cà Mau nhưng xác nhận đây là quán ngon nhất đó, có dịp thì các bạn phải đến đây ăn nhé.",7.0,8.0,8.0,7.0,7.0,None,1,ca-mau,all,77/,14/
nhunguyen126,2019-07-31T18:08:00,Bánh Tằm Cay Anh Đạo,"Quán này được review nhiều nên mình ghé ăn thử. Vị ngon lắm ạ, mà cay. Cục xíu mại ăn ngon lắm, gà thì bình thường. Sợi bánh lạ lạ ăn ngon. 30k/đĩa thập cẩm như hình. Ăn no luôn. Nên thử khi đến đây. Quán địa chỉ ở Bùi Thị Xuân. Các bạn đến Lê Bôn chỗ cây xăng, rẽ vô đi xíu là tới nhé.",6.0,7.0,8.0,7.0,7.0,Chắc chắn,0,ca-mau,all,77/,41/
thienhang,2018-10-15T14:10:00,"Quá ngon, hương vị tìm không ra ở đâu khác","Được 1 người bạn giới thiệu đến quán, mình chọn dĩa mại gà gồm xíu mại và gà, nấu kiểu cà ri mà cay cay ý, công nhận ngon tuyệt luôn. Hình như là 35k/ phần thôi, mọi người nên ăn buổi tối nhé vì nó cay không tốt cho bao tử nếu ăn sáng.",9.0,10.0,10.0,10.0,8.0,Chắc chắn,0,ca-mau,all,77/,41/
tigtogchitchat,2017-07-24T06:07:00,Xuất sắc,"mình ở cần thơ đc thổ địa dẫn đi ăn thử đặc sản cà mau bánh tằm ở đây ăn như bún ở cần thơ mà bột hơn, ăn khá lạ miệng, ăn cùng với nước sốt cay cay sệt sệt vừa ăn và giá rau sống (có rau mình thấy đỡ ngán) bánh tằm gà thì 35k,nhìn hấp dẫn hơn bánh tằm xíu mại, thịt gà màu đẹp dai ngon (nghe nói là gà thả vườn) nhưng mà ý kiến cá nhân của mình thì thấy xíu mại ngon hơn bánh tằm xíu mại thì 25k, với 2 cục xíu mại lớn thay vì 2 miếng gà ở bánh tằm gà, xíu mại mềm thấm vị ăn rất ngon đb miễn phí trà đá, còn có thể gọi thêm mà k tính tiền👍🏻",8.0,9.0,9.0,7.0,8.0,Chắc chắn,0,ca-mau,all,77/,41/
trangkt02,2016-12-14T17:27:00,Bánh tằm ngon,"Bánh tằm là đặc sản của Cà Mau nha, ăn sợi như sợi bún nhưng chỉ chan nước sốt sền sệt thôi, ăn chung với rau và giá sống. Quán có bán bánh tằm cà ri gà và bánh tằm xíu mại. Mình thấy bánh tằm vị cà ri hơi đậm, không khoái lắm. Bánh tằm xíu mại ngon hơn, có bì bên trên nữa, cục xíu mại chà bá luôn. Nếu đi xuống Cà Mau các bạn nhớ thử món này nha, rất thụ vị đó.",7.0,7.0,7.0,7.0,7.0,Có thể,0,ca-mau,all,77/,41/
julietpixy,2016-05-23T08:23:00,Ngon!,"Quán bán ăn sáng từ 6h30 tới 11h, chiều từ 17h tới 21h. Quán có bánh tằm cari gà và xíu mại, cả 2 loại đều ngon. Riêng với mình thì Bánh tằm cà ri xíu mại ăn 3 lần rồi chưa chán. Vị không quá ngọt, gia vị vừa miệng, bánh quẩy ăn kèm thơm giòn rụm (nhưng thường hết bánh quẩy sớm).",10.0,10.0,10.0,10.0,5.0,Chắc chắn,1,ca-mau,all,77/,41/
nguyenbaodoan,2015-04-21T22:35:00,Quán quá tệ không tin vào mắt.,Tôi mua 2 ổ bánh mì ngay tại lò mà không thể tưởng tượng bánh mì mua cho ai ăn được vì nó không thể tả được. bánh mì thô cứng và pate củng sơ xài kẹp vài lát chả lụa đông lạnh thật buồn cười tự nhiên mất hết cảm hứng ăn bánh mì thịt. mình đánh giá quá tệ cho cách phục vụ. Thất vọng khi đến khách sạn mở ra bánh mì không thể ăn nổi. rất may còn chụp lại ảnh định giới thiệu ai ngừo thất vọng.,4.0,4.0,2.0,4.0,4.0,None,1,ca-mau,all,90/,45/
