user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
bombom0909,2018-06-29T21:33:00,Best hotel in Ca Mau!,"Phục vụ tốt, phòng khá đẹp và sạch so với khách sạn within 2miles radius of Ca Mau. Gia đình mình có ai ra đây thì mình recommend ở đây. Có bao ăn buffet sáng nữa. Đồ ăn khá ngon hơn mình expect for a hotel in a rural areas. Prices not bad, about $60/night.Definitely choose Muong Thanh again!",10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,ca-mau,travel,92/,45/
ddminh24h,2017-01-31T07:08:00,Buffet sáng,"T3. 31. 01. 17 Sáng nay đoàn của ăn buffet ở sảnh ăn của khách sạn này - An Viên Rétaurant, và cũng chia tay khách sạn 5 sao Mường Thanh này luôn. Nhân viên nhiệt tình, nhanh nhẹn, nhưng không refill món gì cả, món lên món không. Không gian sang trọng bậc nhất khỏi nói, đồ ăn thức uống cũng rất cao cấp, ngon cả. Đồ ăn mặn có cơm chiên, bún gạo xào Singapore, vịt, toast, bánh mì, súp, cháo, hủ tíu nam vang, trứng chiên, chả các loại, salad, kimchi, bò kho, cá mòi sốt cà, càng cua bách hoa, xôi vò, bánh ướt, khoai lang, chả giò khoai...trong đó mứt cam và dâu để ăn với toast tuyệt vời. Đồ ngọt có bánh su kem phô mai, bánh khoai mì, bánh chuối, yogurt, trái cây, bánh bông lan cuộn kem. Đồ uống có cafe, nước ép dưa hấu, nước pha từ bột cam, nước suối, và đi kèm là ngũ cốc giòn giòn.",8.0,8.0,9.0,7.0,9.0,None,0,ca-mau,travel,92/,45/
ddminh24h,2017-01-30T19:37:00,Bữa tối,"T2. 30. 01. 17 Tối nay đoàn M ăn tối tại sảnh ăn của Mường Thanh chi nhánh Cà Mau này - tên là nhà hàng An Viên. Sảnh ăn này rất đẹp và sang trọng, trang trí lung linh vô cùng với gam màu vàng sang chảnh. Bàn ở đây thiết kế bàn vuông kẹp bàn xoay tròn nên bất tiện lắm. Nhân viên nhanh lẹ, nhiệt tình. Đồ ăn ở đây đa phần là không ngon, có các món bò xào khổ qua, trứng chiên củ hành, tôm rim, canh cá điêu hồng, salad cá ngừ, và tráng miệng dưa hấu ngọt mát lạnh.",9.0,6.0,4.0,8.0,9.0,None,0,ca-mau,travel,92/,45/
ddminh24h,2017-01-30T17:37:00,Mường Thanh Cà Mau Hotel,"T2. 30. 01. 17 Đoàn của N đã tới Cà Mau và dừng nghỉ chân tại khách sạn 5 sao Mường Thanh này. Vừa vào cửa là có người phục vụ nước cam liền, mà ở đây có cái là phải tự khiêng hành lý lên phòng. Không gian sảnh rất đẹp và sang trọng, có điều phòng ở thì nhỏ so với chuẩn 5 sao theo M. Ở đây có đủ thứ như hồ bơi, bar, karaoke, sân tennis...",8.0,7.0,7.0,8.0,7.0,None,0,ca-mau,travel,92/,45/
le_serin93,2016-06-19T11:08:00,Mường Thanh Cà Mau Hotel,"Khách sạn mới mở ở Cà Mau, có bán buffet sáng, không gian rất rộng đẹp và đồ ăn cũng ngon hơn Ánh Nguyệt. Vị trí đất ở đây có thể gọi là đẹp vì nằm ngay quảng trường. So với MT Cần Thơ thì khu ăn uống ở đây thoáng hơn. Ngồi nghỉ ở sảnh được phục vụ nước free. Giá phòng tầm 1tr, cao nhất là phòng president 25tr / đêm. Phía sau có hồ bơi, cafe và phòng gym (tương đối nhỏ có vài máy tập) Buổi tối mình có đi dự tiệc ở đây thấy quản lý của khách sạn rất chu đáo. Đồ ăn ngon. Bày biện cũng bắt mắt. Ban đêm mình thấy có đãi sinh nhật ở đây cũng rất hoành tráng.",8.0,8.0,8.0,8.0,8.0,None,0,ca-mau,travel,92/,45/
datnobita1994,2020-03-19T01:32:00,Đầm Thị Tường,"- Thấy Review từ 1 Youtuber khá ok, nên chuyến về thăm quê đi thử. - Đường đi khá xa và google map chỉ sai nên chạy vòng vòng hơn 1 tiếng. - Có bến thuyền đưa ra khu vực nhà chòi trong đầm để thưởng thức Hải sản. 100k/ chuyến chạy quanh đầm. - Hải sản tươi sống, tuy nhiên ăn theo nhóm sẽ lợi hơn, tầm 150k/người/ 4 món thay đổi theo mùa. Mình đi 1 mình nên chỉ gọi 1 món sò huyết rang muối nhâm nhi cùng vài lon bia. - Thích hợp nghỉ dưỡng và đổi gió, dùng hải sản tươi sống, giá chấp nhận được.",5.0,6.0,6.0,5.0,8.0,None,0,ca-mau,travel,42/3/,41/
amthuchoangho,2017-08-06T01:12:00,Du hí Đầm Thị Tường,"Cuối tuần, tôi cùng mấy anh em đồng nghiệp PVcomBank vi vu xuống Đầm Thị Tường. Từ Cà Mau theo hướng về Năm Căn đi chừng 25 cây là tới ngã ba rẽ vào khu căn cứ Xẻo Đước, chạy thêm chừng 15 cây là tới bến xuồng. Nơi mình chọn là nhà của chú 3 Hùng. Đầm Thị Tường này có 2 ông đều làm du lịch là chú 2 Hùng và chú 3 Hùng. Mỗi người có 1 đặc điểm riêng, nhưng ở đâu cũng ngon. Xuống xuồng máy đi tầm 5 phút là ra đến khu du lịch giữa đầm. Tại đây chúng ta có thể ăn nhậu thoải mái với rất nhiều món ăn ngon. Tôi kể sơ cho mọi người tham khảo nhé: sò huyết, ba khía sống chiên nước mắm, lẩu cá dồ chó, cá nục... Hãy 1 lần đến với Đầm Thị Tường để thưởng thức nhé! Cần tham khảo hãy gọi cho tôi 0916176705",8.0,7.0,7.0,7.0,8.0,None,0,ca-mau,travel,42/3/,41/
teppilin,2016-09-04T19:48:00,Thích hợp đổi gió,"Mất tầm 1 tiếng để từ trung tâm thành phố Cà Mau đi vào Đầm Thị Tường, bạn có thể đi xe hơi hoặc xe máy đều được vì đường cũng khá tốt. Đây là khu du lịch mới ở Cà Mau, trên đường đi các bạn có thể ghé nhà dân mua chút ít đặc sản như măng, bồn bồn tươi, bồn bồn muối... hoặc dừng ven đường chụp hình. Cảnh vật ở Đầm Thị Tường dĩ nhiên không đẹp rực rỡ nhưng thanh bình, không thích hợp ngắm cảnh, vui chơi mà đơn giản là gia đình, bạn bè quây quần với nhau ăn uống thôi. Đi xe đến Đầm Thị Tường sẽ có người đem xuống ra đón bạn. Đi tầm mươi phút là đến. Ở đây có vài chỗ có dịch vụ chở bạn ra nhà phao rồi nấu nướng cho bạn ăn, nên đặt từ hôm trước vì có những hôm đông khách lắm. Nghe đâu sắp tới có thể mấy chỗ này sẽ bị quy hoạch đấy. Nếu đi đông thì trung bình một người 100K thôi, ăn no ơi là no, các món ăn không quá xuất sắc nhưng đều tươi, nên cảm giác sẽ ngon lành lắm đấy. Món ăn thay đổi tùy theo hôm đó đánh bắt được gì và đang là mùa hải sản gì. Hôm mình đi là có tôm sú, ghẹ nhỏ nhưng chắc thịt, cá đục chiên giòn giòn rụm, cá ngát nướng, cá dồ chó nấu canh, trứng cá ngát đánh với bột và trứng vịt (trứng gà) rồi đem chiên ăn lạ miệng hay hay. Bạn có thể ở đến chiều, có thể karaoke, gọi đờn ca tài tử hoặc là về sớm.",7.0,8.0,8.0,8.0,7.0,None,0,ca-mau,travel,42/3/,41/
kieutien1502,2018-08-09T19:08:00,Tuyệt vời,"Quán có không gian thoáng mát, thoải mái, cảm giác rất thư giãn. Có dịch vụ câu cá nữa. Món gỏi Ngô Đồng rất ngon. Vào đây bạn có thể mua sẵn bánh mì, gọi món xào lăn ăn chung thì tuyệt cú mèo.",8.0,9.0,10.0,8.0,10.0,None,0,ca-mau,travel,42/3/,41/
sweet_dream_26393,2020-07-18T08:54:00,Sự lựa chọn sáng giá!,"Là điểm dừng chân Homestay + các dịch vụ ăn uống, du lịch mà khi du khách đến đất mũi nên lựa chọn. Anh chủ rất nhiệt tình, thân thiện, mọi người đều là người trong gia đình nên phục vụ rất chu đáo, lịch sự, tuy là ở cách xa với trung tâm nhưng mọi thứ đều đầy đủ * homestay có điều hoà, vệ sinh sạch sẻ, ngủ ko có muỗi. * nhà hàng có đầy đủ các món hải sản mà đặc sản là cá thòi lòi và cua Năm Căn giá cả hợp lý. * tour du lịch xuyên rừng ngắm bình minh đều đc gia chủ thực hiện, mình việc chi tiền và đi chơi thoải mái.",10.0,10.0,10.0,10.0,10.0,None,0,ca-mau,travel,42/3/,45/
