user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_5jd15meb,2020-08-13T19:55:00,quá đắt. 350k nửa con gà k có gì.,gọi 2 người ăn. 1 lẩu 350k. nửa con gà. bị chém đẹp,1.0,1.0,1.0,1.0,1.0,None,0,cao-bang,all,77/,3/
osbai,2019-07-09T15:21:00,Mình thích vị Pizza ở Pedro's Pizza,"Mỗi người có một khẩu vị khác nhau. Nhưng ở Pedro's Pizza có vị rất đặc trưng. Cá nhân mình thấy có một số loại Pizza hơi mặn, khẩu vị của mình nhạt nên ăn không quen. Mình nói đặc trưng tức là quán có ""có bản sắc riêng"". Ban đầu mình nghĩ có thể do hôm đó chế biến quá tay. Nhưng không phải, lần nào vị cũng như thế. Đó là một nét riêng đặc trưng, mình tôn trọng điều đó nên mình chọn loại Pizza khác hợp khẩu vị hơn. Pizza ở đây tươi và ngon, mình rất thích. Không gian giỏ gọn (nói cách khác là hơi hẹp), nhưng gọn gàng và sạch sẽ. Khá yên tĩnh để vừa thưởng thức vừa trò chuyện. Đồ uống ở Pedro's Pizza không đa dạng. Có thể Pedro's Pz là quán gia đình, nên khi có đông khách thì phải đợi hơi lâu. Nếu ai eo hẹp về thời gian có thể sẽ thấy khó chịu về điều này. À, bánh kếp ở Pedro's Pz mình thấy khá ngon.",9.0,8.0,10.0,7.0,7.0,None,0,cao-bang,all,77/,24/
huyennt510,2019-06-05T21:33:00,Pedro's Pizza,"Chưa kịp ăn nên mh cũng k biết đồ ăn ngon k? Nhưng k hài lòng với thái độ phục vụ. Đặt đồ ăn hẹn 20p sau mang đến. Jo là 1h k thấy đô. Gọi điện hỏi thì kêu đến nơi gọi mh thuê bao trog khi mh chờ đô ăn đói meo, tắt máy làm gì cơ chứ. Sẽ k bjo quay lại mua",1.0,1.0,1.0,1.0,1.0,None,0,cao-bang,all,77/,24/
david.stolzenberg4787,2017-11-06T10:36:00,Close to a real pizza,After a few weeks in the north of Vietnam we had to admit to ourselves that we feel like any kind of western food. The pizza here satisfied our desire. It's a really good pizza. Thin and tasty. I recommend that place!,8.0,7.0,10.0,10.0,8.0,None,0,cao-bang,all,77/,24/
sao_kim_1994,2017-06-28T14:18:00,Chuẩn vị châu âu,Pizza ở đây nói chung đồ cũng ok . Chuẩn vị châu âu nhưng cách chọn các vị ko hợp lắm rất nhiều pizza mặn . Phomai cũng ko đều tay lắm .,5.0,5.0,7.0,5.0,5.0,None,0,cao-bang,all,77/,24/
thuychi191188,2015-09-27T09:45:00,Quán Cơm Lẩu 51,Đắt,5.0,5.0,5.0,5.0,5.0,None,0,cao-bang,all,48/77/,45/
sorerin1,2014-05-15T22:24:00,Quán Cơm Lẩu 51,"Mình đã vào đây vì thấy thử và kết quả rất sock, 800k 1 cái lẩu ( menu không ghi giá là đã thấy ngờ ngợ rồi), hỏi bên trong có gì nhân viên không trả lời dc. Ai định vào đây thì mình khuyên thật, xin chớ dại.",6.0,1.0,2.0,1.0,6.0,Không bao giờ,1,cao-bang,all,48/77/,45/
phuonganh1996,2018-03-18T09:39:00,Trà Sữa Bobapop - Lý Tự Trọng,"Không tìm được số 005 Lý Tự Trọng nên bọn mình đã gọi giao hàng 😂 Nhân viên trực tổng đài và anh ship hàng đều rất nhanh nhẹn, giao hàng đúng giờ. Mình uống trà sữa hạnh nhân, 50 đường thấy rất ổn mỗi tội hơi ít trân châu vì uống hết trân châu r vẫn còn trà sữa :( lần sau nếu có dịp quay lại Cao Bằng mong các bạn cho mình nhiều trân châu hơn ))",3.0,7.0,8.0,8.0,5.0,None,1,cao-bang,all,23/67/,36/
bokyungryu,2018-01-12T20:38:00,Trà Sữa Bobapop - Lý Tự Trọng,"- Địa điểm: Nằm đối diện phở Đào, ban đầu mình kiếm đường Lý Tự Trọng không có thì gọi nhân viên mới được biết là gần chỗ phở này nên search địa chỉ của phở mà đi 😂 - Không gian: khá rộng rãi, có lầu, nhưng rất ồn ào vì các chị dẫn con nít vào la hét chạy ầm ầm, không nghe được nhạc. - Thức uống: trà sữa ô long không có mùi ô long, trân châu nấu chưa tới, trà xanh sủi bọt thì mình quên dặn đường nên rất ngọt, mà nhân viên cũng không hỏi mình luôn.",6.0,6.0,6.0,7.0,7.0,None,1,cao-bang,all,23/67/,36/
imyoonakute,2016-06-23T16:41:00,Smile Coffee - Hiến Giang,"C nhân viên thân thiện, xinh gái. Đồ ăn chất lượng, chỗ lý tưởng thuờbg lui đến của các cặp, thích lên tầng 3 không gian đẹp, chỗ ngồi tốt. ❤️❤️",10.0,7.0,7.0,10.0,10.0,None,0,cao-bang,all,23/67/,42/
hoangtuongvy89ls,2015-09-06T21:53:00,Mình thấy ngon mà,"Mình kết món trà sữa vị cẩmen nhất và món phở cuốn, ăn rất hợp khẩu vị <3",9.0,9.0,9.0,9.0,9.0,None,0,cao-bang,all,48/,43/
trananhdungdhsp,2014-10-15T19:35:00,Pizza & Beefsteak Chi,Một cửa hàng pizza nhỏ bé.,8.0,8.0,8.0,8.0,8.0,None,0,cao-bang,all,48/,43/
hodiep11cb,2018-05-12T04:58:00,Chân cánh gà nướng số 1 cao bằng,Lựa chọn những chiếc chân cánh gà to và ngon nhất với công thức tẩm ướp riêng biệt không nơi nào có được đã tạo được thương hiệu riêng tại Cao Bằng. Ngoài ra quán còn có vài món khác cũng rất ngon. Rượu cũng khá phong phú. Giá rất bình dân. Từ 8h tối đến 10h thì bạn sẽ bị chờ đồ hơi lâu 1 chút vì quán rất đông. Đến Cao Bằng nhất định phải thử nhé vì quán không chỉ đồ ngon mà view cũng max đẹp nữa. 🤗🤗🤗,10.0,10.0,10.0,10.0,10.0,None,1,cao-bang,all,49/58/,45/
foodee_d1oimf6q,2023-10-17T13:31:00,Món ăn ngon,Phục vụ tốt,7.0,6.0,8.0,8.0,8.0,None,0,cao-bang,all,23/67/,45/
foodee_9jszc5g3,2023-10-17T11:11:00,Home Cafe,"Món ăn đa dạng,đồ mặn ngọt có đủ luôn",5.0,5.0,5.0,5.0,5.0,None,0,cao-bang,all,23/67/,45/
foodee_oufw4kx8,2023-06-24T19:01:00,Home Cafe,Bánh thơm ngon trà đậm đà,5.0,5.0,5.0,5.0,5.0,None,0,cao-bang,all,23/67/,45/
foodee_ah7ode3b,2023-06-24T18:49:00,Home Cafe,"Bánh thơm ngon, ngọt vừa. Trà thơm và đậm vị. Quán yên tĩnh",8.0,8.0,8.0,9.0,8.0,None,0,cao-bang,all,23/67/,45/
foodee_9kdh8rma,2023-06-24T18:06:00,Home Cafe,"Bánh ngon, giòn, tuyệt vời",5.0,5.0,5.0,5.0,5.0,None,0,cao-bang,all,23/67/,45/
foodee_0m6v0to4,2023-06-24T18:03:00,Home Cafe,"Ngon, sạch sẽ",10.0,10.0,10.0,10.0,10.0,None,0,cao-bang,all,23/67/,45/
ngannguyen251293,2023-06-24T17:51:00,Home Cafe,Rất tuyệt,8.0,9.0,10.0,10.0,10.0,None,0,cao-bang,all,23/67/,45/
foodee_lewh760p,2023-06-24T17:50:00,Home Cafe,Caffe đậm đà + toppinh ăn vặt điểm 10 nhé mọi người,10.0,10.0,10.0,10.0,10.0,None,0,cao-bang,all,23/67/,45/
foodee_xcv2iekk,2023-06-24T17:49:00,Home Cafe,Món ngon mng nên thử nha,5.0,5.0,5.0,5.0,5.0,None,0,cao-bang,all,23/67/,45/
foodee_vlk1onu56n,2023-06-24T17:45:00,Home Cafe,Cafe đậm đà - có nhiều đồ ăn vặt,5.0,5.0,5.0,5.0,5.0,None,0,cao-bang,all,23/67/,45/
foodee_i5732fmd,2023-06-24T17:43:00,Home Cafe,Caphe đậm đà..đồ an vat nhiều món,5.0,6.0,8.0,9.0,9.0,None,0,cao-bang,all,23/67/,45/
