user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_q0b4so6a,2024-06-28T21:15:00,Vi Hoàng Hotel,Thật tuyệt vời,10.0,10.0,10.0,10.0,10.0,None,0,cao-bang,travel,92/,45/
foodee_i53fvudg,2024-06-17T19:13:00,Vi Hoàng Hotel,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,cao-bang,travel,92/,45/
foodee_ewdqr0u9,2024-06-16T19:30:00,Vi Hoàng Hotel,⭐️⭐️⭐️ tốt,5.0,5.0,5.0,5.0,5.0,None,0,cao-bang,travel,92/,45/
foodee_3768bj0p,2024-06-13T18:22:00,Vi Hoàng Hotel,Đẳng cấp,5.0,5.0,5.0,5.0,5.0,None,0,cao-bang,travel,92/,45/
foodee_3768bj0p,2024-06-13T18:07:00,Vi Hoàng Hotel,Đẹp,5.0,5.0,5.0,5.0,5.0,None,0,cao-bang,travel,92/,45/
foodee_qoeeuq74,2024-06-04T18:52:00,Vi Hoàng Hotel,Tôi rất thích nơi này,10.0,10.0,10.0,10.0,10.0,None,0,cao-bang,travel,92/,45/
maggiesuzzan,2016-01-06T09:04:00,Thác Bản Giốc - TL 206,Một vẻ đẹp thật hoành tráng và hùng vĩ vô cùng tận.,7.0,7.0,7.0,6.0,9.0,None,0,cao-bang,travel,42/3/,45/
nguyenvan10793,2015-09-22T14:30:00,Thác Bản Giốc - TL 206,"Thác đẹp và hùng vĩ quá, nước chảy suốt ngày đêm, xung quanh thỉnh thoảng có vài cái nhà",7.0,6.0,6.0,6.0,9.0,None,0,cao-bang,travel,42/3/,45/
maggiesuzzan,2016-03-03T15:38:00,Động Ngườm Ngao,"Động toạ lạc trong lòng một quả núi, cách thác Bản Giốc 5 km. hang động này có tổng chiều dài hơn 2 ngàn mét, có 3 cửa chính: Ngườm Ngao, Ngườm Lồm và Bản Thuôn có rất nhiều nhũ đá, măng đá với các hình dạng vô cùng huyền ảo, bí ẩn. Nhiệt độ trong động lúc nào cũng mát mẻ và ấm áp tùy vào từng mùa trong năm. Theo người dân tộc Tày sinh sống tại vùng này thì trước kia trong động có nhiều hổ dữ sinh sống nên Ngườm Ngao dịch ra tiếng kinh là Hổ. Động Ngườm Ngao đã được công nhận là danh thắng quốc gia.",6.0,6.0,7.0,6.0,8.0,None,0,cao-bang,travel,42/3/,
thach.hanghn4828,2014-10-31T08:58:00,Sunny Hotel,"Khách sạn đẹp,rộng rãi,phòng ốc đầy đủ tiện nghi.Nhận phòng xong sẽ có nhân viên mang đồ lên phòng cho bạn,ngoài ra cũng có cả dịch vụ giặt là.Phòng ăn nằm trên tầng 11 có thể bao quát được toàn thành phố,đồ ăn sáng khá ổn.",8.0,8.0,9.0,9.0,9.0,None,0,cao-bang,travel,92/,45/
foodee_q0b4so6a,2024-06-28T21:15:00,Vi Hoàng Hotel,Thật tuyệt vời,10.0,10.0,10.0,10.0,10.0,None,0,cao-bang,travel,92/,45/
foodee_i53fvudg,2024-06-17T19:13:00,Vi Hoàng Hotel,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,cao-bang,travel,92/,45/
foodee_ewdqr0u9,2024-06-16T19:30:00,Vi Hoàng Hotel,⭐️⭐️⭐️ tốt,5.0,5.0,5.0,5.0,5.0,None,0,cao-bang,travel,92/,45/
foodee_3768bj0p,2024-06-13T18:22:00,Vi Hoàng Hotel,Đẳng cấp,5.0,5.0,5.0,5.0,5.0,None,0,cao-bang,travel,92/,45/
foodee_3768bj0p,2024-06-13T18:07:00,Vi Hoàng Hotel,Đẹp,5.0,5.0,5.0,5.0,5.0,None,0,cao-bang,travel,92/,45/
foodee_qoeeuq74,2024-06-04T18:52:00,Vi Hoàng Hotel,Tôi rất thích nơi này,10.0,10.0,10.0,10.0,10.0,None,0,cao-bang,travel,92/,45/
maggiesuzzan,2016-01-06T09:04:00,Thác Bản Giốc - TL 206,Một vẻ đẹp thật hoành tráng và hùng vĩ vô cùng tận.,7.0,7.0,7.0,6.0,9.0,None,0,cao-bang,travel,42/3/,45/
nguyenvan10793,2015-09-22T14:30:00,Thác Bản Giốc - TL 206,"Thác đẹp và hùng vĩ quá, nước chảy suốt ngày đêm, xung quanh thỉnh thoảng có vài cái nhà",7.0,6.0,6.0,6.0,9.0,None,0,cao-bang,travel,42/3/,45/
maggiesuzzan,2016-03-03T15:38:00,Động Ngườm Ngao,"Động toạ lạc trong lòng một quả núi, cách thác Bản Giốc 5 km. hang động này có tổng chiều dài hơn 2 ngàn mét, có 3 cửa chính: Ngườm Ngao, Ngườm Lồm và Bản Thuôn có rất nhiều nhũ đá, măng đá với các hình dạng vô cùng huyền ảo, bí ẩn. Nhiệt độ trong động lúc nào cũng mát mẻ và ấm áp tùy vào từng mùa trong năm. Theo người dân tộc Tày sinh sống tại vùng này thì trước kia trong động có nhiều hổ dữ sinh sống nên Ngườm Ngao dịch ra tiếng kinh là Hổ. Động Ngườm Ngao đã được công nhận là danh thắng quốc gia.",6.0,6.0,7.0,6.0,8.0,None,0,cao-bang,travel,42/3/,
thach.hanghn4828,2014-10-31T08:58:00,Sunny Hotel,"Khách sạn đẹp,rộng rãi,phòng ốc đầy đủ tiện nghi.Nhận phòng xong sẽ có nhân viên mang đồ lên phòng cho bạn,ngoài ra cũng có cả dịch vụ giặt là.Phòng ăn nằm trên tầng 11 có thể bao quát được toàn thành phố,đồ ăn sáng khá ổn.",8.0,8.0,9.0,9.0,9.0,None,0,cao-bang,travel,92/,45/
