user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
chocola_bi,2020-06-28T13:57:00,Hà Kem - Trà Sữa & Ăn Vặt,"Menu phải nói trà với chè nhiều món, mê nhất ở đây là các topping nhà làm ý gì mà tùm tum tà la món. Chè thì mê chè thái sầu riêng nguyến múi, chè dừa non hoa đậu biếc v..v. nhiều loại cũng lạ lắm, ăn ngọt vừa béo béo, giá rẻ từ 27k trở lên.",8.0,9.0,8.0,8.0,8.0,None,0,dong-nai,all,49/58/,45/
l9934133,2021-11-28T19:59:00,Quán quá tệ,"Phục vụ 30p chưa dọn bàn cho khách, kêu không nghe thái độ làm việc không thể chấp nhận được. Không bao giờ quay lại đây nữa. Cất công từ SG lên thưởng thức",1.0,1.0,1.0,1.0,1.0,None,0,dong-nai,all,77/,45/
miho104,2020-12-27T18:16:00,Dở banh nóc,Nước lẩu chua như ko cho đường. Chạo tôm ăn không cá thác lác. Cá thác lác ăn bột nhiều cá. Cơm chiên tầm thường. Không bao giờ quay lại,5.0,5.0,1.0,4.0,5.0,None,0,dong-nai,all,77/,45/
NgoTue,2019-11-17T17:39:00,Lẩu Tôm 5 Ri Sài Gòn -***,Ngon tum ngon quá 🦐🦐,8.0,8.0,8.0,7.0,8.0,None,0,dong-nai,all,77/,45/
anhnhat994,2019-11-12T20:12:00,Ngon rẻ,Món nào cũng ngon,10.0,10.0,10.0,10.0,10.0,None,0,dong-nai,all,77/,45/
foodee_3obtryos,2019-06-10T17:13:00,Quán tham lam,Đồ ăn không tệ. Nhưng nhân viên xấu tính. Tối mình đi ăn về gần trễ nhất có để quên đồ. Một số nhân viên xác nhận chính xác khách có để quên khi dọn quán nhưng không trả lại cho khách. Sẽ không bao giờ quay lại lần 2. Một điều thứ 2 bạn nào đến lúc sáng sớm trước 9h sáng thì quán rất tanh trơn bẩn và thực phẩm chưa chế biến để lung tung.,8.0,6.0,6.0,1.0,6.0,Không,1,dong-nai,all,77/,45/
foodee_3zvlyl0c,2019-05-25T11:51:00,Giá tôm hơi cao,"Mình đi 4 người,gọi 1 1kg tôm càng 700k/kg(đc 8con) Cua gạch 2 con 1kg(600) Tôm càng nấu lẩu phụ thu thêm 40 Gọi cua gạch mà gạch có chút éc. Nói chung giá hải sản hơi cao.nêm nếm bình thường",8.0,5.0,6.0,7.0,7.0,None,0,dong-nai,all,77/,45/
trucan1501,2019-02-17T17:13:00,Lẩu Tôm 5 Ri Sài Gòn - Võ Thị Sáu,"Quán tủ, Biên hoà thích mỗi quán này ốc, hải sản, lẩu, ếch, chạo, cơm , mì đều hợp khẩu vị, bán rất sớm từ trưa đến đêm.",10.0,10.0,10.0,10.0,10.0,None,0,dong-nai,all,77/,45/
VyyAnn,2018-10-23T21:01:00,Lẩu Tôm 5 Ri Sài Gòn - Võ Thị Sáu,"Mình có đãi sinh nhật ở đây mấy lần rồi, đồ ăn ở đây ngon khỏi phải bàn. Hôm nay mình có đặt mấy món ở đây cho nhóc mình ăn tối. Nhưng nay hơi thất vọng vì món ếch nướng. Vừa đợi lâu tội nghiệp bạn shipper phải đợi mất 40 phút nhưng ngon mình không nói, đằng này nướng đen thui và cứng thì làm sao mà ẽm ăn được. Nhóc mình rất thích ăn ếch nướng và bò lúc lắc ở đây. Mở hộp ra thì mặt ẽm buồn phần vì đói phần thì ếch châu phi sao mà ăn cho được. Cho quán điểm trừ món ếch.",7.0,8.0,9.0,7.0,8.0,Có thể,0,dong-nai,all,77/,45/
chinadolls16081988,2018-10-02T18:38:00,Lẩu Tôm 5 Ri Sài Gòn - Võ Thị Sáu,"Lâu không ăn ở Năm ri, nay đặt 1 lẩu tôm và 2 phần cá thác lát chiên, nhà mình ai ăn cũng hài lòng, có mấy anh chị ngoài Bắc vào chơi khen nước lẩu tôm chua ngọt ngon, cá thác lát hợp khẩu vị bọn nhỏ, giá cả vẫn hợp lý không đắt lên",8.0,9.0,9.0,9.0,8.0,None,0,dong-nai,all,77/,45/
trucan1501,2018-09-29T15:55:00,Lẩu tôm 5ri,Không cần nói nhiều cũng biết chạo tôm và tôm nướng hay lẩu ở đây ngon không chỗ nào biên hoà bằng rồi.,10.0,10.0,10.0,10.0,10.0,None,0,dong-nai,all,77/,45/
phan.mytien,2018-08-06T16:26:00,Lẩu Tôm 5 Ri Sài Gòn - Võ Thị Sáu,"️⏩Nhờ 1 lần dự sinh nhật nhỏ của đứa bạn mà mình biết được quán này 🎪 ở đây đặc biệt là lẩu tôm nên nó ngon không chê vào đâu được, 1 nồi lẩu nhỏ mà tôm ngập nồi, ăn muốn xỉu 🤒🍃 Ngoài ra, quán có rất nhiều thực đơn khác rất phong phú và như cái tên của nó thì hầu hết món nào cũng có tôm 🦐🦐 Có chạo tôm cũng rất xuất sắc luôn nha, đảm bảo ăn 1 cây là không đủ thèm đâu, ngon cực luôn 💯💲Nhân viên lại còn nhanh nhẹn.",7.0,7.0,7.0,7.0,7.0,None,0,dong-nai,all,77/,45/
minhphuong88,2018-07-12T10:27:00,Lẩu Tôm 5 Ri Sài Gòn - Võ Thị Sáu,"Mình ăn ở đây nhiều lần vì trước hay đi công tác Biên Hòa. Ấn tượng chỉ có lẩu tôm là ngon thôi nhưng nước rất nhiều bột ngọt, ai bị dị ứng bột ngọt ăn xong mệt lắm. Chưa kể nêm nếm thất thường lúc ngọt lúc mặn lè. Tôm to tươi ngon. Rau ăn kèm...ba chấm lắm. Lúc tươi xanh lúc già chát 😂 Những món khác cũng bình thường, ko có gì xuất sắc. Bếp quán này tâm trạng vui buồn thất thường hay sao á nên ăn ở đây hên xui, có lúc ngon lúc ko à nha. Quán rộng rãi sạch sẽ, tùy ngày mà đông hay vắng nữa. Quán tuy trong hẻm nhỏ nhưng có bãi giữ xe rất to. Chú giữ xe vui vẻ, cẩn thận. Coi như điểm cộng cho quán ah. Nhân viên kêu nhiều lúc giả bộ ko nghe 😌",7.0,6.0,5.0,5.0,8.0,None,0,dong-nai,all,77/,45/
laithihoanganh,2018-04-24T15:11:00,Ngon nhưng ko bằng chi nhánh chính,"Hôm bữa mình đãi sinh nhật 5 đứa, món đa dạng, giá ok vì ko nhiều bằng bên 5 ri chính, chạo tôm làm hơi bở còn mấy món khác ăn ngon, tổng thiệt hại hết 713k.",9.0,8.0,9.0,8.0,8.0,None,1,dong-nai,all,77/,45/
macthingheo,2018-01-22T22:40:00,Lẩu Tôm 5 Ri Sài Gòn - Võ Thị Sáu,Đi ăn tình cơ bốc thăn trúng thưởng tưởng đc trúng ai dè mém trúng. Đâu cắt,9.0,8.0,9.0,9.0,9.0,None,0,dong-nai,all,77/,45/
macthingheo,2018-01-18T23:25:00,Lẩu Tôm 5 Ri Sài Gòn - Võ Thị Sáu,2 thằng làm vài chai bia nhâm nhi với ít món ăn nhẹ mà no càng ra huống gì đi đông. Mà rẻ ghê. Có 170k à. 3 món,9.0,8.0,8.0,8.0,8.0,None,0,dong-nai,all,77/,45/
tien.nguyen091296,2017-08-16T16:48:00,Lẩu Tôm 5 Ri Sài Gòn - Võ Thị Sáu,"Bữa đi ăn với nhà. 5 Ri thì quá nổi tiếng rồi. Đồ ăn ngon. Tôm thì best quá luôn khỏi nodi của nhiều. Bữa đi gọi gỏi ngó sen tôm mực, chả cá chiên, chạo tôm bánh hỏi. Chạo tôm quết dai ăn đã ghia. Tôm rang me. Cơm chiên cá mặn, mì xạo. Lẩu tôm. Tôm ngon ơi là ngon tươi ơi là tươi. Nhai đã gì đâu. Nói chung không biết cmt khen gì luôn 😂 Ngoài ra phục vụ vô cùng chán. Thái độ xấc xược. Nhà mình đi đông bảo kê thêm bàn do còn 7 người chưa đến. Vậy mà nv quay qua ""chắc 7ng không?"" 😳 pv thì chậm nữa chứ. Ngồi phòng vip mà nv pv chán luôn.",7.0,7.0,8.0,5.0,7.0,None,0,dong-nai,all,77/,45/
vythao51,2017-04-12T18:15:00,Ngon dễ sợ,"Từ SG lặn lội xuống đây ăn 5 Ri, đúng là ngon dã man luôn á. Chạo tôm hay gà gì nè ăn với bánh hỏi chấm nước mắm ngonnnn, hủ tiếu xào gì đó bình thường, chem chép hấp xả cũng ok. Tới phần chính nè, lẩu tôm, hôm đó tụi mình đi trễ không có tôm lột sẵn nên lột tôm hơi cực, được cái tôm cực tươi và ngọt thịt, mình hông thích lẩu lắm mà nước lẩu chua ngọt ăn ghiền luôn. Tôm nhỏ nhỏ mà nhiều ăn đã, giá cũng rẻ nữa. Quán rộng bự sáng đẹp, nhân viên nhanh lẹ.",9.0,8.0,8.0,8.0,8.0,None,0,dong-nai,all,77/,45/
viet.nguyen,2017-02-28T20:44:00,Lẩu tôm ngon,"Nhắc đến lẩu tôm 5 ri chắc ai cũng biết rồi nhỉ. Nồi lẩu tôm to đùng luôn. Con tôm nào cũng to, thịt ngọt, chất lượng điểm 10 nha. Nước lẩu đậm đà, ăn kèm bún và rau là đỉnh luôn. Ngoài ra quán còn có nhiều món ngon lắm, chạo tôm khá xuất xắc. :) Giá cả bình dân. phục vụ nhanh chóng, order chừng xíu là có liền hà.",8.0,8.0,7.0,8.0,8.0,None,0,dong-nai,all,77/,45/
chaupham815,2017-02-18T12:47:00,Ăn thả ga luôn!!!,"Buổi tối là lúc mà bao tử trống rỗng và cần nạp năng lượng gấp đối...hihi, hơi ngược ha! Tối nay nhóm mình chọn nơi tráng bao tử với Lẩu tôm 5 ri chi nhánh Võ Thị Sáu. Quán liên tục đông khách 7/7 ngày luôn nha! Nhất là cuối tuần thì khỏi nói, đông nghẹt. Quán cũng nhận phục vụ trang trí tổ chức tiệc sinh nhật, họp mặt, liên quan các thể loại luôn... Nhóm mình ăn hơi nhiều món, chủ yếu là ốc, sò,...hải sản là chính và kết thúc là món lẩu tôm ngon huyền thoại luôn. Tôm nhiều ăn ngập mặt 🙂🙂🙂 Phục vụ hơi chậm nha! Khuyết điểm của quán. Nhân viên theo mình nghĩ chia thành khu vực quản lý, nên nếu mình có cần gì mà nói nhân viên khu vực khác thì cũng chỉ nhận được cái gật đầu cho qua lệ thôi. Phải tìm bạn nào làm cật lực khu mình ngồi mà nhờ vả nha! Chất lượng món ăn ổn, tươi ngon.",8.0,8.0,7.0,7.0,7.0,None,0,dong-nai,all,77/,45/
nhuquynhkt2011,2017-02-17T23:03:00,"Phục vụ nhanh, đồ hơi nguội","Đến quan lúc 5h 30', nghe chú taxi kêu quán này nổi tiếng Đồng Nai. Quán rộng, mà khách đông. Phục vụ nhanh lắm, 5,10 ' là mang hét tất cả các món ra rồi. Chắc ng ta nấu sẵn nên mới nganh vậy , đồ ăn k đc nóng. Bạch tuột nướng ăn vừa. Tôm cũng ok, có mỗi hàu nướng phô mai nhìn hâdp dẫn mà ăn hàu k đc tươi lắm. Lẩu cá vừa ăn. Đi 6ng uống 10 chai bia, thêm nước ngọt hết tầm 900 k.",9.0,7.0,7.0,9.0,8.0,Có thể,0,dong-nai,all,77/,45/
taitrinh810,2017-02-17T18:42:00,"Quán đông, đồ ăn cũng ngon",Nói chung là đồ ăn cũng ngon. Giá thành hợp lý. Nhân viên mình thấy toàn mấy chú với mấy bác . Nhưng ko sao mình quan trọng đồ ăn :)),6.0,7.0,8.0,7.0,7.0,None,0,dong-nai,all,77/,45/
Myvan1529,2017-02-06T14:58:00,Vẫn ngon và rất đông,"VỊ TRÍ - KHÔNG GIAN: Mình đi mấy hôm cuối của tuần tết, quán đông kinh khủng luôn, tìm bàn khó quá trời, nhưng nhân viên cũng khá cố gắng hén. Chổ này trời nóng chắc chiu ko nổi vì bàn ghế sát nhau lắm MENU - GIÁ CẢ: Mình thấy menu và giá không thay đổi gì lắm, các món hải sản theo thời giá thì biến động chứ lẩu hay ốc thì vẫn như cũ. Nước và bia khá rẻ CHẤT LƯỢNG: Mình ăn cua thịt hấp rất ngon, chắc và ngọt thịt. Ốc bưu hấp cũng tươi nữa, lẩu tôm nhiều và nêm vừa miệng hen. PHỤC VỤ: Nhân viên đông, nhiệt tình và khá nhanh nhẹn chịu khó",8.0,7.0,8.0,8.0,7.0,Chắc chắn,0,dong-nai,all,77/,45/
thuongn14,2017-01-06T22:34:00,Không như mong đợi,"- Ưu: không gian thoáng mát, order nhanh, đồ ăn nhiều (lẩu 150k được 12 con) - Khuyết: + Sò điệp không tươi, bở bở, mỡ hành hơi mặn. + Mực hấp chưa ngọt lắm. + Rau nhiều mà ít loại, toàn rau mà MÌNH không ăn được + Tôm BỰ mà không ngọt + PHỤC VỤ: đông, NHƯNG xin thêm đá tới lần thứ 4 mới cho, mặc dù để 2 ly trước mặt nhưng cho 1 ly rồi thôi. - Tổng kết: đồ ăn nhiều mà không quá xuất sắc, phục vụ chưa tốt. $ ăn 3 món như hình + 2 lon nước ngọt + 1 khăn lạnh 300k",6.0,8.0,3.0,2.0,6.0,Có thể,0,dong-nai,all,77/,45/
