user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_jyox3u0b,2024-07-17T15:41:00,Tốt,"Món ăn ngon, phục vụ tuyệt vời, mọi người đến thử nhé !",10.0,10.0,10.0,10.0,10.0,None,0,ha-noi,all,48/78/,42/
foodee_h7udo9d8,2023-09-08T21:27:00,Buffet Sen Tràng An,"Mọi người lên qua thử nha, đồ ăn ngon lắm",5.0,5.0,5.0,5.0,5.0,None,0,ha-noi,all,48/78/,42/
foodee_r15hrdse,2023-09-08T13:03:00,Buffet Sen Tràng An,Món ăn ngon phục vụ tuyệt vời. Moi người đến thử nhé.,6.0,7.0,7.0,8.0,7.0,None,0,ha-noi,all,48/78/,42/
maithuynga301191,2014-01-08T13:42:00,Ít món đặc sắc,"Nhà hàng không rộng lắm nhưng được cái đẹp, đèn sáng lung linh, đồ ăn không chất ngất nhưng bày biện khéo léo và trông ngon mắt. Buffet hải sản thì ít món mà các loại bánh trái linh tinh kiểu bánh gio, bánh mướt, bánh nếp… với phở cuốn, bún thang, bún ốc, bún riêu cua… thì nhiều. Tôm, sò, bạch tuộc đều nhỏ nhỏ, con không được chắc thịt với ăn sướng miện như các chỗ khác. Nhân viên thân thiện, ăn nói nhỏ nhẹ và lễ phép với khách. Nói chung là không thích quay lại đây lắm.",7.0,6.0,6.0,7.0,7.0,None,0,ha-noi,all,48/78/,42/
foodee_0ektevrb,2024-07-24T19:12:00,Jacksons Steakhouse Hanoi,Tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_a6u5wbib,2024-07-24T15:52:00,"Trải nghiệm tuyệt vời ,10 điểm chất lượng",10 chất lượng,10.0,10.0,10.0,10.0,10.0,None,0,ha-noi,all,83/48/,23/27/
foodee_p0lhg7nx,2024-07-24T15:37:00,Jacksons Steakhouse Hanoi,Tốt,5.0,9.0,5.0,5.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_yocf7ze7,2024-07-24T15:33:00,Jacksons Steakhouse Hanoi,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_om7aofzk,2024-07-24T15:26:00,Quán ngon quá mn ơi niêm niếm vừa miệng lại còn rẽ nữa,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,ha-noi,all,83/48/,23/27/
foodee_bja198up,2024-07-24T15:23:00,đồ ăn ngon,đồ ăn ngon,10.0,10.0,10.0,10.0,10.0,None,0,ha-noi,all,83/48/,23/27/
foodee_g8flcm31,2024-07-24T15:21:00,Tốt,"Phụ vụ chu đáo, ngon",10.0,10.0,10.0,8.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_xa75ibs9,2024-07-23T15:25:00,Jacksons Steakhouse Hanoi,Tôt,5.0,5.0,5.0,5.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_i86f7qp1,2024-07-23T15:22:00,Jacksons Steakhouse Hanoi,"Chất lượng dịch vụ tốt,giá cả hợp lý thoáng mát sạch sẽ,sẽ quay lai",5.0,5.0,5.0,5.0,5.0,Chắc chắn,0,ha-noi,all,83/48/,23/27/
foodee_dl5o29x0,2024-07-23T15:21:00,Jacksons Steakhouse Hanoi,Đánh giá tốt,5.0,5.0,5.0,5.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_6448ubpi,2024-07-23T15:21:00,Jacksons Steakhouse Hanoi,Tốt,5.0,5.0,10.0,5.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_7trn4lb3,2024-07-22T15:50:00,Jacksons Steakhouse Hanoi,Đánh giá tốt,5.0,5.0,5.0,5.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_wgi4igvk,2024-07-22T15:47:00,Tuyệt vời,Tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_1ad68feb,2024-07-22T15:36:00,Jacksons Steakhouse Hanoi,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,ha-noi,all,83/48/,23/27/
foodee_ewsz65si,2024-07-22T15:35:00,Tôt,Tôt,5.0,5.0,5.0,5.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_hmtlsu0p,2024-07-22T15:28:00,Jacksons Steakhouse Hanoi,ngon,5.0,5.0,5.0,5.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_5rvb68om,2024-07-22T15:24:00,Jacksons Steakhouse Hanoi,Đẳng cấp,5.0,5.0,5.0,5.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_j674wzp9,2024-07-22T15:23:00,Jacksons Steakhouse Hanoi,Tôt,5.0,5.0,5.0,5.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_c1qbq11h,2024-07-21T17:21:00,Chất lượng tuyệt vời lắm,Chất lượng tuyệt vời lắm,5.0,5.0,5.0,5.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_p2f9y7c4,2024-07-21T16:32:00,Tot,Tot,10.0,10.0,10.0,10.0,10.0,None,0,ha-noi,all,83/48/,23/27/
foodee_y333xhha,2024-07-21T15:41:00,Jacksons Steakhouse Hanoi,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_amst6dkr,2024-07-21T15:31:00,Jacksons Steakhouse Hanoi,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,ha-noi,all,83/48/,23/27/
foodee_rh8qo7yt,2024-07-21T15:24:00,Jacksons Steakhouse Hanoi,Mình sẽ ghé và trái nghiệm. Nhìn ngon quá,10.0,10.0,10.0,10.0,10.0,None,0,ha-noi,all,83/48/,23/27/
foodee_10omeia5,2024-07-21T15:22:00,Jacksons Steakhouse Hanoi,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,ha-noi,all,83/48/,23/27/
