user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_ht6qqjpq,2021-03-20T08:58:00,Bán 2 ly,0366773755 ship 2ly .thôn 4 cẩm quang cẩm xuyên hà tĩnh,5.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,all,23/67/,36/
kimminhnhat,2019-03-11T10:15:00,Ding Tea,Chị gái thèm trà sữa nên chạy qua mua cho ả 1 ly trà sữa trân châu đường đen thêm trân châu trắng size L đầy ắp luôn. Trà sữa trân châu đường đen là best seller nên ngon khó cưỡng. Mua về chị em uống chung cũng ná thở. Ahihi,8.0,7.0,9.0,8.0,8.0,None,0,ha-tinh,all,23/67/,36/
kimminhnhat,2018-11-04T09:23:00,Ding Tea,"Ding Tea là một thương hiệu lớn du nhập về Việt Nam đã khá lâu, có cả 1 chuỗi cửa hàng trải dài từ Bắc vào Nam. Ding Tea Hà Tĩnh là thương hiệu trà sữa nước ngoài đầu tiên đóng đô tại thành phố nhỏ bé này. Vì thế nên quán luôn có lượng khách trung thành nhất định. Mình thì học ở Đà Nẵng về nên biết tới Ding Tea sớm hơn, trước khi có Ding Tea Hà Tĩnh. Mình đặc biệt không ấn tượng với menu của Ding Tea nói chung, nó quá là nhiều thứ và hơi có chút rườm rà, mỗi lần chọn món ở Ding Tea thì phải mất nhiều thời gian hơn. Tuy nhiên về chất lượng thì rất ok, phải nói là chất lượng số 1 Hà Tĩnh nhỉ. Không gian Ding Tea Hà Tĩnh ko làm mình hài lòng lắm, thật sự nó hơi bị tối và kín, mình đi ban ngày mà cứ ngỡ ban đêm. View thì không có gì đặc biệt cho lắm, trang trí chỉ ở mức ổn thôi. Cứ tưởng là có tầng 2 cơ. Nhưng so với mặt bằng chung HT thì Ding Tea là top đầu rồi. Chúc quán tiếp tục giữ vững vị thế nhé!!!",8.0,7.0,8.0,7.0,7.0,None,0,ha-tinh,all,23/67/,36/
Dieptran422,2018-08-22T12:10:00,Dingtea 38,"Mình đi hết quán trà sữa ở tpht mà uống nhiều nhất và thấy chất lượng nhất vẫn là dingtea thôi í :)) mặc dù rất nhiều quán trsua mọc lên nhưng dingtea vẫn giữ đc lượng khách quen khủng 😋 giá cả hợp lý với 1 cốc trà sữa chất lượng như thế này. Chúc quán luôn đông khách nhé 😍 À điểm trừ là có một vài hôm gì đấy nhân viên đem đồ uống khá lâu, bọn mình chờ tận gần 30p hic.",10.0,10.0,10.0,7.0,10.0,None,0,ha-tinh,all,23/67/,36/
lanlovetiep123,2018-07-30T10:35:00,Ding Tea,"Lần đầu tiên mình uống Ding Tea nên cũng háo hức lắm. Quán khá là rộng, mình có nghe nói quán mở máy lạnh nhưng lúc mình đi thì quán lại chưa bật nên có hơi nóng 1 tí. Nhân viên thì thân thiện, thoải mái với khách hàng, cũng tận tình giới thiệu cho khách những món ngon ở quán. Đồ uồng thì mk gọi 1 ly trà xanh Nhật Bản size lớn thêm trân châu. Trân châu ngon, vừa dai vừa mềm. Trà xanh thì đậm vị, chỉ có điểm trừ là bỏ ít đá quá nên uống ko mát lắm. Nói chung là vẫn rất ok vs mình.",8.0,6.0,7.0,9.0,7.0,None,0,ha-tinh,all,23/67/,36/
nguynnht2644,2018-05-09T20:52:00,Ding Tea,Nhân viên rất là thân thiện và thoải mái ạ🤓🤓🤓🤑,10.0,10.0,10.0,10.0,10.0,None,1,ha-tinh,all,23/67/,36/
nguynboqunhanh,2018-02-21T14:44:00,Ding Tea,Mình khá thích cách phục vụ ở đây khi bạn mang về thì họ sẽ đưa tận tay cho bạn mình không cần phải ngồi trông đến lượt mình,8.0,9.0,10.0,10.0,10.0,None,0,ha-tinh,all,23/67/,36/
thuongnguyen1308,2017-10-20T18:38:00,Ding tea 37,"Bị nghiền dingtea,may về Hà Tĩnh vẫn có để uống.Trà sữa uống được,không gian cũng ổn nữa,tha hồ checkin. Đội ngũ nhân viên thì ôi thôi quá nhiệt tình,đón khách từ ngoài cổng đón vào😂😂,chỗ để xe rộng rãi thoải mái. Đây cũng là địa điểm lý tưởng để hẹn hò với đám bạn và crush nữa đó,vừa được uống trà sữa ngon vừa chém gió,tâm sự. Có hôm thèm dingtea quá,gần 11h rồi nhân viên vẫn ship nhiệt tình và nhanh lắm ☺Nói chung trà sữa chắc vẫn sẽ chung thủy với dingtea thôi hihi",5.0,5.0,9.0,7.0,6.0,None,0,ha-tinh,all,23/67/,36/
nhitrn2245,2017-07-02T23:35:00,Ding Tea,"Mình về đây thì thấy có Ding tea là quán ổn nhất ở đây 💙 mình có oder trà xanh đào lúc tối gần 10h thì nviên vẫn nhiệt tình Điểm cộng : nviên khá nhiệt tình, oder nhanh, ship k ngại thời gian, trà đào khá ngon phù hợp vs cả con nít mặc dù đá tan hơn nhiều khi ship nhưng vẫn rất đậm đà. Điểm trừ là mình có gọi điện lại oder thêm thì k nghe máy",5.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,all,23/67/,36/
any.smilee95,2017-02-19T02:29:00,Brand trà sữa đầu tiên ở Hà Tĩnh :3,"Ở các tỉnh thành khác có thể có nhiều brand trà sữa nhưng Ht mới có mỗi Dingtea đâm ra loanh quanh k biết uống gì ngoài nó, may cũng k đến nỗi tệ. Tệ nữa thì mới sợ vì Dingtea ở những nơi khác vốn có uy tín mấy năm rùi :v Mình uống chắc mới gần 10 vị trong cái menu dài dằng dặc kia nhưng nhớ chụp ảnh mỗi lần này. 👉Vị trí quá dễ tìm và nổi bật, chỗ để xe thoải mái có bảo vệ nhiệt tình 👍 👉Không gian thoáng, nhiều chỗ ngồi thậm chí muốn ngồi vỉa hè cũng có nha, decor cả trong lẫn ngoài đều đẹp 👍 👉Đồ uống pha chưa đều tay, hôm ngọt hôm nhạt, lần nào mình cũng dặn % đá đường vậy mà gần như lần nào cũng thấy như nhau và như các bạn k dặn :'( nguyên nhân có thể đến từ 1 điểm k biết cộng hay trừ là quá đông, nhân viên làm k kịp hơi đâu nhớ đường đá cho tui :( khắc phục điểm này nữa là ok rồi nha :3",8.0,8.0,5.0,5.0,8.0,None,0,ha-tinh,all,23/67/,36/
puby.trieu92,2017-01-03T23:12:00,Ding Tea,"🍧 Dibg Tea này là duy nhất ở Hà Tĩnh luôn, hôm tụi mình đến là buổi trưa vắng teo, nhân viên ngồi trong quầy làm cứ tưởng quán đóng cửa cơ :)) - Không gian ở đây không rộng lắm, chỉ có 1 tầng, bên ngoài còn có quả moto phân khối lớn. Ghế theo gam màu trắng, đỏ chủ đạo nên nhìn rực rỡ hơn hẳn. - Đồ uống mình gọi vị trà sữa truyền thống kèm trân châu thui, ở đây pha cũng khá ổn. - Nhân viên đông, phục vụ nhanh. - Giá cả thì niêm yết ở tất cả các cơ sở rồi, nói chung là ổn.",7.0,7.0,7.0,7.0,8.0,None,0,ha-tinh,all,23/67/,36/
ngh.hlu,2016-09-19T13:20:00,Ding Tea,"Dingtea đầu tiên ở Hà Tĩnh 💰giá cả: như các quán trong hệ thống Dingtea 🍵🍼chất lượng: trà sữa thơm, ngon, chất lượng k có gì phải bàn 👯phục vụ: nhẹ nhàng, lịch sự, bọn mình ngồi rõ lâu mà cũng k phàn nàn gì 🏠không gian: thoáng, đẹp, sáng sủa, decor dễ thương, phù hợp cho việc sống ảo, mặc dù đông khách nhưng vẫn khá sạch sẽ. Có cả ghế nhựa ngồi ngoài sân. Chỗ để xe thì rộng rãi, k phải lo lắng. Tuy nhiên vì khá đông khách nên hơi ồn ào.",9.0,8.0,8.0,8.0,9.0,None,0,ha-tinh,all,23/67/,36/
gianghong0684,2016-09-18T00:16:00,"Trà sữa thạch, kiwi lô hội, trà nhài","Taddaaa * Không gian : rộng rãi, thoáng mát, có cả bên trong và ngoài trời luôn ấy )) bên trong có dạng ngồi bệt và ngồi ghế, đèn điện sáng quắc thế nên hội selfie sống ảo như mình rất ưng ))) * Chất lượng : trà sữa thạch uống mình thấy uống cũng bt, ko xuất sắc cũng ko tệ, kiwi lô hội mình thấy uống mát kiểu , lô hội giòn giòn mát mát, khá ưng nhưng hai đứa bạn mình thấy bt, còn vs các bạn giảm cân mà muốn đi dingtea sống ảo như mình thù cứ trà nhài, hồng trà, trà ôlong ko đường mà quẩy nhá. Mình gọi hồngbtraf ko đg nhưng c nv review nếu ko đường nên gọi trà nhài cho nó thơm, vị thì giống trà bt bọn mình uống ấy, có vị đắng chát chát nhẹ cộng thêm mùi thơm nhẹ của nhài )) too fine for diett Còn lần trước mình đi có trà đào uống cũng khá thơm, có 4-5 miếng đào gì đấy * Phục vụ : siêu ưng luôn, mấy ac rất nhẹ nhàng, lúc vào luôn có người mở của cúi chào ấy, nv hay cười thân thiện, phục vụ khá nhanh dù nhiều lúc đông khách. Hôm mình đi trời mưa to, a nv còn đem hết mũ của khách vào vì sợ để ngoài ướt hết mũ khách . C nv order nhiều khi khách đông làm vẫn còn bối rối nhưng ko saoo * Giá cả : thì cũng bt , ko rẻ cũng ko đắt quá, còn tuỳ vào size , vị và topping nữa",8.0,7.0,7.0,8.0,7.0,None,0,ha-tinh,all,23/67/,36/
huonggiangntt,2021-01-28T15:50:00,Cafe review,"Không gian sang choảnh nhưng hoà hợp với thiên nhiên, thoáng đãng Đồ uống ở đây thì có món sữa tươi trân chân đường đen siêu ngon, đặc biệt là nước ép sinh tố siêu tươi 👏🏻 Mỗi tội cuối tuần thì hơi đông, bạn nào thích chill thì nên đi mấy ngày trong tuần thôi Highly recommend",10.0,7.0,9.0,8.0,10.0,Chắc chắn,0,ha-tinh,all,23/67/,45/
kimminhnhat,2019-02-17T09:22:00,New cafe,"Hà Tĩnh mới xuất hiện một quán cà phê với phong cách kiểu không gian mở. Phải nói đây là quán cà phê rộng nhất luôn ấy. Cách bố trí chỗ ngồi trong và ngoài đều ok. Trang trí đẹp, nhiều góc sống ảo, vào đây như lạc vào khu vườn thần tiên vậy đó. :))) Có cây cỏ, hoa lá, thác nước chảy róc rách nghe vui tai lắm. Tuy nhiên theo mình cảm nhận thì chất lượng đồ uống ở đây chưa được ngon. Mình đi 2 người gọi sinh tố bơ và sữa chua việt quất nhưng cả 2 ly đều nhạt nhẽo, không ngon như mong đợi. Cần cải thiện thêm.!!! Vị trí của quán thì nằm sau nhà văn hoá tỉnh, lôus vào ở đường Xuân Diệu nhé! Điểm cộng là vì quán mới nên nhà vệ sinh ngon ... à lộn, nhà vệ sinh rất sạch sẽ nhé! Quán cho thêm chút nhạc nữa lãng mạn hơn đó! À mà nghe đồn buổi tối bật đèn lên thì siêu sang chảnh nhé! Giá cả ở đây cũng vừa phải không quá cao nha!!!",8.0,7.0,5.0,7.0,9.0,None,0,ha-tinh,all,23/67/,45/
foodee_o0tq60he,2022-03-13T12:46:00,Đặt hàng chuyển khoản dc k,Đặt hàng chuyển khoản dc k,5.0,5.0,10.0,5.0,5.0,None,0,ha-tinh,all,77/,12/
Dieptran422,2018-08-10T12:45:00,Mì cay 7 cấp độ Sasin,"Ngon, pvu nhanh, nhiệt tình. Quán ruột luôn :)))) T thích mì cay ở đây lắm. Nước dùng ngọt ngon nghiện. K phải mùi bột ngọt khó ăn đâu. Nước hầm chuẩn lun ạ. Giá cực ổn bát mì 25k-35k hoy còn có cơm phần, takoyaki,kimbap, xúc xích.. nói chung ở đây là địa điểm khá quen với các bạn học sinh",8.0,8.0,9.0,9.0,9.0,None,1,ha-tinh,all,77/,12/
foodee_3yu10nv0,2019-05-27T23:40:00,Nhon view đẹp miễn chê nhá,"Có rất nhìu món mới bò nướng , tôm nướng , cá đuối , bạch tuộc , bò nhúng ớt có mặt ở quán . Ăn xong free chè lun nha các chế 😋😋😋😋 vote vote",10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,ha-tinh,all,48/,45/
Dieptran422,2018-11-01T20:09:00,Chả cá Lăng,"View đẹp sang chảnh giá cả bình dân , nv vui tính cực kì :)))",10.0,10.0,10.0,10.0,10.0,None,0,ha-tinh,all,48/,45/
foodee_91dbc1ca,2023-01-10T20:19:00,Jollibee - CoopMart Hà Tĩnh,Có ship k nhỉ,5.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,all,48/,10/
foodee_k5122nll,2019-07-02T04:03:00,Phục vụ không ổn :/,Tớ thích ăn jollibee cực kì . Khi nào đi học về tớ cũng ăn . Ở đây mát gà rán ngon giòn . Nhưng có đieu tớ không thích là cách phục vụ :( . Khi tớ oder thì đáng nhẽ là lượt của tớ nhưng nv lại oder cho khách khác mặc dù tớ đứng rất lâu . Bỏ qua chuyện nàyđi .Thì đến cai lúc mà tớ đc oder rồi í . Thì nv kiểu kiểu thái độ kh vui vẻ cho lắm ăn nói thì kiểu trống không măt mày thì nhăn nhó . Chả lịch sự tí nào . Nv nữ thì đã đành ai ngờ nv nam cũng vậy :( . Mình đang ngồi ăn thì nv quét dọn lại lấy cái chổi quét dưới chân mình làm như muốn đuổi í :( Bực kh tả nổi :) .,2.0,4.0,2.0,1.0,5.0,None,0,ha-tinh,all,48/,10/
nhitrn2245,2017-07-02T23:41:00,Jollibee - CoopMart Hà Tĩnh,"Điểm cộng gà ở đây ngon k chê vào đâu được , chỗ thoáng mát, khá vừa túi Điểm trừ là không gian khá hẹp có khi k có chỗ ngồi, oder lâu mình xếp hàng oder thì tới lượt mình chị oder đi mất đợi gần 15p vẫn chưa quay lại đành qa hàng khác xếp hàng lại 😆",5.0,5.0,5.0,3.0,3.0,None,0,ha-tinh,all,48/,10/
