user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_0edylxn0,2024-07-15T11:03:00,Hoàng Gia Hotel,xuất sắc,5.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,travel,92/,
foodee_6phm5qvv,2024-06-17T10:07:00,Vinpearl Hà Tĩnh Hotel,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_h6xghpx1,2024-06-12T18:42:00,Vinpearl Hà Tĩnh Hotel,Phố g cảnh đẹp phục vụ tốt,10.0,10.0,10.0,10.0,10.0,None,0,ha-tinh,travel,92/,45/
foodee_e8ogxw9z,2023-11-29T14:54:00,Vinpearl Hà Tĩnh Hotel,Đẹp sạch sẽ,5.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,travel,92/,45/
conangkhotinh_tv_3011,2023-11-29T14:43:00,Vinpearl Hà Tĩnh Hotel,phòng đẹp sạch,5.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_ddp8ubor,2023-11-29T14:41:00,Sạch sẽ,Phòng đẹp. Thoáng. Phục vụ tốt,10.0,10.0,10.0,10.0,10.0,None,0,ha-tinh,travel,92/,45/
foodee_i4vnzbkd,2023-11-29T14:41:00,Vinpearl Hà Tĩnh Hotel,Quá sang trọng ấm áp,10.0,10.0,10.0,10.0,10.0,None,0,ha-tinh,travel,92/,45/
foodee_9aj0o3mk,2023-11-29T14:41:00,Tốt,Tốt,5.0,6.0,5.0,5.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_n4nqg8g7,2023-11-28T16:31:00,Khách sạn đẹp lắm ạ,Phòng đẹp đồ ăn ngọn lắm,10.0,10.0,10.0,10.0,10.0,None,0,ha-tinh,travel,92/,45/
foodee_nb8a9avg,2023-11-28T14:47:00,Vinpearl Hà Tĩnh Hotel,Tuyệt vời ạ,7.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_n1jzmpi5,2023-11-28T14:44:00,Dich vụ tốt,Dich vụ tốt,9.0,7.0,7.0,8.0,8.0,None,0,ha-tinh,travel,92/,45/
foodee_n1jzmpi5,2023-11-28T14:44:00,dịch vụ rất tốt,dịch vụ rất tốt,10.0,9.0,9.0,8.0,7.0,None,0,ha-tinh,travel,92/,45/
foodee_hkififpnfw,2023-11-28T14:41:00,Vinpearl Hà Tĩnh Hotel,Tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_8n6vmxn5,2023-11-28T11:29:00,Vinpearl Hà Tĩnh Hotel,"Chất lượng phục vụ tốt, giá cả phù hợp",10.0,10.0,10.0,10.0,10.0,None,0,ha-tinh,travel,92/,45/
foodee_k8rwmw46,2023-11-27T17:15:00,Vinpearl Hà Tĩnh Hotel,Quá tuyệt vời,5.0,5.0,10.0,5.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_wwvzkagh,2023-11-27T16:47:00,Vinpearl Hà Tĩnh Hotel,Ok,10.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_fmy2urzn,2023-11-27T16:45:00,Vinpearl Hà Tĩnh Hotel,10 điểm không có nhưng,5.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_bsyyye9v,2023-11-27T15:59:00,Vinpearl Hà Tĩnh Hotel,Khách sạn sạch và đẹp ạ,5.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_vtmjjagq,2023-11-27T15:52:00,Dịch vụ tốt,"Hệ thống vinpearl ở đâu cũng quá oke, chất lượng tuyệt vời",10.0,10.0,10.0,10.0,10.0,None,0,ha-tinh,travel,92/,45/
foodee_wu55phjl,2023-11-27T15:42:00,Vinpearl Hà Tĩnh Hotel,Rất tuyệt vời.,10.0,10.0,10.0,10.0,10.0,None,0,ha-tinh,travel,92/,45/
foodee_oj2ovmms,2023-11-26T20:36:00,Vinpearl Hà Tĩnh Hotel,"Khách sạn sạch sẽ,phục vụ chu đáo",5.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_tqewd4jw,2023-11-26T19:13:00,Vinpearl Hà Tĩnh Hotel,Tuyệt vời,7.0,7.0,7.0,7.0,7.0,None,0,ha-tinh,travel,92/,45/
foodee_fm9f580b,2023-11-26T17:19:00,Vinpearl Hà Tĩnh Hotel,Dịch vụ tốt,7.0,7.0,8.0,9.0,8.0,None,0,ha-tinh,travel,92/,45/
mjssyou.18121992,2023-11-26T15:11:00,Vinpearl Hà Tĩnh Hotel,K gian sang trọng. Nhân viên nhiệt tình. Trang thiết bị cao cấp,10.0,7.0,10.0,10.0,10.0,None,0,ha-tinh,travel,92/,45/
foodee_mgttrq2a,2023-11-26T14:43:00,Vinpearl Hà Tĩnh Hotel,"Phòng đẹp, phục vụ tốt",5.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_hk6og7my,2023-11-26T14:43:00,Vinpearl Hà Tĩnh Hotel,"Phòng đẹp, đồ ăn ngon, phục vụ tốt. Sẽ quay lại và giới thiệu cho bạn bè",5.0,5.0,10.0,5.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_rppuh0ww,2023-11-25T16:42:00,Vinpearl Hà Tĩnh Hotel,Tuyệt vời,5.0,5.0,10.0,5.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_4mb43gw2,2023-11-25T15:40:00,Vinpearl Hà Tĩnh Hotel,Cảnh đẹp. Các món ăn ngon và rẻ,5.0,5.0,8.0,8.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_6mtot4lp,2023-11-25T15:20:00,Vinpearl Hà Tĩnh Hotel,Phòng đẹp phục vụ tốt,5.0,5.0,5.0,8.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_4mb43gw2,2023-11-25T14:53:00,Vinpearl Hà Tĩnh Hotel,Nhân viên nhiệt tình. Món ăn ngon. Đảm bảo sạch sẽ,5.0,7.0,5.0,6.0,6.0,None,0,ha-tinh,travel,92/,45/
foodee_0iv6xhoa,2023-11-25T14:47:00,Tuyệt vời,Sẽ ủng hộ dài dài,10.0,10.0,10.0,10.0,10.0,None,0,ha-tinh,travel,92/,45/
foodee_j6yvwv6k,2023-11-25T14:42:00,Vinpearl Hà Tĩnh Hotel,Tuyệt vơi,10.0,10.0,10.0,10.0,10.0,None,0,ha-tinh,travel,92/,45/
foodee_18lba451,2023-11-25T14:41:00,Vinpearl Hà Tĩnh Hotel,1 điểm đến không thể thiếu cho khách du lịch . Mình rất thích,5.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,travel,92/,45/
foodee_l3wh2yo2,2023-10-03T10:01:00,Quán là nơi thích hợp những gia đình co con nhỏ,Quán là nơi thicha hợp những gia đình có con nhỏ,5.0,5.0,5.0,5.0,5.0,None,0,ha-tinh,travel,4/,45/
puby.trieu92,2017-01-04T00:24:00,Quỳnh Viên Resort,"☀️ Hôm mình về Hà Tĩnh chơi là được dẫn đến đây, vì ở đây có biển lại có quả khách sạn ống này khá hay. - Resort nằm ngay sát bờ biển, cũng có khá nhiều phòng thiết kế kiểu xinh xinh ấy. Phòng decor kiểu vintage, thấy có vẻ có các tiện nghi luôn. - Bên cạnh có 1 nhà hàng hải sản, có cả cho thuê bàn để khách hàng có thể mang đồ của mình đến để ăn. - Đồ ăn tụi mình gọi mực trứng, tôm chiên, cơm rang thấy chế biến đều vừa miệng và ngon. - Giá phòng ở đây không quá cao, cơ mà đông nên mùa hè cao điểm phải đặt trc từ sớm. Cả 1 điểm nữa là đi vào khu này cũng xa xôi phết.",7.0,8.0,8.0,7.0,8.0,None,1,ha-tinh,travel,4/,45/
nguyenkulan,2016-12-23T00:26:00,Quỳnh Viên Resort,"Một trong những nơi phát triển kiểu nhà ống đầu tiên bên bờ biển Hồi hè Quỳnh Viên Resort rất hot, không ai còn lạ lẫm gì nữa, chủ yếu các nhóm tổ chức đi rồi tối đến đốt lửa trại kết hợp nướng thịt siêu vui. Bọn mình 2 đứa con gái đi từ vinh vào Hà tĩnh bằng xe buýt tới thành phố sau đó thuê xe đi vào resort thêm hơn 20 cây nữa, đường rất vắng vừa đi vừa tìm chứ không có chỉ dẫn cụ thể gì cả, quang cảnh 2 bên còn hoang sơ, chủ yếu bãi cát trống không với những hàng phi lao dài không hề có nhà dân ở xung quanh. Lúc mình đi thì ở đây mới bắt đầu xây thêm các phòng nghỉ hạng sang rộng rãi hơn, chứ phòng ở nhà ống phải nói là siêu bé chỉ kê vừa 1 cái giường bên trong mà thuê 1 ngày mà những 400k, nhà vệ sinh với nhà tắm dùng chung. Cả dãy phòng hướng ra biển, chỉ cần mở cửa hé ra thôi là đã được tiếng sóng biển, sáng sớm ra phía cây cầu gỗ trên biển ngồi ngắm mặt trời mọc cảm giác rất khó tả :v còn chụp được ti tỉ ảnh sống ảo ở mọi góc độ. Đặt phòng ở đây phải đi chuyển khoản trước cọc 1 nửa tiền phòng, mùa hè sát ngày tới rất khó đặt, đồ ăn thì siêu chặt chém :))) cuối cùng bọn mình quyết định mua mì tôm ngồi trước phòng ăn.",8.0,6.0,8.0,7.0,8.0,None,0,ha-tinh,travel,4/,45/
ngh.hlu,2016-09-16T22:43:00,Quỳnh Viên Resort,"Resort sang chảnh đầu tiên ở Thạch Hải 💰giá cả: phòng biệt thự hướng ra biển 800k 1 đêm 🏝🏘chất lượng: khu resort hiện vẫn đang trong quá trình hoàn thiện nên còn ngổn ngang. Đường đi chưa dc tạo dựng nên vẫn là bãi cỏ hoang sơ. Phòng thì hơi chán, phòng tắm lộ thiên 100% nghĩa là k có cái gì để che cả ấy :-))) có phòng thì cửa kính dc gắn kính mờ nên ok, điều hoà hư, đèn hư, vật dụng trong phòng đặc biệt là phòng tắm có dấu hiệu xuống cấp. Bãi biển khá đẹp, đợi 1 thời gian hoàn thiện nữa có lẽ sẽ khá hơn. 👯phục vụ: có lẽ đào tạo chưa được bài bản lắm, nội quy còn chưa nắm vững và bị mâu thuẫn giữa phục vụ các khu vực với nhau. Buffet sáng thì free nhưng chỉ dc 1 suất thôi ạ :-))) gọi thêm thì bị tính tiền, vãi cả buffet :-)) chăn màn, gối xin thêm cho người ở thêm thì phải đặt cọc, rất vô lý, vì bọn mình đã trả tiền phụ thu rồi.",8.0,7.0,7.0,7.0,9.0,None,1,ha-tinh,travel,4/,45/
