user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_9v1xcy5l,2024-06-16T17:01:00,Ngon,10 điểm,10.0,10.0,10.0,10.0,10.0,None,0,hai-duong,all,53/,40/
foodee_e6vogbyx,2022-05-15T21:36:00,Noo Tea,Có ship đến minh tân kinh môn k ạ :v,6.0,5.0,5.0,5.0,5.0,None,0,hai-duong,all,75/2/,11/
nguyendiem860,2017-11-12T00:05:00,Noo Tea,"Quán có nhân viên phục vụ nhiệt tình, thân thiện. Giá cả hợp lí. Khi bọn mình đến còn quá cả quà tặng và giảm giá nữa. Đồ uống ngon, còn chất lượng thì mình không thể biết được. Nhiều góc chụp hình đẹp tha hồ chụp ảnh tự sướng cùng bạn bè, còn có cả điều hòa và ti vi tại tầng hai nữa. Không gian yên tĩnh, bọn mình còn có thể đánh guitar và trò chuyện tại đây nữa. Bọn mình đi lại đúng dịp trong tuần nên ngồi cả tiếng cũng chẳng bị ai làm phiền cả.",5.0,6.0,5.0,7.0,7.0,None,0,hai-duong,all,75/2/,11/
diemvu18051997,2017-09-10T11:36:00,Noo Tea,"Trà sữa khá ngon, view đẹp, nhân viên phục vụ nhiệt tình, thân thiện, chu đáo, hôm đấy mình gọi 1 trà sữa và 1 hồng trà kem cheese, chân châu trắng ngon tuyệt, nhưng hồng trà không biết có đúng không mà uống như trà sữa hay là nhân viên pha nhầm:))",7.0,8.0,7.0,7.0,7.0,None,0,hai-duong,all,75/2/,11/
autoforlifejsc,2017-08-30T14:38:00,Trà sữa mới toe,"Hãng trà mới mở trên đường Nguyễn Thị Duệ May mắn là 1 trong những ng đầu tiên thưởng thức hãng trà này. Phải nói là ưng! Mình đi cùng vài bạn nên uống thử đc nhiều món. Đình đám bh là kem cheese, kem của quán khá nhiều, ko bị loãng chảy, ngon nhất là hồng trà kem Cheese. Trà hoa quả ngon mà bắt mắt cực kì, trà chanh vàng Nam Mỹ màu hồng trông rõ xinh. Trà sữa cũng đủ vị, trân châu trắng khá ngon. Đang kmai từ 31-1/9 chỉ 12k/ly thoai. Mai lại ra làm vài cốc về uống cho bõ thèm.hihi",8.0,7.0,7.0,7.0,7.0,None,1,hai-duong,all,75/2/,11/
hailinh267,2017-10-03T07:07:00,Bún cá rô,"Bún cá rô ở đây ngon lắm, cả cá rán lẫn cá rim. Vị của cá lẫn nước dùng đều thơm, ngọt và đậm đà, hôm nào không phải đi làm sớm là mình gọi liền một bát thật bự ăn cho đã đời. Có lẽ ai ở khu vực Nguyễn Lương Bằng, Ngô Quyền, Nguyễn Thị Duệ đều biết quán bún cá rô này. Mình ở tận cuối đường Nguyễn Thị Duệ đoạn gần đường tàu mà hôm nào muốn ăn bún cá rô cũng phải mò ra quán này ăn, mấy quán bún cá ở Nguyễn Thị Duệ với Nguyễn Lương Bằng thực sự không đâu ngon bằng quán này. Nhưng quán ở trong ngõ vắng, đoạn đầu ngõ khá hẹp nên cũng hơi khó tìm với khách mới.",7.0,7.0,10.0,8.0,8.0,Chắc chắn,1,hai-duong,all,21/,40/
nguyenthuhaxinhxan,2017-10-02T14:07:00,Ngon khỏi chê,"Tớ ăn ở quán từ hồi còn bé tí đến giờ. Nhớ ngày bé hay cùng ba đến đây ăn bún cá rô với bánh đa cua. Ngày ấy chỉ 20k là được một bát bún đầy ự. Sợi bún mềm và dai, cá rô được chế biến rất đậm đà, tách xương cẩn thận. Mình nghe bà chủ quán bảo là cá rô đều là cá rô đồng bà thuê người bắt riêng, chất lượng khỏi phải chê. Thịt cá có độ xơ vừa đủ, ăn rất bùi và ngọt, độ mềm của cá qua chế biến khá vừa vặn, không bị nhão. Nước dùng cho gia vị vừa phải, khi ăn thấy ngọt dịu, cảm nhận được vị ngọt của xương, của thịt, của cá, vị thơm của rau thơm, hành, thì là hòa lẫn với nhau rất đặc biệt, không phải quán nào cũng có. Quán nổi tiếng nên hôm nào cũng đông khách, nhiều lúc đông khách quá phải đợi khá lâu mới được ăn.",6.0,7.0,10.0,8.0,8.0,None,1,hai-duong,all,21/,40/
phamtienlong.6c,2017-08-07T15:24:00,Món ăn ở đây thật tuyệt,Ngon,10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,hai-duong,all,21/,40/
foodee_stbqr9vg,2017-07-16T04:14:00,Ngon. Hợp khẩu vị,Mình đã từng được bạn dẫn vào ăn quán này. Quán không gian rộng thoáng mát sạch sẽ. Rất đông khách. Nhung phục vụ nhanh. Hương vị rất dễ ăn. Nước dùng có vị ngọt xương đậm đà.,8.0,8.0,9.0,9.0,8.0,None,0,hai-duong,all,21/,40/
ohrainyday,2017-03-05T17:46:00,Bún cá rô đồng ngon đúng kiểu Hải Dương,"Người ta cứ nói bún cá bánh đa cá là phải đến Hải Phòng nhưng mình thấy ở HD ngon hơn 😄😄😄 Quanh HD cứ đi vài mét lại thấy 1 quán bánh đa cá rô, nhưng mà ngon thì phải đến đây. Quán nằm trong ngõ nhưng đông tấp nập khách từ lúc mở hàng đến tận trưa. Mình thích ăn canh cá rim, đậm đà hơn hẳn canh cá rán chẳng có vị j 😅. Đến ngồi chưa ấm chỗ đã có bánh đa ăn rồi, ăn kèm với ít dấm, tương ớt nữa là khỏi bàn. Giá thì rẻ khỏi bàn rồi 25k/bát thôi. Mở cửa từ 6g-11h trưa nha các chế.",6.0,8.0,9.0,8.0,8.0,None,1,hai-duong,all,21/,40/
phuong.nha2,2016-03-31T18:31:00,Bún Cá Rô,Hôm được bạn nam đưa ra ăn ơe quán này. Quán ở trong ngõ nhưng có chỉ dẫn nên cũng dễ tìm ^^ mà quán max đông luôn chứ @@ xe cộ để kín ngõ. Mà cũng toàn ô tô ghé qua cũng nhiều. Đi ăn tầm 8-9h cũng vẫn chật kín k có chỗ ngồi. Chủ quán làm luôn tay luôn chân ^^ Đông là thế nhưng mình thấy ăn cũng không có gì đặc biệt lắm ~~ hương vị cũng khá ngon nhưng kiểu đặc trưng riêng thì cũng không có. Địa điểm ăn sáng đáng để lưu lại và ghé qua ^^,7.0,7.0,7.0,6.0,6.0,None,0,hai-duong,all,21/,40/
