user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_65c979ba,2023-05-29T17:31:00,Đức Luyện Mobile,Alo ạ,5.0,6.0,6.0,5.0,5.0,None,0,hai-duong,shop,78/7/,
mainguyen34,2022-05-12T13:33:00,Cần xem lại chất lượng thực phẩm tươi tại VinMart,"Mình đã không dưới 2 lần bị mua phải hàng kém chất lượng tại VinMart***và hôm nay tại VinMart*** Tại Vinmart NLB: chắc cũng tại tham mua 1 tặng 1 phần sản phẩm lá cuốn rong biển, mặc dù mình thấy hạn sử dụng vẫn còn xa. Nhưng trời ơi vị thì hoàn toàn khác so với mình mua trước đó Hôm nay Vinmart PVĐ: mình mua thịt bắp bò. Trời ơi mùi khai không thể tả nổi. Mình ko có chụp hình lại nhưng chắc lần sau mình sẽ rút kinh nghiệm thôi.",7.0,5.0,2.0,8.0,5.0,None,0,hai-duong,shop,22/,40/
tuyen.pro0206,2017-07-05T09:33:00,Vinmart Hải Dương,"Buồn quá, mình rất thích mua sắm ở Vinmart hàng hóa đa dạng, yên tâm về nguồn gốc,,,,,yêu lắm cơ, bây giờ sắp phải ngừng hoạt động, hôm qua vào siêu thị mua đồ thấy siêu thị dọn mà thấy buồn buồn, vắng, lạnh lẽo....cún nhà mình chỉ thích Vinmart thôi, vì nho ngon....Chúc tập đoàn ngày càng lớn mạnh,",9.0,8.0,8.0,8.0,9.0,Chắc chắn,0,hai-duong,shop,22/,40/
minhdat14121993,2015-12-09T18:19:00,Vinmart Hải Dương,"Tiền thân của vinmart là ocean mart. Khi đi mua hàng ở vinmart bạn phải thật chua ý đi đường, ở đầu đoạn ngã 4 nam cường luôn luôn có bẫy CSGT đợi bạn :) Mình thấy rất sợ khi đi qua đây, hàng hoá ở đây lại không được đa dạng như bigC, có thể do mới mở :)",1.0,7.0,7.0,8.0,6.0,None,0,hai-duong,shop,22/,40/
mrxellos,2015-10-23T11:37:00,tốt,"ở đây tuy ko rộng như bigC nhưng hàng hóa cũng đầy đủ, đồ ăn sống bày bán phong phú tươi ngon, giá cả cũng ổn. Nhân viên có thái độ tốt. Chỉ tiếc là hơi xa trung tâm.",5.0,8.0,8.0,9.0,7.0,Chắc chắn,0,hai-duong,shop,22/,40/
ohrainyday,2015-01-03T20:14:00,VinMart Hải Dương,"Vinmart trước kia là ocean mart, sau 1 thời gian k về thì hnay mình thấy n được đổi thành vinmart ;)) Vm có diện tích nhỏ và chỉ có 1 tầng nên k có khu vui chơi và ăn uống ở bên ngoài, chỉ có 1 số hàng bán bên vành đai siêu thị tuy nhỏ và mới mở nhưng vinmart có đủ các mặt hàng như đồ da dụng, đồ ăn, đồ khô, quần áo, đồ đông lạnh, quầy bánh mì, quầy rau củ quả giá thành cũng khá rẻ so với các siêu thị khác, nhân viên khá niềm nở, nhưng vì không gian nhỏ hẹp nên siêu thị k trang trí được đẹp lắm :3",8.0,7.0,8.0,7.0,7.0,None,1,hai-duong,shop,22/,40/
ohrainyday,2017-01-18T10:52:00,Vincom mới mở :3,"Thấy có Vincom 1 cái là mấy đứa kéo nhau đi liền nè. Vincom mới mở nằm ở thị xã Chí Linh, cách Hải Dương tầm 30km, đi xe máy khoảng nửa tiếng là đến nơi rùi. Được cái nằm ngay mặt đường nên không khó để tìm đến. Vincom ở HD k giống như ở HN hay các TP khác, vì k có khu căn hộ nên khu mua sắm cũng nhỏ hơn chỉ với 1 tầng, chủ yếu là siêu thị Vinmart bán đủ đồ, có quán ăn, khu vui chơi cho trẻ em và nhiều nhãn hiệu thời trang nữa. Nói chung là ở Tỉnh mà lại ở huyện nữa thì như thế là quá ok rồi <3 Giá cả cũng phải chăng mà nhiều đồ nữa.",8.0,8.0,8.0,8.0,8.0,None,1,hai-duong,shop,29/,40/
minhnguytt2604,2017-10-11T00:27:00,Lucky Mart,"Đồ ăn đúng chuẩn vị Hàn nhưng chính thế thành ra k hợp khẩu vị của người Việt mình lắm và giá thì hơi cao. Nhìn nồi gà xào bắp cải phô mai ít thế chứ hai người căng rốn ý. Bánh gạo cay nóng k hề ngọt như mấy quán người Việt mình hay làm. Kim chi, dưa chuột muối okie ngon 👍🏻 trà đào kiểu thoảng vị đào thơm thơm khá đc 😂 ăn cho biết chứ bảo ăn ngon theo đúng khẩu vị thì k hợp với mình -.-",10.0,5.0,7.0,7.0,7.0,Có thể,0,hai-duong,shop,78/7/,
bichoe,2017-08-24T21:30:00,Lucky Mart,"Đồ ăn khá ổn, menu phong phú, không gian thoáng mát, phục vụ không bị lâu quá. Giá cả khá thoải mái so với mặt bằng các nhà hàng Hàn Quốc. 2 người ăn no nê cũn chỉ hết tầm 300k thôi. Mình ăn ở đây cũng khá nhiều lần r và đã thử gần hết các món. Món nào cx đầy đặn nha :> Kimbap, tokbokki khá ngon, gà phô mai hơi nhạt và khô. Miến trộn cũng khá vừa miệng nhưng k có gì đăc sắc lắm. Mình rất thích món mì Shin ở đây 😍 Ở bên cạnh còn có K-Mart đủ thứ, đồ ăn vặt, nước uống, nhiều lắm nha mà gía cả cũng phải chăng thôi.",9.0,7.0,7.0,7.0,8.0,None,0,hai-duong,shop,78/7/,
ohrainyday,2017-03-20T10:32:00,"Sườn phomai, gà phomai ngon","Quán mới mở trên phố Phạm Ngũ Lão, có 1 bên là k-mart 1 bên là K-food. Bên K-mart nhiều đồ mà cũng rẻ, đủ luôn từ sữa gạo, bánh kẹo, kem Hàn, giày dép với mỹ phẩm luôn :3 K-food ở đây mình rất ưng. Hôm đó mình đến trời mưa, phải tầm 8h rồi. 2 chị em mình lên t2 gọi đồ xong thì ngồi ăn xong kiểu còn ngắm mưa, buôn dưa lê các kiểu đến 10h hơn xuống thấy các bạn nv mặc đồ cbi về hết rồi, nhưng vẫn lịch sự để ce mình tự nhiên :3 đáng iêu dã man. Sườn phomai ở đây ngon cực, tẩm ướp ngon, ăn với phomai nóng hổi ngon lắm í, kimpap cũng ngon. Trừ mỳ đen nấu cùng khoai ăn ngán ngán ý. Cơm trộn ăn ổn, sốt ngon. 2 người ăn no nê cũng tầm 300K là hết cỡ. Nói chung là thích, sẽ còn quay lại nhiều <3",8.0,8.0,8.0,8.0,8.0,None,0,hai-duong,shop,78/7/,
