user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_tuj87ye1,2024-07-13T17:57:00,Lotus Hotel,Sạch sẽ sẽ giá cả hợp lý,10.0,10.0,10.0,10.0,10.0,None,0,hai-duong,travel,13/,
foodee_7er42afl,2024-07-13T12:58:00,Lotus Hotel,Tuyệt cả là vời,10.0,10.0,10.0,10.0,10.0,None,0,hai-duong,travel,13/,
foodee_lrfr2eqa,2024-07-13T12:47:00,Lotus Hotel,Khách sạn đẹp nv nhiệt tình,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_1dqh74id,2024-07-13T12:47:00,Lotus Hotel,Khách sạn tot,5.0,5.0,5.0,5.0,10.0,None,0,hai-duong,travel,13/,
foodee_w16rzp7y,2024-07-13T12:46:00,Lotus Hotel,"Tiện nghi và sạch sẽ, phục vụ tốt ♥️♥️",5.0,5.0,6.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_e3mqf0p8,2024-07-13T12:42:00,Lotus Hotel,Đánh Giá Tốt,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_4zbyrsbq,2024-07-13T12:41:00,Lotus Hotel,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,hai-duong,travel,13/,
foodee_yqiyhqx3,2024-07-12T12:47:00,Dịch vụ tốt,Ngon bổ rẻ,10.0,10.0,10.0,10.0,10.0,None,0,hai-duong,travel,13/,
quynkhanh,2024-07-12T12:43:00,Lotus Hotel,Đánh giá tốt,6.0,6.0,7.0,6.0,7.0,None,0,hai-duong,travel,13/,
foodee_t3pfnhqh,2024-07-12T12:42:00,Tốt,Rất tuyệt vời khi tới nơi này,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_7vnxho70,2024-07-12T12:41:00,Lotus Hotel,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_5178o0qi,2024-07-11T15:24:00,Lotus Hotel,Tốt,8.0,8.0,8.0,9.0,8.0,None,0,hai-duong,travel,13/,
foodee_5178o0qi,2024-07-11T14:51:00,Lotus Hotel,Tốt,8.0,9.0,8.0,8.0,8.0,None,0,hai-duong,travel,13/,
foodee_6g0f6ijk,2024-07-11T14:07:00,Lotus Hotel,"Khách sạn quá đẹp, chất lượng tuyệt vời",7.0,6.0,8.0,7.0,8.0,None,0,hai-duong,travel,13/,
foodee_biq52mcm,2024-07-11T13:52:00,Lotus Hotel,Tuyệt vời 10 điểm,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_m0ifr77q,2024-07-11T13:37:00,Lotus Hotel,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_r0y3r1bv,2024-07-11T13:23:00,Lotus Hotel,Rất hài lòng dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_j807itjz,2024-07-11T13:22:00,Lotus Hotel,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_r0y3r1bv,2024-07-11T13:16:00,Lotus Hotel,Sẽ tiếp tục ủng hộ,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_fwnacrx9,2024-07-11T13:10:00,Lotus Hotel,Tuyệt vời,9.0,7.0,8.0,9.0,8.0,None,0,hai-duong,travel,13/,
foodee_qpm94frk,2024-07-11T12:56:00,Lotus Hotel,Tốt,8.0,7.0,7.0,7.0,7.0,None,0,hai-duong,travel,13/,
foodee_1z7i8ace,2024-07-11T12:52:00,Lotus Hotel,**** chất lượng tốt,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_2yqzzf99,2024-07-11T12:50:00,Tốt,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,hai-duong,travel,13/,
nkokdontcry,2024-07-10T15:40:00,Lotus Hotel,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_16jnoh61,2024-07-10T13:39:00,Nơi thích hợp để trải nghiệm những giây phút thư giãn tuyệt vời,Không gian thoáng mát phục vụ rất nhiệt tình đồ ăn rất ngon tuyệt vời còn phòng ngủ thì rất sạch sẻ cách phục vụ rất chu đáo tận tâm 10 điểm ak,10.0,10.0,10.0,10.0,10.0,None,0,hai-duong,travel,13/,
foodee_ika0siw2,2024-07-10T12:45:00,Lotus Hotel,Sang trọng và sạch sẽ,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_2mhnfknu,2024-07-10T12:43:00,Tốt,Tốt,10.0,10.0,9.0,9.0,10.0,None,0,hai-duong,travel,13/,
foodee_uv5m7msg,2024-07-10T12:41:00,Lotus Hotel,Khách sạn đẹp dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_6eiivyre,2024-07-09T15:08:00,Lotus Hotel,Sang trọng sạch đẹp,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_tfbuinot,2024-07-09T14:15:00,Lotus Hotel,"Khách sạn đẹp, chất lượng trên cả tuyệt vời",10.0,10.0,10.0,10.0,10.0,None,1,hai-duong,travel,13/,
foodee_ufo11tuk,2024-07-09T14:05:00,Lotus Hotel,Món ăn ở đây rất ngon,10.0,10.0,10.0,10.0,10.0,None,0,hai-duong,travel,13/,
foodee_ri7zjag0,2024-07-09T12:53:00,Tốt,Rất tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_gcmy4cg3,2024-07-09T12:50:00,Lotus Hotel,Dịch vụ tốt,10.0,10.0,10.0,8.0,8.0,None,0,hai-duong,travel,13/,
foodee_ddarago2,2024-07-09T12:46:00,Lotus Hotel,Đánh giá tốt,10.0,10.0,10.0,10.0,10.0,None,0,hai-duong,travel,13/,
foodee_704xv8m7,2024-07-09T12:43:00,Lotus Hotel,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_n8taemcr,2024-07-09T12:42:00,Lotus Hotel,"Thoáng mát , sạch sẽ , chất lượng tốt ạ",10.0,10.0,10.0,10.0,10.0,None,0,hai-duong,travel,13/,
foodee_3o3084sr,2024-07-08T12:52:00,Tốt,"Dịch vụ rất ok nha, nhân viên chu đáo lắm",10.0,10.0,10.0,10.0,10.0,None,0,hai-duong,travel,13/,
foodee_rwh99gtj,2024-07-08T12:46:00,Lotus Hotel,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_k2ds1fxmdp,2024-07-08T12:46:00,Lotus Hotel,tốt,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_v5m4tedc,2024-07-07T15:33:00,Lotus Hotel,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_ai3pt8ch,2024-07-07T12:45:00,Lotus Hotel,"Khách sạn ở đây úa tuyệt vời, thân thiện",8.0,9.0,10.0,10.0,9.0,None,0,hai-duong,travel,13/,
foodee_xay98axd,2024-07-07T12:45:00,Lotus Hotel,Khách sạn đẹp sạch sẽ thoáng mát,10.0,10.0,10.0,10.0,10.0,None,0,hai-duong,travel,13/,
foodee_9ot38iak,2024-07-07T12:44:00,Lotus Hotel,Đẹp,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_c35xmaam,2024-07-07T12:43:00,Tuyệt vời,Tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_g2jyx7h2,2024-07-06T13:56:00,Lotus Hotel,"Phòng sạch sẽ,dịch vụ chu đáo nhiệt tình,nhẹ nhàng, cho 5 sao",5.0,5.0,5.0,5.0,5.0,None,1,hai-duong,travel,13/,
foodee_cjbryi9b,2024-07-06T13:03:00,Lotus Hotel,Mình thích phong cách ks ở đây . 5 sao,5.0,5.0,5.0,5.0,5.0,Chắc chắn,0,hai-duong,travel,13/,
foodee_lomhzvip,2024-07-06T12:52:00,Lotus Hotel,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_v9cjp2fh,2024-07-06T12:43:00,Lotus Hotel,Sạch đẹp,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_lsf1c6cf,2024-07-05T13:17:00,Tốt,"Các dịch vụ tốt, phục vụ chu đáo, khách sạn đẹp",10.0,10.0,10.0,10.0,10.0,None,0,hai-duong,travel,13/,
haingan41112,2024-07-05T12:51:00,Lotus Hotel,Phòng sạch sẽ thoáng mát,10.0,10.0,10.0,10.0,10.0,None,0,hai-duong,travel,13/,
foodee_x2w6xojp2c,2024-07-05T12:46:00,Lotus Hotel,"Phòng rộng rãi ấm cúng, cảm giác như ở nhà",8.0,8.0,10.0,10.0,10.0,None,0,hai-duong,travel,13/,
foodee_onxr4bv8,2024-07-05T12:45:00,Lotus Hotel,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
foodee_51d5p575,2024-07-05T12:44:00,Lotus Hotel,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,hai-duong,travel,13/,
