user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_f9c789ke,2019-11-25T19:35:00,Ổn. Nên thử,"Bún ăn lạ, khá ổn, có nhiều thức ăn ăn kèm như cá, tôm, bò, mực, thập cẩm tùy chọn, có niêm yết giá sẵn, chi nhánh này rẻ hơn ở*** phục vụ nhanh, thân thiện.",10.0,7.0,9.0,6.0,8.0,None,0,ho-chi-minh,all,21/,40/
vtq.vothucquyen,2019-09-11T20:02:00,Bún quậy ngon nếu biết cách ăn,Vì quán gần nhà nên mình rất thường xuyên ăn ở đây. Tuy nhiên lần đầu ăn thì lại thấy không ngon lắm vì thấy bún hơi nhạt. Nhưng bù lại nước chấm quá ngon. Sau này mình luôn nhờ quán trụng rau kỹ để ăn kèm với bún và dùng muỗng múc nước chấm bỏ lên bún để ăn thì ngon hú hồn. Mọi người cứ xem kỹ cách ăn quán có treo bảng thì sẽ ăn ngon. Mình thấy chất lượng Ok tương xứng với giá tiền. Quán cũng mở rất lâu rồi nên uy tín. Nước mía cũng khá ngon,8.0,8.0,9.0,8.0,7.0,Chắc chắn,0,ho-chi-minh,all,21/,40/
MrBullChris,2019-08-17T11:51:00,VUI GẦN CHẾT !,ĐÂY LÀ PHẦN THỊT BÒ TRONG TÔ BÚN QUẬY MÀ TÔI PHẢI TRẢ 45.000 ĐỂ ĐƯỢC ĂN. BIẾT LÀ VẬT GIÁ CAO NHƯNG PHẢI LÀM SAO COI CHO ĐƯỢC ! Chứ làm ăn HÀ TIỆN như vậy sao được !,1.0,1.0,1.0,1.0,1.0,None,0,ho-chi-minh,all,21/,40/
little_chesil,2019-07-06T19:43:00,Bún Quậy Phú Quốc - Thái Thị Nhạn,"Ăn cũng được nhưng lần nào ăn về bụng cũng hơi khó chịu kiểu bột ngọt. Với mình thắc mắc sao ăn tại chỗ lại rẻ hơn order trên now nhiều vậy. Mình ăn tại chỗ tô thập cẩm là 55k, đặt thử now thì thấy giá là 65k, giảm giá còn 62k. Giảm rồi mà vẫn mắc hơn ăn tại chỗ là sao ?!",6.0,6.0,6.0,6.0,6.0,None,1,ho-chi-minh,all,21/,40/
foodee_bt77448n,2019-06-26T16:09:00,Giá tăng và chất lượng đi xuống,Mình cực kì thích Bún Quậy. Hồi đầu quán mới mở giá cũng còn okay với mình (33k 1 tô bún nước với 1 miếng chả tôm). Và giờ thì càng ngày càng lên giá. Bữa mình order qua grab ăn lại THẤY CẢ CỌNG SẮT RỬA CHÉN ở trong bún. Trời ơi ĐIỀU CẤM KỊ TRONG BÁN ĐỒ ĂN ĐÓ LÀ KHÔNG SẠCH SẼ. Lần cuối cùng ăn luôn.,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,all,21/,40/
duyendang3101,2019-06-06T10:03:00,Nhiều bột ngọt quá,"Mìh order. Phần bún đóng gói rất sạch sẽ, đẹp mắt, nước chấm rất ngon. Tuy nhiên phần chả cá khá tanh, khôg tươi ngon. Nước dùng cho quá nhiều bột ngọt, ăn xong tới trưa chiều vẫn còn xây xẩm hồi họp, tim muốn rớt ra ngoài",5.0,5.0,5.0,6.0,5.0,None,1,ho-chi-minh,all,21/,40/
foodee_71cy9lys,2019-04-15T20:40:00,Giỗ Tổ - Ăn Bún Quậy,"Giỗ tổ người ta rần rần đi ăn món này món kia, nhà em tìm được món mới bún quậy. Nhìn đơn giản nhưng ăn cũng ngon, không có dầu mỡ nên đỡ ngán, tôm mực 35k, mực bò 35k, giá cả tương xứng với chất lượng, mực ăn ngon sựt sựt, chả tôm làm thành bánh dạng chả nên ăn khác khác mà ngon, lại được bún thêm miễn phí, ăn no căng bụng luôn. Lại một món mới nữa được được vào danh sách ""my list"" về món ăn. Giỗ tổ nhiều người cũng ăn bún quậy quá nên lúc đến thấy khách đông gần như kín quán.",9.0,9.0,9.0,9.0,9.0,Chắc chắn,0,ho-chi-minh,all,21/,40/
foodee_6eex8kbx,2019-04-14T11:26:00,Mua về không ngon ... nhưng ăn tại chỗ ngon,"Hôm trước đặt qua Now về ăn không ngon lắm, bún bị vón cục, nước nguội, thấy có tờ giấy chỉ dẫn là ăn trực tiếp tại quán sẽ ngon hơn so với mua về. Nay ghé ăn trực tiếp tại quán thử xem như thế nào, đúng là ngon như chỉ dẫn. Sợi bún dai mềm ngon, chả cá tôm cũng ngon, nước lèo nóng. Đúng là món này nên ăn tại Quán ngon hơn mua về, rút kinh nghiệm thèm thì tới quán ăn chứ nhất quyết không bao giờ mua về nữa.",9.0,8.0,9.0,8.0,9.0,Chắc chắn,0,ho-chi-minh,all,21/,40/
foodee_2jgjltqt,2019-04-14T10:57:00,Món lạ mà ngon,"Đến thăm bạn ở Bàu Cát lại được dẫn đi ăn món mới lạ, nhìn rất bình thường và không hấp dẫn lắm, nhưng ăn rất OK, đặc biệt sợi bún vừa dai vừa ngon thơm mùi gạo khác bún chợ lắm ý, chả cá chả tôm dai giòn ngon lầm sao ý. Tiếc là ở xa qua không thường xuyên ăn được. :)) P/S: Cho luôn điểm cao để khuyến khích quán.",9.0,8.0,9.0,8.0,9.0,None,0,ho-chi-minh,all,21/,40/
Ngocanh13111994,2019-04-13T16:35:00,Không Hài Lòng,"Mình và bạn bè ăn ở đây cũng tầm 4 5 lần. Lần này mình thấy chất lượng xuống hẳn :)) . Tô như hình là Mực - Tôm : 35K Biết là 35K không đòi hỏi nhiều nhưng từ cách trang trí cho đến chất lượng chán thật sự nhìn cứ lèo tèo thế nào ý :)) . Chưa tính là k đem rau ra luôn , mình phải ới gọi thì mới đem. Chắc chỉ lần này nữa thôi , mình không quay lại nữa :)) .",5.0,3.0,5.0,1.0,1.0,None,0,ho-chi-minh,all,21/,40/
chup9695,2019-04-12T22:37:00,Quá tệ,Mua 2 phần đặt biệt mang về mà rất thất vọng ... 1 cục bún chà bá với tí xíu nước bún quến 1 cục nấu cho rời ra thì thành 1 tô cháo đem đổ,1.0,1.0,1.0,1.0,1.0,None,0,ho-chi-minh,all,21/,40/
foodee_1sokyecr,2019-04-10T16:45:00,Ngon -> là đông khách,"Mới vào thấy đông khách quá, không biết ăn sẽ thế nào, ngồi chờ một lúc có bún ra, nhìn hình thức bình thường không màu mè lắm, nhưng ăn thì ngon, ngọt vị thanh, cả nhà húp sạch. rộng rãi, thoáng mát.",9.0,8.0,9.0,9.0,9.0,Chắc chắn,0,ho-chi-minh,all,21/,40/
