user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
lmy41968,2024-06-02T14:12:00,Trung Tâm Anh Ngữ ILI,Hơn mong đợi,10.0,10.0,10.0,10.0,10.0,None,0,ho-chi-minh,edu,33/,40/
giacmomotchuyentinh,2024-01-24T13:34:00,Trung Tâm Anh Ngữ ILI,"Không gì là không thể,nên mình cố gắng hết sức mình ,không biết mấy bạn nghỉ sao chứ mình thấy tiếng anh ngoại ngữ dễ học nhất luôn ak,chăm chỉ 1 chút,để ý 1 chút là ok rồi",10.0,10.0,10.0,10.0,10.0,None,1,ho-chi-minh,edu,33/,40/
giacmomotchuyentinh,2024-01-16T14:38:00,Chỗ học tiếng anh uy tín,"﻿Học trung tâm là nhanh tiến bộ nhất. ﻿ngày nào cũng học với giáo viên nước ngoài mau nhanh trình lắm, đặc biệt sự tương tác của thầy quá ok và nhiệt tình nữa. ﻿Môi trường bên đó giúp cho học viên thoải mái học nên cũng thoải mái đưa ra những ý kiến của mình",10.0,10.0,10.0,10.0,10.0,None,0,ho-chi-minh,edu,33/,40/
giacmomotchuyentinh,2023-11-13T15:40:00,Trung Tâm Anh Ngữ ILI,"Chào cả nhà , em cảm ơn mọi người đã giúp đỡ và cho em những ý kiến chân thành. Tuần trước em có đi tham khảo vào chỗ. Và giờ em đã quyết định học tại trung tâm anh ngữ ILI. Sau khi đến trung tâm tìm hiểu thì em cảm thấy môi trường anh ngữ ILI rất thân thiện , thầy Nilson interview mình , rất ấn tượng với teacher. Cũng tìm hiểu rất kỹ chỗ này nên quyết định tham gia khóa học mới của ILI vào tháng 12.",10.0,10.0,10.0,10.0,10.0,None,0,ho-chi-minh,edu,33/,40/
giacmomotchuyentinh,2023-09-11T10:18:00,Trung Tâm Anh Ngữ ILI,Nếu ở TPHCM thì chạy qua chỗ một trung tâm ở quận 10 ngay gần công viên***học tốt lắm nhen bạn. Trung tâm IL I có lớp cả tuần vào buổi sáng nữa đấy. Bạn bạn cần học full thời gian thì đến đó mà tìm hiểu . Học với giáo viên nước ngoài mà dạy dễ hiểu và tiến bộ lắm luôn í........................................,10.0,10.0,10.0,10.0,10.0,None,0,ho-chi-minh,edu,33/,40/
lmy41968,2023-06-29T16:15:00,Trung Tâm Anh Ngữ ILI,"Trung tâm trẻ em , quận 10 thì đừng bỏ qua chỗ ILI , rất tốt, học phí rẻ và học chat lượng nhé ba mẹ",10.0,10.0,10.0,10.0,10.0,None,1,ho-chi-minh,edu,33/,40/
haitrieuboo,2023-05-30T14:42:00,Trung Tâm Anh Ngữ ILI,"Trung tâm tiếng Anh giao tiếp, luyện thi TOEIC, IELTS khá thú vị với phương pháp dạy đặc biệt giúp học viên học tốt nhất, đạt điểm cao nhất",10.0,10.0,10.0,10.0,10.0,None,1,ho-chi-minh,edu,33/,40/
giacmomotchuyentinh,2023-05-09T15:33:00,Trung Tâm Anh Ngữ ILI,"Ngày hôm qua chỉ còn là quá khứ. Mọi chuyện buồn cũng đã qua rồi. Ngày mai được xây nên từ hôm nay. Hãy khởi đầu một tuần mới với nhiều năng lượng, nhiều niềm vui để hạnh phúc sẽ mỉm cười với ta. Mạnh mẽ lên người chiến hữu của tôi. Hihi cảm ơn ad khi đọc được stt nè, cuối tuần cả nhà bình an và hạnh phúc nè.[​IMG][​IMG][​IMG]",10.0,10.0,10.0,10.0,10.0,None,1,ho-chi-minh,edu,33/,40/
lmy41968,2023-04-26T13:08:00,HỌC ANH VĂN HIỆU QUẢ TỪ MẤT GỐC,"Học nếu chỗ dạy tốt, học hiệu quả thì chọn chỗ anh ngữ ILI là chất lương cả nhà ơi. Mình học nhiều nơi từ lúc tới ILI thấy tiến bộ hơn nhiều Địa chỉ trung tâm nè các ban Trung tâm anh ngữ ILI 22 lô c, đường trường sơn, phường 15, q10",10.0,10.0,10.0,10.0,10.0,None,1,ho-chi-minh,edu,33/,40/
lmy41968,2023-04-25T16:30:00,Trung Tâm Anh Ngữ ILI,CHỌN ANH NGỮ ILI- CHỌN ĐỒNG HÀNH VỚI HÀNH TRÌNH CHINH PHỤC MỤC TIÊU ANH VĂN,10.0,10.0,10.0,10.0,10.0,None,1,ho-chi-minh,edu,33/,40/
