user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_aujw9j7b,2024-07-13T14:38:00,Massé SaiGon Pool Club,"Quá tuyệt vời,xứng đág đc 10 điểm ạ",5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,entertain,87/74/42/3/46/29/8/28/50/,45/
foodee_swmi4aal,2024-06-19T14:43:00,tuyệt vời,rất tuyet,9.0,8.0,9.0,9.0,9.0,None,0,ho-chi-minh,entertain,87/74/42/3/46/29/8/28/50/,45/
foodee_sumxrx50,2024-06-12T19:38:00,Massé SaiGon Pool Club,"Một địa điểm hẹn hò , tụ tập thậm chí là họp nhóm đây rồi ạ. Thức ăn nước uống đa dạng. Đặc biệt là đội ngũ phục vụ chất lượng. Còn gì mà phải băn khoăn. Let go!!!",5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,entertain,87/74/42/3/46/29/8/28/50/,45/
foodee_t9s5qra2,2024-06-08T15:25:00,Tốt,Phục vụ tốt,10.0,10.0,10.0,10.0,10.0,None,0,ho-chi-minh,entertain,87/74/42/3/46/29/8/28/50/,45/
foodee_noyu3zsv,2024-06-05T11:34:00,Massé SaiGon Pool Club,"Rất hài lòng ,dịch vụ tốt",5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,entertain,87/74/42/3/46/29/8/28/50/,45/
foodee_b5zyk5o7,2024-06-04T17:08:00,Tốt,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,entertain,87/74/42/3/46/29/8/28/50/,45/
foodee_b5zyk5o7,2024-06-04T17:07:00,Tốt,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,entertain,87/74/42/3/46/29/8/28/50/,45/
foodee_zrw5a66g,2023-11-14T15:49:00,Massé SaiGon Pool Club,Thích hợp cho nghỉ dưỡng,5.0,5.0,10.0,5.0,5.0,None,0,ho-chi-minh,entertain,87/74/42/3/46/29/8/28/50/,45/
shelly.uyen,2017-02-18T17:29:00,Massé Khai Trương có một dàn nhân viên toàn hotgirl thích ghê!!,"Không gian đẹp, nhân viên thân thiện, được nghe nhạc và được thể hiện giọng hát của mình tại sân khấu của Masse làm tôi rất vui. Cám ơn những địa điểm thú vị như thế này.",9.0,10.0,10.0,9.0,10.0,Chắc chắn,1,ho-chi-minh,entertain,87/74/42/3/46/29/8/28/50/,45/
nguynnhung5277,2024-07-10T12:55:00,Tốt,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,entertain,44/55/87/,45/
foodee_x5zkhie4,2024-07-08T12:45:00,Hoàng Triều Entertainment & Beer Club,Tuyệt vời,10.0,10.0,10.0,9.0,10.0,None,0,ho-chi-minh,entertain,44/55/87/,45/
foodee_bx2ftjoi,2024-07-06T14:55:00,Hoàng Triều Entertainment & Beer Club,Một điểm vui tuyệt vời dịch vụ tốt đánh giá 5 sao,10.0,10.0,10.0,10.0,10.0,None,0,ho-chi-minh,entertain,44/55/87/,45/
