user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_q0b4so6a,2024-06-26T12:58:00,Đêm Acoustic Coffee -***,"Quán đẹp lắm,nhân viên phục vụ nhiệt tình",10.0,10.0,10.0,10.0,10.0,None,0,ho-chi-minh,service,75/2/23/51/78/7/84/7/30/,40/
foodee_nmxs2jyn,2024-06-10T09:28:00,Quán đẹp lắm ạ,Quán đẹp lắm ạ,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,service,75/2/23/51/78/7/84/7/30/,40/
danghonghaily,2017-11-05T13:22:00,Tiệm giặt ủi so cute,"Mình là thành viên của cửa hàng này, dịch vụ ở đây rất là tốt đồ rất thơm và sạch có cả giao hàng tận nơi đặc biệt nhân viên rất là thân thiện và dễ thương mình giặt ở 285/176 CMT8 , tất nhiên là sẽ ủng hộ laundry house dài dài",6.0,10.0,10.0,10.0,10.0,Chắc chắn,0,ho-chi-minh,service,0/,40/
minhtrieths32,2017-10-12T10:56:00,Nhân viên siêu nhiệt tình và cẩn thận,"Mới lấy đồ về hôm qua. Lúc đến gửi đồ nhân viên hỏi kỹ đồ từng li từng tí, xem đồ có ra màu hay vải đặc biệt gì để cho vào túi giặt riêng hay không nữa. Thêm vụ hỏi nước xả vải là thích nè, mỗi tuần mình chọn 1 loại mới, Downy, Comfort cái nào cũng có nên thích mê. Yêu nhất là sót 10k trong túi quần nhưng các bạn cũng để trong túi nhỏ gửi lại mình. Sẽ ghé thường xuyên nhé <3 P/S: Tạm lấy hình từ FB tiệm cho đẹp nha mấy chế :)",6.0,10.0,10.0,10.0,10.0,Chắc chắn,0,ho-chi-minh,service,0/,40/
gialang48,2017-03-13T12:15:00,Laundry House - Dịch Vụ Giặt Ủi,"Tiệm rất dễ thương, nhân viên rất nhiệt tình. Đồ giặt sạch, có dc tùy chọn nước xả theo ý thích vs tiệm cũng có nhìu dịch vụ làm sạch đồ. có bảng giá rõ ràng :))) tóm lại là tốt",6.0,10.0,10.0,10.0,10.0,None,0,ho-chi-minh,service,0/,40/
huynhhuong1905,2017-03-06T22:42:00,Laundry House - Dịch Vụ Giặt Ủi,"Thấy tiệm mới mở bên 02 Hoa Cau - Phan Xích Long nên đem đồ qua giặt thử, tiệm màu xanh bé bé xinh xinh nhìn mát mắt ghê 😄😄😄 Mấy bạn nhân viên cũng nhiệt tình tư vấn các dịch vụ giặt cho mình, đồ giao cũng thơm ơi là thơm, thích nhất cái vụ được giặt lại free sau 48h nếu không hài lòng 👍👍👍 Nhất định sẽ ghé giặt thường xuyên!!!",6.0,10.0,10.0,10.0,10.0,None,0,ho-chi-minh,service,0/,40/
nntramanh511,2017-03-06T18:41:00,"Giặt sạch, thơm thơm","Tiệm gần nhà vì thấy dễ thương quá nên ghé giặt thử. Đồ sạch, thơm, xếp gọn gàng. Thích nhất là tiền để quên trong túi bị rơi mà vẫn được mấy bạn nhân viên trả lại. Nói chung là hết sức hài lòng. :)",6.0,10.0,10.0,10.0,10.0,None,1,ho-chi-minh,service,0/,40/
minhtrn0228sx,2016-10-12T08:07:00,Perfect❤️,"Gửi đồ giặt rất yên tâm,mấy bạn nhân viên năng động mà dễ thương lắm. Đồ giăt xong rất sạch và thơm,được xếp gọn gàng chờ chủ đón. Nói chung là thấy chỗ này ok nhất❤️",6.0,10.0,10.0,10.0,10.0,None,0,ho-chi-minh,service,0/,40/
ctnn1702,2016-09-15T09:44:00,Giặt sạch và thơm ghê,"Mình thấy nhân viên phân loại đồ màu và đồ trắng giặt riêng, mà mỗi người 1 máy nên rất an tâm. Được cái đồ giặt xong thơm quá trời luôn :)))",6.0,10.0,10.0,10.0,10.0,None,0,ho-chi-minh,service,0/,40/
ivy.janus,2018-07-12T18:28:00,Tốt,"Mình mới sử dụng dịch vụ giặt sấy của Emma, được giảm 10%, freeship giao và nhận hàng luôn nên rất tiện. Quần áo được các bạn giặt kĩ và thơm kinh khủng, sấy xong gấp gọn từ những thứ đồ nhỏ nhất như vớ. Cảm ơn các bạn vì trải nghiệm tốt này, sẽ ủng hộ dài dài.",10.0,8.0,10.0,10.0,8.0,Chắc chắn,0,ho-chi-minh,service,0/,40/
lbmai1410,2022-07-09T18:11:00,Xe tốt rẻ đi Mỹ Tho,"Xe ở đương*** cách 15 phút có 1 chuyến. Wifi chạy tốt, giá vé 100k/1 ng. Hay dừng xe đón khách nhưng đến Mỹ Tho cũng nhanh k bị trễ quá. Trên đường đi có dừng ở chỗ bán bánh mì k sợ bị đói. Đến nơi có xe trung chuyển tận chỗ Xe sạch k có mui",8.0,8.0,8.0,8.0,8.0,None,0,ho-chi-minh,service,80/,40/
thienphu28,2019-02-07T06:23:00,Dịch vụ tệ....,"Lần đầu sử dụng dịch vụ Duy Quý, khi gửi hàng ấn tượng đầu tiên là 1 sòng bài được tổ chức ngay tại bàn làm việc ở khâu nhận hàng, cảm giác bất ổn cho chuyến hàng của mình vì thấy sự thờ ơ của nhân viên với khách cho kịp canh bạc, hẹn chiều sẽ có người gọi lấy hàng. Nghĩ sẽ k sao, vì Duy Quý đã có tên tuổi nhưng...hiện tại gửi hàng từ 8h sáng đến 22h đêm vẫn chưa nhận dc hàng?!? Gọi dt cho nhà xe Vĩnh Kim hết 5 cuộc chỉ nhận dc khi nào có hàng sẽ báo...Gọi 02838384418 ngược lên SG lúc 20h7' dc tin trong vòng 15' nữa sẽ có hàng, mừng rơn!! lúc 21h gọi lại số 02838384418 cháy máy k 1 ai bắt, gọi 02838384425 dc biết sẽ check và gọi lại trả lời cho mình nhưng bặt vô âm tín?!? Mình tiếp tục gọi 2 số trên, nhưng cháy máy. Mình đổi số thì liên lạc dc, hứa sẽ có hàng vì vậy mình nói ngồi chờ tại bãi nhé...điện thoại viên ok! Và bây giờ bãi xe đã đóng cửa sau 22h, mình thì ngồi chờ hàng, gọi dt thì k ai bắt máy?!?! Dịch vụ này là sao, add cho biết? Theo dt viên nếu Thực phẩm hư hỏng sẽ chịu trách nhiệm, vậy truy cứu ra sao? Tôi cần trách nhiệm của cty Duy Quý, vì đến giờ này đã hơn 23h tôi k gặp dc ai cũng k ai cho tôi câu trả lời nào... thực phẩm chắc chắn đã hư hỏng. Ad cần quan tâm hơn đội ngũ nhân viên mình, nếu cty Duy Quý muốn phát triển, Tks add.",5.0,5.0,5.0,5.0,5.0,Không,1,ho-chi-minh,service,80/,40/
thyhn121,2017-02-27T21:08:00,Xe Khách Duy Quý,"Đây là trạm xe Duy Quý khi đi từ Sài Gòn về Mỹ Tho. Mình đi toàn là chọn dịch vụ của Duy Quý không à. 1 vé là 60k. Trên Mạc Thiên Tích là trạm chính, ngoài ra có thể đón xe ở trc bệnh viện Răng Hàm Mặt. Phải điện thoại book vé trước nha.",8.0,8.0,8.0,8.0,8.0,Chắc chắn,1,ho-chi-minh,service,80/,40/
foodee_y8z20zd6,2023-09-19T18:42:00,Hnam Mobile,Chất lượng quá ạ,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,service,48/,40/
