user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_om7aofzk,2024-07-24T15:04:00,Quán ăn rất ngon giá họp lý Quán bso đẹp luôn,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,ho-chi-minh,shop,21/17/,40/11/
foodee_9lqgydny,2024-07-18T18:40:00,Saigon Central Market,"Rất tuyệt vời, sang trọng, đẹp, phục vụ chu đáo. Cảm ơn ạ",10.0,10.0,10.0,10.0,10.0,None,0,ho-chi-minh,shop,21/17/,40/11/
foodee_gck7z4g8,2024-07-16T14:30:00,Saigon Central Market,rất đẹp và lãng mạn,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,shop,21/17/,40/11/
nunulee95,2017-10-05T19:06:00,Chủ yếu là đồ chiên,"Đa số các món ăn ở đây là chiên và nướng. Mực nướng thì tầm 60k một con, kem Thái Lan 25k. Còn món há cảo chiên mình thấy hơi mắc, mình lựa có 6,7 viên mà tận 52k :((( đối với các bạn không thích đồ ăn dầu mỡ nhiều thì khỏi ghé vô cho tốn tiền gửi xe. Chợ chia ra làm hai khu, một bên bán đồ ăn, một bên bán quần áo.",8.0,6.0,6.0,6.0,6.0,None,0,ho-chi-minh,shop,21/17/,40/11/
bi_smile96,2017-07-31T20:46:00,Saigon Central Market,"Đợt mình đi ngang khu này có hội chợ bán quần áo cuối tuần nên ghé vào xem thử. Thấy quần áo ít, không đa dạng như bên hello weekend. Có điều khu ẩm thực lại đa dạng, phong phú hơn rất nhiều. Có nhiều món từ âu, á ,.... mình ăn thử bánh xếp malay thấy ngon, lạ miệng . Lẩu thái ăn ok, vị chua cay rõ ràng. Một tô đầy ụ luôn . Giá cả hợp lý tầm 20k-50k . Mình đi chủ yếu thấy khách là người nước ngoài chủ yếu .",8.0,7.0,8.0,7.0,5.0,None,0,ho-chi-minh,shop,21/17/,40/11/
huyopen,2017-01-18T01:45:00,Hội chợ đông vui diễn ra vào cuối tuần,"Mình và bạn gái mình đã lâu, nay rảnh nên viết review về hội chợ. Mình biết đến hội chợ thông qua Foody, lúc đầu cứ ngỡ là hội chợ chỉ bán quần áo là chủ đạo, song ko phải như z, ở đây bán đồ ăn còn nhiều hơn bán quần áo. Mình và bạn gái mình tìm tới công viên 23/9, lúc này có 2 hội chợ đang diễn ra ở đây, 1 cái là Saigon Central Market và The Weekend Market ( ko rõ lắm).The Weekend chủ yếu bán về quần áo nên sau khi ăn uống ở Saigon Central xong thì mình đi qua bên đó để mua quần áo. Gửi xe ở công viên, tốn 5k, bãi giữ xe đông và đường vô bãi rất xấu. Hội chợ có bán rất nhiều món, trong đó có nhiều người nước ngoài đứng bán các món như kem, đồ nướng và đồ thái... Đồ ăn ở hội chợ rẻ, mình rất thích bánh crepe ở đây, ăn rất ngon. Giá các món ăn uống giao động từ 20-30k.",8.0,9.0,8.0,7.0,8.0,Chắc chắn,0,ho-chi-minh,shop,21/17/,40/11/
nhunguyen.doremon92,2017-01-06T23:20:00,"Hội chợ cuối tuần, nhiều món ngon và tha hồ shopping","Mình đi cái này lần đầu cách đây khoảng 2-3 tuần, vì ko biết ăn gì mà bạn mình đi ngang thấy nên hai đứa ra đây. Đầu tiên là rất ấn tượng với gian hàng dài dằng dặc, ẩm thực 4 phương, Á Âu có đủ, trang trí bằng những dải bạc sọc đỏ trắng rất ấn tượng. Ngoài đồ ăn, trong khu hội chợ phải kể đến khu selfie nhận thưởng, mình chưa thử nên ko biết tặng gì. Khu quần áo, phụ kiện đủ thể loại, từ váy đầm, áo thun - sơmi đến các loại bông tai, dây chuyền, vòng nhẫn, mũ nón, khăn, giày... Về đồ ăn, mình thử qua gà bó xôi, xôi bát bửu gói kiểu trong lá sen khá ngon của quán Ăn Vặt Mập gì đó ở Tân Phú. Xôi hết khoảng 25-30k (xôi nhỏ/vừa) và gà bó xôi chắc khoảng 30k. Ăn xong tụi mình gọi thịt ba chỉ và mề gà nướng quầy bên cạnh hết thêm 45k. Xong đi kiếm quán nước thì mình thấy Lu's nên bon chen, lấy tầm 5-7 món hết cmn 60k :)) trong đó bánh trứng rất là ngon, há cảo và xíu mại thì siêu bự. Cuối cùng thì tụi mình kết thúc bởi 2 ly trà vải và trà trái cây lớn, ly lớn thật ra là ly khổng lồ :)) bưng ra hú hồn luôn, trà pha bằng trà Phúc Long còn tag rất chất lượng. Đi ở đây gặp khá nhiều ng nước ngoài, mình ngồi chung với 2 vợ chồng ng Thổ Nhĩ Kỳ cho gần quầy chứ bàn ghế kéo dài ngồi đâu cũng được hết. Có thùng rác và có người dọn, có thể chủ động xin khăn giấy nữa... Nhìn chung hội chợ thì giới thiệu mặt hàng và tên, thương hiệu là chính nên phục vụ rất vui vẻ, thân thiện, khá là ok. Có cái giữ xe hơi xa :( P/s: Hình của Lu's Corner và Mập mình đã úp rải rác theo tên quán nên ko up lại nữa 😄",8.0,7.0,8.0,8.0,7.0,Có thể,0,ho-chi-minh,shop,21/17/,40/11/
monie265,2016-12-24T20:28:00,Saigon Central Market,Đầy đủ các món ăn vặt hiện nay. Các gian hàng khá hẹp và đi vào buổi trưa rất là nóng. Những ng bán ở đây đều khá dễ thương chiều khách. Đồ ăn chỉ cảm thấy ăn đc chứ k ngon. Giá cũng trung bình hợp lí với đồ ăn. Khu sale quần áo thấy bt cũng k hẳn là rẻ. Khu ăn uống nhộn nhịp hơn.,5.0,6.0,5.0,7.0,4.0,None,1,ho-chi-minh,shop,21/17/,40/11/
hado,2016-11-30T21:45:00,"Hội chợ mới, kết hợp mua sắm và ẩm thực","Nói thiệt 1 câu là bố trí các gian hàng cảm giác cực kì hẹp. Khu mua sắm có vẻ lép vế hơn khu ẩm thực. Đồ ăn đa dạng, nhiều, ngon bình thường và ko rẻ lắm. Bố trí khung màu đỏ hơi nóng nực so với thời tiết, lại nằm giữa công viên nên khi thiên tai mưa gió bão bùng kéo đến cảm giá khá bất tiện và chênh vênh :v Nhưng nói chung mô hình và ý tưởng khá cool, lại đc ngắm mấy anh tây đi qua lại, mấy chị tây nhảy nhót mỗi khi có chương trình ca nhạc... cũng vui ^^",6.0,6.0,6.0,6.0,6.0,None,0,ho-chi-minh,shop,21/17/,40/11/
levuphuonguyendn,2016-11-30T18:02:00,Saigon Central Market,"Được bạn bè rủ đi hội chợ sale khủng tuần vừa rồi, mới bước vào hội chợ quá trời đồ ăn đập vào mắt. Hầu hết món nào cũng có từ thái,hàn,nhật, việt có hết, món nào cũng rẻ. Đi cả nhóm ăn ngập mặt mà chia ra mỗi người tầm 50k thôi. Mua sắm trong đây hơi bị phân vân vì nhiều đồ để chọn quá, quần áo giày dép giá trung bình mà lại còn sale nữa cái gì cũng muốn mua về nhà.",7.0,8.0,7.0,7.0,7.0,None,0,ho-chi-minh,shop,21/17/,40/11/
hanqba90011,2016-11-29T15:55:00,Saigon Central Market,"Thấy có tin sale cực khủng hôm cuối tuần nên phi ra đấy gấp coi lụm được chút gì không. Đồ sale quá trời luôn, món nào cũng rẻ không mắc lắm nên dễ mua dễ lựa lại còn sale nữa nên cứ hốt ầm ầm. Khu đồ ăn thì đợt này hoành tráng hơn so với những đợt trước mình đi, có cả mì bay, bánh chuối thần thánh luôn, giá thì không mắc lắm nên ăn no bụng mà hao hụt tiền không đáng kể hehe. Mình thì hay đi tầm lúc chiều chiều rồi ăn chơi mua sắm đến tối coi ca nhạc luôn cho tiện.",7.0,7.0,7.0,7.0,8.0,None,0,ho-chi-minh,shop,21/17/,40/11/
rapismylife233,2016-11-01T16:00:00,Saigon Central Market,"Sau khi đi mua sắm thì nhóm mình đi ăn mỏi mệt luôn, thấy mấy bạn bán hàng ở hội chợ này dễ thương vô cùng. Đồ ăn ở đây giá cũng rẻ nữa phù hợp với túi tiền sinh viên, có luôn khu chỗ ngồi đàng hoàng cho mọi người mua đồ ăn ngồi tụm lại ăn uống trò chuyện.",7.0,7.0,7.0,7.0,7.0,None,0,ho-chi-minh,shop,21/17/,40/11/
rapismylife233,2016-11-01T14:34:00,Saigon Central Market,"Nghe giới thiệu về hội chợ mới mớ này nên háo hức đi liền. Khu vực nằm ngay công viên 23/9 chỗ gần sân khâu sen hồng á. Hội chợ được chia làm 2 khu là khu mua sắm với khu đồ ăn, khu mua sắm thì mình thấy đồ cũng khá đẹp giá rẻ còn khu đồ ăn thì đồ ăn ngập mặt, nhìn hấp dẫn kinh khủng, nhìn cái gì cũng muốn ăn thử. Nghe nói hội chợ cuối tuần nào cũng mở nên chắc rãnh thì đi thôi. Ngoài ra còn có các chương trình vui chơi, ca nhạc toàn các ca sĩ đang hot biểu diễn nữa, khoái hội chợ này rồi nha.",8.0,7.0,7.0,7.0,7.0,None,0,ho-chi-minh,shop,21/17/,40/11/
foodee_704xv8m7,2024-07-09T10:37:00,Cooky Market - Thực Phẩm Tươi Sống & Pack Món Nấu Ngay - Nguyễn Gia Trí,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,shop,78/7/,40/
