user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_xowy90kb,2024-07-24T13:57:00,Nhà Hàng Long Phụng - Suối Tiên,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,wedding,48/14/41/,45/11/51/
foodee_p0lhg7nx,2024-07-24T11:45:00,Nhà Hàng Long Phụng - Suối Tiên,Thậy là thú vị,7.0,7.0,7.0,7.0,9.0,None,0,ho-chi-minh,wedding,48/14/41/,45/11/51/
foodee_xa75ibs9,2024-07-22T21:14:00,Nhà Hàng Long Phụng - Suối Tiên,Thật là thú vị,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,wedding,48/14/41/,45/11/51/
foodee_6448ubpi,2024-07-22T16:05:00,Nhà Hàng Long Phụng - Suối Tiên,Thật là thú vị,5.0,5.0,10.0,5.0,5.0,None,0,ho-chi-minh,wedding,48/14/41/,45/11/51/
vandoan97,2024-07-22T15:09:00,Nhà Hàng Long Phụng - Suối Tiên,Dịch vụ tốt,5.0,5.0,10.0,5.0,5.0,None,0,ho-chi-minh,wedding,48/14/41/,45/11/51/
foodee_3yi7ux1e,2024-07-22T10:25:00,Nhà Hàng Long Phụng - Suối Tiên,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,wedding,48/14/41/,45/11/51/
foodee_amst6dkr,2024-07-20T19:42:00,Nhà Hàng Long Phụng - Suối Tiên,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,wedding,48/14/41/,45/11/51/
foodee_v0svm7r5,2024-07-16T16:48:00,Dịch vụ tốt,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,wedding,48/14/41/,45/11/51/
foodee_zck0abi5,2024-07-15T15:04:00,Nhà Hàng Long Phụng - Suối Tiên,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,wedding,48/14/41/,45/11/51/
foodee_srnghrs7,2024-07-14T15:04:00,Nhà Hàng Long Phụng - Suối Tiên,Dịch vụ tốt,10.0,10.0,10.0,10.0,10.0,None,0,ho-chi-minh,wedding,48/14/41/,45/11/51/
foodee_2nvkgdg4,2024-07-14T12:58:00,Nhà Hàng Long Phụng - Suối Tiên,Dịch vụ tốt,10.0,10.0,10.0,10.0,10.0,None,0,ho-chi-minh,wedding,48/14/41/,45/11/51/
foodee_v975az0o,2024-07-13T15:34:00,Nhà Hàng Long Phụng - Suối Tiên,Dịch vụ rất tốt,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,wedding,48/14/41/,45/11/51/
foodee_ika0siw2,2024-07-09T15:33:00,Nhà Hàng Long Phụng - Suối Tiên,Thật là thú vị,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,wedding,48/14/41/,45/11/51/
maihieu85,2015-06-25T15:00:00,Long Phụng - Suối Tiên,"Mùng 5 tháng 5 cả nhà đi Công viên văn hóa Suối Tiên tham gia lễ hội trái cây chơi. Giờ mình mới để ý, Suối Tiên nằm sát bên Khu công nghệ cao Quận 9 luôn mà mình tưởng xa lắm. Buổi trưa cũng không đem theo gì để ăn nên ghé vô Long Phụng book cơm trưa ăn. Nói chung đồ ăn thì ăn tạm thôi, cũng không có gì xuất sắc. Được cái phục vụ nhiệt tình và món ăn nóng được dọn nhanh chóng, dù bữa đó khách đi chơi ghé đông lắm. Giá nước thì hơi cao so với bên ngoài, mình nghĩ đúng thôi bán trong khu vui chơi thì còn phải tính cả giá thuê mặt bằng nữa mà.",6.0,6.0,6.0,7.0,6.0,None,0,ho-chi-minh,wedding,48/14/41/,45/11/51/
foodee_zck0abi5,2024-07-11T14:01:00,Khu Du Lịch Bến Xưa,Ôi nhìn đã thấy mê hồn rồi một lần được dừng chân ở đây thì mãn nguyện lắm. Đánh giá 10 điểm nha,5.0,5.0,5.0,5.0,5.0,None,0,ho-chi-minh,wedding,48/14/41/,45/
foodee_62d97fb6,2022-05-28T20:12:00,Phục vụ tệ,"Nhân viên có thái độ phục vụ rất tệ, xem thường khách hàng.",4.0,7.0,4.0,1.0,3.0,None,1,ho-chi-minh,wedding,48/14/41/,45/
thach1689,2021-12-29T06:33:00,Khu Du Lịch Bến Xưa,"Phục vụ tệ , Cty mình vừa tổ chức tiệc cuối năm ở đây, Chắc lần đầu tiên cũng là lần cuối ăn ở đây Vào gửi xe thì không có tiếp tân hướng dẫn , phải đi vòng vòng hỏi thì mới vào dc chổ ăn Phục vụ mang món ra thì không mang nước chấm , thắc mắc thì mới mang ra mà lâu nữa , chắc đợi ăn hết rùi mới mang hay sao á Phục vụ thì không túc trực , lúc cần gọi thì phải đợi rất lâu mới thấy có mặt, đặt món thì lúc nhận báo có món, nhưng vào bếp báo hết món cũng không báo, KH hàng hỏi thì mới báo hết Thái độ thì kiểu sợ làm nhiều hay sao á Cho dù không gian quán đẹp món ăn ngon mà kiểu này thì cũng không quay trở lại nhé",2.0,2.0,5.0,1.0,5.0,None,0,ho-chi-minh,wedding,48/14/41/,45/
wangjia,2021-03-27T23:23:00,Khu Du Lịch Bến Xưa,"Cách đây cỡ 1 năm mình đi ăn, về định phản hồi nên quên béng đi mất. Đồ ăn ngon nhưng nhân viên thái độ vô cùng tệ và thô lỗ ( mà toàn nv nam nữa chứ ) :)) nghĩ thế nào mà nói con gái người ta là CON ĐỈ MẬP vậy ạ?! Mình mong nhà hàng lớn nthe thì nên dạy lại nv cách cư xử ạ. Bạn nam đó có thấy cmt này thì tự nhột đi ạ",5.0,1.0,6.0,1.0,1.0,None,0,ho-chi-minh,wedding,48/14/41/,45/
xuxucity11,2020-12-28T12:59:00,"Khu du lịch thoáng mát, nhiều chỗ chơi cho bé","Nhà hàng rộng rãi, cạnh bờ hồ, đồ ăn ngon. Có khu hồ bơi cho bé rất thoải mái. Gia đình mình đi buổi trưa, thấy có tiệc cưới rất đông nhưng nhà hàng vẫn phục vụ nhanh chóng. Mấy em phục vụ trượt patin mang đồ ăn khá thú vị. Nếu ai lên khu vực Q12 và Gò Vấp thì có thể cho các bé qua đây chơi.",9.0,8.0,8.0,8.0,10.0,None,0,ho-chi-minh,wedding,48/14/41/,45/
phantrongnhan4886,2020-01-07T09:26:00,Phục vụ vô cùng tệ,Nhân viên phục vụ tệ chua bao giờ thấy. Nhóm đi 5 người kêu nước 45p chưa có. Hỏi lại nhân viên mà trúng con nhỏ tiếp tân mà còn tỏ thái độ lại khó chịu. Nhân viên không có độ tôn trọng khách hàng. Chổ quán thì có mùi hôi của nước dưới sông bốc lên. Công nhận không thích một chút nào,5.0,2.0,4.0,1.0,5.0,None,0,ho-chi-minh,wedding,48/14/41/,45/
anh.ze.di2307,2018-07-24T01:26:00,Khu du lịch Bến Xưa đồ ăn khá ngon rất thíc,"Nhờ có chị bạn di ăn ở đây, r zề review cho mh bít zề qán, mấy bạn di ntn, m k bit, nhưq thật sự mh thấy Khu vực quận 12 đườq hà huy giáp ít co qán nao co k gian đẹp rộq rãi thóaq mát nhu KDL Bến Xưa, mh thấy qán KDL này đồ ăn khá ngon, vừa miệq, thíc dĩa mì xào vs chả giò Sữa Hải sản va cái lẩu thái chua chua ngọt ngọt hơi cay the the vị nước đậm đà kkk, nhân viện phục vụ cũq ok, k đến nỗi thậm tệ, mh di ngày thuờq t2 đầu tuần nên qán k qá đôq như t7 chủ nhật hihi Giá cả món ăn k chát, ok chấp nhận dc",7.0,8.0,10.0,8.0,10.0,None,0,ho-chi-minh,wedding,48/14/41/,45/
