user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
tuananhnvh1,2023-03-04T17:24:00,Phòng Khám Sản - Nhi,"Chất lượng tuyệt vời, rất tận tâm",10.0,10.0,10.0,10.0,10.0,None,0,hue,beauty,25/,
foodee_s314nnl6,2022-04-27T10:41:00,Tuyệt vời,Xin số đt để liên hệ,10.0,10.0,10.0,10.0,10.0,None,0,hue,beauty,31/14/34/,
anhtu_2212,2022-02-11T13:00:00,"Spa đẹp, nhân viên tốt, giá ok so với chất lượng.","Spa đẹp, nhân viên tốt, giá ok so với chất lượng.",10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,hue,beauty,4/52/,
foodee_f78e544c,2020-06-07T21:09:00,Minh Cosmetic,2 nhân viên nữ phục vụ tối ngày 7/6/2020 có thái độ khinh thường khách hàng *cười mỉa mai khách*. Nhận ra thái độ tồi của nhân viên tôi đã bỏ luôn ý định mua hàng. Đây là lần đầu và cũng là lần cuối tôi ghé đến đây.,5.0,5.0,5.0,1.0,5.0,None,0,hue,beauty,12/,
drlengoc.dhyd,2019-02-08T21:37:00,Kém,"Chất lượng phục vụ quá kém, khăn và giường bẩn, phòng xông hơi nhỏ nam nữ chung, phòng tắm ko có cửa khoá riêng mà chỉ là rèm che, phòng tắm phòng thay đồ phòng xông hơi nam nữ chung một khu vực",1.0,1.0,1.0,2.0,2.0,Không,0,hue,beauty,4/52/,
giangnhi2661,2018-11-04T23:36:00,Đá Massage,"Tiệm làm ăn mất uy tín.chồng tôi đi massge đã được lần,hôm nay ngày 11 tháng 04 chồng tôi đi massge đi làm về và massge lúc 11g20 nói 1 nhân viên nữ nghĩ ck tôi khách lạ nên chỉ massage 35p và ck tôi vẫn gửi tiền típ 50k vnđ nếu đúng 1 tiếng thì đã gửi 200k.tôi nói ra để quấn đánh giá,thanks",4.0,5.0,1.0,1.0,5.0,None,0,hue,beauty,4/52/,
dactinh.ly,2016-11-25T09:06:00,Spa giá hợp lý khu Hai Bà Trung,"Chỗ ni tập trung toàn các quán ăn, quán nhậu, quán trà sữa cafe nên cũng nhộn nhịp lắm, rứa mà lọt vô 1 spa, mới nhìn tưởng nhỏ, khi bước vô đúng kiểu được sử dụng dịch vụ luôn. Nhân viên ở đây dễ thương lại rất nhiệt tình tư vấn gói dịch vụ cho bạn. Cơ sở vật chất ở đây ổn so với nhiều spa cùng loại ở Huế vì các spa kia cũng xuống cấp nhiều rồi. Phòng ốc ở đây sạch sẽ, vệ sinh nên yên tâm dùng dịch vụ ở đây nhé. Chỗ ni tính ra cũng hợp lý vì xung quanh cũng còn nhiều khách sạn nữa, du khách lên foody tìm địa điểm lân cận là ra spa ni liền.",8.0,8.0,8.0,8.0,7.0,None,0,hue,beauty,4/52/,
ht.anhhien,2019-09-25T18:43:00,Meebeauty - Mỹ Phẩm Chính Hãng,"Địa điểm bán mỹ phẩm cam kết chính hãng, uy tín, chất lượng!!!!",10.0,10.0,10.0,10.0,10.0,None,0,hue,beauty,12/,
ht.anhhien,2018-07-16T17:24:00,Meebeauty - Mỹ Phẩm Chính Hãng,Mỹ phẩm chính hãng,10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,hue,beauty,12/,
nguyentamvy2702,2017-09-24T21:44:00,Lotus Spa,"I enjoy massage here and i feel so relax, they are friendly...10 usd for 60 minutes massage, and i also have free shower, free steambath, free foot washing ... it is so cheap ...",10.0,10.0,10.0,10.0,10.0,None,1,hue,beauty,4/52/,
QA.qa1209,2017-11-09T00:46:00,Mỹ phẩm chính hãng - rất an tâm,Mình mua mp ở đây rất nhiều lần và lần nào đến cũng đc nv - chị chủ đón tiếp nhiệt tình Quan trọng hàng hoá ở đây m mua rất nhiều nên mình rất tin tưởng + hài lòng,10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,hue,beauty,12/,
