user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
kmthanhh,2018-07-17T18:19:00,Lotte Cinema - Big C,👍,8.0,6.0,8.0,9.0,7.0,None,0,hue,entertain,9/,
anan1107,2018-05-31T12:52:00,Xem phim,"Mình ở gần Big C nên thường đi coi phim ở Lotte Cinema hơn là Starlight. Rạp phim Lotte Cinema chất lượng âm thanh, hình ảnh cũng nhỉnh hơn Starlight một chút. Tuy nhiên, rạp chiếu phim ở Lotte Cinema có nhược điểm là giá vé chỉ đồng giá 45k từ thứ 2 đến thứ 6 mà thôi còn cuối tuần giá cũng khá chát, điểm này thì Starlight lại tốt hơn đồng giá cả tuần. Một điểm nữa là mình khá thích nước ADC kiwi, lần nào đi cũng order. Tóm lại, rạp phim tốt, mình sẽ ủng hộ thường xuyên.",8.0,7.0,8.0,8.0,9.0,None,0,hue,entertain,9/,
nhuynguyenbui,2018-01-04T22:39:00,Lotte Cinema - Big C,Nhân viên ở rạp dạo này ít nhiệt tình lại . Nhưng rạp mới ra combo bao phê luôn nha . 95k nước size siêu bự luôn . Nhưng mình nghĩ nên tăng bắp lên 1 xí . Sẽ dễ ăn hơn.,8.0,8.0,8.0,7.0,8.0,None,0,hue,entertain,9/,
pendragon.greenday,2017-07-24T16:01:00,Tệ hơn cả tệ.,"Đây là rạp phim chất lượng tệ nhất từ trước đến nay mình từng xem (trừ rạp Đông Ba ra). Trước khi mở rạp mình cũng mừng lắm, khỏi phải vào Đà Nẵng hay đi chơi SG tranh thủ xem phim. Nhưng mở ra thì thất vọng tràn trề: - Nhân viên được cái nhiệt tình, nhưng thiếu kinh nghiệm. - Giá vé chỉ ở mức ok, mình không đòi hỏi giá rẻ hơn, nhưng mình đòi hỏi một chất lượng cao hơn với giá ấy, trong khi đó, với giá chỉ hơn (khoảng) 20k, xem tại rạp CGV thì chất lượng gấp nhiều lần. - Chất lượng: chất lượng phòng chiếu chỉ ở mức trung bình, không chạy test âm thanh dolby 7.1 trước khi chiếu phim. Loa có âm bass quá yếu (cái này thì các cụm rạp lotte đều bị) khiến cho mình nhiều lúc phải bịt tai vì âm thanh quá chói. Ghế ngồi thấp (chưa đến mức bị che bởi đầu người trước nhưng hơi khó chịu), cái này do trần của toà nhà thấp trước nè. Túm cái quần lại là chất lượng kém, thua cả Lotte Đà Nẵng, làm mình cảm thấy kiểu cứ mở ra kiếm tiền là được mà không quan tâm đến chênh lệch chất lượng. - Gu phim: cái này là cái mình bực nhất. Rất nhiều phim hay (được đánh giá bởi giới điện ảnh), bom tấn không được chiếu. Trong khi đó lại chiếu rất nhiều phim mì ăn liền. Kiếm phim hay để xem cũng khó. Đành rằng là rạp phim mở ra để kinh doanh, nhưng vì ỷ bản thân rạp là độc quyền tại Huế mà muốn chiếu gì cũng được khiến mình rất tức giận. Thực ra mình cũng không định review đâu, nhưng mới đây thì các bạn ở rạp cư xử tệ quá nên mới vầy. Chuyện là tuần trước mình ib hỏi xem có chiếu Dunkirk không, đến tận 2-3 ngày sau mới rep mình, bảo không chiếu. Cuối cùng mình mua vé CGV và đặt xe vào Đà Nẵng hết rồi thì rạp lại up lên cái lịch chiếu với phim với cái poster và giờ chiếu phim Dunkirk chình ình. Mình bực không thể tả nổi cơ. Làm ăn thiếu trách nhiệm một cách kinh khủng. Mình cũng muốn tẩy chay rạp Lotte lắm nhưng khổ nỗi rạp độc quyền ở Huế (starlight chất lượng kém hơn, phim ít hơn nên không nói rồi), mình không thể không xem được. Mong rằng Vincom đang xây sẽ có CGV. Cám ơn những bạn đã đọc đến đây nhé.",1.0,1.0,1.0,1.0,1.0,None,0,hue,entertain,9/,
Thupham0806,2017-07-19T16:44:00,Lotte Cinema - Big C,"Quán nằm ở tầng 4 siêu thị Big C nên việc tìm kiếm rất dễ dàng .Điều đầu tiên cũng là điều mình thích nhất ở đây là nhân viên rất nhiệt tình,mình hỏi rất nhiều nhưng chị nhân viên vẫn trả lời rất nhẹ nhàng . Điều thứ hai mình thích ở đây là bắp rất ngon ,giá lại phải chăng. Vì mình ăn bắp vị phô mai nên có vị hơi mặn mặn,hơi ngọt ngọt lại còn rất thơm mùi phô mai nữa chứ.Điều thứ ba là màn hình để xem phim rất rộng nên coi cực kỳ rõ . Điều thứ tư là trong rạp rất sạch sẽ và thoáng mát . Điều thứ 5 là cực cực kỳ hợp với túi tiền ( lúc ấy mình đi là cỡ 80k/vé ) . Ở đây lại có rất nhiều chương trình giảm giá nên rất đông . Và vì đông quá nên nhiều khi đi tới xem thì phim hay đã hết chỗ rồi, nên rút kinh nghiệm trước khi đi thì mình lên trang chủ của lotte cinema huế để tìm phim hay sau đó thì lên mạng đặt vé . Chốt lại là : Cực kì thích",7.0,9.0,9.0,9.0,9.0,None,0,hue,entertain,9/,
nguyenthanhvu2708,2017-06-05T17:36:00,Lotte Cinema - Big C,Rạp tốt bự sạch đẹp Có anh bán bắp cao cao gầy gầy tóc undercut nhìn dễ thương Nhân viên trai xinh gái đẹp Sẽ tiếp tục quay lại ^^,9.0,9.0,9.0,9.0,9.0,None,0,hue,entertain,9/,
June2696,2017-01-05T22:52:00,Lotte Cinema - Big C,"Khá lâu rồi mới đi coi phim lại, tranh thủ có dịp mua đc vé 40k nên đi xem luôn đồng thời có phim hay nữa. Tiếc là mua nhưng không được áp dụng tặng thẻ cào may mắn. 😢😢 luôn tiện review luôn phim Sing, rất hay và ý nghĩa, hài hước pha lẫn xúc động, các nhân vật đáng yêu, xem phim mà nghe nhạc max đã. Tiếc là đang coi giữa chừng bị sự cố nên giảm đi hấp dẫn một phần nào. 😅😅",8.0,7.0,8.0,9.0,8.0,Chắc chắn,0,hue,entertain,9/,
thanhthaonguyen6945343,2016-11-12T22:22:00,Lotte Cinema - Big C,"Lotte Cinema là rạp chiếu phim lớn và chuyên nghiệp nhất Huế rồi còn gì. Thương hiệu lớn nên đi kèm chất lượng tuyệt vời Phim ở đây luôn cập nhật những phim mới ra rạp, đặc biệt là phim rạp Châu Á. CGV tuy lớn hơn Lotte nhưng nhiều phim Hàn CGV không chiếu. Lúc trước mình xem No Breathing cũng phải đi rạp Lotte Đà Nẵng mới có chứ CGV Đà Nẵng không chiếu Bắp và nước ở đây ngon, nhưng giá hơi bị chát )))) Các anh chị nhân viên của Lotte rất lịch sự, thân thiện, thái độ phục vụ chuyên nghiệp.",8.0,7.0,8.0,8.0,8.0,None,0,hue,entertain,9/,
duyduyduy30102000,2016-11-01T21:43:00,Lotte Cinema - Big C,"Có một dịp để đi coi phim thật là đã,. . . Coi vừa vui lại vừa có thể uống nước ăn bắp rang bơ . . . Thật là hiện đại và vô cùng thoải mái . . . So với không gian phải ngồi chật chội ở nhà coi phim . . . Thì ra rạp xem đúngblaf có bỏ tiền ra có khác . . . Nó chi tiết hơn . . . Hay hơn và đặc biệt là sớm hơn đồng thời lại có dịp giao lưu họp mặt cùng những đứa bạn It 's so good and I so like",8.0,8.0,8.0,8.0,8.0,None,0,hue,entertain,9/,
congchloe1997,2016-08-05T12:04:00,Cực đã!!!,"Oánh nhau, xả súng cực chất... mà phim này nhiều thể loại hay sao ý lúc dram, lúc action, lúc gì đó thì các bạn NÊN đi xem để ko lỡ mất một bộ phim 💣💣💣 tấn Giá như rạp có suất chiếu 3D thì sẽ đi xem lại lần nữa ahihi 👍👍👍",7.0,5.0,9.0,7.0,7.0,None,0,hue,entertain,9/,
