user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
j30unc3,2017-12-15T13:29:00,K nên đến địa điểm này,"Mình muốn mua mắm tôm chua đc taxi giới thiệu đến đây, bước vào quán khá là bất ngờ vì mắm tôm chua k phải của hãng thiên hương, nhân viên trông rất gian, mình qua hỏi mè xửng thì giá là 60k mà mình mua ở cơ sở chính có 38k, đắt gần gấp đôi. Dù đây là đại lý của thiên hương nhưng nói dối mình là trụ sở chính để bán hàng, và bảo chỗ chi nhánh chính k bán nữa r còn bán hàng giả. Mình quá là thất vọng luôn Các bạn muốn mua thì qua chi lăng trụ sở chính hoặc ở phố đi bộ nhé",1.0,1.0,1.0,1.0,1.0,Không,0,hue,shop,54/84/,45/
mkaykhoi,2016-01-16T17:31:00,Thiên Hương - Shop Đặc Sản Cung Đình,"Mình vào quán này để ăn chè, nhưng phát hiện nơi đây bán rất nhiều loại. Trà cỏ ngọt ở đây rất ngon làm mình cứ liên tưởng đến Đà Lạt. Còn có thêm rượu Minh Mạng, uống giống như dầu cam thảo, uống ấm ấm. Chè ở đây ngon, tuy nhiên hạt đậu nấu chưa chín nen ăn vẫn còn bị sượng.",7.0,7.0,8.0,8.0,8.0,None,0,hue,shop,54/84/,45/
namlun_mobile_12,2015-10-20T01:00:00,Thiên Hương - Shop Đặc Sản Cung Đình,Tụ tập hết bao nhiêu đặc sản ở đây luôn. Nếu du lịch hay đi học cần mua quà thì đây là một nơi lý tưởng vì ngoài bánh kẹo còn có nhiều loại đồ khác đặc trưng huế. Còn cho thử nữa. Phục vụ khá thân thiện nên khách thấy rất thoải mãi và tìm được loại mà mình cần.,8.0,7.0,8.0,7.0,7.0,None,0,hue,shop,54/84/,45/
hoangminhdang,2014-12-21T18:18:00,Đặc sản Huế,Shop này có nhiều đặc sản huế cung đình. Hầu hết khách du lịch hay qua đây mua,7.0,7.0,7.0,7.0,7.0,None,1,hue,shop,54/84/,45/
foodee_66ahkqgv,2023-10-08T17:14:00,Moka Kafe -***,10 điểm cho chất lượng 🤩🤩🤩,5.0,5.0,5.0,5.0,5.0,None,0,hue,shop,54/84/,
nguyenduyen.1143,2017-08-04T18:12:00,Chợ Xép,"Ghé chợ xép để ăn bánh canh nam phổ, chè heo quay, và mấy món ăn vặt đồ nữa. Nhưng lúc đến mình chỉ thấy gánh bánh canh mở :'( Bánh canh nam phổ 5k/1 tô nhỏ nhỏ, nhiều chả. Bánh canh ăn cũng ngon, mình thích mấy miếng thịt chả :33 so ra thấy rẻ mà nhiều nữa. À cô bán vỉa hè nên ko cần gửi xe làm gì, tụi mình ko biết, mò vô chợ nên tốn 5k gửi xe luôn hic -_-",7.0,10.0,10.0,7.0,6.0,Chắc chắn,0,hue,shop,19/,45/
nhungnhungg1764,2020-10-08T10:12:00,3B Sản Phẩm Sạch An Toàn Cho Mọi Nhà,"Thức ăn ngon, giá ok mà chất lượng số 1 luôn. Mng nên thử đi ạ, đáng đồng tiền lắm...chủ và nhân viên ở đây best dễ thương ❤️",10.0,10.0,10.0,10.0,10.0,None,0,hue,shop,54/84/,45/
notnhacnho92,2020-05-09T12:03:00,"Ngon, sạch sẽ","Ngon ơi là ngon. Cơm ngon, canh ngon, đồ ăn ngon. Ếch bóp với ếch rô ti mình hay ăn. Ếch bóp phù hợp cho mấy bạn thích ăn cay vì bóp thấm, cay. Đánh giá 5 sao cho quán.",9.0,9.0,10.0,10.0,9.0,None,0,hue,shop,54/84/,45/
kimtuyen.27,2019-11-19T16:29:00,Món ăn ở đây thật tuyệt,"Hãy đến thử và cảm nhận nhé, tuyệt lắm nghe mọi người. Mình cũng ít ăn những món này, 1 lần nghe con bạn cùng phòng xử đặt thế là mình order luôn, cảm giác nhưu mong đợi. Đồ ăn sạch sẽ, trông ngon phết, đúng như tên quán sản phẩm sạch :))) Ở đây có món xôi xéo và ếch bóp rất ngon, nhất là phần ếch, bóp rất thấm, hòa quyện cũng thớ thịt mềm mềm đậm vị là đã lắm luôn. Nay quán có bán thêm cơm buổi trưa nữa, mình order 1 phần cơm gà quay giá là 35k và cơm gà xé bóp cũng 35k luôn. ăn rất đáng vưới 35k mình bỏ ra nha, ngon lắm luôn :)))",7.0,8.0,9.0,8.0,8.0,None,0,hue,shop,54/84/,45/
foodee_e27zx3h2,2019-10-06T12:26:00,Chưa hài lòng,"Rất thích uống trà đào của quán. Nhưng hôm nay đặt 1 ly trà đào ko đào, nhiều nước mà quán ko thêm gì. Vẫn lấy giá cũ 25k, dù không bao nhiêu nhưng thấy không hài lòng.",5.0,4.0,5.0,1.0,3.0,None,0,hue,shop,54/84/,45/
thuy.trinh,2019-08-06T18:58:00,3B Sản Phẩm Sạch An Toàn Cho Mọi Nhà,"Quán ni mình hay order về ăn nè. Đồ toàn là bà chủ tự làm, nguyên liệu sạch an toàn cho sức khỏe. Menu thì đa dạng từ ăn vặt đến đồ uống. Có xôi xéo, bò kho, trà đào các thứ. Gía khá rẻ, ăn hằng ngày đc. hehe",8.0,8.0,8.0,8.0,8.0,None,0,hue,shop,54/84/,45/
traciie10,2019-08-01T21:04:00,Thức ăn rất tệ,"Mình đặt 1 ly chè bưởi thôi nhưng ly chè cũ, bị chua, hỏng. Mình đã bỏ đi ko dùng được, và ly chè ít hơn so với những chỗ khác cùng mức giá.",5.0,2.0,1.0,5.0,5.0,Không,0,hue,shop,54/84/,45/
vungoc1481,2018-08-24T12:18:00,Làm ăn thất đức,Mua về thấy lạc trong kẹo bị hỏng thì có ăn nổi không. Làm ăn ntn quá mất uy tín,2.0,1.0,1.0,2.0,2.0,Không,0,hue,shop,54/84/,2/
biaghi.love,2016-07-31T17:45:00,Bánh kẹo đặc sản xứ Huế,"Cơ sở sản xuất kẹo mè xửng Nam Thuận nổi tiếng xứ Huế, có nhiều loại như mè xửng dẻo, mè xửng giòn, kẹo mè đen, mè trắng, kẹo đậu phộng, bánh đậu xanh, kẹo kéo, kẹo gừng, kẹo cau, nhiều loại bánh kẹo đặc sản nữa, theo mình kẹo ở đây không thua mấy Thiên Hương về chất lượng lẫn độ tin cậy của khách hàng, thường thường người hay mua nhiều thì mua ở đây còn Thiên Hương thì chủ yếu có danh tiếng nên khách du lịch mua nhiều hơn. Thấy lúc mô quán cũng đông khách đến mua, đứng đợi rồi ai cũng xách cả bao to mang về.",7.0,8.0,8.0,7.0,5.0,None,1,hue,shop,54/84/,2/
staaaaar,2018-01-05T13:07:00,K-Mart - Siêu Thị Hàn Quốc,"Giá cả quá chát,mình đặt hàng qua các shop online rẻ hơn rất nhiều.Một gói mì cay giá cao hơn shop online gần 10k.Chưa kể bán đồ Việt Nam cũng mắc..sao nhiều bạn khen thế nhỉ",7.0,1.0,6.0,5.0,5.0,Không,0,hue,shop,80/,12/
quynhanhhottest,2017-03-24T21:47:00,K-Mart - Siêu Thị Hàn Quốc,"Giá cả rất chát luôn nhé! Nhưng chất lượng ok lắm. Kem dưa hấu rất ngon 23k Tokk phô mai ăn béo, ngọt và cực nhiều phô mai luôn 45k 😭 Nói chung mình thấy mart bán đồ khá chất lượng và đa dạng, đúng chuẩn Hàn Quốc. Mình còn mua thêm mấy loại sữa hộp Hàn Quốc: sữa chuối. sữa óc chó mè đen, sữa đậu nành..... mà quên chụp mất. Sữa óc chó cực béo luôn, mà hơi khó uống so với khẩu vị của mình, khoái nhất là sữa chuối, cực ngonnnnnnnn",7.0,7.0,7.0,7.0,8.0,None,0,hue,shop,80/,12/
pejuni1007,2017-02-04T22:10:00,K-Mart - Siêu Thị Hàn Quốc,"Không gian của siêu thị nhỏ nhỏ xinh xinh, đồ ăn và nước uống thì khỏi phải bàn. Mặc dù các sản phẩm là đồ hàn quốc nhưng tương đối bình thường không quá đắt",9.0,9.0,9.0,8.0,8.0,None,1,hue,shop,80/,12/
nhqun9869,2016-12-18T21:38:00,K-Mart - Siêu Thị Hàn Quốc,Mỗi lần thèm đò hàn quốc là ts kmart. Đồ ở đây rất phong phú cái gì cũng có và made in korea 100% nên rất yên tâm và kh tiếc tiền khi mua. Nhân viên ở đây phải nói là rất thân thiện cười ns vui vẻ ns năng lịch sự đàng hoàng. Vì giá cả ở hàn quốc khác việt nam nên như thế là vừa phải kh quá mắc đâu. Đồ ăn cái gì cx ngon. Bước vào là choáng ngợp đồ như 1 cái siêu thị tiện lợi trong phim bên hàn như đúc.,8.0,8.0,10.0,8.0,8.0,None,1,hue,shop,80/,12/
mytrann,2016-12-13T20:44:00,K-Mart - Siêu Thị Hàn Quốc,"K-mart thì mình thấy có cả ở đường Trần Cao Vân, nhưng mà K-mart Bến Nghé này nhiều hàng hóa hơn, có thêm nhiều sự lựa chọn :))) Ở đây toàn hàng nhập khẩu, chủ yếu là ở Hàn Quốc, có 1 số ít nhập ở Thái Lan. Vì là hàng nhập khẩu với thêm mức giá tiền ở HQ cao hơn VN nên giá cả ở đây khá cao. Mua 2 - 3 món ăn vặt thôi cũng cả trăm rồi 😂😂 Nên lâu lâu vào lượn mua thì đc, chứ tuần vào mấy lần chắc sạt nghiệp )) Mấy chị bán hàng mình thấy ko nhiệt tình lắm, mặt hơi bị vô tâm :v :v",8.0,6.0,9.0,6.0,8.0,Có thể,1,hue,shop,80/,12/
nhuynguyenbui,2016-11-18T09:49:00,K-Mart - Siêu Thị Hàn Quốc,Ở huế thì chắc chỉ có k-mart bán đồ hàn quốc. Nhân viên thì phục vụ rất tốt và nhiệt tình .vif là đồ hàn nên giá cũng có hơi cao . Nhưng đồ thì rất chất lượng .,8.0,8.0,8.0,8.0,8.0,None,0,hue,shop,80/,12/
thanhthaonguyen6945343,2016-11-12T23:44:00,K-Mart - Siêu Thị Hàn Quốc,"Nằm trên đường Bến Nghé gần trung tâm thành phố nên mình cũng hay ghé qua mua đồ vì cực thích ẩm thực Hàn Quốc. Rất nhiều khách du lịch cũng ghé qua đây để mua sắm Siêu thị rộng, mẫu mã hàng hoá rất đa dạng. Nào là snack, mì ăn liền, bánh kẹo, kem, sữa, ... Tất cả đều là đồ nhập khẩu từ Hàn Quốc nên chất lượng khỏi phải bàn. Giá hơi chát vì toàn đồ nhập khẩu hết mà. Nhân viên ở đây lịch sự và tư vấn chọn sản phẩm cho khách cực thân thiện, nhiệt tình",8.0,6.0,8.0,8.0,8.0,None,0,hue,shop,80/,12/
nhqun9869,2016-10-27T23:08:00,K-Mart - Siêu Thị Hàn Quốc,"Đồ HQ hết nhìn lóa cả mắt. Đồ cx rẻ mà toàn đồ ngon. Chủ vui tính, chọn lựa mua thoải mái. Không gian mát mẻ đẹp",6.0,8.0,8.0,7.0,8.0,None,1,hue,shop,80/,12/
blue_stars795,2020-05-26T16:56:00,"Lừa đảo, bán giá không đúng như menu, nem bị hư","Ngày chủ nhật 24/05/2020, mình có ghé mua nem chua ở đây, mình thấy bảng giá ghi là 60.000 /neme chua, nhưng khi mình mua giá lại là 80.000, chả heo là 140.000/1kg nhưng giá mình mua lại là 200k/1 kg, mình nghĩ chỗ này uy tín nên giá có thể thay đổi nhưng chủ quán chưa cập nhật, sau khi mua về mình để tủ lạnh trong khách sạn ngay và khi mang về đến nhà mình bóc ra ăn ngay thì bị nhớt. mình nghĩ có thể do nem chưa đủ chua nên mình để tủ lạnh qua hôm sau, nem vẫn nhớt, mình để 2 hôm nữa trong tủ lạnh thì nem bị mốc trắng. Mình vứt hết toàn bộ nem đã mua, nem mình mua cho công ty cũng y chang như vậy. Chỗ này làm ăn lừa đảo, mất dạy!",1.0,1.0,1.0,1.0,1.0,None,0,hue,shop,54/84/,38/
maggiesuzzan,2014-02-04T09:50:00,Nem Chả Tré Đông Ba,"Tết này được trong Huế gửi ra vài chục cái Tré Đông Ba ăn chơi. Tré Huế khác biệt duy nhất với các loại nem khác ở các vùng miền là không có tỏi và ớt, đây là một món ăn truyền thống của người Huế và đặc biệt hơn vào những ngày Tết này. Tré được cuốn trong vài lớp lá chuối, có một lớp nilon ở giữa nhằm làm cho tré chín, thông thường từ khi làm xong phải đợi hơn 3 ngày thì tré mới có thể ăn được. khi tré chín có thể để trong tủ lạnh bảo quản và khi ăn lạnh cũng ngon.",6.0,7.0,8.0,7.0,6.0,None,1,hue,shop,54/84/,38/
maggiesuzzan,2014-01-30T09:50:00,Nem Chả Tré Đông Ba,S - Việt Nam Hương vị cuộc sống.,7.0,7.0,7.0,7.0,7.0,None,0,hue,shop,54/84/,38/
maggiesuzzan,2014-01-10T09:30:00,Nem Chả Tré Đông Ba,"Ngon, uy tín.",7.0,7.0,8.0,7.0,7.0,None,0,hue,shop,54/84/,38/
anniephan850615,2020-01-31T18:46:00,Thất vọng!,"Mình mua một đòn chả bò giá 300.000 VND ở đây hôm nay. Về nhà cắt ra còn sống chưa chín rồi mình gọi để đổi thì bà Vĩnh nói là tự nấu chín lại mà ăn. Mình nói mình ơi khách sạn ko có xong nồi, mình muốn đến đổi lại. Bà nói lấy nước sôi trụng lại chín rồi ăn. Các bạn có nghĩ chả sống còn máu chảy ra mà đem nước sôi trụng có chín nổi ko. Nên phải vứt luôn đòn chả 300K. Rồi bà tắt máy cái cụp...",1.0,1.0,1.0,1.0,1.0,None,0,hue,shop,54/84/,45/
nhuynguyenbui,2018-03-08T11:19:00,Quầy Trái Cây Nhà Kelvin,❤,8.0,8.0,8.0,8.0,8.0,None,0,hue,shop,54/84/,45/3/
nhuynguyenbui,2018-02-15T09:47:00,Quầy Trái Cây Nhà Kelvin,Quán bán nhiều loại trái cây và bánh kẹo lạ lắm nha . Mình chưa thử trái cây . Mới thử mua bánh thôi . Bánh đa dạng lắm . Giá từ 4k đến 15k thôi . Chị chủ nhiệt tình .,8.0,8.0,8.0,8.0,8.0,None,0,hue,shop,54/84/,45/3/
tramnguyen0310,2018-01-23T15:13:00,Quầy trái cây nhà Kelvin,"Mình rất hay mua trái cây và đồ ăn vặt ở đây, giá cũng vừa phải mà chất lượng đồ ăn rất là ngon, vì đa số ở đây là đồ nhập khẩu từ các nước, nên đồ rất là ngon. Ở đây chị chủ rất dễ thương, mua hàng khi nào cũng được khuyến mãi thêm cái này cái kia, hiihi Mít sấy, khoai sấy, trái cây sấy,nho úc, táo mỹ... ..là những món mình hay ăn,đại ngon Sẽ quay lại nhiều lần",8.0,8.0,8.0,8.0,8.0,None,0,hue,shop,54/84/,45/3/
gacontb97,2017-12-14T20:03:00,Quầy Trái Cây Nhà Kelvin,"tới quầy cái đập vào mắt tùm lum trái cây với đồ ăn vặt nhiều dễ sợ , ưa hốt hết mà đem về luôn huế mình cũng ít thấy chỗ bán trái cây sạch kiểu này , lâu lâu tới hốt một giỏ sách về ăn xem phim thì khỏi phải bàn luôn nói chung ngon , sạch , chất lượng",8.0,8.0,8.0,8.0,8.0,None,0,hue,shop,54/84/,45/3/
chaunguyenbach,2017-12-14T16:58:00,Quầy Trái Cây Nhà Kelvin,"Quầy trái cây mới mở ở đường Ngô Gia Tự nè, bán các loại trái cây lạ như lựu ấn độ, cherry, cam vinh, bưởi da xanh,... ngoài ra còn bán các đồ ăn vặt như đậu ngũ vị, trái cây sấy,... và các món ăn vặt nhập khẩu từ đài loan nữa. Bạn nào mà có máu ăn vặt như mình thì ko thể bỏ qua quán này luôn nha. Mới vô nhìn quầy hàng toàn bánh trái mà độc, lạ là thấy mê rồi. Gần tết rồi đến đây mua bánh trái về ăn tết luôn cũng ok.",8.0,8.0,9.0,8.0,8.0,None,1,hue,shop,54/84/,45/3/
huynhquangminh15011996,2017-12-14T16:20:00,Trái cây nhà,"Thời buổi này vệ sinh an toàn thực phẩm, đặc biệt là trái cây được người tiêu dùng chú trọng. Cho nên quầy trái cây nhà Kelvin là một địa chỉ đáng tin cây cho mọi nhà với sự đa dạng các loại trái cây, đồ sấy khô,... giá cũng ko phải quá cao.",8.0,10.0,10.0,10.0,7.0,Chắc chắn,0,hue,shop,54/84/,45/3/
ynhi4953,2017-12-14T16:17:00,Quầy Trái Cây Nhà Kelvin,"Giờ mà tìm được quầy trái sạch với trái cây nhập khẩu để yên tâm mua là khó lắm nè. Tới đây cú yên tâm gửi gắm sức khỏe luôn. Ngoài trái cây ra còn ti tỉ món ăn vặt ""bào mòn"" túi tiền của tuôi huhu. Đợt nào có tiền qua đây hốt một mớ về gặm nhấm hihi",8.0,8.0,8.0,8.0,8.0,None,0,hue,shop,54/84/,45/3/
tiennguyen.709,2017-12-14T09:44:00,Quầy Trái Cây Nhà Kelvin,"Mới phát hiện ra 1 shop nhỏ mà có võ nè, shop này bán toàn mấy món ăn vặt mới nhìn vào mà mê rồi, được nhập khẩu từ Đài Loan là chủ yếu, yêu thích nhất là mấy loại bánh phô mai minisize, bánh donut, mochi, các loại trái cây sấy khô. Giá mấy loại như trên thì chỉ 5-16k/bì thôi. Ở đây cũng nhập câc loại trái cây cao cấp về, hỏi rồi nên thấy giá không cao lắm, tùy mặt hàng nữa. Thi cử hay stress là hay lượn qua đây lắm!",8.0,8.0,9.0,8.0,7.0,None,0,hue,shop,54/84/,45/3/
nguyenthibichtram10061995,2017-12-14T09:33:00,Quầy trái cây nhà Kelvin,"Mình thật sự rất thích ăn trái cây nhà, ở Huế giờ hiếm để kiếm được một tiệm trái cây nào bán toàn đồ nhà cả Vô tình lượn lượn phát hiện được quầy trái cây nhà Kelvin này Mình phải nói không chỉ trái cây nhà tươi ngon mà còn là một thế giới ăn vặt, bánh kẹo...... Không thiếu thứ gì. Ở đây tất cả đều là hàng nhập khẩu từ Đài Loan, mỹ, thái lan.... Nên chất lượng khỏi bàn, giá cũng ok. Chỉ muôn rinh tất cả bỏ vào giỏ thôi mà điều kiện không cho phép 😂😂😂😂",9.0,8.0,9.0,9.0,7.0,None,0,hue,shop,54/84/,45/3/
