user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_aw6wy54l,2024-06-18T10:40:00,Trà Sữa S+ - Văn Giang,Rất tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,all,23/67/,3/
foodee_aw6wy54l,2024-06-18T10:24:00,Nguyên Cafe - Yên Mỹ,Rất hai long,5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,all,23/67/,31/
foodee_aw6wy54l,2024-06-18T10:10:00,Lẩu Á Châu - Phố Nối,Rất tuyệt voi,5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,all,77/,43/
foodee_aw6wy54l,2024-06-18T10:09:00,Lẩu Á Châu - Phố Nối,Rất tuyệt voi,5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,all,77/,43/
foodee_aw6wy54l,2024-06-18T10:09:00,Lẩu Á Châu - Phố Nối,Rưt tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,all,77/,43/
foodee_aw6wy54l,2024-06-18T10:07:00,Lẩu Á Châu - Phố Nối,Rất tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,all,77/,43/
tienhieu14,2017-12-05T14:29:00,"Lẩu ngon, nhiều loại lẩu. Đồ tươi",Hôm nay pọn mình ăn lẩu cá giòn. Ưng. Thích cả món ba chỉ rang của nhà hàng nữa nên ăn lẩu chán chê mấy đứa gọi ba chỉ rang và canh cua cà. 😂,9.0,10.0,10.0,10.0,10.0,Chắc chắn,0,hung-yen,all,77/,43/
maihuong_nguyen8788,2017-12-05T11:44:00,Món ăn ở đây đúng là rất ngon!,"Đồ ăn ngon, giá rẻ. Tuy nhiên đi từ ngoài đường thì quán hơi khó tìm, nếu không để ý kỹ sẽ không thấy quán.",7.0,8.0,9.0,9.0,8.0,Chắc chắn,0,hung-yen,all,77/,43/
maihuongdm,2017-10-11T15:40:00,Lẩu Á Châu,"Đồ ăn ở đây khá rẻ. Hôm nay mình ăn cá xào nấm, mình thấy khá ngon, Quán mới, phục vụ nhiệt tình. tuy nhiên quán hơi đông khách. Có lẽ lần sau mình sẽ ngồi phòng VIP, không gian riêng tư hơn.",8.0,9.0,9.0,8.0,8.0,Chắc chắn,0,hung-yen,all,77/,43/
hitc2812,2017-10-09T18:53:00,Lẩu Á Châu,"Mình mới ăn ở đây hôm qua, quán đang giảm giá 10%. Đồ ăn ngon và rẻ. Cả nhà 4 người đi ăn no càng mà hết có 260k. Duyệt.",10.0,10.0,9.0,9.0,9.0,Chắc chắn,0,hung-yen,all,77/,43/
foodee_aw6wy54l,2024-06-18T10:06:00,Hà Nội Phố Cafe,Rất tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,all,23/67/,45/
foodee_aw6wy54l,2024-06-18T10:06:00,Hà Nội Phố Cafe,Rất tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,all,23/67/,45/
foodee_aw6wy54l,2024-06-17T17:52:00,Nhà Hàng Số 2,Rất tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,all,48/,45/
foodee_pcie6rps,2024-06-01T17:19:00,Lotte Hotel Saigon - Buffet Atrium Café,"( Nhân viên nhiệt tình, món ăn ngon, món lên nhanh, sẽ quay lại )",5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,all,49/58/,29/
foodee_pcie6rps,2024-06-01T17:16:00,J-FIRST Tokyo- Japanese Hair salon,"(Chất lượng, phục vụ tận tình❤️)",5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,all,49/58/,29/
foodee_pcie6rps,2024-06-01T17:07:00,"(Món ăn ngon, phục vụ tuyệt vời, mọi người đến thử nhé!)","(Món ăn ngon, phục vụ tuyệt vời, mọi người đến thử nhé!)",5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,all,49/58/,29/
foodee_oxyrbw9a,2022-10-13T16:50:00,Tiệm Bánh Toàn Lộc,Bên mình có ship ko ạ,5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,all,90/,45/
thuhuyn0751,2016-06-22T19:33:00,Ngon và đẹp,Có lẽ cửa hàng bánh này là cửa hàng bánh đầu tiên và lâu năm nhất ở Hưng Yên. Cửa hàng nằm ngay ở ngã tư đường Điện Biên I. Cửa hàng luôn tìm hiểu thêm nhiều mẫu mới. Lần nào có sự kiện cũng vào đây đặt bánh. Nói chung là ngon hết nấc ấy 😍,10.0,8.0,9.0,7.0,5.0,None,0,hung-yen,all,90/,45/
talachan_97,2016-02-16T14:05:00,Tiệm Bánh Toàn Lộc,"đồ ăn ngon lắm ý, thích ăn bánh ở đây lắm, giá cả hợp lí, quán ở ngay ngã tư nhìn cái là thấy luôn",8.0,9.0,10.0,8.0,5.0,None,0,hung-yen,all,90/,45/
mow9795,2015-11-21T15:49:00,"Bánh ngon, rẻ","Mình thử khá nhiều loại bánh ở đây rồi, nhìn chung giá vừa tầm và khá đúng gu mình ^^ bánh hạnh nhân rất đáng để thử. Có điều không thể ngồi đây ăn được, bắt buộc phải mua về thôi vì của hàng bé xíu à :))",9.0,9.0,9.0,8.0,3.0,Chắc chắn,1,hung-yen,all,90/,45/
nguynthngchn,2020-09-23T15:20:00,Hương Quỳnh - Bún Đậu Riêu Cua,"GIÓ ĐÔNG VỀ RỒI, NGÀY MAI MÌNH CÙNG ĐI ĂN BÚN RIÊU NHÉ! ___ #JNinHungYen #JNinHungYen_food . 👉Fanpage: JN Foodie (JN.Foodie) 👉Instagram: @JN.Foodie ___ ✔Không gian quán: Quán nằm ngay mặt đường Nguyễn Thiện Thuật, không gian quán rộng rãi thoáng mát, có thể để xe thoải mái. . ✔Phục vụ: Quán mang tính chất gia đình nên người phục vụ chủ yếu là người trong gia đình. . ✔Đồ ăn: Quán có bún riêu cua và bún đậu, mỗi lần JN đến thường kêu một tô bún riêu cua full topping gồm có: Đậu, chả, giò, mọc, cà chua. Điều làm quán lúc nào cũng đông khách có lẽ do nước dùng chuẩn vị bún riêu Hà Nội, nước dùng ở đây có vị chua của dấm hòa quyện với vị ngọt nhẹ của cua đồng. . Cua được giã nhỏ rồi cho vào nước, lọc lại thật kĩ rồi mới gạn phần nước cua vào nồi, đun lửa liu riu cho đến khi riêu cua nổi lên thành từng mảng. Nhìn nồi nước dùng đỏ au màu cà chua, lấp lánh những tảng riêu cua vàng rực. . Quán còn có cả bún riêu cua thêm bò, nếu bạn là fan của thịt bò thì đừng ngại ngần oder thêm thịt bò nhé. . 🔻Thông Tin Về Quán🔻 . 🏠38 Nguyễn Thiện Thuật, TP.Hưng Yên 🕛5h - 10h 💲30k – 50k . 🌟9/10 . 💓Nhớ tag bạn bè cùng đi khám phá quán nhé !!!",10.0,9.0,10.0,10.0,9.0,None,0,hung-yen,all,77/,31/42/48/
nguynthngchn,2016-07-10T07:17:00,Bún Đậu - Riêu Cua Hương Quỳnh,"Quán phục vụ nhanh, đông khách. Cô chủ nhiệt tình, giá cả cũng ổn. Có trà đá nên có thể gọi thêm. Quán làm cũng sạch sẽ, thoáng mát.",8.0,7.0,8.0,8.0,8.0,Chắc chắn,1,hung-yen,all,77/,31/42/48/
foodee_16u0bvjj,2021-03-08T13:30:00,Còn ko ạ,Còn ko ạ,5.0,5.0,5.0,5.0,5.0,None,1,hung-yen,all,49/58/,31/42/48/
nguynthngchn,2019-10-20T21:14:00,Bún Đậu Gánh,"VỀ HƯNG YÊN, NHẤT ĐỊNH PHẢI THỬ BÚN ĐẬU GÁNH 😊😊😊 ___ #JNinHungYen #JNinHungYen_food . 👉Fanpage: fb/JenlyNguyen1305 👉Instagram: @JenlyNguyen_fnd ___ ✒Mỗi lần về Hưng Yên, Jenly ít nhất phải ghé quán 1 lần. ✒Jenly ăn ở rất nhiều quán rồi nhưng ko ở đâu có nước chấm ngon bằng ở đây. ✒Cô bán hàng cũng chục năm rồi, hồi trước cô hay gánh đi rong quanh thành phố, đâu gọi thì cô đến, gần đây cô mới nhờ được chỗ vỉa hè của hàng quần áo nên ngồi cố định ở đây luôn. ✒Mặc dù gánh vỉa hè nhưng rất sạch sẽ và ngon nha. Lúc nào quán cũng đông khách. Jenly thích nhất mỗi sáng ra đây đậu lúc mào cũng nóng hôi hổi. Ở đây lúc nào có khách bắt đầu cô mới rán đậu. ✒Trước cô bán mỗi đậu thôi nhưng giờ có thêm chả nem và chả cốm. ✒Lúc nào ra cô mới pha mắm, mỗi khi pha xong cô cho thêm 1 thìa dầu trong chảo đang sôi sùng sục chào bát mắm tôm, ngoái lên nhìn rất bắt mắt nha. ✒Cô bán hàng thì dù đông hay vắng cũng rất nhẹ nhàng với khách, gắn bó với cô gần chục năm rồi chưa bao giờ Jenly thấy cô cáu gắt hay gì với khách cả dù đông đến mấy cũng luôn vui vẻ với khách. 🚫 Lúc nào đông khách ngồi chờ rất lâu. Vì có một mình cô làm thôi nên Jenly rất thông cảm cho cô. 🔻Thông Tin Về Quán🔻 . 🏠Vỉa hè 81 Điện Biên I, Hưng Yên (Bên hông shop Thảo Uyên, đối diện bún đậu Hương Quê) 🕛 6h - 11h (Có thể sớm hoặc muộn hơn) 💲10k - 35k . 🌟9.5/10 . 💓 Nhớ tag bạn bè đi khám phá quán ngay nào !!!",10.0,10.0,10.0,10.0,8.0,None,0,hung-yen,all,49/58/,45/
nguynthngchn,2020-06-21T14:45:00,"Chân Gà, Cánh Gà Nướng","QUÁN CHÂN GÀ GẮN VỚI TUỔI THƠ CỦA JN ___ #JNinHungYen #JNinHungYen_food . 👉Fanpage: fb/JNGTown 👉Instagram: @jn.foodie ___ ✒Quán chân gà nướng JN cũng không nhớ có từ bao giờ 😂 JN chỉ nhớ là hồi JN còn bé quán đã mở rồi thôi. Trải qua vài lần chuyển nhà thì giờ quán đã cố định ở Tây Thành. ✒Không ngoa khi nói rằng đây là quán chân gà ngon, có tiếng trên địa bàn thành phố. Rất nhiều quán mở chân gà nướng giống với ở đây, biển hiệu, quảng cáo có nhưng rồi cũng đóng cửa dần dần. Duy nhất ở đây tồn tại được lâu nhất, không cần biển hiệu hay quảng cáo gì rầm rộ khách vẫn đến nườm nượp. ✒Quán không có menu, món ăn của quán đơn giản chỉ có chân gà, cánh gà nướng và hoa quả theo mùa. Chân gà, cánh gà nướng ở đây sau khi tẩm ướp mới nướng trực tiếp, quán không ngại ngần để lò nướng ngay ngoài để khách hàng có thể xem nếu thích. Chân gà, cánh gà đều được nướng nguyên chiếc, quán sẽ mang tận nơi cắt để khách tiện kiểm tra xem có bao nhiêu chân/cánh. ✒Quán tẩm ướp đặc trưng với mật mong khiến chân gà, cánh gà ở đây vị không thể lẫn với hàng nào cả. Da gà dai giòn, thịt bên trong chín tới chấm với tương ớt vừa ăn xừa phải xuýt xoa ""Ôi ngon quá"". ✒Nước chấm của quán cũng rất đơn giản: Tương ớt, đường, lá chanh và quất, không cần phải nước chấm gì xa xôi nhưng vị thì không thể chê được. ✒Quán bố trí chỗ ngồi ở vỉa hè, chỉ đơn giản là bàn và ghế nhựa. Ở Tây Thành đường chưa lắp nhiều đèn nên hơi tối :3 🛵 Chỗ để xe 🚘 ✒Quán có thể để ô tô và xe máy được. 🔻Thông Tin Về Quán🔻 🏠 10 Tây Thành, TP. Hưng Yên 🕛 20h đến hết 💲~100k/người . 🌟9/10 . 💓 Tag bạn bè để cùng đi khám phá nhé!",9.0,9.0,10.0,8.0,7.0,None,1,hung-yen,all,49/58/,45/
01234521769,2018-10-07T11:58:00,Thất vọng,"Gọi ship thì thái độ lồi lõm, không tôn trọng khách hàng. Địa chỉ thì sai cả chục km, taxi còn không biết chỗ, cách Trường Tiểu Học Cương Chính gần 10km mà ghi gần 100m. Quá thất vọng",1.0,1.0,1.0,1.0,1.0,None,0,hung-yen,all,77/,3/
Lyle1996,2019-04-18T10:34:00,Ốc Xào Sinh Béo,"Mình đã ăn ở quán này mấy lần. Thực sự rất ngon. Các món ốc rất tuyệt vời, sạch sẽ. Chủ quán và nhân viên rất nhiệt tình. Lần nào muốn ăn ốc cũng ra quán này😊😊😊 giá khá hạt rẻ",10.0,10.0,10.0,10.0,10.0,None,1,hung-yen,all,77/,45/
nguyenminhkhuyen,2017-12-09T22:35:00,Yêu GoTeaz,"Yêu GoTeaz. giá hợp túi tiền hs, menu đa dạng phong phú, chất lượng và rất ngon",10.0,10.0,10.0,10.0,10.0,None,1,hung-yen,all,23/67/,11/
foodee_nj3wogyl,2021-12-26T12:32:00,Tôi muốn đặt hàng mà họi theo sdt trên ko thể liên lạc đc,Tôi muốn đặt đồ ăn,10.0,10.0,10.0,10.0,10.0,None,0,hung-yen,all,48/,10/
linhlethithuy,2017-07-30T11:37:00,Ổn,"Quán ngay mặt đường Điện Biên - phố ăn uống nên dễ biết địa điểm, cũng tiện qua các quán ăn hoặc đồ uống khác. Phục vụ viên nhanh nhẹn, lịch sự. Không gian không rộng lắm nhưng sạch sẽ, điều hòa mát rượi. Chất lượng món ăn thì cũng như trong hệ thống, khá ổn. Quán khá đông. Phù hợp ăn gia đình hoặc tụ tập bạn bè. Điều khiến mình có thể quay lại nơi đây là phong cách phục vụ lịch sự của quán và không gian thoáng mát, sạch sẽ. Khi ăn xong thường sẽ có chị gái ra xin ý kiến điền phiếu khảo sát. Nếu ko vội cũng nên phản hồi để quán hoàn thiện hơn. Hihi",9.0,8.0,7.0,9.0,9.0,None,1,hung-yen,all,48/,10/
foodee_k4ojxpww,2017-07-26T17:22:00,Jollibee - Điện Biên,quán thích hợp cho lứa tuổi mấy bạn nhỏ hoặc gia đình hơn ❤️❤️quán sang đẹp nhưng tại quán chiên rán nên hơi bám mùi vào quần áo 😂😂,8.0,7.0,7.0,9.0,10.0,None,0,hung-yen,all,48/,10/
