user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
conangkhotinh_tv_3011,2023-11-29T16:48:00,Khách Sạn Phú Mỹ,đẹp sạch sẽ,5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,travel,13/,40/
foodee_ddp8ubor,2023-11-29T16:24:00,Đẹp,Phục vụ tốt. Giá cả hấp dẫn,10.0,10.0,10.0,10.0,10.0,None,0,hung-yen,travel,13/,40/
foodee_e8ogxw9z,2023-11-29T16:24:00,Khách Sạn Phú Mỹ,Phòng đẹp phục vụ nhiệt tình,5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,travel,13/,40/
foodee_9aj0o3mk,2023-11-29T16:21:00,Tốt,Tốt,5.0,5.0,5.0,5.0,7.0,None,0,hung-yen,travel,13/,40/
foodee_i4vnzbkd,2023-11-29T16:21:00,Khách Sạn Phú Mỹ,Phòng sạch sẽ thoáng lịch sự ok,10.0,10.0,10.0,10.0,10.0,None,0,hung-yen,travel,13/,40/
foodee_n4nqg8g7,2023-11-28T17:25:00,Khách sạn sang trọng lắm ạ,Phòng đẹp lắm ạ,10.0,10.0,10.0,10.0,10.0,None,0,hung-yen,travel,13/,40/
foodee_n1jzmpi5,2023-11-28T16:43:00,dịch vụ tốt,dịch vụ tốt,10.0,10.0,10.0,10.0,10.0,None,0,hung-yen,travel,13/,40/
foodee_hkififpnfw,2023-11-28T16:22:00,Khách Sạn Phú Mỹ,Tuyệt vời,10.0,10.0,10.0,10.0,10.0,None,0,hung-yen,travel,13/,40/
foodee_nb8a9avg,2023-11-28T16:21:00,Khách Sạn Phú Mỹ,Khách sạn hợp lý ạ,5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,travel,13/,40/
foodee_8n6vmxn5,2023-11-28T12:05:00,Khách Sạn Phú Mỹ,Điểm 10 chất lượng,10.0,10.0,10.0,10.0,9.0,None,0,hung-yen,travel,13/,40/
foodee_k8rwmw46,2023-11-27T17:33:00,Khách Sạn Phú Mỹ,"Rất tốt, sạch sẽ",5.0,5.0,10.0,5.0,5.0,None,0,hung-yen,travel,13/,40/
foodee_fmy2urzn,2023-11-27T17:28:00,Khách Sạn Phú Mỹ,Đẹp hợp lý,5.0,5.0,5.0,5.0,5.0,None,0,hung-yen,travel,13/,40/
foodee_wwvzkagh,2023-11-27T17:00:00,Khách Sạn Phú Mỹ,Ok,10.0,5.0,5.0,5.0,5.0,None,0,hung-yen,travel,13/,40/
