user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_ivv0pd1d,2024-07-27T15:12:00,Champa Garden Restaurant - Champa Island Resort,Phục vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
foodee_7icphyi5,2024-07-27T13:12:00,Champa Garden Restaurant - Champa Island Resort,Trải nghiệm tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
foodee_rm1rerie,2024-07-27T13:05:00,Champa Garden Restaurant - Champa Island Resort,Nhà hàng rất đẹp bày biện nhìn không gian thoáng mát.,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
foodee_rxl6kf9e,2024-07-26T18:58:00,Tốt,"Dịch vu tốt, lhong gian thoang mat, vi tri de tim, gia***phai Chang,",10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
quyenpham2703,2024-07-26T13:11:00,Tốt,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
foodee_m7ciy63w,2024-07-26T13:07:00,Champa Garden Restaurant - Champa Island Resort,Dịch vụ tốt,5.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
foodee_mprq28h4,2024-07-26T13:02:00,Champa Garden Restaurant - Champa Island Resort,"Sang trọng, lịch sự. Mình rất hài lòng ♥️",10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
foodee_wanijl3b,2024-07-25T14:51:00,Champa Garden Restaurant - Champa Island Resort,"Thoáng mát, sạch sẽ Quá ok luon",10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
foodee_bfhfz0e9,2024-07-25T13:53:00,Champa Garden Restaurant - Champa Island Resort,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
foodee_1ex5sf1c,2024-07-25T13:38:00,Tốt,Tuyệt vời,10.0,10.0,10.0,9.0,10.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
foodee_om7aofzk,2024-07-24T14:26:00,Phong cảnh ở đây nó đẹp y như thiên đường vậy trời thoáng mát mà cảnh chill đẹp mê ly luôn,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
ngalove201189_kgfr,2024-07-24T14:15:00,Champa Garden Restaurant - Champa Island Resort,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
foodee_0ektevrb,2024-07-24T13:41:00,Champa Garden Restaurant - Champa Island Resort,Tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
foodee_p0lhg7nx,2024-07-24T13:23:00,Champa Garden Restaurant - Champa Island Resort,Tốt,5.0,5.0,5.0,8.0,5.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
foodee_a6u5wbib,2024-07-24T13:07:00,Champa Garden Restaurant - Champa Island Resort,Trải nghiệm rất tuyệt vời nha,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
foodee_bja198up,2024-07-24T13:04:00,phục vụ tốt,"phục vụ tốt giá rẻ, luôn nhiệt tình thân thiện với khách hàng. cảnh đẹp được thu giãn thoải mái với nhiều dịch vụ đa dạng như masse, đawos mặt, thư giãn với nhiều trai ngjiem hap dan, giá hạt dẻ. khong gian rộng rãi thoáng mát. đồ ăn cực kì và rất ngon. ai cung thích nơi này. phục vụ tốt giá rẻ, luôn nhiệt tình thân thiện với khách hàng. cảnh đẹp được thu giãn thoải mái với nhiều dịch vụ đa dạng như masse, đawos mặt, thư giãn với nhiều trai ngjiem hap dan thoải mái",10.0,10.0,9.0,8.0,9.0,None,0,khanh-hoa,all,48/14/41/,45/11/51/
