user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_tql622u7,2022-04-25T14:56:00,Good place good Steak,Our family love this place,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,all,77/,3/
foodee_tql622u7,2022-04-25T14:55:00,Nice place for family,We love and enjoy this place so much!,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,all,77/,3/
ptl0212,2020-10-31T07:14:00,Đồ ăn siêu ngon.,"Đúng là chủ từ Anh về có khác. Đồ ăn ngon hơn nhiều chỗ mà mình từng ăn. Giá cả cũng hợp lí. Không gian ấm cúng đi mánh lẻ hẹn hò cũng ổn mà đi đông hội họp cũng oke nốt. Best steak in town. Steak làm ngon nhất nha trang. Chị chủ từ 5* ra nên chú trọng phong cách phục vụ, nhân viên siêu oke luôn! Nói chung không có gì để chê. Mà chắc do chủ quán từ Vin ra nên mình đi ăn toàn gặp ng Vin. Anyway, mình chắc chắn sẽ quay lại.",10.0,10.0,10.0,8.0,10.0,None,0,khanh-hoa,all,77/,3/
foodee_g6osm7f7,2020-10-29T09:05:00,Johnny Steak House,"Không gian đẹp, ấm áp, nhân viên nhiệt tình và mình đã thử steak và đùi cừu trên cả tuyệt vời.",10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,all,77/,3/
foodee_5hbrlmgm,2020-10-28T15:39:00,Món ăn ngon,"Nhà hàng có không gian ấm áp , nhẹ nhàng . Đồ ăn ngon , hợp khẩu vị . Nhân viên nhiệt tình , vui vẻ . Đặc biệt giá cả hợp lý . Mn nên qua nhà hàng trải nghiệm",10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,khanh-hoa,all,77/,3/
foodee_1t2087jp,2020-10-28T15:32:00,Johnny Steak House,"Đồ ăn ngon, đúng vị kiểu anh. Không gian quán sang trọng, nhân viên phục vụ dễ thương tận tình. Anh chủ vui tính đẹp trai😊",10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,all,77/,3/
nguyenbichhien07,2020-10-25T23:33:00,Xuất sắc,"Steak chuẩn vị mà giá cả lại rất hợp lí, thích nhất cái bánh trứng nướng kiểu Anh và fish & chips. Đảm bảo hợp lí vừa với túi tiền.",10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,all,77/,3/
foodee_wlbj6v36,2021-05-08T08:20:00,Quán siêu ngon... Giá cả phải chăng,Verry gooddddddddddddd,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,all,77/,
foodee_gba56o17,2020-02-05T20:54:00,Hằng Vi - Xôi Bình Dân,"Xôi ngon đặc biện hơn là con trai cô bán xôi ngon cực kì. Tối hôm nay đi mua xôi, nhìn ảnh ở phạm vi gần cmn run lắm luôn. Vì nghịch đt để chụp ảnh mà quên lấy tiền, tay run tim đập móc 20k đưa ảnh nhưng không dám nhìn vào mắt ảnh sợ bị thích ảnh thêm một chút nữa. Nếu anh có thấy cmt này thì cho em xin nick face hay ins gì cũng được nha. Theo dõi anh lâu lắm rồi.",10.0,10.0,9.0,10.0,8.0,None,1,khanh-hoa,all,49/58/,45/
foodee_ac878p36,2021-05-07T15:39:00,Quán Vịt -***,Sao nay quán mình ko ship ạ,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,all,77/,45/
anhnguyen2104,2020-03-07T20:49:00,ngon thứ 2,"hôm nay ra vịt 141 mà đóng cửa bùn gì đâu cái phải ra chỗ này ăn . quả thật ngon sau 141 , thịt ướp k đậm đà như 141 nhưng ko phai là dở . khi bạn đã ăn 141 thì vẫn nhớ mãi và nhứng chỗ khác bị xếp sau . cơm bị chỗ khô chỗ được. cháo hơi mặn .",5.0,5.0,5.0,5.0,5.0,None,1,khanh-hoa,all,77/,45/
THANH.HOANGPHUONG122,2019-07-23T19:34:00,Ngon khó cưỡng 😆,"Vịt ướp ngon lắm ý, mùi vị rất riêng nhé. Lần nào đi Nha Trang vợ chồng mình cũng ghé quán này. Hôm trước 2 vc vừa xơi hết 1 con vịt luôn 🤪",10.0,10.0,10.0,10.0,8.0,None,0,khanh-hoa,all,77/,45/
thuydiemho1612,2019-07-19T17:06:00,"Ra Nha Trang lại phải ghé quán này. Đi nhiều nơi, ăn vịt cũng nhiều nhưng vịt ở đây là ngon nhất","Vịt rất ngon. Mềm và thơm, cháo ngon ngọt. Rau ăn kèm tươi.nước chấm hết sẩy con bà bảy. Mình đi công tác Nha Trang 1 tuần mà gần tới ngày về SG mới biết quán. Ăn tối 2 ngày sau cùng đều ăn ở đây. Khách địa phương và du lịch ăn rất nhiều. Quán lúc nào cũng đông nhưng mấy a trai phục vụ khá nhanh. Ko phải đợi lâu nha.",10.0,10.0,10.0,10.0,9.0,None,0,khanh-hoa,all,77/,45/
phanh0410,2019-03-21T22:33:00,Ngon xuất sắc và rẻ!!!,"Mình tới Nha Trang 1 tuần. Ăn lần đầu ngon quá nên ghé ăn lần 2. Hợp khẩu vị lắm!!! Mình gọi 1 phần vịt nướng, 1 phần vịt luộc, 3 tô cháo, 2 lon bia, 1 phần cơm chiên. Tổng cộng có 240.000 cho 3 người ăn. Vịt nhiều thịt, bé bé nhưng ăn khá no. Bạn mình thích vịt nướng nhưng cá nhân mình thích vịt luộc, do chấm nước mắm gừng ngon lắm. Cho miếng thịt vào miệng rút ra toàn thịt )) Cháo nêm vừa miệng, cơm chiên hơi nhạt xíu, mình thêm mấy muỗng nc mắm mới vừa. Rau sống, gỏi, trà đá ở đây free. Gọi bao nhieu cũng được. Phục vụ lên món rất nhanh. Ấn tượng sự nhanh chóng của mọi người. Thái độ cũng dễ thương lắm. Không gian trông hơi xụp xệ, tại quán thuê ở chỗ không có mái che, khá mát mẻ, nhưng nếu khang trang hơn xíu chắc là đông khách dữ lắm luôn.",10.0,10.0,10.0,10.0,9.0,Chắc chắn,0,khanh-hoa,all,77/,45/
trfunny,2018-09-27T18:18:00,Rất ngon,"Mình đặt môt phần cháo và Vịt nướng nữa con mang về, tất cả đều ổn từ cháo tới rau và gỏi kèm theo. Nếu có ăn vịt mình sẽ nghĩ tới quán ở đây đầu tiên.",5.0,10.0,10.0,10.0,5.0,Có thể,0,khanh-hoa,all,77/,45/
quyen96,2018-03-20T07:22:00,Quán Vịt - Hàn Thuyên,Đi nha trang ghé quán hoài thôi . Vịt nướng bao lạ miệng nữa. 1 phần 2 người ăn 110k ăn no ko đi đc lun,8.0,9.0,8.0,8.0,8.0,None,0,khanh-hoa,all,77/,45/
desi_95,2018-01-17T22:17:00,Quán đông. Đáng tiền. Quán dạng vỉa hè nhưng giá và chất lượng như nhà hàng🤣,"Bạn phục vụ rất vui vẻ nhiệt tình, mình hỏi vịt bán sao thì bạn nói 1dĩa vịt quay+1 cháo 95k nhưng sợ k ngon với giá hơi cao mà ăn k no nữa nên mình order 1vịt quay+cháo 60k với 1cơm 10k. Tổng thiệt hại trong hình là 70k. Ăn 2ng k no nhưng rất ngon và đáng tiền. Tầm trưa hai mình chạy lại lúc đó mới 2h quán mới cbi bán, 2 mình về hostel ngủ tới tối mới quay lại ăn, v mà bạn phục vụ vẫn nhớ mặt, còn bảo là đợi tụi mình chiều h bây h mới tới.hahah.",10.0,5.0,10.0,10.0,5.0,Chắc chắn,0,khanh-hoa,all,77/,45/
mi.ho,2017-08-11T14:23:00,Quán Vịt - Hàn Thuyên,"Quán bán cháo vịt ngon nhức nách luôn, vịt là vịt nướng chứ ko phải vịt luộc đâu nha. Vịt chặt miếng vừa ăn, da vịt béo ăn đã lắm, thịt vịt mềm thơm, cháo ngọt nước, có thể gọi thêm phần cơm ăn kèm nhé. Ủng hộ quán hoài!",6.0,8.0,8.0,7.0,7.0,None,0,khanh-hoa,all,77/,45/
