user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_daucuqwu,2024-07-31T14:38:00,Vincharm Spa - Nha Trang,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,beauty,56/79/,
foodee_ldlzkbi5,2024-07-31T14:17:00,Vincharm Spa - Nha Trang,Dịch vụ tốt,9.0,9.0,10.0,10.0,10.0,None,0,khanh-hoa,beauty,56/79/,
foodee_a3euj7sp,2024-07-31T14:15:00,Vincharm Spa - Nha Trang,chất lượng tốt giá cả phải chăng,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,beauty,56/79/,
foodee_sah7e6d6,2024-07-31T13:53:00,Vincharm Spa - Nha Trang,Dịch vụ tốt,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,beauty,56/79/,
foodee_sah7e6d6,2024-07-31T13:26:00,Vincharm Spa - Nha Trang,Chất lượng rất tốt,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,beauty,56/79/,
foodee_sah7e6d6,2024-07-31T13:02:00,Vincharm Spa - Nha Trang,Dịch vụ tốt,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,beauty,56/79/,
foodee_3xftmspr,2024-07-31T12:41:00,Vincharm Spa - Nha Trang,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,beauty,56/79/,
foodee_sah7e6d6,2024-07-31T12:40:00,Vincharm Spa - Nha Trang,Dịch vụ tốt. Hài lòng,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,beauty,56/79/,
foodee_kjha0kie,2024-07-30T14:31:00,Vincharm Spa - Nha Trang,Se quay lai lần sau,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,beauty,56/79/,
foodee_rk5fpk7t,2024-07-30T13:07:00,Vincharm Spa - Nha Trang,"Dịch vụ thư giãn hoàn hảo, ngân viên nhiệt tình tay nghề tốt",5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,beauty,56/79/,
foodee_o26fxxlw,2024-07-30T12:47:00,Vincharm Spa - Nha Trang,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,beauty,56/79/,
foodee_6u84yscx,2024-07-30T12:45:00,Vincharm Spa - Nha Trang,Đánh giá tốt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,beauty,56/79/,
foodee_0m8lc4jk,2024-07-30T12:42:00,Tuyệt vời,Dịch vụ quá tốt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,beauty,56/79/,
foodee_6n8izhx6,2024-07-30T12:42:00,Tuỵet vơi,Spa chăm sóc khách nhiet tình chu dao nhân viên nhiêt tình gòn gàng,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,beauty,56/79/,
foodee_weh42k0p,2024-07-29T18:30:00,Vincharm Spa - Nha Trang,Tuyệt đẹp,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,beauty,56/79/,
foodee_weh42k0p,2024-07-29T18:23:00,Vincharm Spa - Nha Trang,Tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,beauty,56/79/,
