user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_sy6gboeu,2023-09-23T16:19:00,Khu Hải Sản Bãi Nồm - Đảo Bình Ba,Hải sản tươi ngon,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,entertain,49/58/42/3/33/,45/
foodee_nmhz21wg,2023-09-23T15:48:00,Khu Hải Sản Bãi Nồm - Đảo Bình Ba,Hải sản tươi ngon,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,entertain,49/58/42/3/33/,45/
foodee_fgu8qjrp,2023-09-23T15:43:00,Khu Hải Sản Bãi Nồm - Đảo Bình Ba,Hải sản tươi ngon.,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,entertain,49/58/42/3/33/,45/
foodee_t2g95fc3,2023-09-23T15:35:00,Khu Hải Sản Bãi Nồm - Đảo Bình Ba,Hải sản tươi ngon,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,entertain,49/58/42/3/33/,45/
foodee_on01py3p,2023-09-23T15:01:00,Khu Hải Sản Bãi Nồm - Đảo Bình Ba,Hải sản tươi ngon!,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,entertain,49/58/42/3/33/,45/
foodee_u4ld7fh8,2023-09-23T14:40:00,Khu Hải Sản Bãi Nồm - Đảo Bình Ba,Hải sản tươi ngon,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,entertain,49/58/42/3/33/,45/
foodee_5fdhtcbk,2023-09-23T14:26:00,Khu Hải Sản Bãi Nồm - Đảo Bình Ba,Hải sản tươi ngon,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,entertain,49/58/42/3/33/,45/
thuymy10.05,2023-09-23T14:22:00,Khu Hải Sản Bãi Nồm - Đảo Bình Ba,Hải sản tươi ngon,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,entertain,49/58/42/3/33/,45/
foodee_2g8zxf6z,2023-09-23T14:17:00,Khu Hải Sản Bãi Nồm - Đảo Bình Ba,Hỉ sản tươi ngon,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,entertain,49/58/42/3/33/,45/
foodee_u4ld7fh8,2023-09-23T14:11:00,Khu Hải Sản Bãi Nồm - Đảo Bình Ba,Hải sản tươi ngon,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,entertain,49/58/42/3/33/,45/
