user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
cleanprovietnam,2018-11-15T16:08:00,Giật Sấy K Laundro Nha Trang,"Giặt nhanh thật, chỉ 30 p. Sấy chỉ 40 phút",8.0,8.0,8.0,9.0,9.0,None,0,khanh-hoa,service,0/,
minh.kiet1505,2020-07-21T12:16:00,Wash & Go Nha Trang - Cửa Hàng Giặt Sấy Tự Động - Hồng Bàng,"Chất lượng quá tệ, làm hư đồ còn thách thức khách hàng, không có 1 câu xin lỗi. Cái kết là chặn số khách và nói ĐỒ MỚI MAY ĐỪNG CÓ MANG GIẶT",1.0,1.0,1.0,1.0,1.0,Không,0,khanh-hoa,service,0/,40/
foodee_15t3v2qq,2020-07-21T09:09:00,"chất lượng quá tệ, thái độ phục vụ còn tệ hơn",m đăng lên đây hy vọng các bạn ai nhìn thấy đừng sử dụng dv bên này. làm hư đồ của khách k có 1 câu xin lỗi đã đành còn thái độ phủi trách nhiệm đổ qua lại và còn nói chuyện cộc lốc vơi khách còn chặn luôn cả khách hàng. mọi ng đừng dùng dv bên này về hư hết quần áo còn ôm cục tức trong người,1.0,1.0,1.0,1.0,1.0,None,0,khanh-hoa,service,0/,40/
red2005_nt,2018-05-18T11:10:00,Giá cả hợp lý 60k/8kgs quần áo - giao nhận nhanh chóng,Mình sử dụng dịch vụ ở Wash & Go với giá 60k/8kgs tại cửa hàng gần đại học Nha Trang. ( Đối diện đoàn Trần Nghiệp) đây là cửa hàng thứ 2 của Wash & Go. Dịch vụ rất tốt và rẻ hơn các cửa hàng khác,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,service,0/,40/
trandangngocthanh,2016-11-22T01:16:00,Wash & Go Nha Trang - Cửa Hàng Giặt Sấy Tự Động,"Lần đó đến Nha Trang chơi, do cũng đi phượt dài dài từ Cần Thơ ra tận ngoài này nên không thể giặt nổi đống đồ, mày mò trên mạng cái google chỉ chổ này thế là xuống xách xe đi kiếm. Mấy anh cực kỳ tận tình, giá siêu rẻ, hơn rất nhiều so với hotel của mình "" Rẻ hơn ở Kiên Giang của mình hay Cần Thơ mình ở nữa. Không biết có địa điểm nên không chụp nhiều hình cho các bạn xem. Chỉ nhận được mấy cái name card các anh gửi trong cái bị đồ. Nếu có giặt ùi thì mình thấy chỗ này, lần đó giặt nhiều lắm mà có 65k, đồ của hai người. Nhớ không lầm 7 kg mà có 35k he gì à",10.0,10.0,10.0,10.0,10.0,None,1,khanh-hoa,service,0/,40/
minh.kiet1505,2020-07-21T12:17:00,Wash & Go Nha Trang - Cửa Hàng Giặt Sấy Tự Động - Đường 2 Tháng 4,"Chất lượng quá tệ, làm hư đồ còn thách thức khách hàng, không có 1 câu xin lỗi. Cái kết là chặn số khách và nói ĐỒ MỚI MAY ĐỪNG CÓ MANG GIẶT",1.0,1.0,1.0,1.0,1.0,Không,0,khanh-hoa,service,0/,40/
minh.kiet1505,2020-07-21T12:17:00,Wash & Go Nha Trang - Cửa Hàng Giặt Sấy Tự Động - Lương Nhữ Học,"Chất lượng quá tệ, làm hư đồ còn thách thức khách hàng, không có 1 câu xin lỗi. Cái kết là chặn số khách và nói ĐỒ MỚI MAY ĐỪNG CÓ MANG GIẶT",1.0,1.0,1.0,1.0,1.0,Không,0,khanh-hoa,service,0/,40/
longme_longme63,2017-04-22T17:33:00,GA ĐƯỜNG SẮT TẠI THÀNH PHỐ NHA TRANG XINH ĐẸP,"Đến bằng phương tiện gì thì về bằng phương tiện đó. Vâng ! Tàu hoả chính là sự lựa chọn tối ưu đối với mình khi du lịch tại thành phố biển Nha Trang. Do lúc đến lo về khách sạn check phòng nên không có chụp hình để review mà phải đợi đến khi về mới có hình nè. Đầu tiên phải kể đến ghế ngồi chờ: gồm 2 phòng tương đối nhỏ có sức chứa khoảng 200 - 300 người (mình đoán phỏng thôi) Nhà vệ sinh: Ga không có nhà vệ sinh free, muốn đi thì bạn phải ra phía trước cửa đi về phía tay phải chỗ nhà giữ xe. Nhà vệ sinh là 1 buồng gồm 3 phòng tối om, dơ, hôi kinh khủng. Sau khi đi vệ sinh bạn phải trả phí là 2.000 đồng/ người/ lần đi. Ga khá ồn do tiếng người nói, tiếng trẻ em khóc trong khi hệ thống loa báo gọi ra tàu thì lại nhỏ nên bạn phải chú ý thông báo cùng với nhìn đồng hồ để chắc chắn rằng bạn không bị bỏ lại nhé :))) Tụi mình đi tàu SNT (đây là tàu du lịch đc đánh giá là 5* theo tiêu chuẩn V I E T N A M :)) ). Ghế ngã cũng êm lắm có chỗ để chân nhưng đông người nhỡ ngủ quên sợ mất đồ kinh khủng luôn :)))) Nhà vệ sinh trên tàu nhìn chung tương đối ổn, một số toa dùng cảm ứng khi xả nước bồn cầu nhìn thú vị lắm kìa :v Mỗi người sẽ được phát 1 cái chăn, 1 chai nước khỏang 330ml, 1 khăn ướt.",9.0,8.0,7.0,7.0,7.0,Có thể,0,khanh-hoa,service,80/,40/
trinhthihuyenny,2017-12-30T12:59:00,Cửa Hàng Giặt Ủi Bà Zdú,"Gía re, bình dân, quay lại nhiều lần vẫn cảm thấy tuyệt",7.0,5.0,8.0,9.0,10.0,Chắc chắn,0,khanh-hoa,service,0/,40/
trinhthihuyenny,2017-11-20T18:58:00,"NHANH, ĐỒ LẤY TRONG NGÀY, CÔ CHỦ VUI TÍNH","Gía rẻ chỉ 10k mà lấy trong ngày, nhanh... Sẽ ủng hộ lâu dài",8.0,9.0,9.0,10.0,10.0,Chắc chắn,1,khanh-hoa,service,0/,40/
metoyou_my,2018-01-23T20:56:00,Great service,Great service and value. dropped off and then the delivered back to us so we did not have to go there,7.0,10.0,10.0,9.0,10.0,None,0,khanh-hoa,service,0/,
haley.hoang6514,2018-05-17T11:54:00,Laundromat TTV - Cửa Hàng Giặt Sấy Tự Động,"Cửa hàng phục vụ nhiệt tình, giặt sạch. Có điều mình không hài lòng lắm là đồ trắng của mình bị nhuộm thành màu hồng hết nhưng hỏi bà chủ thì bà chủ chắc chắn là giặc đồ trắng riêng hết. Hơi thất vọng",9.0,9.0,9.0,5.0,5.0,Không,0,khanh-hoa,service,0/,40/
laudromatTTV,2018-01-10T09:45:00,Giặt sấy hấp tại Laundromat TTV,"Đã là khách hàng ruột của tiệm rồi, bà chủ thật nhiệt tình, vui vẽ, giặt rẻ, sạch và thơm, tiệm lại có thể giặt bất cứ những gì mà khách cần kể cả gấu bông, nệm, hay hấp áo len, áo dạ, áo da, áo vest, áo dài, hay chăn, grap, gối ôm. Bởi vậy tiệm lúc nào cũng đông khách, có lúc còn làm cả ngày cả đêm mới kịp. Chúc cho tiệm ngày càng làm ăn phát đạt, luôn vui vẽ nhiệt tình chất lượng đảm bảo và luôn đông khách như thế.",8.0,8.0,8.0,8.0,7.0,Chắc chắn,0,khanh-hoa,service,0/,40/
tyvan_env0824,2017-10-12T20:06:00,Cửa hàng giặt sấy tự động tại Nha Trang - Laundromat TTV,"Đồ mang tới giặt tại cửa hàng, chất lượng rất tốt, giá thành rẻ",10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,service,0/,40/
