user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
buusmile90,2016-08-03T18:39:00,K-Mart Nha Trang,"Siêu thị mini bán các mặt hàng xuất xứ hàn quốc gồm đồ ăn, nước uống, mỹ phẩm... Mình rất thích món củ cải muối chua ở đây, loại cắt sẵn thành cọng dài, dùng để cuốn gimbap cực cực ngon. Món sữa chuối cũng khá ok, còn kẹo dẻo thì bình thường.",7.0,6.0,7.0,6.0,7.0,None,1,khanh-hoa,shop,22/,14/
minhphuongnhoham,2022-07-16T18:17:00,Đại Lý Hải Sản 44,"Chị bán hàng ở đây (ko biết có phải chủ quán ko) trông mặt phúc hậu nhưng bán hàng không có tâm lắm: Mình mua mực tẩm gia vị ở đây loại 980K/1kg (mực cán mỏng ấy), thấy cùng 1 hộp mực này nhưng có loại thì sáng màu (thiên về màu vàng hơn), còn 1 loại thì sẫm màu hơn hẳn. Do chưa có kinh nghiệm nên cũng hỏi bà chị bán ở đó vì sao có 2 màu này thì bà ấy bảo mực sẫm màu là ngấm gia vị hơn và khuyên mình lấy loại này, và thực tế cũng toàn chọn cho mình loại này. Vốn tính tò mò nên mình cũng bảo bà ấy lấy thêm cho mình ít loại màu vàng sáng sáng màu để thử. Về nhà tìm hiểu thì mới biết hóa ra loại mực sẫm màu mà bà ấy toàn lấy cho mình (cùng gần cả kg chứ ít đâu) hóa ra lại là loại mực đểu: là mực cán từ loại mực xà chứ không phải là loại ngấm gia vị hơn. (mình tham khảo link mạng ở đây: https://dacsankhanhhoa.org/ban-se-mua-duoc-mon-muc-kho-tam-gia-vi-thom-ngon-va-chat-luong-neu-biet-duoc-nhung-dieu-sau/) Mực xà này giá nhiều lắm cũng chỉ 500K thôi mà mình đang bị mua với giá 980K. Haizz, share kinh nghiệm này để anh chị em có đến đây mua thì chú ý chọn mực nhé, trở thành người tiêu dùng thông minh chứ đừng bao giờ nghe tư vấn của bà bán hàng, chả có tâm đâu, dù trông mặt cũng tử tế phúc hậu.",3.0,2.0,1.0,1.0,3.0,None,0,khanh-hoa,shop,78/7/,40/
foodee_hsndvn1q,2019-06-28T10:33:00,Tẩy chay.,Đồ mắc mà ăn chia với xe taxi để dẫn khách đến. Nhân viên nói chuyện thái độ khó chịu. Nên vô chợ Đầm. Từ nay tẩy chay Ngọc Phước,1.0,1.0,1.0,1.0,1.0,None,1,khanh-hoa,shop,78/7/,40/
phuong208nguyen,2018-08-14T10:20:00,Siêu Thị Ngọc Phước,"Bữa có bạn đi Nha Trang về mua quà cho hỏi ra mới biết bạn ấy mua ở siêu thị này Theo như người mua thì siêu thị này ở trung tâm, khá lớn, với nhiều loại mặt hàng quà, đặc sản đa dạng, tha hồ mà chọn )) Bọn mình đc tặng mực khô ép tẩm gia vị, hộp cá bò sợi tẩm gia vị và một số món bánh ngọt khác nữa. Hỏi qua thì thấy giá có hơi nhỉnh hơn chút, được cái vào đây thì nhiều thứ để mua lắm. Cá bò mình ăn thấy cũng tạm, mực tẩm ăn cũng đc, túm lại là note để có đi thì mua quà về cũng đc",7.0,6.0,6.0,7.0,7.0,None,0,khanh-hoa,shop,78/7/,40/
puby.trieu92,2016-05-02T21:09:00,Đắt Xắt Ra Miếng 👍🏻,"🐟 Anh chị mình đều đã mua ở đây và khen chất lượng tốt nên tụi mình cũng chọn ra đây mua. Lúc bảo qua đây mua đặc sản về làm quà chị lễ tân còn gàn vì bảo ở đây giá khá cao. - Không gian sáng sủa, rộng rãi, có cả khu bán đồ lưu niệm như móc chìa khoá, gương lược... Quầy bán đồ ăn sắp xếp hợp lý, gọn gàng, nom rất sạch sẽ. - Đặc sản mình mua mấy món về đều ngon, tẩm ướp vừa miệng, mực rim me hơi mặn chút nhưng vị thực sự là tuyệt cú mèo luôn, ăn xong bị nghiện ý. Cá thiều que cũng ok, bò khô và mực ăn liền còn được thử, nếu ngon thì mới cân và đóng hộp. Hình thức hộp ở đây đẹp lại sang trọng, mang đi làm quà hết ý luôn hehe. - Nhân viên bán hàng thì tuỳ, có chị thân thiện, có chị lại ko tươi cười mấy. - Giá cả ở đây hơi cao, nhưng mình thấy rất xứng đáng với chất lượng. Lúc mua xong rồi đi taxi, chú ý còn bảo chỗ này đông khách lắm, nên đồ mới, ăn đảm bảo.",8.0,7.0,9.0,7.0,8.0,None,0,khanh-hoa,shop,78/7/,40/
nguyenanhnha1408,2015-11-29T23:38:00,Nhớ là Ngọc Phương nhé !! Đừng mua hàng khác )),"Lại 1 món quà từ Sài Gòn ra :) Dạo này rất rất được yêu thương nhé, dì mình từ trong Nam gửi mực ra và nhà mình lại đc 1 đống đồ ăn tích trữ từ giờ đến Tết mất ))) Nhà mình đc cho 3 hộp mực nè, trong đó có 1 hộp mực ăn rất cứng (chắc bị hỏng ?? ) Cảm giác ăn như lôi cả răng ra ấy, k thể nhai nổi. Còn 2 hộp kia thì mực rất mềm, rất dễ ăn. Nhìn chung thì mực này ăn rất cay (1 là trong Nam họ ăn cay tốt, 2 là mình là đứa k biết ăn cay). Mình ăn đc 1 2 miếng, thấy ướp tẩm ngon nhưng vì cay quá nên mình k thể ăn thêm đc miếng nào nữa cả :(",8.0,8.0,8.0,8.0,8.0,Có thể,0,khanh-hoa,shop,78/7/,40/
snileyldn,2015-11-29T18:14:00,"Giá cao, cò nhiều",Đc bác xe xích lô tận tình hướng dẫn mua đồ ở đâu cho đảm bảo. Mình vào thấy đồ đắt gấp 3 bên chợ Đầm nên không mua; ra ngoài cửa vẫn thấy bác xích lô đứng đó chưa về hiểu là đang chờ mình mua đồ rồi ăn chia hoa hồng với nhau May mà chưa mua gì,5.0,1.0,5.0,5.0,5.0,None,1,khanh-hoa,shop,78/7/,40/
nguyentannam66,2015-08-24T16:26:00,Siêu Thị Ngọc Phước,Giá cao do chi hoa hồng cho cò,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,shop,78/7/,40/
geministar,2015-05-27T22:17:00,Siêu Thị Ngọc Phước,"Đợt lần trước mình có vào đây mua vài món rồi, nhớ bánh tráng xoài được nhân viên khen đặc sản và ngon lắm mà về ăn dính răng bà cố, k nghe vị xoài j hết trơn. Trước khi đến đây bác tài có ghé bên kia mình mua hủ mực, ghẹ ram chỉ 55k, còn ở đây trên 80k. Có thể do nằm ngay trung tâm và xây dựng hoành tráng hơn, với lại thuê nhân viên nhiều nên độn giá. Mình chỉ dạo vài phút ngắm nghía thôi, siêu thị rất đa dạng các mặt hàng.",7.0,6.0,7.0,7.0,8.0,None,0,khanh-hoa,shop,78/7/,40/
tuanbido2002,2014-10-14T14:57:00,Đủ các loại khô ở Nha Trang,"Vào đây thì đủ loại khô từ giá bình dân đến cao cấp, mình không nói giá cao hay thấp vì mình nghĩ chắn chắc sẽ cao hơn 1 số chỗ mà bạn mua rẻ nhưng vấn đề chất lượng luôn làm du khách khi đi du lịch lo lắng nhất vì mang quà về cho bạn bè người thân mà mua hàng ko chất lượng thì thôi rồi, mình đi dạo 1 vòng trong đây cũng có nhiều món khác bắt mắt giá cả tạm chất nhận được nếu bạn không được mua khô để làm quà. Nói chung ở đây khá món độc nhưng rượu mối to đùng lần đầu mình thấy con mối chúa là như thế nào.",7.0,7.0,7.0,7.0,7.0,None,0,khanh-hoa,shop,78/7/,40/
