user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_74il6q42,2024-07-17T14:44:00,Tốt .*****,Tốt. *****,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,travel,92/4/,45/
foodee_yq9nrbjy,2024-07-17T11:55:00,Tốt *****,Tốt *****,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,travel,92/4/,45/
nhunguyen.doremon92,2018-12-10T13:52:00,Hoàn hảo đến từng chi tiết!!,"Mình ở Vinpearl 3 ngày 3 đêm, lúc đầu làm thủ tục và chờ đợi ở cảng lâu nên hơi ngán nhưng qua rồi thì đúng tuyệt vời luôn. Xe điện & cano hoạt động 24/24 rất tiện nhưng đi tối thì khá gió và mưa xuống là kinh hoàng luôn. Phòng mình dạng single room, phòng tắm có kính trong suốt, ra vào thẻ từ, view hồ bơi, nước ngọt mini bar đầy đủ và thích nhất vụ không phải cắm rút thẻ từ để bật nguồn điện. View này sáng ngắm bình minh tuyệt lắm luôn, chẳng phải mò xuống, hoàng hôn thì mình toàn đi chơi nên cũng ko có gì ấn tượng. Nvien siêu lịch sự, chu đáo & tinh tế. Khu hồ bơi có phòng tắm & thay đồ riêng, hồ người lớn sâu hơn 1m nên tắm ngày đỡ sợ hơn, biển ít người nhưng ko sạch bằng bên cv nước :)) ko có sóng mạnh, chỉ gợn thôi, bên này mình thích nhất là khách tq ko đông, chỗ mình toàn Hàn vs người Âu - Nga thôi đỡ nhức đầu. Có túi giấy đựng đồ đi bơi hoặc đi chơi. Phòng tắm có máy sấy và đầy đủ nên bạn ko cần đem, có dầu xả chưa đủ đô nên mình phải xài riêng. Buffet sáng để tên nhà hàng là Nha Trang Bay, thay đổi theo ngày, gần như là buffet sáng ngon nhất mình từng ăn, nên di trước 7h hoặc sau 7h45 vì khách đông như quân nguyên và lấy đồ ăn ko lại đâu, đây có xôi gói sen, bacon, trứng chiên 2 mặt, cơm chiên, phở xào, máy pha cf (latte, cappu...) & cf pha sẵn mình thấy ổn nhất. Bánh cuốn cũng ngon nhưng phải đợi, cuốn khá nhỏ ăn kiểu thưởng thức thôi. View ra ngoài cũng ko thấy bao nhiêu. KS có quán cf và bánh vs menu như menu món ăn phục vụ tại phòng, từ 8h30-9h tối được mua bánh 1 tặng 1, bánh max 60k đẹp & hơi khô, có nvien nói tiếng Anh phục vụ. Mình gọi thêm hot chocolate 90k mắc nhưng đáng lắm, uống rất ngon & nhiều. Nvien điều xe điều hành khá hịêu quả, lần lâu nhất là bưaz về thì phải chờ 15p thôi còn lại khá nhanh. Nvien hồ bơi có nvien người nc ngoài pv, ngầu và rất nice. Nvien tạp vụ & laundry cũng khá dễ thương dễ chịu. Có cái nvien quầy lễ tân gọi thì nhiệt tình còn lúc check-in mình phải chờ gần 2 tiếng sau đổi từ villa qua building nên khỏe hơn nhiều.",8.0,7.0,9.0,9.0,10.0,Chắc chắn,0,khanh-hoa,travel,92/4/,45/
thienkim16,2018-05-24T06:31:00,Vinpearl Premium Nha Trang Bay - Đảo Hòn Tre,"Nhân viên thân thiện và hiếu khách. Từ tiếp tân đến bộ phận đặt xe sân bay, hành lý và cả nv ở bể bơi đều ổn, hay giúp đỡ khi khách cần và tạo sự thoải mái cho khách. Có xe đón tiễn sân bay riêng, cao tốc qua đất liền theo chuyến, khi đợi tại sảnh có mời bánh và trà để chờ. Mong luôn phát huy như thế. Có điều buffet hơi trùng món, 1 ngày ăn 3 bữa thấy ko khác nhau mấy nên cũng hơi tẻ nhạt, dù đã đổi nhà hàng, nên nếu ở lâu sẽ rất chán. Buổi tối xuống quầy bar kế bể bơi cũng rất thú vị. Ở tại resort cũng có thể thoả thích sang khu vui chơi bất cứ lúc nào muốn, chỉ cần báo nv để đợi xe rước ra. Nói chung đều tốt. Có thể nói tốt hơn các vinpearl khác.",9.0,9.0,9.0,9.0,9.0,None,0,khanh-hoa,travel,92/4/,45/
manhthang91,2017-01-10T12:55:00,Chất lượng đẳng cấp 5 sao,"Vinpearl Premium nay đổi thành Vinpearl Nha Trang Bay. Về giá cả thì mình không bàn đến nữa ha, ai cũng đều biết giá luôn đi đôi với chất lượng. Chất lượng - đúng chuẩn 5 sao cao cấp, được phục vụ mang lại cảm giác hài lòng một cách cao nhất. Tuy quy trình làm thủ tục từ đất liền sang đảo có hơi phức tạp, tuy nhiên khi ngồi chờ bạn cũng sẽ được nhân viên mời nước ép uống thư giãn. Phòng ốc - luôn sạch sẽ, trong lành, gọn gàng và sang trọng, mỗi buổi chiều còn được tặng Chocolate. Buffet (dành cho khách thưởng thức trọn gói ngày 3 bữa bufet, không cần phải sang đất liền) - Các món ăn âu - á đa dạng, thịt, hải sản, các loại rau và xà lách, các loại sốt ăn kèm, mì ý, pasta, cơm chiên,...v...v... cho đến các món thuần việt như bún bò huế, cháo trắng trứng muối, bánh bèo,..v..v... Mỗi ngày 3 bữa không món nào giống món nào, không ngày nào giống ngày nào, cho thấy số lượng cách chế biến rất đa dạng và phong phú của Vinpearl. Tất cả các món ăn đều luôn tươi, ngon, hấp dẫn. Giải trí - về mặt relax có thể tắm biển hoặc hồ bơi rất to, sạch sẽ. Hoặc có thể sang khu vui chơi Vinpearl Land miễn phí (giá đã gộp chung với tiền phòng). Như vậy mới thấy được sự kỳ công và chu đáo để khách hàng có được sự hài lòng tuyệt đối của cả một tập đoàn lớn nói chung và đội ngũ nhân viên nói riêng. Một từ cho tất cả. TUYỆT VỜI.",10.0,10.0,10.0,10.0,10.0,Chắc chắn,1,khanh-hoa,travel,92/4/,45/
khoa_vina,2016-05-07T10:53:00,Vinpearl Premium Nha Trang Bay - Đảo Hòn Tre,"Đi hôm Tết Tây ! Nhìn chung gia đình có con nhỏ đi nơi đây thì rất tuyệt ! Ăn Buffeet 3 buổi , Full qua khu vui chơi ! Tất cả dịch vụ cáp treo + cano ! Cảnh quan thì không được bằng các Resort 5* khác ở Nha Trang. Bù lại trẻ con rất thíchv ì được tham gia chơi trò chơi thỏa thích , xem thủy cung hay xem cá heo biểu diễn ! Một nơi đáng để trãi nghiệm khi đến Nha Trang Kinh nghiệm : nên đăng ký phòng Ocean View ! Ngắm cảnh rất đẹp",9.0,7.0,8.0,8.0,8.0,Chắc chắn,0,khanh-hoa,travel,92/4/,45/
thlvy87,2016-03-09T22:52:00,Vinpearl Premium Nha Trang Bay - Đảo Hòn Tre,"Công ty ba mình hay tổ chức đi nghỉ dưỡng ở Vinpearl vào mỗi hè. Đợt này khu Premium mới xây xong nên công ty ba đăng kí ở khu này chứ không ở Khu Deluxe hay Excutive nữa. Vì là khu mới nên nhìn xung quanh vẫn còn mấy vật dụng xây dựng đặt quanh, mình thấy hỏng cảnh quan quá. Cây dừa không được chăm hay sao mà héo queo hết trơn. Mình biết là đang hoàn thiện nên rất thông cảm nhưng bầy bừa ở lối vào thì hơi dị quá. Kiến trúc khu Premium khá lạ mắt, và màu sắc chủ đạo chính là màu trắng xám thì phải ? Uniform của các a.c staff hay manager thì không chê đc vì nó quá đẹp rồi ^^ nhất là bộ phận Reservation và Reception, rất đậm chất Việt Nam ✌Lối vào các phòng ốc khá sạch sẽ, màu sắc hài hoà vì ko có đỏ lè chói mắt như khu Deluxe hay Exc. Phòng ốc có sự sáng tạo cao, mùi trong phòng rất dễ chịu, nhà vệ sinh thiết kế độc đáo, khác biệt khu cũ là có tấm gương lớn có thể nhìn ra ngoài ngắm cảnh biển ^^ Chăn giường gối nệm khá êm, nằm phát là ngủ luôn :)) mà còn ngon giấc nữa :3 . Bộ phận Housekeeping dọn dẹp rất kĩ và nhanh. Tuy vậy gần hồ bơi lại mở mấy cái nhạc hát live gì đó điếc cả tai @@ Xe tuk tuk thì ít quá nên lúc đi từ khu vui chơi về lúc nào cũng phải chờ rất lâu mà còn phải chờ cho hơi đông xí nữa. Nhà hàng trong khách sạn khá đẹp. Món ăn phong phú. Nhưng điểm trừ là mình đang để túi ở ghế để đi lấy đồ ăn thì waitor lại tg để quên nên mang tới chỗ bảo vệ và mình thật sự RẤT PHIỀN vì đang ăn mà các anh chị cứ hối ""Chị ra bộ phận bảo vệ lấy túi bây giờ được không ạ, anh bv còn nhiều việc"" Ơ cái đệt, túi tôi để đó chưa tới 10s nữa. Mà trong khi đó lại đang ăn mà cứ hối thúc. Thực sự lúc đó mình muốn gọi supervisor ra phàn nàn. Hy vọng là đợt sau tuyển casual sẽ trainning tốt hơn. Và đừng có hối khách như vậy !",10.0,9.0,10.0,7.0,10.0,Chắc chắn,0,khanh-hoa,travel,92/4/,45/
nguyentaitam1g,2015-11-12T11:50:00,Hưởng thụ tuyệt vời,"Cả 2vc cưới xong đi trăng mật có Nha Trang trong lộ trình là nghỉ ngay đến vinper rồi, thể là săn trên mạng giá phòng rẻ đợt tháng 11 vừa rồi 3tr9 cho 1 đêm bao gồm cả vui chơi và ăn bufet 3 bữa thì giá quá ổn Phòng ốc khỏi bàn quá đẹp Thức ăn thì ngập tràn , ăn 1 ngày chứ 2-3 ngày chắc đi ko nổi quá :))) Nhân viên thì nhiệt tình Nói chung là quá là chất lượng",8.0,8.0,8.0,7.0,8.0,None,1,khanh-hoa,travel,92/4/,45/
duongnguyen2607,2015-09-10T11:28:00,Trên cả tuyệt vời,"Mình không ở trong khu này nhưng tới tham quan và ăn tiệc tối tại đây. Khách sạn này là khu cao cấp, giá phòng mình thấy để bảng từ 10tr đến 40tr ( ặc ặc) nhìn mà rụng rời. Cả 1 khu hoành tránh mà được xây dựng trong tầm 8 tháng, nghe anh quản lý giới thiệu á. - Vào trong sảnh đập vào mắt mình là những dàn đèn trang trí siêu lộng lẫy, sảnh rộng ơi là rộng, ánh sáng cộng với màu sắc trang trí hài hòa, đẳng cấp. - Thức ăn trong nhà hàng cũng sang và ngon, toàn sơn hào hải vị: bào ngư, vi cá, tôm hùm...có cả dàn nhạc opera đi từng bàn hát live theo yêu cầu - Nhân viên thì cứ phục vụ khách như phục vụ thượng đế á. Đúng là đáng đồng tiền",10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,khanh-hoa,travel,92/4/,45/
foodee_rk5fpk7t,2024-07-30T13:01:00,L'alyana Ninh Vân Bay,"Dịch vụ tốt, sẽ quay lại",5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,travel,4/,45/
foodee_060nb64e,2024-07-30T12:07:00,L'alyana Ninh Vân Bay,Tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,travel,4/,45/
foodee_0m8lc4jk,2024-07-30T10:56:00,Tuyệt vời,"Món ăn ngon, phục vụ nhiệt tình",5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,travel,4/,45/
foodee_6n8izhx6,2024-07-30T10:32:00,Món ăn ở đây thật tuyệt,Món ăn ngon đẹp mắt phục vụ nhiệt tinh sẽ ủng hộ lâu dài,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,travel,4/,45/
foodee_6u84yscx,2024-07-30T10:29:00,L'alyana Ninh Vân Bay,Đánh giá tốt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,travel,4/,45/
foodee_o26fxxlw,2024-07-30T10:27:00,L'alyana Ninh Vân Bay,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,travel,4/,45/
foodee_jk73tm9p,2024-07-30T10:26:00,L'alyana Ninh Vân Bay,Nơi nghĩ dưỡng tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,travel,4/,45/
foodee_kjha0kie,2024-07-30T10:23:00,L'alyana Ninh Vân Bay,Sẻ tiếp tuc quay lại,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,travel,4/,45/
foodee_0kvsmcel,2024-07-29T14:19:00,L'alyana Ninh Vân Bay,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,travel,4/,45/
foodee_xo08o9mk,2024-07-29T14:14:00,L'alyana Ninh Vân Bay,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,travel,4/,45/
foodee_f4ej6c7j,2024-07-29T14:07:00,"Phuc vu tôt,thuc an ngon,dich vu tôt.","Gan day, view Đep Nhat, Noi That cao cap,hien dai,sang trong,da***tien ich,Bang Gua khach san Nha Trang sat bien cao cap.",5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,travel,4/,45/
foodee_hxik2ub7,2024-07-29T13:53:00,L'alyana Ninh Vân Bay,"Giá bình quân trên đầu người ,nơi rất đẹp .",10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,travel,4/,45/
foodee_weh42k0p,2024-07-29T13:44:00,L'alyana Ninh Vân Bay,Thú vị,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,travel,4/,45/
foodee_eeq89a3j,2024-07-29T12:33:00,L'alyana Ninh Vân Bay,Khách sạn sạch sẽ thoáng mát,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,travel,4/,45/
foodee_rj4l1upu,2024-07-29T12:05:00,L'alyana Ninh Vân Bay,Đánh giá tốt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,travel,4/,45/
foodee_oyvggtsh,2024-07-29T10:36:00,L'alyana Ninh Vân Bay,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,travel,4/,45/
foodee_pu9o7r0w,2024-07-29T10:28:00,L'alyana Ninh Vân Bay,"Nơi nghỉ dưỡng đepj, tuyệt vời",10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,travel,4/,45/
