user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_ldlzkbi5,2024-07-31T14:30:00,Champa Garden Restaurant - Champa Island Resort,Tốt,9.0,10.0,10.0,9.0,10.0,None,0,khanh-hoa,wedding,53/50/54/,40/11/10/
foodee_a3euj7sp,2024-07-31T14:23:00,Champa Garden Restaurant - Champa Island Resort,ko có gì để chê,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,wedding,53/50/54/,40/11/10/
foodee_sah7e6d6,2024-07-31T13:52:00,Champa Garden Restaurant - Champa Island Resort,Sang trọng quá,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,wedding,53/50/54/,40/11/10/
foodee_daucuqwu,2024-07-31T13:51:00,Champa Garden Restaurant - Champa Island Resort,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,wedding,53/50/54/,40/11/10/
foodee_sah7e6d6,2024-07-31T13:25:00,Champa Garden Restaurant - Champa Island Resort,Rất đẹp và sang trọng,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,wedding,53/50/54/,40/11/10/
foodee_i0ah80uc,2024-07-31T13:03:00,Champa Garden Restaurant - Champa Island Resort,Điểm tốt 10đ,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,wedding,53/50/54/,40/11/10/
foodee_3xftmspr,2024-07-31T13:01:00,Champa Garden Restaurant - Champa Island Resort,Tuyệttt,10.0,10.0,10.0,10.0,10.0,None,0,khanh-hoa,wedding,53/50/54/,40/11/10/
foodee_060nb64e,2024-07-30T16:14:00,Champa Garden Restaurant - Champa Island Resort,Tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,wedding,53/50/54/,40/11/10/
foodee_6u84yscx,2024-07-30T13:18:00,Champa Garden Restaurant - Champa Island Resort,Đánh giá tốt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,wedding,53/50/54/,40/11/10/
foodee_o26fxxlw,2024-07-30T13:06:00,Champa Garden Restaurant - Champa Island Resort,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,khanh-hoa,wedding,53/50/54/,40/11/10/
