user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
hngmoo,2024-05-13T10:43:00,Ngon bổ rẻ,100 điểm lun,10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,all,23/67/,
foodee_swzvgfta,2024-05-13T10:38:00,Ok lắm lun,Ok,10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,all,23/67/,
foodee_1911dfnf,2024-04-26T19:28:00,🥰🥰🥰,Đồ uống đa dạng hợp khẩu vị❤️,10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,all,23/67/,
foodee_338b0t6h,2024-04-26T15:01:00,😘😘😘,Sữa chua cafe rất ok,10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,all,23/67/,
foodee_k0mev48c,2024-04-26T14:44:00,Rất ngon,😋😋😋,10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,all,23/67/,
,2024-04-25T20:20:00,🥰🥰🥰,😘😘😘,10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,all,23/67/,
foodee_p65svew3,2024-04-25T10:04:00,Ngon tuyệt,Mát lạnh luôn i,10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,all,23/67/,
foodee_5bo63meh,2024-04-25T07:47:00,Đồ uống rất ngon,Ngon lắm nhé,10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,all,23/67/,
2sqd7_6vkh_jvev,2024-04-24T20:07:00,❤️❤️,Trà sen vàng ở đây rất ngon hợp với mình 😘,10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,all,23/67/,
foodee_xh4qsbme,2024-04-24T14:34:00,Đồ uống NGON,😋😋😋,10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,nam-dinh,all,23/67/,
foodee_koatd1k3,2024-04-24T13:53:00,😍😍😍,🥰🥰🥰🥰,10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,nam-dinh,all,23/67/,
foodee_0y3ccjat,2024-04-24T11:20:00,😍😍😍,Mỗi lần cần tỉnh táo lại ra đây uống cafe,10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,nam-dinh,all,23/67/,
foodee_0y3ccjat,2024-04-24T11:17:00,❤️❤️❤️,Mỗi lần cần tỉnh táo lại ra đây uống cà phê,10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,nam-dinh,all,23/67/,
trungchipp_kw33,2024-04-24T11:07:00,Cà phê ông bầu,Trà ổi hồng ngon lém,10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,all,23/67/,
,2024-04-24T10:57:00,cafe ngon tuyệt,chuẩn vị,10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,nam-dinh,all,23/67/,
foodee_vre4k8xs,2024-04-23T22:19:00,⭐⭐⭐⭐⭐,"Đồ uống ngon, nhiều topping",10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,all,23/67/,
foodee_jf6i9tqj,2019-03-29T15:30:00,Ko bao giờ quay lại,- chè ăn ko ngon . Ăn đc 3 miếng vỏ lại - bánh xèo quá nhiều dầu mỡ . Ko giòn . Tôm bị hôi . Bánh mình để lại . 60k/1 đĩa quá đắt so với mấy hàng mình ăn trung bình 20k/1 đĩa rẻ nhưng thật sự rất ngon,2.0,1.0,1.0,1.0,2.0,None,1,nam-dinh,all,49/58/,45/
bachthanhtam,2018-01-05T11:30:00,"Bánh Xèo, Chè Huế - Trần Hưng Đạo","Điểm cộng : - quán dễ tìm ngay ngã tư trần hưng đạo đoạn cửa đông - bánh xèo rất ngon nước chấm vừa , ăn cùng thịt nướng rất vừa miệng - quán có nhiều món chè có cả chè sầu mình vào chỉ ăn chè thập cẩm thấy khá ngon - giá cả hợp lý . Mình đi cùng chị tầm 60k/2 nguoi ăn no đến tối luôn Điểm trừ : - quán hơi nhỏ , chật nếu đi tầm giờ tan tầm là không có chỗ ngồi",7.0,6.0,8.0,7.0,5.0,None,1,nam-dinh,all,49/58/,45/
huyennguyen0095,2017-08-11T08:05:00,Sẽ quay lại,"- địa điểm: dễ tìm lắm. Gần ngã tư Cửa Đông, mặt đường Trần Hưng Đạo, đối diện mấy hàng hoa. Cửa hàng cũng rộng rãi. Có biển chè Huế to đùng. - chất lượng: mình mới ăn bánh xèo và bánh tráng trộn. Bánh xèo ăn ổn, nc chấm hơi mặn 1 chút, vì mình ăn hơi nhạt so với m.n. Bánh tráng trộn ăn tạm thôi.. cũng ko đến mức chán đâu, ăn cho vui thì cũng đc 😄 à 1 suất bánh xèo còn kèm 2 que thịt xiên ngon lắm 😋 - giá cả: hợp lí. Ko bị đắt - phục vụ: khá nhanh. Thái độ ổn.",8.0,8.0,8.0,7.0,7.0,None,0,nam-dinh,all,49/58/,45/
quynhanh8390,2016-03-26T21:06:00,Bánh xèo rẻ ngon,"Lâu lắm không ăn nhưng mình nhớ là khoảng 6.000 đến 8.000vnđ/1 bánh xèo, mỗi người chỉ cần ăn 2 cái là đã đủ no.",9.0,10.0,9.0,8.0,8.0,None,1,nam-dinh,all,49/58/,45/
annguyen22112k,2017-07-08T22:22:00,SuShi Samurai - Nguyễn Trãi,"Quán khá dễ tìm vì đường này cũng hội tụ nhiều quán ăn vặt khác nữa. Lúc đầu thấy tên quán là sushi samurai cứ tưởng bán đồ Nhật cơ, đang định vào ăn đồ Nhật mà vào lật tung menu lên mà chẳng thấy có món Nhật nào cả, chỉ toàn là đồ Hàn. Quán rộng rãi, thoáng mát, sạch sẽ. Đồ ăn lên khá chậm. Mình gọi gimbap và matcha thì thấy khá ngon. Gimbap nhân đầy đặn, nhìn đẹp mắt, ăn kèm với tương ớt và sốt mayonaise nên cảm thấy rất ngon. Matcha thì khá vừa miệng, vị hơi lạ một chút.",8.0,7.0,8.0,6.0,9.0,Có thể,0,nam-dinh,all,77/,3/
sarahnguyn1510,2016-06-29T21:07:00,SuShi Samurai - Nguyễn Trãi,Quán nằm gần hồ Vị Xuyên nên khá dễ tìm. Tuy tên quán như thế nhưng chủ yếu bán đồ hàn thôi. Đồ ăn ngon và giá mềm hơn google. Một suất rabokki giá 30 hay 35 k í có nhiều tteokbokki và có cả xúc xích ( google không có đâu nhá ) . Lẩu thì rất rẻ có khoảng 100 k thôi . Macha uống ngon và đỡ ngọt hơn google . Nhân viên tốt nhưng phục vụ hơi chậm và chỗ để xe hơi chật...,10.0,9.0,9.0,7.0,4.0,Chắc chắn,0,nam-dinh,all,77/,3/
thanhtranintel,2018-07-21T22:47:00,Pyzzi Pizza - Trần Thánh Tông,Quán đẹp ăn ngon nhân viên nhiệt tình. chỗ để oto xe máy thoải mái.,8.0,8.0,9.0,8.0,8.0,Chắc chắn,0,nam-dinh,all,77/,3/
tranhuyen.ktqd,2018-06-03T17:55:00,Khá ổn.,"Quán đẹp, pizza ăn cũng ngon , bất tiện mỗi cái quán không thấy đĩa để đựng thức ăn.",6.0,7.0,8.0,6.0,9.0,None,0,nam-dinh,all,77/,3/
hienhim,2018-06-02T19:14:00,Pyzzi Pizza - Trần Thánh Tông,Ngon Giá cả phải chăng Free ship tận nhà nên rất tiện trong những ngày nóng sml ntn,8.0,6.0,5.0,6.0,8.0,None,0,nam-dinh,all,77/,3/
foodee_a4p3q5gl,2019-11-17T20:42:00,Đạo Quán - Phở Bò Gia Truyền,"Đạo Quán - 385*** NĐ 1 tô phở ấm nóng ngọt thơm là những gì mình cần vào 1 buổi sáng mùa đông lạnh lẽo này ))) Đùa chứ nhìn tô phở thơm phức đẹp mắt được bê ra là thấy no con mắt rồi. Mình gọi phở tái, thịt được thái vừa, ngọt, nước dùng cũng ngon ngọt vị, thêm 1 chút chanh chua chua và 1 lát ớt cay cay siêu phê! Nhớ dặn không cho mì chính nha, mình có thói quen đi ăn phở đều dặn như thế để đỡ bị say ))) Không gian quán thoáng mát, sạch sẽ. Phục vụ cũng rất chu đáo và nhanh nữa.",8.0,8.0,9.0,8.0,8.0,None,0,nam-dinh,all,77/,45/
nanalin8989,2019-07-02T22:59:00,K mây'hài lòng !,"Mình vào lúc 8h kém tôi' hôm nay,quán vă'ng không có 1 ng khách. Ba anh nhân viên bâ'm dt chui bay inh oi.Mình dat 1 coc bubble thì cho 80% toàn đá,ý kiê'n thì nói bo da ra e cho thêm sua.Mot luc sau mình thâ'y k có trân châu ( mình đăt trân châu đuong đen+ rau câu) bao bo thêm trân châu vào nhung thât su hê't hung mâ't rôi.1 sao cho ban nhân viên biê't nhâ.n lôi~ và xin thông cam.",5.0,1.0,1.0,1.0,1.0,None,0,nam-dinh,all,77/,11/
thanhtm0277,2018-05-21T21:36:00,Trà Sữa Tocotoco,Không gian tuy nhỏ nhưng khá là yên tĩnh Nhân viên thân thiệt nhiệt tình Đi đâu thấy tocotoco cũng ghé cho bằng được bị ghiền chuỗi luoon rồi 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,all,77/,11/
