user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_y42e15lwuj,2024-07-06T18:07:00,Vị Hoàng Hotel,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,nam-dinh,travel,13/,40/
foodee_vlrpuid4,2024-07-05T18:11:00,Vị Hoàng Hotel,Chất lượng dịch vụ tốt,8.0,9.0,10.0,10.0,8.0,None,0,nam-dinh,travel,13/,40/
foodee_l236deqk,2024-07-04T18:06:00,Vị Hoàng Hotel,Đẹp quá,5.0,5.0,5.0,5.0,5.0,None,0,nam-dinh,travel,13/,40/
foodee_aa52zghx,2024-07-03T18:23:00,Vị Hoàng Hotel,Nên thử,5.0,5.0,5.0,5.0,5.0,None,0,nam-dinh,travel,13/,40/
foodee_n8evbbpu,2024-07-03T18:21:00,Vị Hoàng Hotel,"Vị trí thuận tiện, tiện nghi, nhân viên niềm nở.",8.0,8.0,8.0,8.0,10.0,None,0,nam-dinh,travel,13/,40/
foodee_5wob369x,2024-07-03T18:02:00,Vị Hoàng Hotel,Tuyệt vời,10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,travel,13/,40/
foodee_i8czsin23v,2024-07-02T18:01:00,Vị Hoàng Hotel,"khách sạn đúng vip lun nhìn mê ly, thích thật",5.0,5.0,5.0,5.0,5.0,None,0,nam-dinh,travel,13/,40/
foodee_furanhmt,2024-07-02T18:00:00,Vị Hoàng Hotel,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,nam-dinh,travel,13/,40/
foodee_ob7xiz3n,2024-07-02T11:13:00,Vị Hoàng Hotel,"Không gian đẹp , lịch sự",5.0,5.0,5.0,5.0,5.0,None,0,nam-dinh,travel,13/,40/
foodee_lovvnn06,2024-07-01T20:55:00,Vị Hoàng Hotel,"Nhân viên phục vụ chu đáo , nhiệt tình",9.0,10.0,10.0,10.0,8.0,None,0,nam-dinh,travel,13/,40/
foodee_w46uo896,2024-07-01T18:10:00,Vị Hoàng Hotel,"Thật tuyệt vời, điểm đến thú vị",5.0,5.0,5.0,5.0,5.0,None,0,nam-dinh,travel,13/,40/
foodee_t3b2ioy1,2024-06-30T18:05:00,Vị Hoàng Hotel,Tuyệt vời,10.0,9.0,9.0,10.0,9.0,None,0,nam-dinh,travel,13/,40/
foodee_hmnao517,2024-06-30T18:04:00,Vị Hoàng Hotel,Thoang mat,9.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,travel,13/,40/
foodee_qa17h8yv,2024-06-30T18:03:00,Vị Hoàng Hotel,Quá chất lượng,9.0,9.0,9.0,9.0,9.0,None,0,nam-dinh,travel,13/,40/
foodee_42hnrxzc,2024-06-29T19:01:00,Vị Hoàng Hotel,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,nam-dinh,travel,13/,40/
foodee_s5b0x6v6,2024-06-29T18:19:00,Vị Hoàng Hotel,Phong cách siêu sang phục vụ chu đáo không gian đẹp . Chất lượng ok lắm mọi người nhé,5.0,5.0,5.0,5.0,5.0,None,0,nam-dinh,travel,13/,40/
foodee_708d0xmi,2024-06-29T18:03:00,Vị Hoàng Hotel,Rất sang trọng,5.0,5.0,5.0,5.0,5.0,None,0,nam-dinh,travel,13/,40/
foodee_2zqailex,2024-06-28T21:20:00,Vị Hoàng Hotel,Rất sang trọng,10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,travel,13/,40/
foodee_q0b4so6a,2024-06-28T21:02:00,Vị Hoàng Hotel,"Dich vụ tốt, giá cả hợp lý",10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,travel,13/,40/
foodee_xhl62r24jv,2024-06-28T18:15:00,Vị Hoàng Hotel,Nghe cái tên đã toát lên sự sang trọng. Rất tuyệt vời khi được ghé qua,10.0,10.0,10.0,10.0,10.0,None,0,nam-dinh,travel,13/,40/
foodee_u3npz6sl,2024-06-28T18:09:00,Vị Hoàng Hotel,thật tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,nam-dinh,travel,13/,40/
foodee_ptmcarxc,2024-06-28T18:02:00,Vị Hoàng Hotel,Sẽ tiếp tục ủng hộ,5.0,5.0,5.0,5.0,5.0,None,0,nam-dinh,travel,13/,40/
