user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_5rvb68om,2024-07-22T10:51:00,9 Station Hostel & Bar,Khu nghĩ dưỡng đẹp,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_jyox3u0b,2024-07-17T15:44:00,Tốt,Nhiệt tinh thân thiện rất chu đáo,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_l7cdez88,2023-10-08T18:57:00,9 Station Hostel & Bar,Phòng sạch sẽ thoáng mát trang trí đẹp mắt nhân viên vui vẻ nhiệt tình,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_jhxdkivy,2023-10-08T17:11:00,9 Station Hostel & Bar,"Phòng sach sẽ thoáng mát , cách trang trí đẹp mắt , nhân viên vui vẻ nhiệt tình",5.0,5.0,5.0,5.0,10.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_jhxdkivy,2023-10-08T17:11:00,9 Station Hostel & Bar,"Phòng sach sẽ thoáng mát , cách trang trí đẹp mắt , nhân viên vui vẻ nhiệt tình",5.0,5.0,5.0,5.0,10.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_iq10o2pk,2023-10-08T16:27:00,Phòng sạch sẽ thoáng mát cách trang trí đẹp mắt nhân viên vui vẻ nhiệt tình,Phòng sạch sẽ thoáng mát cách trang trí đẹp mắt nhân viên vui vẻ nhiệt tình,9.0,10.0,9.0,10.0,10.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
a1u6hfwvb8,2023-10-08T15:12:00,9 Station Hostel & Bar,"Phòng sạch sẽ thoáng mát,cách trang trí đẹp mắt,nhân viên vui vẻ nhiệt tình",10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_f521399z,2023-10-08T13:12:00,9 Station Hostel & Bar,"Phòng sạch sẽ thoáng mát, cách trang trí đẹp mắt, nhân viên vui vẻ, nhiệt tình.",10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_12t5v7l6,2023-10-07T19:09:00,9 Station Hostel & Bar,Phòng sạch sẽ thoáng mát cách trang trí đẹp mắt nhân viên nhiệt tình vui vẻ,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_w0ec9zwl,2023-10-07T18:04:00,9 Station Hostel & Bar,"Phòng sạch sẽ thoáng mát, cách trang trí đẹp mắt, nhân viên vui vẻ và nhiệt tình",5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_tuo4sc23,2023-10-07T14:52:00,Lệ thủy,Phòng sạch sẽ thoáng mát Cách trang trí đẹp mắt nhân viên vui vẻ nhiệt tình,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_tuo4sc23,2023-10-07T14:10:00,9 Station Hostel & Bar,"Pòng sạch sẽ thoáng mát, tranh trí đẹp, nhân viên vui vẻ nhiệt tình",10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_uevb6tco,2023-10-07T13:30:00,9 Station Hostel & Bar,Phòng sạch sẽ thoáng mát Cách trang trí đẹp mắt nhân viên vui vẻ nhiệt tình,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_wsizd98h,2023-10-07T13:05:00,9 Station Hostel & Bar,"Phòng sạch sẽ thoáng mát , cách trang trí đẹp mắt , nhân viên thiệt tình",10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_aphnz5nk,2023-10-07T13:03:00,9 Station Hostel & Bar,"Phòng sạch sẽ thoáng mát , cách trang trí đẹp mắt , nhân viên thiệt tình",5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
Sam_sam123,2023-10-07T13:03:00,9 Station Hostel & Bar,"Phòng sạch sẽ thoáng mát, cách trang trí đẹp mắt, nhân viên vui vẻ nhiệt tình",5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_tm50phnr,2023-10-07T13:01:00,9 Station Hostel & Bar,"Phòng sạch sẽ thoáng mát, cách trang trí đẹp mắt,nhân viên vui vẻ nhiệt tình",10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_ahb89b6j,2023-10-07T13:01:00,9 Station Hostel & Bar,Phòng sạch sẽ thoáng mát Cách trang trí đẹp mắt nhân viên vui vẻ nhiệt tình,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_qp3sg2ws,2023-10-06T18:55:00,"Phòng sạch sẽ thoáng mát , cách trang trí đẹp mắt",Nhân viên vui vẻ nhiệt tình,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_by0n6v9x,2023-10-06T17:44:00,9 Station Hostel & Bar,"Phòng sạch sẽ thoáng mát, cách trang trí đẹp mắt ,nhân vien vui vẻ nhiệt tình",5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
foodee_by0n6v9x,2023-10-06T15:56:00,9 Station Hostel & Bar,"Phòng sạch sẽ thoáng mát, cách trang trí đẹp mắt, nhân vien vui vẻ nhiệt tình",5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,all,53/75/2/66/38/13/,40/
