user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
anhphong2319,2018-06-01T23:10:00,Bình luận về quán,"Cà phê ngon , đúng hương vị , phục vụ tốt , không gian rộng , thoải mái .",10.0,7.0,10.0,10.0,10.0,None,0,phu-quoc,entertain,23/67/87/,45/
foodee_7qimanox,2020-11-21T16:21:00,Karaoke Las Vegas Phú Quốc,"Không gian choáng ngợp luôn, đoàn mình ghé đây hát mà chọn được rất nhiều khung cảnh lên hình siêu xinh. Phòng hát chất lượng âm thanh rất tuyệt, mic hát nhẹ vô cùng! Lần sau nhất định sẽ quay lại đây tiếp",10.0,9.0,10.0,10.0,10.0,None,1,phu-quoc,entertain,87/,45/
ngocnguyenthihong0910,2020-05-05T20:35:00,Thủy Cung - Vinpearl Resort Phú Quốc,"Phần 8 chuyến du lịch 4 ngày 3 đêm của Su’s Ngày 3 Ăn sáng xong tụi mình chọn lịch và nhờ lễ tân gọi xe giúp để chở qua Vinpear Land. Tưởng xa ai ngờ gần lắm, lên xe điện chạy cái vèo tí là tới. Trong đây có cả nhà hàng. Cảnh thì rất đẹp, có nhiều trò chơi, có cả công viên nước, nhưng bé con nhà mình quá nhỏ làm sao mà vào công viên nước được, nên chỉ rảo vòng quanh ngoài chụp hình các kiểu, rồi đi vào thuỷ cung cho bé nhà mình xem cá thôi. _theend_ #su’sfirsttrip",7.0,7.0,7.0,7.0,7.0,None,0,phu-quoc,entertain,33/,
huynhthiminhgiao,2017-09-09T15:55:00,Đẹp,Mát mẻ và vui,10.0,7.0,6.0,5.0,10.0,None,0,phu-quoc,entertain,33/,
chulymee,2017-07-07T14:56:00,Thủy Cung - Vinpearl Resort Phú Quốc,"Thủy cung vinpearl Phú quốc. Thủy cung này nằm trong quần thể khu vui chơi vinpearl, thuộc vinpearl resort and villas. Vào đến khu vui chơi của vinpearl rồi thì chắc chắn sẽ phải đặt chân vào đây thôi kaka. ở đây thật ra cũng không khác thủy cung của vinhome times city là bao, vì mình sống ở khu này, và vào thủy cung cũng rất nhiều. Ở đây cũng có show của tiên cá, cũng có nhiều loài cá đại dương, và nhiều trò hay nhưng tựu chung lại là một khi đã vào một khu thủy cung vinpearl rồi thì những nơi khác thật sự sẽ không cảm thấy đặc sắc nữa :3",9.0,7.0,9.0,8.0,9.0,None,0,phu-quoc,entertain,33/,
oanh.do.0811,2016-12-11T12:37:00,Thích nhất màn tiên cá,"Hai cô tiên cá thật đẹp và giỏi giang, múa may uốn lượn thật đáng yêu. Có 2 giờ diễn là 11h và 15h, mỗi lần 15'. Ngoài ra, đi theo đám cad rất thích",10.0,6.0,8.0,7.0,8.0,None,0,phu-quoc,entertain,33/,
ynnhinguynt,2016-12-02T12:08:00,Dễ Thương,Vô đây nhăm nhe ngắm mấy em cánh cụt xem ngoài đời mấy ẻm thế nào hí hí. Mập mập lùn lùn nhìn ngố dã man. Bên Phú Quốc xây sau nên đương nhiên là đẹp hơn bên Nha Trang rùi. Đi ngoài safari nắng quá chui vô đây cái tọt cho mát. Cơ mà bên này không có cái đường băng chuyền như bên Nha Trang nhỉ?,9.0,7.0,10.0,9.0,9.0,None,0,phu-quoc,entertain,33/,
hangminh160196,2016-08-20T15:46:00,Thủy Cung - Vinpearl Resort Phú Quốc,"Mình đi tối cỡ 7h30 nên rất vắng, tha hồ xem cá. Cổng vào là chỗ mấy em cánh cụt, ở trong lồng ""ăn gian"" để thêm 2 bức tượng cánh cụt y chang mấy ẻm, nhìn kỹ thì mới biết là tượng. Cơ mà lần đầu có dịp thấy mấy em này, hơi khác so với tưởng tượng và trên phim ảnh. Mấy em ở đây lùn tịt và béo ú. Tiếp theo là đủ loại cá tôm. Có bảng hiệu tên từng con luôn. Khu mái vòm nước ở trên đầu ko đẹp bằng Vinpearl nha trang, ít cá hơn và nước ko trong bằng. Hơi khó hiểu là ""thủy cung"" sao có luôn mấy em kỳ nhông, iguana :)) hay do lưỡng cư nên tính vô luôn? Có các show cho cá ăn và nàng tiên cá biểu diễn, tiếc là mình đi trễ ko coi dc :( Túm lại ko rộng và đẹp như ở Nha Trang, tuy nhiên cũng khá mãn nhãn.",8.0,8.0,8.0,8.0,7.0,None,0,phu-quoc,entertain,33/,
isukerantaro,2016-06-10T17:32:00,Thủy Cung - Vinpearl Resort Phú Quốc,"Năm ngoái có đi vinpearl, nay đi vòng vòng foody thấy nên vô viết review luôn. Nếu nằm trong gói vinpearl thì miễn phí vé vào cổng. Đi lần đầu hì thấy thích lắm, nhiều loại, kiến trúc mái vòm lớn, rất đẹp. đồ lưu niệm chưa độc đáo và đẹp lắm, thấy cũng thường à, làm mình thấy ko đáng để bỏ tiền ra mua. Có máy chương trình cho cá ăn vào các ngày trong tuần ý, chưa đc coi. Nói chung là đẹp, nhưng lên hình hơi khó do as ko đủ lắm, nhiều cá, anh 2 mình thích quá trời :3 :3",8.0,9.0,8.0,8.0,9.0,None,0,phu-quoc,entertain,33/,
puby.trieu92,2016-05-06T17:34:00,Quá Đẹp 😍,"🐳 Đã đi Vinpearl, thì mình thích nhất là đi thủy cung ngắm cá, chưa kể còn có màn biểu diễn của các nàng tiên cá xinh đẹp nữa. - Không gian trong thủy cung rộng lắm, từ ngay cửa vào đã có rất nhiều các sinh vật để ngắm và thăm thú rồi. Cơ mà trong này hơi tối chút, muốn chụp selfie để lưu giữ kỉ niệm thì màu sẽ không được đẹp. - Có nhiều loại cá lạ và sinh vật biển hay, bể nào cá cũng bơi theo đàn luôn, nhìn thích mắt lắm ý. Khu bể lớn hình vòng cung là nơi hội tụ nhiều loại nhất, có cả cá mập bơi tung tăng, mà nhìn có vẻ hiền khô, mấy em rùa to khủng khiếp. Ở đây có đường băng chạy rất từ từ để du khách ngắm dễ dàng hơn nhé. - Màn biểu diễn của các nàng tiên cá hay và nhiều người chờ đón, đứng rất đông ở lối đi vào, mình mon men mãi mới vô được gần sân khấu để xem. Các nàng lặn giỏi và múa đẹp, mặc bộ đồ tiên cá trang trí đẹp, màu sắc rực rỡ. Mà còn xuất hiện thêm cả chú thợ lặn không hiểu ngụ ý là gì.",8.0,8.0,9.0,8.0,9.0,None,0,phu-quoc,entertain,33/,
