user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_tgl7g72i,2024-07-14T18:24:00,Xuất sắc,Xuất sắc,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,service,21/23/51/50/54/78/7/22/55/81/6/,43/
foodee_1uauml7m,2023-11-05T11:19:00,Cáp Treo Hòn Thơm,Đều Rất Mới Mẻ Thú Vị,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,service,23/51/80/,40/
foodee_9h2zt5h4,2023-10-06T15:21:00,Cáp Treo Hòn Thơm,Bạn nên thử 1 lần khi đến phú quốc,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,service,23/51/80/,40/
foodee_lv0s9eqo,2023-10-06T13:14:00,Cáp Treo Hòn Thơm,Bạn nên thử một lần khi đến phú quốc,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,service,23/51/80/,40/
foodee_vtnglv36,2023-10-06T12:44:00,Cáp Treo Hòn Thơm,Bạn nên thử 1 lần khi đến phú quốc,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,service,23/51/80/,40/
foodee_09eh3a0d,2023-10-06T12:44:00,Cáp Treo Hòn Thơm,Nên đến 1 lần khi đến phú quốc,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,service,23/51/80/,40/
foodee_b5dgfnaz,2023-10-06T12:42:00,Cáp Treo Hòn Thơm,Bạn nên thử 1 lần khi đến phú quốc,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,service,23/51/80/,40/
bienxanhxanh,2019-07-04T23:11:00,Cáp Treo Hòn Thơm,"Ga An Thới là nơi để lên cáp treo đi Hòn Thơm. Nơi đây cách trung tâm Phú Quốc hơi xa- khoảng 25km, nhưng lại gần bãi Sao. Nếu đi bãi Sao có thể ghé địa điểm này. Quán cafe có khung cảnh đẹp - từ trên cao nhìn xuống biển. Một địa điểm đẹp để chụp hình.",9.0,8.0,7.0,7.0,10.0,None,0,phu-quoc,service,23/51/80/,40/
phung.ngan169,2019-06-30T23:17:00,Bạn nên thử,"Cảm giác rất tuyệt vời, khoan cáp treo rộng rãi thoáng mát, ngắm cảnh rất tuyệt vời mà giá lại rất rẻ. Mình mua trên divui 138k ưu tiên ko xếp hàng soát vé. Nhà ga 2 đầu rất đẹp, sống ảo thôi rồi luôn, có xe đưa đón đi về nữa. Nhà vệ sinh lại rất sạch sẽ nữa. Giá nước cũng đc chứ ko đắt, nhưng buffet thì k êm lắm. Ra hòn thơm rất đẹp, muốn tắm biển thì tắm, võng và ghế bao la muốn nằm ở đâu nằm. Túm lại đi phú quốc mà ko đi cáp treo ra hòn thơm là tiếc lắm nhé !!",8.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,service,23/51/80/,40/
linhlinh0112,2019-04-10T17:15:00,Cáp treo,"Đi cáp treo 3 dây dài nhất thế giới Cảm giác thật thú vị Bên hòn thơm vẫn còn đang thi công chưa xong Giá 150k/1 người khứ hồi, nhưng mình mua được đại lí ngoài 120k/1 người, giá đó thì khá là ok Nước biển xanh trong Ngồi trên nhìn xuống toàn cảnh thật đẹp",8.0,7.0,7.0,7.0,8.0,None,1,phu-quoc,service,23/51/80/,40/
