user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_tgl7g72i,2024-07-14T18:24:00,Xuất sắc,Xuất sắc,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,shop,77/42/3/14/41/54/84/80/61/66/76/,24/
phamkieuni,2016-12-20T13:51:00,Hồng Tươi - Đặc Sản Phú Quốc,"Khô Phú Quốc đủ loại quy tụ về đây hết luôn đấy, nào là khô cà bè trang, khô cá trích, khô mực, khô cá đuối, khô cá sặc , cá lóc (suối), tôm khô...đặc biệt nhất là có bán cả ""vũ nữ chân dài"" (khô nhái)...nhiều loại lắm nhưng về giá thành thì cao hơn ở các nơi khác nhiều. Nhà bạn mình ở Hải Phòng ra đây chơi, ghé cơ sở khô này thấy giá cao quá nên không mua gì hết, mọi người bảo là ở Hải Phòng (cụ thể là Cát Bà) là xứ khô ngon nổi tiếng cả nước mà chưa đến nổi đắt như vậy. Mình thì thấy chất lượng khô ở các cơ sở này là tốt nhưng về giá thì đúng thật là cao. Ví như khô mực loại 1 là hơn 1 triệu 1 cân!",7.0,5.0,7.0,8.0,7.0,None,0,phu-quoc,shop,54/84/,
nguyenvan10793,2016-01-06T11:58:00,Hồng Tươi - Đặc Sản Phú Quốc,"Được người anh mang quà từ Phú Quốc cho, đặc sản mực khô là đây. Phú Quốc quả thật nổi tiếng với những thứ hải sản sấy khô này. Chất mực ngon ngọt, nướng lên mềm dai, chấm cùng tương ớt và nhắm với bia ngon dã man. Tiếc là không biết mà nhờ anh mua hộ về ăn dần dần những lúc ngồi xem phim. Một túi này tầm 1 kg, nhìn mực to bằng bàn tay một, không bị vụn hay bở. Gía mình cũng không rõ là bao nhiêu nữa, chắc cao hơn rồi.",7.0,5.0,7.0,8.0,7.0,None,1,phu-quoc,shop,54/84/,
foodee_bda37625,2022-06-14T19:54:00,Lên món chậm,"Đi ngày 14/6/2022,thứ 3,không đông,lên món chậm,phục vụ không tốt,đồ ăn được,giá làng phú quốc",8.0,5.0,9.0,1.0,1.0,None,0,phu-quoc,shop,54/84/,45/15/
phuquoc08,2021-03-13T20:15:00,Hào ngon nha mọi người,Với đứa thích hào như mình thì hào ở đây the best nha,9.0,10.0,9.0,10.0,10.0,None,1,phu-quoc,shop,54/84/,45/15/
foodee_aj8s7j2v,2021-03-13T20:08:00,Vựa Hải Sản Nhà SuBee,"Đồ ăn tươi ngon, chắc chắn sẽ quay lại, mlem mlem",10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,shop,54/84/,45/15/
h30coi95,2021-03-13T20:04:00,Ngon,Rất đáng tiền và sẽ quay lại Cảm ơn su bee,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,shop,54/84/,45/15/
foodee_bvxc7gsq,2021-03-13T19:57:00,"Ưng bụng lắm, đồ ăn siêu ngon, đáng đồng tiền bát gạo",10⭐️ cho chất lượng lẫn giá cả 👍👍,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,shop,54/84/,45/15/
canchaux1,2021-03-13T19:53:00,Vựa Hải Sản Nhà SuBee,"Ngon, chất lượng Nhà hàng hải sản rất tươi ngon.Lần sau quay lại sẽ ghé ủng hộ",10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,shop,54/84/,45/15/
foodee_qc2gr58r,2021-03-13T19:45:00,"Ngon , chất lượng","Nhà hàng hải sản rất ngon,giá cả phù hợp. mình sẽ quay lại ủng hộ các bạn",10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,shop,54/84/,45/15/
phuongdo4430,2021-03-13T19:45:00,Bắt gì thì ăn đó,Thích nhất kiểu kinh doanh “bắt gì thì ăn đó” nên hàng rất tươi ngon. Gia đình 10 ngừơi ăn phủ phê. Sẽ ủng hộ khi ghé thăm PQ.,8.0,9.0,10.0,9.0,10.0,Chắc chắn,0,phu-quoc,shop,54/84/,45/15/
quyen18051998,2017-06-21T15:20:00,Cần thiết,"Mình nghĩ bạn nào đi chơi dù có chuẩn bị kĩ tới đâu thì cũng phải có lúc cần đến siêu thị/tạp hóa. Lần vừa rồi mình đi thì thiếu một vài đồ dùng cần thiết, sẵn tiện ghé Mini Mart này. Ở đây ngoài tạp hóa bình thường thì có thêm đồ lưu niệm, được cái không bị chặt chém. Chia sẻ cho bạn nào gặp trường hợp như mình.",7.0,7.0,7.0,7.0,7.0,None,0,phu-quoc,shop,54/84/,45/
foodee_323b550a,2021-03-25T19:53:00,Chợ Đêm Phú Quốc,"Khu chợ đêm này cũng khá ấn tượng, hàng ăn uống cũng đông vui có điều người bán chào hàng kiểu níu kéo nhiều quá nên khá mệt mỏi. Ở PQ gỏi cá trích có thêm dừa sợi nên cũng hay hay có điều chưa ổn là chỉ chấm với nước mắm chứ không phải nhân thịt nên vị nước mắm át đi khá nhiều.",8.0,8.0,8.0,7.0,7.0,None,0,phu-quoc,shop,19/,45/
im.linng,2020-07-26T10:37:00,Ngày 2/5,"🐷 Vì ms hết dịch và những ngày ấy mn chưa đi du lịch nhiều, chợ mở đồ ăn rất ít, không đa dạng và rất vắng khách 🐷 Tiếc và buồn vì chưa thử được mấy món đặc sản phú quốc do cửa hàng không mở 😭 🐷 Đồ ăn mình order rất bình thường, đều giống ở hà nội, không đặc sắc và thú vị 🐷 Giá cả phải chăng 1 người no nê ăn xiên hải sản nướng, đồ uống 100k",9.0,6.0,6.0,7.0,6.0,None,0,phu-quoc,shop,19/,45/
hdtuan93,2019-01-03T16:28:00,Giang,"Mình hay ghé quán Giang ở trong khu chợ đêm Phú Quốc. Nói chung chợ đêm thì khá là nhiều chổ ăn, chỗ nào thì cũng thấy đắt khách hết thôi, còn riêng mình thì nếu ăn ở chợ đêm thì hay chọn quán Giang này. Quán khá đông, người nước ngoài có, Việt Nam có, nói chuyện rất nào nhiệt. Hải sản ở đây khá tươi, có thể chọn con mình thích để chế biến nữa. Giá thì hơi cao hơn so với các quán ở chợ Dương Đông, tuy nhiên đổi luôn ok nè. Nếu có dịp đi chợ thì trải nghiệm thử chỗ này nhé!",8.0,7.0,9.0,9.0,8.0,None,0,phu-quoc,shop,19/,45/
windyelnino,2018-11-29T09:43:00,Chợ đêm hơi ít các hoạt động giải trí,"Chợ đêm Phú Quốc nằm ở trung tâm thị trấn Dương Đông, cách chỗ mình ở tầm 4km, đi taxi mất tầm 40k. Sau khi lượn lờ ăn tối ở khu này là mình lượn vào chợ ngắm nghía vì nghe nói chợ đêm Phú Quốc rất nổi tiếng. Chợ bày bán chủ yếu các mặt hàng thời trang vòng vèo, phụ kiện các kiểu, giá cả thì phải chăng nhưng chất lượng thì không biết sao vì phải dùng một thời gian mới biết được. Đồ ăn ở chợ nhìn ngon mắt thôi rồi nhưng nghe mọi người nhắc là không nên ăn trong chợ vì vừa mắc lại vừa không an toàn vệ sinh nên mình không dám ăn chỉ dám ăn bánh thốt nốt 10k 5 cái thôi. Chợ cũng khá đông đúc với đủ các loại âm thanh vui tai, tiếng khách khứa tây ta xì xào mặc cả, trả giá, tiếng nói chuyện cười đùa phát ra từ mấy quán ăn, tiếng khán giả à ồ xem biểu diễn xiếc, tiếng các bạn tiếp thị hăm hở phát ""kẹo lạc"" cho khách ăn thử,... Còn mùi cũng đa dạng mùi đồ ăn trộn lẫn vào nhau, mùi quần áo mới từ các hàng quần áo, mùi hải sản tươi sống, ... Chợ không rộng lắm mình đi bộ vèo cái là hết nhưng dừng lại ngắm nghía chắc cũng mất tầm 1 tiếng. Ngoài cổng chợ xe taxi với xe ôm lúc nào cũng chật kín, có mấy hàng khoai nướng, ngô nướng và đồ ăn vặt nhìn vui mắt phết. Bọn mình mua khoai nướng và bánh mì pate ở xe đẩy Anh Thư ở ngoài cổng chợ ăn ngon lắm, 20k một cái bánh mỳ mà nhân cứ đầy ú ụ. Khoai nướng thì ăn bình thường.",7.0,7.0,6.0,7.0,7.0,Chắc chắn,0,phu-quoc,shop,19/,45/
morpheus4291,2018-08-24T21:51:00,Món ăn ở đây thật tuyệt,"So với chợ đêm Nha Trang thì chợ đêm Phú Quốc đi vui và đồ ăn đa dạng hơn nè, hải sản, bánh tráng, quà lưu niệm ôi thôi ngợp trời luôn. Giá cũng được chứ hổng đến nổi mắc lắm, cơ mà đi chen đông hơi mệt, chụp hình đồ ăn phê luôn. Ăn uống no nê bét nhè mấy trăm đấy nhé, hồi nào có dịp sẽ quay lại nè.",8.0,8.0,8.0,8.0,8.0,None,0,phu-quoc,shop,19/,45/
