user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_8dzhoabd,2024-08-01T14:54:00,Hạnh Ngọc Bungalow,"Rất tận tình chu đáo, rất đẹp và sang trọng không có chỗ nào để chê sự tuyệt vời này",7.0,9.0,9.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_301a0f45,2024-08-01T11:05:00,Hạnh Ngọc Bungalow,Nơi đáng để đến nhiều hơn,10.0,9.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_ag7veb82,2024-07-31T14:17:00,Tốt,"Rất tận tình và chu đáo , rất đẹp và sang trọng không có chỗ nào để chê sự tuyệt vời này",5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_3xftmspr,2024-07-30T20:09:00,Hạnh Ngọc Bungalow,"Rất tận tình và chu đáo, rất đẹp và sang trọng, không có chỗ nào để chê sự tuyệt vời này",10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_sah7e6d6,2024-07-30T16:19:00,Hạnh Ngọc Bungalow,Nơi đáng để đến nhiều hơn,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_m17ge2er,2024-07-29T18:29:00,Rất tốt,"Rất tận tình và chu đáo , rất đẹp và sang trọng không có chỗ nào để chê sự tuyệt vời này",10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_6u84yscx,2024-07-29T15:40:00,Hạnh Ngọc Bungalow,Nơi đáng để đến nhiều hơn,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_hxik2ub7,2024-07-29T12:03:00,Hạnh Ngọc Bungalow,Nơi Đáng Để Đến Nhiều Hơn,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_rm1rerie,2024-07-28T14:44:00,Hạnh Ngọc Bungalow,Nơi đáng để đến nhiều hơn,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_cl2jp6du,2024-07-27T19:35:00,Không gian Rất thoáng đãng,Có hồ bơi rất là thích,5.0,5.0,5.0,5.0,5.0,Chắc chắn,0,phu-quoc,travel,4/,45/
foodee_j0ihjz4m,2024-07-27T12:15:00,Tuyệt vời,Tuyệt lắm các***ạ. Hãy đến đây 1 lần để trải nghiệm,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_wbri4u2p,2024-07-26T11:35:00,Tốt,Phòng đẹp và sang mát mẻ phục vụ thì rất tận tình có cả hồ bơi nên rất ưng,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_jrtahkdj,2024-07-25T19:44:00,Khách sạn phục vụ rất tốt 10 điểm,Nhà hàng phục vụ rất tốt 10 điểm,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_kd0lnlrr,2024-07-25T17:55:00,Hạnh Ngọc Bungalow,sẽ tiếp tục ủng hộ,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_m7ciy63w,2024-07-25T17:08:00,Hạnh Ngọc Bungalow,Dịch vụ tốt,5.0,10.0,10.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_xqgk1s9n,2024-07-25T14:47:00,Hạnh Ngọc Bungalow,nhà hang đẹp,8.0,8.0,8.0,8.0,7.0,None,0,phu-quoc,travel,4/,45/
foodee_mprq28h4,2024-07-25T14:44:00,Hạnh Ngọc Bungalow,"Không gian lãng mạn, đẹp. Mọi thứ thân thiện, mình sẽ tiếp tục cùng bạn bè, người thân ghé thăm, nghỉ ngơi vào những lần tiếp theo.",5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_xigvn5h7,2024-07-25T10:10:00,Hạnh Ngọc Bungalow,Sẽ tiếp tục ủng hộ,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_rxl6kf9e,2024-07-25T09:19:00,Tốt,"Phục vụ tốt, không gian mat mẻ, trong lành,",10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_wanijl3b,2024-07-24T15:02:00,Hạnh Ngọc Bungalow,"Rất hài lòng , rất OK",10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_aiijv4fo,2024-07-24T14:12:00,Hạnh Ngọc Bungalow,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_om7aofzk,2024-07-24T13:01:00,Wow 😍 mình chưa bao giờ đến chỗ này nhưng nay có dịp đi rồi chỗ đẹp bao phê luôn mn ơi,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_w6ek1vth,2024-07-24T12:46:00,Hạnh Ngọc Bungalow,Nơi đáng để đến nhiều hơn,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_2vr74shp,2024-07-24T11:40:00,Hạnh Ngọc Bungalow,Tôt,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_i79c0wex,2024-07-23T20:24:00,Hạnh Ngọc Bungalow,Phục vụ rất tận tình,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_p2xhtr0y,2024-07-23T19:35:00,Tốt,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_g8flcm31,2024-07-23T19:13:00,Tốt,Phụ vụ tận tình ạ,10.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_a6u5wbib,2024-07-23T17:05:00,Hạnh Ngọc Bungalow,Trải nghiệm rất ok nha,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_yocf7ze7,2024-07-23T16:22:00,Hạnh Ngọc Bungalow,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_6ck76fst,2024-07-23T13:31:00,Hạnh Ngọc Bungalow,Sẽ tiếp tục ủng hộ,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_bja198up,2024-07-23T13:28:00,cảnh đẹp,cảnh đẹp lắm tuyệt vời,10.0,10.0,9.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_dl5o29x0,2024-07-23T12:39:00,Hạnh Ngọc Bungalow,Cảnh đẹp lắm,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_c1qeuco0,2024-07-23T12:31:00,Hạnh Ngọc Bungalow,Sẽ tiếp tục ủng hộ😘,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_7fen372s,2024-07-22T19:31:00,Hạnh Ngọc Bungalow,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_i86f7qp1,2024-07-22T19:25:00,Hạnh Ngọc Bungalow,"Cảnh rất đẹp,sang trọng xứng đáng để đi sẽ quay lại giới thiệt nhiêu bạn be",5.0,5.0,5.0,5.0,5.0,Chắc chắn,0,phu-quoc,travel,4/,45/
foodee_0q2ic84i,2024-07-22T17:30:00,Hạnh Ngọc Bungalow,Xứng đáng để đi,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_qrfejkjo,2024-07-22T16:17:00,Hạnh Ngọc Bungalow,Sẽ tiếp tục ủng hộ,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_5mg3vzeo,2024-07-22T14:58:00,Hạnh Ngọc Bungalow,Cảnh rất đẹp và sang trọng thật tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_oispx1rs,2024-07-22T14:45:00,Hạnh Ngọc Bungalow,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_yja729jj,2024-07-22T11:53:00,Tốt,"Rất tận tình và chu đáo , rất đẹp và sang trọng không có chỗ nào để chê sự tuyệt vời này",5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_yja729jj,2024-07-22T11:50:00,Tốt,"Rất tận tình và chu đáo , rất đẹp và sang trọng không có chỗ nào để chê sự tuyệt vời này",5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_j674wzp9,2024-07-22T11:11:00,Hạnh Ngọc Bungalow,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_qk52t4dv,2024-07-22T09:13:00,Hạnh Ngọc Bungalow,Nơi đáng để đến nhiều hơn,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_hmtlsu0p,2024-07-21T20:55:00,Hạnh Ngọc Bungalow,sẽ tiếp tục ủng hộ,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_rb7pjvz2,2024-07-21T18:43:00,Rất tốt,Rất tốt,5.0,7.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_ewsz65si,2024-07-21T15:38:00,Tốt,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_s4q86npp,2024-07-21T14:49:00,Hạnh Ngọc Bungalow,Nơi đáng để đến nhiều hơn,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_ccihfqhe,2024-07-21T14:06:00,Hạnh Ngọc Bungalow,Rất thích và hài lòng. Sẽ giới thiệu bạn bè đến nghỉ dưỡng nói đây,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_rh8qo7yt,2024-07-21T11:50:00,Hạnh Ngọc Bungalow,Sẽ tiếp tục ủng hộ,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_qmw88z27,2024-07-21T11:13:00,Hạnh Ngọc Bungalow,Nơi đáng để đến nhiều hơn,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_7trn4lb3,2024-07-21T11:10:00,Hạnh Ngọc Bungalow,Nơi đáng để đến nhiều hơn,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_c1qbq11h,2024-07-21T10:27:00,Chất lượng tốt,"Sạch sẽ, thoáng mát, chất lượng ok",5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_ngb08y8k,2024-07-20T20:24:00,Hạnh Ngọc Bungalow,Một nơi nghỉ dưỡng thạt đáng nhớ. Hẹn lần sau sẽ tới,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_zfdyerse,2024-07-20T19:47:00,Hạnh Ngọc Bungalow,"10 điểm cho khách sạn này nhé, dịch vụ từ lễ tân đến phòng ở rất ư là ok la😆😆",10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_p2f9y7c4,2024-07-20T18:43:00,Tot,"Rất tận tình và chu đáo ,rất đẹp và chu đáo không có chỗ nào đẻ chê sự tuyệt vời này",10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_1pu8x9w1,2024-07-20T17:40:00,Hạnh Ngọc Bungalow,Ok tuyet voi,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_s1v28f7k,2024-07-20T16:52:00,Hạnh Ngọc Bungalow,"Rất chu đáo, tận tình ko chê vào đâu được. Rất tốt",5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_aawsri25,2024-07-20T15:46:00,Hạnh Ngọc Bungalow,Khu nghỉ dưỡng đẹp,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_xr8pc3ay,2024-07-20T15:39:00,Tốt,"Rất tận tình và chu đáo, rất đẹp và sang trọng không có chỗ nào để chê sự tuyêt vời này",5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_xg881vv3,2024-07-20T14:21:00,Dạ rất là ok ạ,Phải nói là quá tuyệt vời,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_mqbtx5z6,2024-07-20T14:10:00,Tốt,"Rất tận tình và chu đáo , rất đẹp và sang trọng không có chỗ nào để chê sự tuyệt vời này",5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_bnldb1yl,2024-07-20T12:47:00,Khu nghỉ dưỡng đẹp,Khu nghỉ dưỡng đẹp,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_1w75i00o,2024-07-20T12:25:00,Khách sạn phục vụ tốt 10 điểm,Khách sạn phục vụ tốt 10 điểm,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_ycexhdr1,2024-07-20T11:56:00,Hạnh Ngọc Bungalow,Đến đây lý tưởng dịch vụ thì chu đáo nơi đáng để đi,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_ltv566ww,2024-07-20T11:22:00,Hạnh Ngọc Bungalow,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_4p1k8zw5,2024-07-20T10:40:00,Hạnh Ngọc Bungalow,Nơi đáng để đến nhiều hơn,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_4p1k8zw5,2024-07-20T10:39:00,Hạnh Ngọc Bungalow,"Rất tận tình và chu đáo , rất đẹp và sang trọng không có chỗ nào để chê sự tuyệt vời này",5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_31zaprch,2024-07-20T10:38:00,Hạnh Ngọc Bungalow,Sẽ tiếp tục ủng hộ,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_ay3fjmda,2024-07-20T09:37:00,Tốt,"Rất tận tình và chu đáo , rất đẹp và sang trọng không có chỗ nào để chê sự tuyệt vời này",5.0,5.0,5.0,5.0,5.0,None,1,phu-quoc,travel,4/,45/
foodee_2u03kvsc,2024-07-19T17:35:00,Tốt,"Vị trí thơ mộng , không gian thoáng mát, khí hậu trong lành, giá cả rất ok , phục vụ nhiệt tình chu đáo,",10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_1y5w53gi,2024-07-19T16:51:00,Hạnh Ngọc Bungalow,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_fd3gjort,2024-07-19T15:21:00,Hạnh Ngọc Bungalow,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_3ij630hi,2024-07-19T15:13:00,Hạnh Ngọc Bungalow,Qua ok,10.0,10.0,8.0,8.0,7.0,None,0,phu-quoc,travel,4/,45/
foodee_rcr2fhow,2024-07-19T14:51:00,Tuyệt vời,Sẽ tiếp tục ủng hộ.,10.0,10.0,10.0,10.0,10.0,None,0,phu-quoc,travel,4/,45/
foodee_iwd7bii2,2024-07-19T14:02:00,Hạnh Ngọc Bungalow,Khu nghỉ dưỡng đẹp,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_t26eyt8u,2024-07-19T12:35:00,Hạnh Ngọc Bungalow,Sẽ tiếp tục ủng hộ,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_fbnuwqaj,2024-07-19T12:00:00,Hạnh Ngọc Bungalow,Không Gian đẹp sạch sẽ và lý tưởng đê trải nghiêm những bê boi sang trọng,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_sathegg7,2024-07-19T10:47:00,Hạnh Ngọc Bungalow,Sẽ tiếp tục ủng hộ,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_mmed8imw,2024-07-19T09:38:00,Hạnh Ngọc Bungalow,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_qrfejkjo,2024-07-19T09:34:00,Tốt,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_k605j89h,2024-07-19T09:20:00,Khu nghỉ dưỡng đẹp,Khu nghỉ dưỡng đẹp,5.0,5.0,5.0,5.0,5.0,None,0,phu-quoc,travel,4/,45/
foodee_y02m47g3,2024-07-19T08:57:00,Hạnh Ngọc Bungalow,Rất tinh tế và sang trọng luôn ạ. Mình thật thoải mái khi đến nơi này,9.0,10.0,10.0,10.0,9.0,None,0,phu-quoc,travel,4/,45/
