user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_72h2436x,2023-09-07T11:33:00,Cardi Pizzeria Restaurant,"Bánh ngon tuyệt vời, sạch sẽ",5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,all,53/,40/
hanhvo16906,2020-01-10T10:54:00,Món Việt hay Âu đều tuyệt!,"Nhà hàng nằm ngay khu trung tâm nên khá dễ tìm, ở đây có cả món Âu - Á nên khá tiện nếu đi hội nhóm nhiều sở thích. Không gian rộng rãi, có cả khu ngoài trời và trong nhà để lựa chọn. Đồ ăn đa dạng, chất lượng, giá lại khá phù hợp cho những vị khách kén chọn nhất.",10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,all,53/,40/
suntzip,2020-01-05T21:19:00,Ngon dã mann,"Bánh ship tới mình còn nóng hổi, phô mai chảy kéo ra nhìn rất kích thích luôn 🤤 Đế bánh giòn mềm chứ không khô cứng, phô mai nhiều, thịt xông khói rất thơm. Sẽ ủng hộ nữa nữa",10.0,10.0,10.0,10.0,7.0,None,0,quang-nam,all,21/,43/
foodee_m7aemjvd,2019-07-25T23:48:00,tuyệt vời,"Mình dã ăn thử ở đây rồi pizza rất ngon đế bánh ko cứng cũng ko mềm như chỗ khác mà rất ngon, giòn hải sản thì tươi ns chung là rất tuỵet Chắc chắn mh sẽ ăn thêm nhiều lần nx",7.0,10.0,8.0,9.0,6.0,None,0,quang-nam,all,21/,43/
foodee_3aa1z0b1,2019-02-14T00:19:00,"Pizza hải sản, mỳ ý","Pizza rất ngon, giao hàng nhanh, vỏ bánh giòn vưaf phải, không bị cứng , bánh nóng nổi mới ra lò chesse còn chảy ra kéo dài bất tận , thêm nguyên liệu tươi ngon, aen 1 cái sẽ muoins aen cái thứ 2 nhé, giá cả lại rất phải chăng, nói chung nếu thèm pizza thì nên thử ở đây Còn mỳ ý thì quá ngon rồi, sốt đậm đà, ngập tràn sốt trên mỳ ý không sợ thiếu 🤤🤤",10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,all,21/,43/
hientrung104,2018-09-22T23:03:00,Amino Pizza,"Quán này ngoài pizza hải sản, bò, thập cẩm... thì còn có burger, pasta. Có freeship tận nơi quanh khu vực Hội An , hoặc đến mua mang về. Ăn mấy cái này nên thử đến quán ăn cho ngon, chứ mang về ko đc nóng hổi như ăn ở quán. Mình vẫn thích ăn bánh mới ra lò sẽ ngon hơn nhìu, nhất là phô mai chảy ra 🧀🧀🧀 sẽ ngon hơn😁. Hãy ghé quán để thưởng thức 👍",8.0,8.0,7.0,7.0,7.0,Có thể,1,quang-nam,all,21/,43/
foodee_jxzf9nbe,2021-06-06T08:11:00,Nên để ý chất lượng của các loại cá viên hơn,"Hôm trước mình có ăn ở đây, hình thức món ăn nhìn hấp dẫn, menu đa dạng so với mặt bằng chung. Nhưng khi ăn thì thấy các loại viên chiên đều bị chua chua khá khó chịu, chắc do bảo quản trong thời tiết nắng nóng nên ko tránh khỏi sơ sót. Những người bụng yếu như mình thì đã bị đau bụng. Nói chung góp ý để quán xem lại vấn đề bảo quản đồ ăn nhé. Định nói với anh chủ nhưng mà lúc đấy quán đông ko tiện.",8.0,6.0,5.0,7.0,7.0,None,0,quang-nam,all,45/46/,38/
hanhvo16906,2020-02-13T08:59:00,Quán ăn vặt quốc dân của Hội An,"Thiên đường ăn vặt là đây! Quán này thì hình như ai ở Hội An cũng biết cả chả phải view đẹp độc gì mà nằm ở chỗ độ ngon của món ăn. Menu phong phú đa dạng bắt kịp các trend hiện nay, không gian quán khá rộng rãi thoáng mát, chị chủ quán thân thiện và đặc biệt ai đã ghé thì còn ghé dài dài. Quán nằm trong kiệt nha nhưng lúc nào khách cũng đông vui tấp nập.",8.0,6.0,5.0,7.0,7.0,None,0,quang-nam,all,45/46/,38/
foodee_m89n8tth,2019-11-15T11:51:00,Nhép Nhép - Trà Sữa & Ăn Vặt,"Không giAn thoáng mát,món ăn thì bao la ghé Hội an sao k thử 1 lần ghé đến Nhép Nhép điểm ăn vẶt lí tưởng cho cÁc bạn học sinh,sinh viên...vừa ăn vừa tha hồ checkin giá thành lại rẻ nữa nè❤️❤️",8.0,10.0,10.0,8.0,7.0,None,0,quang-nam,all,45/46/,38/
foodee_o9rkzeaa,2021-05-12T20:37:00,món ngon,món ngón,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,all,21/,2/
foodee_tnz4rs2z,2019-08-18T18:01:00,Home of Pizza,"The first thing come to my mind is good pizza with very good price.. Omg, the cheese, it's so delicious!! It is a friendly family and be located in an alley way where just near center market, old quarter.. I mean, you easily can find it! Enjoy!!",9.0,9.0,8.0,8.0,6.0,None,0,quang-nam,all,21/,2/
foodee_6wlnnq8s,2019-07-31T10:28:00,Pizza Home,"Pizza xốp giòn ngon,ngon bổ rẻ rất hợp túi tiền😋",10.0,10.0,10.0,10.0,9.0,None,0,quang-nam,all,21/,2/
foodee_5ntrmxwz,2019-06-30T21:02:00,Pizza chat luong,"Vị trí gần trung tâm , dễ tìm . Không gian hơi nhõ . Đồ ăn ra lẹ . Nhân viên hoà đồng thân thiện",10.0,9.0,10.0,8.0,8.0,None,1,quang-nam,all,21/,2/
motphim001,2019-06-25T22:43:00,Pizza ngon nhất Hội An,Chất lượng pizza ở đây phải nói là tuyệt vời. Tôi chỉ ăn Alfresco hoặc ở chỗ làm nhưng từ khi thử Pizza home thì tui nfhjeenfun. Bánh giòn vỏ mỏng nhân nhiều cực nhiều,10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,quang-nam,all,21/,2/
foodee_nyw8iv5x,2024-07-06T09:16:00,Hài lòng,Nơi đáng tin tưởng về chất lượng,9.0,8.0,8.0,7.0,8.0,None,0,quang-nam,all,45/46/,
foodee_klkg8pc6,2022-06-24T19:19:00,Cháo nóng ngon!,Cháo tốt cho con gái tôi khi nó bị ốm.,8.0,8.0,6.0,9.0,6.0,Chắc chắn,0,quang-nam,all,45/46/,40/
foodee_nsy8erfd,2023-06-12T20:46:00,Highlands Coffee - 69 Nguyễn Phúc Chu Hội An,ngon,10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,all,75/2/,
foodee_nsy8erfd,2023-06-12T20:44:00,Highlands Coffee - 69 Nguyễn Phúc Chu Hội An,tuyệt vời,10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,all,75/2/,
thuvantran501,2020-02-22T21:34:00,Cà phê dừa,"👍***cao dừa của cộng đỉnh thật , uống bao nhiêu lần vẫn say , vị cà phê đậm đà 👍 👍 🙁 giá cả hơi cao tí nhưng chất lượng khá tốt . 👍 vị trí siêu thuận lợi ngồi cà phê mà lại được ngắm phố cổ nữa siêu siêu siêu thích , siêu siêu chill Nhân viên rất tận tình và dễ chịu Mỗi lần đến quán hơi phiên do quán khá đông nhưng view rất đẹp , kiểu cổ cổ",7.0,4.0,7.0,6.0,6.0,None,0,quang-nam,all,75/2/,40/
