user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_by200qcq,2023-10-06T13:17:00,đẹp,qua dẹp,10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,shop,54/84/,
nachhilfe.tran,2017-10-09T07:25:00,Reaching Out Arts & Crafts - Shop Quà Tặng,"11.05.2017 Reaching Out Arts & Crafts 103 Nguyễn Thái Học, phường Minh An, tp Hội An, tỉnh Quảng Nam Đi khắp phố cổ Hội An có nhiều Reaching Out lắm. Chỗ này có 2 mặt tiền là Bạch Đằng và Nguyễn Thái Học, là nơi bán đồ lưu niệm thủ công, có một gian vào nhìn thấy hai dãy thợ thủ công đang miệt mài làm nữa. Giá thì khỏi nói rồi :(",8.0,7.0,8.0,7.0,8.0,Có thể,0,quang-nam,shop,54/84/,
timinh9097,2022-11-10T14:47:00,Artbook - Cafe Sách,"Không gian quán tuyệt đẹp, nhiều góc chill chill chụp hình đẹp xỉu. À quán có rất nhiều sách tiếng việt và ngoại văn đẹp nữa nha. Giá cả phải chăng, nhóm mình đi 4 người tiền nước hết 150k. Chắc chắn sẽ quay lại.",10.0,8.0,9.0,8.0,10.0,None,0,quang-nam,shop,23/67/54/84/,45/
foodee_juw5wp8i,2021-08-17T20:50:00,Ngũ Cốc Dinh Dưỡng,"Ngũ cốc thơm, ngon, cô chủ bán hàng lại cực dễ thương. Lần sau sẽ tiếp tục ủng hộ shop.",10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,shop,54/84/,
c11thuyha0509,2019-10-26T10:57:00,Ăn vặt khu chợ Hội An,"Đi Hội An cũng nhiều lần rôi mà lần này mới có dịp ghé khu chợ Hội An để thưởng thức món ăn. Thấy trên youtube có review gánh thịt nướng nem lụi nên phải tới đây ăn thử.Gánh thịt nướng này nằm ngay trước cổng chính chợ Hội An gần cái giếng ấy,cổ chỉ để mấy cái bàn nhỏ vì trước cồng chợ cũng khá nhỏ .Cô bán thịt nướng, nem lụi và có cả bánh bột lọc.Lúc mình gọi thì cô mang ra dĩa nhiều xiên thịt nướng lẫn cả nem lụi, mỗi xiên ở đây có giá 7k ăn bao nhiêu thì cô tính tiền bấy nhiêu không nhât thiết bạn phải ăn hết dĩa. Thị nướng và nem lụi ăn có vị rất thấm được kẹp vào 1 miếng bánh tráng thêm một lớp bánh ướt mỏng kẹp cùng rau sống và dưa leo chấm với mấm nêm rất là ngon luôn.",8.0,8.0,8.0,8.0,7.0,None,0,quang-nam,shop,19/,40/
trangphanabc,2018-06-21T15:18:00,Ăn sáng tại chợ,"Đồ ăn trong chợ rất ngon, mình ăn tại 1 rạp trên đoạn tắt chợ ra đường Trần Phú. Đặc biệt sốt ớt ngon, mịn đến mức phải mua về 1 bịch",10.0,10.0,10.0,5.0,5.0,None,0,quang-nam,shop,19/,40/
Anh_Nguyen_3101,2018-06-21T09:17:00,Chợ Hội An,"Hôm vào Hội An công tác, mình quyết định vào đây ăn thử Cao Lầu vì ăn Cao Lầu ở các nhà hàng sang chảnh tại đây đều ko thấy ngon. 2 chị em gọi Cao Lầu và cháo vịt, ăn thấy ngon dã man luôn. Sợi mì thơm, dai dai, nước dùng cũng rất đậm đà chứ ko nhạt mồm như các quán mình đã từng ăn. Một bát đầy đặn mà giá có 25k. Cháo vịt cũng ngon, ngậy bùi. Tráng miệng bằng 2 cốc xoa xoa hạt lựu cũng miễn chê.",8.0,9.0,9.0,8.0,7.0,None,0,quang-nam,shop,19/,40/
thao.trinhmh,2018-06-07T21:54:00,Chợ Hội An,"Sáng dậy chẳng biết quán nào ăn sáng thế là nhà mình quyết định vào chợ ăn cho có nhiều món. Nào là cao lầu, mì quảng, bánh bèo, bánh cuốn, bún thịt nướng, bánh hoa hồng, hoành thánh, chè.....quá chừng món để lựa chọn luôn. Mình đạo bánh cuốn nên mình gọi món này đầu tiên, bánh ở đây dai dai, ăn giống kiểu bánh ở Saigon đó, món này ăn được. Bún thịt nướng, mình chọn loại thịt mỡ nên ăn thấy ngon hơn, nước mắm giống như có nhiều đậu phụng á, ăn ổn. Cao lầu, mình ăn thử, lâu lắm rồi không ăn cao lầu nhưng sao lần này ăn thấy lạ hoắc và ở đây có vẻ không ngon, lần trước mình có ăn rồi và ấn tượng thấy ngon, thôi để dịp sau quay lại kiếm quan ngon ăn vậy. Cái món chả ram thì với mình nó siêu dở, phải order 6 cái mới chiên, kết quả ăn 1 cái là không nuốt nổi, chả gì mà khô rang, ăn chẳng thấy vị gì, chán phát ốm. Ở đây mình thấy nếu đi gruop thì có thể gọi nhiều chỗ rồi gom về một quầy ăn cùng, thế cũng thoải mái hen, ăn rồi nhớ trả lại chén bát là được. Về chất lượng món ăn ở đây, mình không có đánh giá cao cho lần đầu tiên ghé ăn, có thể có nhiều món ngon mà mình chưa kịp khám phá.",7.0,7.0,7.0,7.0,7.0,Có thể,0,quang-nam,shop,19/,40/
viet.dreamer0711,2017-10-23T22:54:00,Chợ Hội An,"Chợ là một dãy các hàng quán nối liền nhau liên tục, các món ăn của các quán thì cũng na ná giống nhau, xoay quanh các món cao lầu, bún thịt nướng, các loại bánh miền trung.. Hôm ấy mình ăn ở quán bà Lê Thị Gái, món cao lầu mình ăn ko hợp vị lắm nên ko có nhận xét, mình có gọi 1 suất đầy đủ các loại bánh miền trung thì ăn thấy rất thích. Nước mắm chấm cũng vừa vặn và ngon xuất sắc. Ở ngoài cổng chợ có bác bán nem lụi và thịt xiên, 1 xiên 5k mà bé tý à, ăn cũng ở mức tròn vai thui.",8.0,7.0,9.0,8.0,7.0,None,0,quang-nam,shop,19/,40/
nachhilfe.tran,2017-10-09T12:41:00,Chợ Hội An,"11.05.2017 Chợ Hội An Chợ Hội An nằm giữa 4 con đường Trần Phú - Trần Quý Cáp - Tiểu La - Bạch Đằng, mặt trước đối diện Quan Công Miếu, mặt sau giáp sông Thu Bồn. Phía ngoài bán rau quả, thịt cá ... bên trong chợ là các quầy hàng ăn, có bàn ghế ngồi đàng hoàng - phân theo từng lô nên mọi thứ trở nên gọn gàng hơn, quy củ hơn. Những món nên ăn thử: cháo vịt, bánh hoa hồng trắng, bánh đập, bún thịt nướng, cao lầu, mì Quảng, bánh xèo, hến xúc bánh đa, ram, bánh mì, chè ...",8.0,8.0,8.0,7.0,7.0,None,0,quang-nam,shop,19/,40/
