user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_b99ye6pr,2024-07-07T15:32:00,Lotus Hoi An Boutique Hotel,Thật tuyệt vời món ăn ngon phục vụ rất nhiệt tình chu đáo,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_vvfks71b,2023-11-12T09:45:00,Lotus Hoi An Boutique Hotel,Đây là khách sạn mình rất thích,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_xkbmb04b,2023-11-12T09:41:00,Lotus hoi an boutique hotel,Đây là khách sạn mình rất thích,9.0,8.0,9.0,8.0,8.0,None,0,quang-nam,travel,92/,45/3/
foodee_477368a9,2023-11-12T09:40:00,Thật là tuyệt vời,Đây là khách sạn mình rất thích,10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,travel,92/,45/3/
foodee_jt9zddcj7a,2023-11-12T09:40:00,Lotus Hoi An Boutique Hotel,Đây là khách sạn mình rất thích,5.0,6.0,5.0,5.0,7.0,None,0,quang-nam,travel,92/,45/3/
conangdethuong_phuong90,2023-11-12T09:40:00,Lotus Hoi An Boutique Hotel,Đây là khách sạn mình rất thích,5.0,6.0,5.0,5.0,7.0,None,0,quang-nam,travel,92/,45/3/
foodee_yg0sw7bg,2023-10-13T09:42:00,Lotus Hoi An Boutique Hotel,Rất đáng để bỏ số tiền ra để nghỉ dưỡng tại đây!,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_fkik7cqv,2023-10-12T09:48:00,Đây là khách sạn mình rất thích,Đây là khách sạn mình rất thích,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_vvpejl5t,2023-10-12T09:44:00,Lotus Hoi An Boutique Hotel,đay là khách sạn mình rất thích,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_2bk4ru8e,2023-10-12T09:43:00,Lotus Hoi An Boutique Hotel,Đây là khách sạn mình rất thích,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_i2121jhs,2023-10-12T09:43:00,Lotus Hoi An Boutique Hotel,Đây là khách sạn mk rất thích,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_qrd1yp1o,2023-10-12T09:42:00,Rất thích,Đây là khác sạn mình thích,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_ibpxi4cf,2023-10-12T09:42:00,Lotus Hoi An Boutique Hotel,Đây là khách sạn mình rất thích .,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_t76rfzc8,2023-10-12T09:42:00,Lotus Hoi An Boutique Hotel,Đây là khách sạn mình rất thích.,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_g5y27uhf,2023-10-12T09:41:00,Lotus Hoi An Boutique Hotel,Đây là khách sạn mình thích !,5.0,5.0,5.0,10.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_p24ixd1i,2023-10-12T09:41:00,Lotus Hoi An Boutique Hotel,Đây là khách sạn mình rất thích,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_ya6im163,2023-10-12T09:41:00,Lotus Hoi An Boutique Hotel,Đây là khách sạn mình rất thích,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_f4s650jz,2023-10-12T09:41:00,Lotus Hoi An Boutique Hotel,Đây là khách sạn mình rất thích.,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_pcvkvhq7,2023-10-12T09:41:00,Lotus Hoi An Boutique Hotel,"Đây là khách sạn mình rất thích,.",5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_pd7h6xki,2023-10-12T09:40:00,Lotus Hoi An Boutique Hotel,Đây là khách sạn mình rất thích,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
foodee_8qe3av17,2023-10-12T09:40:00,Lotus Hoi An Boutique Hotel,"Đây là khách sạn mình rất thích,.",5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/3/
nghiatran2709,2016-12-15T15:11:00,Lotus Hội An Hotel,"Vừa rồi có đi du lịch với gia đình. Hội An là điểm đến quá tuyệt vời, không khí và cảnh vật tạo cảm giác rất yên bình. Book phòng ở Lotus Hội An Hotel. Cảm nhận đầu tiên khi đến là không gian quá đẹp, cảm giác cổ kính mà cứ châu âu thế nào ấy, cứ như mình được đến một khách sạn phương tây vào thập niên trước ấy. Phòng ốc khá sạch sẽ, lại có hồ bơi và khuôn viên khách sạn cũng khá rộng nên mấy đứa cháu đi chung với mình có chỗ chơi, rất phù hợp với những chuyến du lịch cùng gia đình. Bữa sáng ở khách sạn này khá ngon, nhân viên tiếp tân rất thân thiện, nhìn chung đây là khách sạn mình rất thích, nếu có quay lại chắc sẽ lại book ở đây thôi.",7.0,7.0,9.0,8.0,9.0,None,1,quang-nam,travel,92/,45/3/
girlxitintimboyhiphop8,2014-06-02T15:29:00,Lotus Hội An Hotel,"Pha trộn thiết kế Pháp và Đông Nam Á mang nét thuộc địa và đương đại và cổ điển Việt Nam. Tọa lạc trên đường Cửa Đại, Lotus Hoi An Hotel chỉ vài bước đi tới biển. Các phòng khách của khách sạn cổ điển này đều có ban công riêng, tủ mini-bar, truyền hình vệ tinh, điều hòa. Tuy nhiên ở đây chỉ có 1 nhà hàng và sức chứa tầm 150 người, hơi nhỏ nhưng khách sạn 3 sao thì cũng cỡ đó rồi đúng không mọi người. Hãy đến đây và cùng tận hưởng cảm giác thư thái như mình nhé",8.0,10.0,8.0,8.0,10.0,Có thể,0,quang-nam,travel,92/,45/3/
foodee_q0b4so6a,2024-06-28T15:31:00,Sea Star Homestay,"Thoáng mát , sạch sẽ, nhiệt tình",10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,travel,92/,45/
foodee_lavi190y,2024-06-21T15:50:00,Tốt,Tốt dịch vụ rất hài lòng,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/
foodee_6phm5qvv,2024-06-16T17:11:00,Sea Star Homestay,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,92/,45/
foodee_9v1xcy5l,2024-06-16T15:21:00,Đẹp,Phục vụ tốt,10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,travel,92/,45/
foodee_h6xghpx1,2024-06-12T15:27:00,Sea Star Homestay,Địa điểm đẹp rất thứ hít khánh rất tuyệt,10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,travel,92/,45/
foodee_h6xghpx1,2024-06-12T14:45:00,Sea Star Homestay,Đẹp quá thoáng mạt rất ưng ý,10.0,10.0,9.0,10.0,9.0,None,0,quang-nam,travel,92/,45/
foodee_wbumgfsz,2023-11-17T14:46:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,6.0,6.0,6.0,6.0,6.0,None,0,quang-nam,travel,42/3/,45/3/
anhsang_phale128,2023-11-17T13:53:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_ytp99mqi,2023-11-17T13:23:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_qkludind,2023-11-17T13:21:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_eucq1p5b,2023-11-17T13:20:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_h3v0hxdm,2023-11-17T13:13:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_87o917dv,2023-11-17T13:05:00,Victoria Hội An Beach Resort & Spa,Moji thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_qlzhs4d2,2023-11-17T13:03:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_13qhhpyo,2023-11-17T13:03:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_x79v6iwk,2023-11-17T13:03:00,Mọi thứ đều rất tuyệt,mọi thứ đều rất tuyệt,10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_fcmsp3eb,2023-11-17T13:02:00,Victoria Hội An Beach Resort & Spa,Mọi thú đều rất tuyệt,10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_en5x9emu,2023-11-17T13:02:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_hid6q54k,2023-11-17T13:02:00,Victoria Hội An Beach Resort & Spa,Mọi thứ điều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_qi6tv0o7,2023-11-17T13:01:00,Victoria Hội An Beach Resort & Spa,Mọi thứ deu rất tuyệt,10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_4gg90714,2023-10-18T16:38:00,Victoria Hội An Beach Resort & Spa,Rất đáng để đến nghỉ dưỡng nhé,5.0,5.0,5.0,5.0,5.0,Chắc chắn,0,quang-nam,travel,42/3/,45/3/
foodee_gz7f775p,2023-10-18T15:46:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,Chắc chắn,0,quang-nam,travel,42/3/,45/3/
lananh11,2023-10-18T15:32:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_69hdswkk,2023-10-18T15:30:00,Victoria Hội An Beach Resort & Spa,mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_ub34r5x53m,2023-10-18T15:27:00,Victoria Hội An Beach Resort & Spa,mọi thứ deu rat tuyệt,10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_idm79r9c,2023-10-18T14:29:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_0rvci1z7,2023-10-18T14:23:00,Victoria Hội An Beach Resort & Spa,moọ thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_j0o5np4u,2023-10-18T14:21:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_f4f9ldc8,2023-10-18T13:40:00,1,Mọi thứ đều thật tuyệt,5.0,5.0,5.0,5.0,10.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_4iwvt74f,2023-10-18T13:30:00,Victoria Hội An Beach Resort & Spa,Moi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_dbmtfmmy,2023-10-18T13:27:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_2aafoz7r,2023-10-18T13:18:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,10.0,10.0,10.0,8.0,10.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_9fww1zcq,2023-10-18T13:18:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,8.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_3gqyq0j3,2023-10-18T13:12:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_nyomyuis,2023-10-18T13:10:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_78a30qaw,2023-10-18T13:05:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_pw1oh0fi,2023-10-18T13:03:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_x22hvzra,2023-10-18T13:03:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,10.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_n9spckuh,2023-10-18T13:03:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,10.0,10.0,9.0,8.0,10.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_krmitt7w,2023-10-18T13:03:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều tuyệt,10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_4ozgyygp,2023-10-18T13:02:00,Victoria Hội An Beach Resort & Spa,Mọi thứ điều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_ulatvlxr,2023-10-18T13:02:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt.,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_4iwvt74f,2023-10-18T13:02:00,Victoria Hội An Beach Resort & Spa,Moi thu đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_qafycf3z,2023-10-18T13:02:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,10.0,10.0,10.0,10.0,10.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_i5wo2qap,2023-10-18T13:02:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_ktsqt3zd,2023-10-18T13:02:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,9.0,8.0,7.0,7.0,8.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_u2eeq0t8,2023-10-18T13:02:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_5k5xedhz,2023-10-18T13:01:00,Victoria Hội An Beach Resort & Spa,Mọi thứ đều rất tuyệt,5.0,5.0,5.0,5.0,5.0,None,0,quang-nam,travel,42/3/,45/3/
foodee_td5q23m8,2023-10-18T13:01:00,(Mọi thứ đều rất tuyệt ),Mọi thứ đều rất tuyệt,8.0,10.0,9.0,9.0,7.0,None,0,quang-nam,travel,42/3/,45/3/
