user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_f77954a3,2021-06-01T21:20:00,Ủa gì đây???,Đây gọi là pizza gì hả các bạn?,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,all,77/,45/
theljfe,2020-09-20T10:00:00,Pizza Hut - Hạ Long,"Chuỗi pizza hut thì không bàn về chất lượng. Nhưng thái độ phục vụ của pizza hut Hạ Long thì không thể chấp nhận được. Đúng kiểu đến ăn là việc của khách, còn phục vụ hay không là việc của chúng tôi. Bát đĩa không dọn ra cho khách. Menu không đưa cho khách. Khách đến cứ việc chọn bàn và ngồi chơi. Nhân viên không có nhu cầu tiếp khách.",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,all,77/,45/
Hieungotrung1995,2019-08-17T20:06:00,Khá là ok,"Món ăn ngon, đa dạng, mang phong cách Western với rất nhiều cheese . Chỗ ngồi view đẹp, ngắm đc biển khi ở tầng 2 Điểm duy nhất chưa vừa lòng là thái độ của nhân viên, không có tinh thần tận tuỵ với việc phục vụ, lạnh nhạt làm cho xong kiểu sao sao đó, và có vẻ chưa thông thuộc lắm việc bật tắt điều hoà :((((( tuy nhiên điều này không phản ánh hết tập thể rất cố gắng của pizza hut , chắc chắn sẽ quay lại ủng hộ pizza hut",10.0,9.0,9.0,4.0,10.0,Chắc chắn,0,quang-ninh,all,77/,45/
phamhuong306,2019-05-12T20:17:00,Pizza Hut - Cảng Mới,"Pizza size 20 giá chỉ 29k, ngon bổ rẻ 🤣🤣",8.0,7.0,7.0,7.0,8.0,None,1,quang-ninh,all,77/,45/
hahonghanh1603,2019-01-03T21:31:00,Pizza Hut - Cảng Mới,"Không gian : Rộng, sáng sủa, có hẳn mấy tầng liền tha hồ họp nhóm họp lớp các kiểu con đà điểu nha. Vị trí : Gần vincom, gần chợ Hạ Long cũng khá tiện đấy. Khu vực cột đồng hồ nha. Món ăn : Mình gọi pizza cao cấp size nhỏ. Bánh gồm xúc xích, nấm, dứa, ớt chuông,... và lớp phô mai kéo dài thật dài và thơm thức vị sữa ấy. Đế bánh dày vừa miệng, vị vừa đủ để tôn lên phần nhân. Mình gọi trà đào hạt chia. Uống thanh nhẹ, chua chua thanh mát kết hợp với đồ ăn thì tuyệt luôn, chứ uống không thấy hơi nhạt sao sao ấy. Nhân viên : khá nice, thân thiện, đồ ăn có khá nhanh.",9.0,7.0,9.0,8.0,8.0,None,1,quang-ninh,all,77/,45/
vankhanh.nguyenx,2018-07-28T22:29:00,Pizza Hut - Cảng Mới,"Hôm nay lần đầu thử ăn pizza Hạ long. Đang có khuyến mại mua 1 tặng 1 toàn quốc nên ở đây cũng vậy. Mình gọi 1 pizza thập cẩm, 1 bánh hawai, mì bolognaise. Nhận xét của mình là pizza đế mỏng bị khô và mỏng quá nên ăn mất ngon. Pizza đế dày ăn ngon hơn. Mì Ý thì chỉ có vài miếng thịt bò lèo tèo, sợi mì cũng không đặc sắc lắm. Giao hàng nhanh, đúng 30 phút. bạn nhân viên tổng đài nhiệt tình. Lần sau chắc mình sẽ chỉ ăn pizza đế dày thôi.",8.0,7.0,6.0,8.0,7.0,None,0,quang-ninh,all,77/,45/
TrangDuong1481998,2018-07-20T00:49:00,Pizza Hut - Cảng Mới,"Rất tuyệt, vote 8/10 luôn! Chả hiểu sao trước không ăn nổi pizza, mà bây giờ cứ thỉnh thoảng lại làm 1 cái ăn cho sướng mồm :)) Mình thì chỉ hợp ăn bánh auto phomai thôi. Cứ bánh như vậy thì ăn được nhiều, chứ mà nhân khác là khỏi ăn luôn. Thường hay gọi 1 bánh phủ phomai, đế dày và cũng viền phomai luôn. giá thành cao nhưng chất lượng thì chẳng có gì đáng phải chê trách cả. Vỏ bánh rất mịn và ngon, đế bánh không hề bị khô cứng luôn. Nhân đầy ắp mà lớp phomai nóng chảy phía trên cực kì thơm bùi. Hôm nay gọi ship về nhà 1 bánh phủ phomai size nhỡ, 1 suất bánh dẻo nhân phomai thì được tặng thêm 1 bánh pizza hải sản sốt tiêu đen cùng size nhỡ và 1 chai coca to. Bánh đế cũng dày không khô, hải sản tôm - thanh cua - mực ăn cũng tàm tạm vì thấy vị hơi nhạt nhẹ. Nói chung vẫn không ưng bằng phomai đâu🤪 Cảm giác ăn mùa đông vẫn ngon hơn nhiều í",7.0,6.0,9.0,8.0,6.0,None,0,quang-ninh,all,77/,45/
minhthu895,2018-01-19T17:07:00,Pizza Hut - Cảng Mới,Pizza hut là hãng pizza nổi tiếng quá r nên không còn gì để chê trách Giá thành khá cao tuy nhiên tiền nào của ấy ăn rất đáng đồng tiền. Hơn nữa hiện tại đag có nhiều chương trình khuyến mại nên chỉ giá rơi vào 100k 1 người là ok rồi Thái độ phục vụ của nv tốt và chuyên nghiệp,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,all,77/,45/
ngocxinhgai2001,2017-12-25T12:20:00,Pizza Hut - Cảng Mới,".Đây là hãng pizza nổi tiếng,giá cả khá cao. .Mình gọi combo gồm có 1 pz, 1 salat và 4 fanta, 1 pz siêu sao thịt hun khói mới và cơm.Ấn tượng ban đầu là đồ ăn trang trí khá đẹp mắt. Đồ ăn thơm ngon,độ thơm ngon tỉ lệ thuận với giá tiền.Pz nhiều phô mai,thơm,bùi.Nhân đầy đặn, đế bánh không bị khô cứng, bánh mỏng hay dày cũng đều rất ngon.Trong bánh siêu sao, trong mỗi cánh có phô mai ăn bùi,ngon hơn pz thường rất nhiều.Mình ăn salat cá ngừ,sốt thơm, cá hơi mặn nhưng k bị khô.Mình khá thích món cơm, bùi, tôm nguyên con đc rang với đỗ, mực,...Ăn vừa vặn. .Cái mình không thích là nước, không có gì đặc biệt nhưng lại 30k/1 cốc .",7.0,7.0,8.0,8.0,8.0,None,0,quang-ninh,all,77/,45/
ngocxinhgai2001,2017-12-10T17:31:00,Pizza Hut - Cảng Mới,".Vị trí của quán quá tuyệt vời luôn: nằm ngay giữa trung tâm, gần vincom. .Không gian quán khá rộng rãi, thoáng mát và sang trọng.Mình thường ngồi tầng 2 để có thể ngắm đường phố hay nhìn thẳng ra biển. .Menu đa dạng,có nhiều combo cho bạn lựa chọn. .Đối với mình,pizza không hợp khẩu vị lắm.Đế bánh khá dày hơi khô,phô mai nhiều,nhân cũng đầy ắp luôn .Nguyên liệu ở đây mình thấy không được tươi lắm. .Mình thích cách phục vụ ở đây :nhân viên mặc đồng phục chung,ăn nói nhẹ nhàng nhưng sẽ phải đợi lâu nếu bạn đến lúc đông khách.",7.0,8.0,8.0,7.0,7.0,None,0,quang-ninh,all,77/,45/
