user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_ov3djpn4,2023-11-16T16:01:00,Halong Bay View Hostel & Pub,Không gian khá chill nhạc hay nhiều loại rượu nhân viên nhanh nhẹn dễ gần,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_yaxjlm41,2023-11-16T15:59:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại rượu, nhân viên dễ gần",10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_2gyeayzi,2023-11-16T15:49:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn dễ gần",10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_1sun782m,2023-11-16T15:35:00,Halong Bay View Hostel & Pub,Mình rất thích nơi này,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_3awg4ez0,2023-11-16T15:10:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại, nhân viên dễ gần",10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_mnvy47lb,2023-11-16T14:54:00,Ok,"Không gian khá chill, nhạc hay và nhiều loại rượu",7.0,8.0,9.0,10.0,10.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_1yh7s39g,2023-11-16T14:48:00,Halong Bay View Hostel & Pub,Nhạc hay nhiều loại riệu,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
nuongtran1099456503,2023-11-16T14:21:00,Tuyệt vời,Không gian đẹp,9.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
tuyetyeuthuong_vboy312,2023-11-16T14:02:00,Không gian khỏi phải chê,"Không gian khá chill, nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn dễ gần",5.0,5.0,6.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_l18vqgbk,2023-11-16T13:40:00,Halong Bay View Hostel & Pub,"Không gian khá chil, nhạc hay nhiều loại rượu , nhân viên nhanh nhẹn dễ gần",10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_mf1yu7xx,2023-11-16T13:34:00,"Không gian khá chill,nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn","Không gian khá chill,nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn",10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_em6tlga7,2023-11-16T13:10:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn dễ gần",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_l98wbcv2,2023-11-16T12:46:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn dễ gần.)",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_e4stda1l,2023-11-16T12:31:00,Halong Bay View Hostel & Pub,"Không gian khá chill , nhạc hay nhiều loại rượu nhân viên nhanh nhẹn dễ gần",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_orr9f7o4,2023-11-16T12:29:00,Halong Bay View Hostel & Pub,Không gian quán chill nhạc hay nhiều loại rượu,10.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_23hnknkx,2023-11-16T12:28:00,Đánh giá,"Không gian khá chill, nhạc hay, nhiều loại rượu, nhân viên nhanh nhẹn dễ gần",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_ov3djpn4,2023-11-16T12:15:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn dễ gần.",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_5tgkqx2d,2023-11-16T12:04:00,Halong Bay View Hostel & Pub,"Khong gian kha chill, nhac hay nhieu loai ruou, nhan vien nhanh nhen de gan",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_46m792ml,2023-11-16T11:53:00,Halong Bay View Hostel & Pub,Không gian chill nhạc hay,5.0,5.0,10.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_ne5jn73n,2023-11-16T11:43:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn dễ gần",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
vuhuong.nthy,2023-11-16T11:34:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn dễ gần",6.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_7ban5w9n,2023-11-16T11:29:00,Halong Bay View Hostel & Pub,Không gian khá chill. Nhạc hay và nhiều loại rượu. Nhân viên nhanh nhẹn dễ gần.,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_np6jrqpc,2023-11-16T11:25:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn dễ gần",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_7ban5w9n,2023-11-16T11:25:00,Halong Bay View Hostel & Pub,Khách sạn đẹp và có tầm nhìn tuyệt vời của biển từ ban công. Không gian khá chill. Nhạc hay và nhiều loại rượu. Nhân viên nhanh nhẹn dễ gần,9.0,10.0,10.0,10.0,9.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_2xiupt48,2023-11-16T11:24:00,Halong Bay View Hostel & Pub,"Không gian khá chill . Nhạc hay nhiều loại rượu , nhân viên nhanh nhẹn dễ gần",10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_wy2acg82,2023-11-16T11:23:00,Halong Bay View Hostel & Pub,Không gian khá chill nhạc hay Nhiều loại rượu Nhân viên nhanh nhẹn dễ gần,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_dfi0el58,2023-11-16T11:23:00,Halong Bay View Hostel & Pub,"Không gian khá chill ,nhạc hay nhiều loại rượu , nhân viên nhanh nhẹn dễ gần",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
hoangkimthanhsang,2023-11-16T11:23:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn dễ gần",10.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
thynguyn867572220,2023-11-16T11:22:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn dễ gần",10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_0vat61r1,2023-11-16T11:21:00,Halong Bay View Hostel & Pub,"Không gian khá chill , nhạc hay nhiều loại rượu , nhânh viên nhanh nhẹn dễ gần",10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_gugw036n,2023-10-25T15:23:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại rượu , nhân viên nhanh nhẹ dễ gần",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_wzt6icap,2023-10-25T15:22:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại rượu, nhân viên phục vụ chu đáo dễ gần",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_pu11c3gt,2023-10-25T15:03:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn dễ gần",9.0,8.0,8.0,9.0,8.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_zf1ojl6d,2023-10-25T14:57:00,Halong Bay View Hostel & Pub,"Không gian khá chill,nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn dễ gần",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_ddwdhpnz,2023-10-25T14:43:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn dễ gần",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_b7f8rcdr,2023-10-25T13:55:00,Halong Bay View Hostel & Pub,"Không gian khá chill, nhạc hay nhiều loại rượu, nhân viên nhanh nhẹn dễ gần",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
Vyne,2023-10-25T13:54:00,Halong Bay View Hostel & Pub,"Không gian khá chill,nhạc hay nhiều loại rượu,nhân viên nhanh nhẹn dễ gần",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_7d2erev1,2023-10-25T13:40:00,Halong Bay View Hostel & Pub,Không gian khá chill.nhac hay nhiều loại rượu nhân viên nhanh nhen dễ gần,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,entertain,44/55/46/92/,45/
foodee_ea5ca47t,2023-10-25T13:36:00,Halong Bay View Hostel & Pub,không gian khá chill nhạc hay nhiều loai rượi nhân viên nhẹ nhàng dễ gần,5.0,5.0,5.0,5.0,5.0,None,1,quang-ninh,entertain,44/55/46/92/,45/
