user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_34dg5jjw0b,2020-11-20T01:08:00,Gây ngộ độc thực phẩm,2 vợ chồng mình và 1 người nữa ăn. Cả 3 đều bị ngộ độc vs dấu hiệu “miệng nôn trôn tháo”. Ko hiểu do nguồn gốc gà hay do quy trình chế biến ko an toàn. Mình ko dám ns điêu vì mình ko có thù hằn gì vs cửa hàng hết. Nhưng thật sự ko hài lòng. Đêm gần 2h rồi 2 vợ chồng vẫn thi nhau ngồi bồn cầu.,4.0,3.0,1.0,2.0,3.0,None,0,quang-ninh,shop,48/49/58/54/84/,12/
foodee_srh85tzz,2019-04-26T08:48:00,Càng ngày càng thấy dịch vụ ở đây tệ.,"1. Thái độ của nhân viên rất kém, ngày trc còn thấy Lotteria xin chào. Mấy lần này đến nhân viên ko những ko niềm nở. Đưa cho khách khoai hình như chiên từ tối hôm trc. Nguội ngắt mà ỉu nhũn. Khách ra phàn nàn thì cũng ko xin lỗi hay nói đc 1 câu nào, ko nói 1 câu nào! Đi chiên “lại” khoai đấy đưa cho khách. Mình thử xem lại mình có phải thái độ trịch thượng ko nhưng ko hề! Mình rất nhẹ nhàng lịch sự! Sure luôn đấy! Làn này là lần thứ mấy ấy, mình thấy thái độ nhân viên ở outlet này tệ! Nên mới viết lên đây! 2. Đồ ăn vốn ngon nên mới hay ăn, nhưng hôm qua mình nhận đc 1 miếng lườn gà chắc rán lại mấy lần rồi, đến mức khô khốc, rai ngoanh ngoách luôn ấy. Chán! 3. Nhân viên để quán quá bẩn, bàn ghế mỡ màng, ngay chỗ lấy tương mà đầy những con ruồi giấm bay lượn. Kinh tởm. Quản lý ở đây ko biết làm việc kiểu gì nhỉ.",10.0,7.0,1.0,1.0,1.0,None,1,quang-ninh,shop,48/49/58/54/84/,12/
manhmanh2001,2018-11-23T12:19:00,Lotteria - Lê Thánh Tông,"Mình viết hơi nhiều về chất lượng đồ ăn rồi nên bài này sẽ chi tóm gọn lại là ngon và tiện thôii :)) Cái mình muốn nói ở đây là về thái độ phục vụ của quán 😫 thật sự không muốn so sánh nhưng mình đến lotte bigc các chị rất niềm nở. Ở đây thì không hề .. Order cho khách mà như mất sổ gạo vậy, mình hỏi chị là còn cơm gà không, chị ấy đáp không bạn! Rồi quay ngoắt đi luôn mà không đợi mình ord tiếp ?? Mặc dù quán lúc đó không hề đông khách 😢 :< đấy là lí do đôi lúc mình phân vân đến lotte LTT hay lên vincom và cuối cùng chọn vin :)) mình không đặt nặng vđề khách hàng là thượng đế quá nhưng thái độ như thế thì cũng nên rút kinh nghiệm 🧐",8.0,8.0,8.0,5.0,8.0,None,1,quang-ninh,shop,48/49/58/54/84/,12/
manhmanh2001,2018-11-22T15:35:00,Lotteria - Lê Thánh Tông,"Lotte mới dùng loại hộp này bao xinh luôn :""> sạch sẽ và lịch sự hơn hẳn. Lúc đến tay mình còn được cố định bằng băng dính với đáy túi để không bị xô lệch nữa. Không hiểu sao mình thấy phần cơm này nhiều hơn ăn ở quán 😂 gà thì chất lượng vẫn đỉnh rồi. Mình thích gà sốt ở đây nhất luôn. 👍🏻 ship qua cầu mà vẫn nóng hổi. Có điều đặt lúc tầm trưa 11h nên là đông khách phải đợi lâu dã man 😢 Nchung là với giá 43k/suất thì quá hợp lí cho 1 bữa trưa rồi ♥️",8.0,8.0,8.0,7.0,8.0,None,0,quang-ninh,shop,48/49/58/54/84/,12/
Linhphi.2101,2018-09-16T18:17:00,Lotteria - Lê Thánh Tông,Cuối tuần vào lotteria là hợp lý nè :v Gần dịp trung thu nên có nhiều combo giảm giá lắm nha Mình gọi combo 4 miếng gà bé kia thêm nước hoa atiso đang sale 44% còn 32k combo ạ. Khoai tây lắm phô mai 38k. Hamburger gà happy 25k nhie. Trà sữa trân châu 25k ngon lắm nó là trân châu đen giòn sần sật có vị hơi chua của trà chuẩn vị lắm. Gọi là trà hoa atiso nhưng thực chất là nước chanh thêm 1 chút sắc đỏ hoa atiso đó. Rất ngon ngọt và thơm mùi hoa atiso nữa. Mình gọi 4 miếng gà ăn cả hai lần đều có mùi hơi khét thì chắc là do vị bột tẩm nhưng mình thấy combo giảm giá này là quá được luôn. Hamburger lúc nào cũng ngon khỏi bàn lunnn Quán thoáng đãng rộng rãi view đẹp nhân viên phục vụ chu đáo. Vote 9/10 ạ.,8.0,8.0,10.0,9.0,9.0,None,0,quang-ninh,shop,48/49/58/54/84/,12/
Linhphi.2101,2018-06-21T17:38:00,Lotteria - Lê Thánh Tông,Đồ ở lotteria thì khỏi chê luôn. Đợt này mới ra cơm loại chảo nên mình được free cốc trà sữa hoặc là nước bạc hà. Mình rất thích ăn gà sốt phô mai. View đẹp rộng rãi mát mẻ. Có bác bảo vệ vui tánh lắm luôn. Ăn ở chỗ nào thì vẫn thấy ở chỗ gần chợ hạ long là ngon nhất ạ :v vote 9/10.,8.0,6.0,8.0,7.0,8.0,None,0,quang-ninh,shop,48/49/58/54/84/,12/
hahonghanh1603,2018-05-19T18:20:00,Lotteria - Lê Thánh Tông,"Huhu tôi ra ăn combo 29k mà báo hết các ông ạ 😭 Đọc ghi bên ngoài rõ là đến 31/5 mới hết hạn chứ 😭😭 Thôi thì gọi một chú chicken burger vậy 😅 Cũng không hiểu sao gói bánh là cheese egg nữa -_- Cực ưng phần vỏ bánh, mềm, thơm và có vẻ như ra vừa mới làm xong, ngon. Nhân thì có miếng gà + sốt mayon + rau. Rau không tươi lắm nên mình bỏ hết ra, gà ăn quá bình thường nếu không nói một cách tiêu cực là chán. Giá 25k thì mình ăn được 2 cái bánh mì full nhân thịt nhân gà rồi 😅 Không gian thì quá quen thuộc nên không nói đến nhé. Sạch sẽ, mát ! Và ở đây không còn wifi nữa hay sao ấy, điểm này thật đáng chê.",8.0,7.0,7.0,7.0,8.0,None,0,quang-ninh,shop,48/49/58/54/84/,12/
buinhung10dia,2018-05-06T11:17:00,Lotteria - Lê Thánh Tông,"Địa điểm ăn chơi, ăn chống đói quá quen thuộc rồi nên mình sẽ không review gì nhiều nữa, mình chỉ dành lời khen cho nhân viên thôi, quá đáng yêu <3",9.0,9.0,8.0,9.0,7.0,None,0,quang-ninh,shop,48/49/58/54/84/,12/
ngocxinhgai2001,2018-04-03T04:38:00,Lotteria - Lê Thánh Tông,".Cứ mỗi lần lười về nhà là mình lại ghé đây ăn trưa( Một trong những quán yêu thích của mình). .Không gian thoáng mát, đèn vàng tạo cảm giác ấm cúng. .Đối với mình,gà sốt phô mai rất hợp khẩu vị.Lớp phô mai phủ óng lên miếng gà luôn, ngọt ngọt,ngậy ngậy thêm chút cay của tương thì quá là tuyệt vời lúc.Thêm 1 cốc pesi thì no đến tận chiều luôn. .Lúc mình đi là giờ cao điểm nên chờ có hơi lâu. Phục vụ chưa được tốt lắm, còn hời hợt đối với khách hàng.",8.0,8.0,8.0,5.0,8.0,None,0,quang-ninh,shop,48/49/58/54/84/,12/
Linhpham2212,2018-03-30T15:30:00,Lotteria - Lê Thánh Tông,"Lotte đang giới thiệu loại cơm mới. Mua một suất cơm được tặng thêm một suất nước nữa nên mình đến thử ❤️. Suất cơm hôm nay mình mua là 42k. Thực ra được tặng thêm cả nước nên mình mới thấy rẻ thôi chứ 42k cho một suất cơm như thế này thì mình thấy là hơi chát... Mọi người nhìn trên ảnh thì thấy khá nhiều thôi chứ đây của bát nông lắm, được mỗi một tí thịt bò. Mình thấy thịt bò mới cũng khá ngon. Thịt như kiểu được nấu cho mềm ra xong trộn với nước sốt nên ăn vừa miệng lắm. Cơm ở Lotte thì vẫn hơi ít so với mình nhưng cơm không bị khô hay nát, cơm khá dẻo và ăn cùng thịt bò rất hợp vị. Về nước thì chỉ có 2 vị thôi, mình không nhớ vị tên là gì nữa chỉ nhớ có một loại màu hồng và màu xanh. Màu hồng mình chưa uống nhưng mình thấy nhiều người chê, còn màu xanh thì mình uống như bột liptone mà mình hay uống ngày xưa ấy, bên trên phủ một ít chanh leo nữa, mình thấy cũng khá ngon đấy chứ :)) Tóm lại là vì đang trong chương trình tặng kèm nên các bạn hay tranh thủ đi ăn đi nha❤️.",7.0,5.0,6.0,7.0,8.0,None,0,quang-ninh,shop,48/49/58/54/84/,12/
tieusongtu94,2017-11-28T17:57:00,Gà - lại là gà !!!,"Giờ ăn đến rồi, lại đi ăn thôi! Bữa trưa bạn chán ăn phở, ngại rét, thế thì vào Lotte đi, vừa được ăn no lại không sợ rét. Quán lotte mình giới thiệu ở ngay chỗ cột đồng hồ rẽ vào đường đi chợ Hạ Long. Chán ăn cơm nên trưa rẽ vào ăn gà lotte đây. Cứ muốn nhanh gọn lẹ, k phải rửa bát thì cứ thôi 😂😂. Một suất gà sốt cay 2 pesi đã tiếp thêm năng lượng làm cả buổi chiều rồi, ăn no căng. Tớ rất thích màu sắc, ánh điện, cách trang trí của các cửa hàng lotteria. Dù không gian chật hay rộng vẫn tạo được cho người vào ăn cảm giác thoải mái, rộng rãi, không gì bó. Dù bạn có gọi 1 chiếc kem 5k cũng có thể ngồi cả ngày trong quán để bắt wifi làm việc, lướt web, tránh nóng, tránh mưa. Tội gì mà không vào lotte ngồi chứ, không gian hấp dẫn thế mà HiHi 😊😊",8.0,8.0,9.0,8.0,9.0,None,0,quang-ninh,shop,48/49/58/54/84/,12/
