user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_lrfr2eqa,2024-07-13T15:15:00,La Paz Resort Hạ Long,Đẹp sịn chuẩn 5*,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_4zbyrsbq,2024-07-13T15:10:00,La Paz Resort Hạ Long,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_7er42afl,2024-07-13T15:06:00,La Paz Resort Hạ Long,Nơi lý tưởng để đến,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_w16rzp7y,2024-07-13T15:04:00,La Paz Resort Hạ Long,"Tuyệt vời, đáng đến thăm ☺️☺️☺️",7.0,7.0,6.0,8.0,8.0,None,0,quang-ninh,travel,1/,40/
foodee_1dqh74id,2024-07-13T15:01:00,La Paz Resort Hạ Long,"Cảnh đẹp,nhiều dịch vụ tốt",5.0,5.0,6.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_yqiyhqx3,2024-07-12T15:14:00,Dịch vụ tốt,Ngon bổ rẻ,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_7vnxho70,2024-07-12T15:06:00,La Paz Resort Hạ Long,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_t3pfnhqh,2024-07-12T15:02:00,Tốt,Rất tuyệt vời khi tới nơi này,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_fwnacrx9,2024-07-11T16:13:00,La Paz Resort Hạ Long,Xuất sắc,10.0,6.0,9.0,8.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_r0y3r1bv,2024-07-11T15:22:00,La Paz Resort Hạ Long,Rất hài lòng tốt 😘😘,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_5178o0qi,2024-07-11T15:16:00,La Paz Resort Hạ Long,Tốt,8.0,8.0,8.0,8.0,9.0,None,0,quang-ninh,travel,1/,40/
foodee_6g0f6ijk,2024-07-11T15:10:00,La Paz Resort Hạ Long,Đẹp,7.0,8.0,8.0,9.0,9.0,None,0,quang-ninh,travel,1/,40/
foodee_2yqzzf99,2024-07-11T15:03:00,Tốt,Tốt,5.0,5.0,7.0,9.0,8.0,None,0,quang-ninh,travel,1/,40/
foodee_qpm94frk,2024-07-11T15:03:00,La Paz Resort Hạ Long,Tốt,7.0,6.0,6.0,5.0,7.0,None,0,quang-ninh,travel,1/,40/
nkokdontcry,2024-07-10T16:24:00,La Paz Resort Hạ Long,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_uv5m7msg,2024-07-10T15:24:00,La Paz Resort Hạ Long,Trên cả tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_2mhnfknu,2024-07-10T15:07:00,Tot,Tot,10.0,10.0,10.0,9.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_16jnoh61,2024-07-10T15:06:00,Tuyệt vời,Rất tuyệt vời khi đến hạ long,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_1c19q2t2,2024-07-10T15:01:00,La Paz Resort Hạ Long,Đẹp,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_76osqbuz,2024-07-09T19:09:00,La Paz Resort Hạ Long,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_6eiivyre,2024-07-09T16:24:00,La Paz Resort Hạ Long,Đẹp tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_mbuhw4kd,2024-07-09T15:17:00,La Paz Resort Hạ Long,Đẹp xuất sắc,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_ddarago2,2024-07-09T15:03:00,La Paz Resort Hạ Long,Đánh giá tốt,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_ufo11tuk,2024-07-09T15:03:00,La Paz Resort Hạ Long,Món ăn ở đây thật tuyệt,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_k2ds1fxmdp,2024-07-08T15:13:00,La Paz Resort Hạ Long,tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_rwh99gtj,2024-07-08T15:06:00,La Paz Resort Hạ Long,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_3o3084sr,2024-07-08T15:04:00,Tốt,"Dịch vụ rất tốt, nhân viên nhiệt tình chu đáo",10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_81yr0z9k,2024-07-07T16:13:00,La Paz Resort Hạ Long,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_c35xmaam,2024-07-07T15:09:00,"Quá đẹp,tuyệt vời","Quá đẹp ,tuyệt vời",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_h6hiqo3k,2024-07-07T15:09:00,La Paz Resort Hạ Long,"Đô uống rất ngon, nhân viên phục vụ rất tuyệt vời",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_ai3pt8ch,2024-07-07T15:04:00,La Paz Resort Hạ Long,"Resort hạ long quá tuyệt vời, món ăn siuu ngonnn",10.0,7.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_wwafbjsj,2024-07-07T15:03:00,La Paz Resort Hạ Long,Đánh giá tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_g2jyx7h2,2024-07-06T17:03:00,La Paz Resort Hạ Long,"Phong cảnh đẹp mê ly luôn, đẹp quá đi thôi",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_bx2ftjoi,2024-07-06T16:35:00,La Paz Resort Hạ Long,Đẹp mê ly dịch vụ lại quá tốt đánh giá 5 sao,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_9dwl9boo,2024-07-06T15:29:00,La Paz Resort Hạ Long,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,1,quang-ninh,travel,1/,40/
foodee_f8ra01cu,2024-07-06T15:11:00,Quá tuyệt vời,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_2dplha9s,2024-07-06T15:07:00,10đ,Rất tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_v9cjp2fh,2024-07-06T15:05:00,La Paz Resort Hạ Long,Đẹp quá,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_y42e15lwuj,2024-07-06T15:05:00,La Paz Resort Hạ Long,"La Paz Resort Hạ Long - Khu nghỉ dưỡng - Món Việt tại Ngọc Châu, Tp. Hạ Long, Quảng Ninh. Giá bình quân đầu người 2.000.000đ - 3.000.000đ",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_vlrpuid4,2024-07-05T19:44:00,La Paz Resort Hạ Long,Vew đẹp dịch vụ tốt,10.0,9.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_51d5p575,2024-07-05T16:22:00,La Paz Resort Hạ Long,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_risd2j6l,2024-07-05T15:10:00,B,Dv tốt,9.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_risd2j6l,2024-07-05T15:10:00,D,Dv tót,9.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_zkzhmpa1,2024-07-05T15:05:00,Good,"Trên cả tuyệt vời, ko còn gì để bàn hết",9.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_lsf1c6cf,2024-07-05T15:04:00,Tốt,Một nơi đáng đến,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
haingan41112,2024-07-05T15:02:00,La Paz Resort Hạ Long,Rất đẹp luôn,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_m4igmwsw,2024-07-04T18:38:00,La Paz Resort Hạ Long,Cảnh đẹp mình rất thích đến,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_m4igmwsw,2024-07-04T18:37:00,La Paz Resort Hạ Long,Cảnh đẹp mình rất thích đến,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_qebcms58,2024-07-04T18:26:00,La Paz Resort Hạ Long,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_w7rmtiwz,2024-07-04T17:20:00,La Paz Resort Hạ Long,Khu nghỉ dưỡng trong lành khung cảnh đẹp,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_w7rmtiwz,2024-07-04T17:16:00,Yên tâm,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_zq3zfb4r,2024-07-04T16:59:00,La Paz Resort Hạ Long,Tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_zq3zfb4r,2024-07-04T16:59:00,La Paz Resort Hạ Long,Tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_92ktsrwg,2024-07-04T15:04:00,La Paz Resort Hạ Long,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_l236deqk,2024-07-04T15:03:00,La Paz Resort Hạ Long,Quá tuyệt vời lun,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_apgqd4v3,2024-07-04T15:02:00,La Paz Resort Hạ Long,Khung cảnh thật tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_n8evbbpu,2024-07-03T15:40:00,La Paz Resort Hạ Long,"Dịch vụ tốt, cảnh đẹp, phòng tiện nghi, món ăn hợp khẩu vị",10.0,9.0,9.0,9.0,9.0,None,0,quang-ninh,travel,1/,40/
foodee_9ami9aih,2024-07-03T15:29:00,Tốt,Hài lòng dịch vụ,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_qpizhqov,2024-07-03T15:16:00,La Paz Resort Hạ Long,Rất tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_8qoo38q8,2024-07-03T15:15:00,La Paz Resort Hạ Long,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_tje54tgm,2024-07-03T15:12:00,La Paz Resort Hạ Long,Rất tốt phong cảnh đẹp phong phú yên bình rất tốt mọi người nên đến trải nghiệm,10.0,5.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_tje54tgm,2024-07-03T15:11:00,La Paz Resort Hạ Long,Rất tốt cảnh đẹp phong phú yên bình rất tốt mọi người nên đến trải nghiệm ạ,10.0,4.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_4sis9t55,2024-07-03T15:06:00,La Paz Resort Hạ Long,Tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_n8evbbpu,2024-07-03T15:03:00,La Paz Resort Hạ Long,"Không gian mát mẻ, thoáng, hồ bơi đẹp",8.0,9.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_bx05et3a,2024-07-03T15:02:00,La Paz Resort Hạ Long,Hãy đến và trải nghiệm bạn sẽ có một chuyến đi tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_5wob369x,2024-07-03T15:02:00,La Paz Resort Hạ Long,Rất tuyệt vời,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_i8czsin23v,2024-07-02T15:38:00,La Paz Resort Hạ Long,"Mát mẻ lắm khi đến nơi này, thoải mái nghỉ ngơi",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_gtv1w97k,2024-07-02T15:11:00,Tốt,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
noidaucuatinhyeu_2015,2024-07-02T15:04:00,La Paz Resort Hạ Long,Đẹp lắm cả nhà ơi,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_l2yqu8jx,2024-07-02T15:01:00,La Paz Resort Hạ Long,tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_furanhmt,2024-07-02T15:01:00,La Paz Resort Hạ Long,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_fbxycyky,2024-07-02T15:00:00,La Paz Resort Hạ Long,⭐⭐️⭐️⭐️⭐️ đánh giá tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_lovvnn06,2024-07-01T19:57:00,La Paz Resort Hạ Long,Tốt,9.0,9.0,9.0,10.0,9.0,None,0,quang-ninh,travel,1/,40/
foodee_ob7xiz3n,2024-07-01T15:27:00,La Paz Resort Hạ Long,Chất lượng tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_w79obv3g,2024-07-01T15:18:00,La Paz Resort Hạ Long,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_m5t2x7ys,2024-07-01T15:04:00,La Paz Resort Hạ Long,Quá tuyệt,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_w46uo896,2024-07-01T15:03:00,La Paz Resort Hạ Long,"Thật tuyệt vời, nơi đáng để đi đến",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_vfvetfc2,2024-07-01T15:01:00,La Paz Resort Hạ Long,Xuất sắc,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_5gfiguex,2024-06-30T15:27:00,Tốt,Khu resort quá đẹp quá tuyệt vời. Đến Hạ Long mn nên chọn ở đây ạ.,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_13a2wo5q,2024-06-30T15:15:00,La Paz Resort Hạ Long,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_qa17h8yv,2024-06-30T15:05:00,La Paz Resort Hạ Long,"Sang trọng, chất lượng quá tốt",10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_t3b2ioy1,2024-06-30T15:03:00,La Paz Resort Hạ Long,Đỉnh,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_wajznanv,2024-06-30T15:02:00,La Paz Resort Hạ Long,Điểm 10 chất lượng tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_hmnao517,2024-06-30T15:00:00,La Paz Resort Hạ Long,La noi du lich ly tuong,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_42hnrxzc,2024-06-29T15:48:00,La Paz Resort Hạ Long,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_1309mxyo,2024-06-29T15:32:00,La Paz Resort Hạ Long,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_s5b0x6v6,2024-06-29T15:17:00,La Paz Resort Hạ Long,Mình đã đến fdaay rất thích với phong cảnhtuyeetj vời phục vụ rất tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_vt58ccum,2024-06-29T15:12:00,La Paz Resort Hạ Long,Rất tốt,6.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_708d0xmi,2024-06-29T15:06:00,La Paz Resort Hạ Long,Veiw rất đẹp,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_2zqailex,2024-06-28T17:11:00,La Paz Resort Hạ Long,Rất tuyệt,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_lp9eb0hs,2024-06-28T15:16:00,Vote 5 ⭐⭐⭐⭐⭐,"View đẹp, chất lượng tốt, vote 5 sao ⭐⭐⭐⭐⭐",5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_q0b4so6a,2024-06-28T15:11:00,La Paz Resort Hạ Long,"Nơi tham quan du lịch ,tuyệt đẹp",10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_4h1apox2,2024-06-28T15:11:00,Tốt,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
hngtrng1058473497,2024-06-28T15:06:00,La Paz Resort Hạ Long,Tốt,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_zio20wns,2024-06-28T15:02:00,La Paz Resort Hạ Long,View tuyệt vời,10.0,10.0,10.0,10.0,10.0,None,0,quang-ninh,travel,1/,40/
foodee_xhl62r24jv,2024-06-28T15:02:00,La Paz Resort Hạ Long,Thật tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_u3npz6sl,2024-06-28T15:02:00,La Paz Resort Hạ Long,thật tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_ptmcarxc,2024-06-28T15:00:00,La Paz Resort Hạ Long,Sẽ tiếp tục ủng hộ,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_j2ph8b3a,2024-06-27T19:57:00,La Paz Resort Hạ Long,Trên cả tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,1/,40/
foodee_wmjv8ufz,2024-06-27T16:16:00,La Paz Resort Hạ Long,"Phục cụ tuyệt vời, rất hài lònv",6.0,8.0,6.0,6.0,6.0,None,0,quang-ninh,travel,1/,40/
foodee_sthunsw3,2024-07-10T15:14:00,Mai Quyền - Bãi Tắm & Nhà Hàng Vân Đồn,Tuyệt vời,10.0,9.0,10.0,8.0,8.0,None,0,quang-ninh,travel,53/75/2/23/51/,20/
foodee_wzuuvo2z,2024-06-05T15:07:00,Mai Quyền - Bãi Tắm & Nhà Hàng Vân Đồn,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,quang-ninh,travel,53/75/2/23/51/,20/
vietanhtran,2016-05-16T16:35:00,Mới làm lại cầu mới,"Bãi biển này mình thích nhất là cây cầu, nó chạy dài ra biển, nhất là mấy hôm nước lên đẹp gì đâu. Ra sớm quá thủy chiều chưa lên nhưng vân thấy khá là đẹp. Ngày trước chỉ 10k vé vào cổng mà giờ tăng lên 20k rồi thảo nào thấy vắng teo luôn. Trong này cũng có các dịch vụ nhà hàng ăn uống ăn vặt đủ thứ luôn nhé",7.0,7.0,8.0,7.0,7.0,None,0,quang-ninh,travel,53/75/2/23/51/,20/
