user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
baothich,2020-07-24T07:40:00,GEUMCHA 금차 MILKTEA & COFFEE,"Đi quảng trị mày mò mãi mới có người giới thiệu quán trà sữa 금차 này. Menu cũng khá là nhiều chủng loại. Cơ mà cứ gọi loại truyền thống thử trước đã, ly trên hình bên trái là trà sữa geum truyền thống đấy nhìn là thấy đẹp uống cũng ngon nữa. Còn cái bên cạnh là socola thấy cũng ngon. Được cái mát lòng đó là view đẹp, mặt tiền quán như bên hàn vậy đó, bên trong thì điều hòa mát lạnh luôn, cực thích.",10.0,9.0,9.0,9.0,8.0,None,0,quang-tri,all,75/2/,40/
foodee_kl70b0p8,2019-03-24T15:49:00,Ăn Vặt Mr. Trum,"Bánh ngon, nước ngon, nhiều món mới lạ, nói chung là ngon, bổ, rẻ... nhất đông hà. Nhân viên thân thiện, bà chủ cute, mình ăn hàng ngày ở đây!",10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,quang-tri,all,45/46/,40/
vietboiphoeva,2017-03-19T12:35:00,Convenient stop after grocery shopping,"Located right outside of Dong Ha's Co.Op Mart, Mr. Trum is easy to get to! The little shop has an array of wooden chairs and tables for customers to eat at, although it's just as easy to order take-away. The lady working Mr. Trum is nice and makes some light small talk and is pretty quick, too! I ordered a Thai milk tea with pearls to-go. The drink was pretty standard sweet and the pearls have been standard compared to other milk tea shops in Dong Ha. The pricing was on the lower end, a few 1000 VND lower. I think if I ever am craving some milk tea after shopping, I'll know where to stop by!",8.0,8.0,7.0,8.0,7.0,Chắc chắn,0,quang-tri,all,45/46/,40/
ynhi4953,2017-03-05T19:23:00,Ăn Vặt Mr. Trum,"Thường mình mua về là chủ yếu. Lúc trước, Bánh cá ở đây mình rất thích vì ngon dày nhân. Còn paparoti ở đây thì khỏi phải bàn cãi rồi. Trà sữa cũng đầy ú ụ và thơm ngon. Giờ thì thất vọng dễ sợ. Quán có bổ sung thêm nhiều món nhưng k có món nào chất lượng hết. Mình gọi 1 khoai lang lắc và khoai mềm, chưa ráo dầu, lắc phomai rất ít. Me lào lắc muối ớt thì bị mềm, dở ăn k đc bỏ nguyên li, li 10k mà có 1 nhúm vậy á. Bánh paparoti thì cx ngon nhưng k ngon như trước. Không biết trà sữa ntn, sẽ thử lần sau",7.0,5.0,2.0,6.0,6.0,Có thể,1,quang-tri,all,45/46/,40/
hothanhthuy28889,2017-02-04T16:33:00,Mr Trum,"-- KHÔNG GIAN: Quán bán kiểu take away là chủ yếu, nên bàn ghế rất ít được tầm 2 bộ thôi. Nếu ăn tại quán thì nên đi buồi tối mới mát được chứ ban ngày rất nắng vì bàn ngoài trời không có mái che. -- CHẤT LƯỢNG: Pappa Rotti ngon và mùi thơm lừng khó cưỡng ^^ Bánh cá ở đây cũng ngon, thích nhất nhân phô mai và nhân bò khô, bánh mềm và thơm. Quán có món mới là đùi gà bó xôi, xôi chiên giòn rụm nhưng phần nếp bên trong lại rất mềm ngon, đùi gà cũng được tẩm ướp gia vị vừa phải. -- GIÁ CẢ: không mắc tẹo nào, bánh cá 5K/cái, đùi gà 25K/phần. -- DỊCH VỤ: chị chủ phải nói là siêu dễ thương, thân thiện và vui vẻ. Chắc chắn sẽ quay lại!!",8.0,8.0,8.0,8.0,8.0,Chắc chắn,1,quang-tri,all,45/46/,40/
foodee_zyor8jwu,2021-11-21T11:54:00,Cơm giá 80k,Cơm giá 80k,7.0,1.0,5.0,5.0,5.0,None,0,quang-tri,all,21/,40/
taibunqs,2021-10-29T19:50:00,Cơm chém,Cơm chém 70k 1 dĩa,3.0,1.0,1.0,1.0,1.0,None,0,quang-tri,all,21/,40/
hothanhthuy28889,2019-01-08T20:06:00,Cơm Tấm 157,"-- KHÔNG GIAN: quán rất dễ tìm do nằm mặt tiền đường quốc lộ 9 và lúc nào cũng đông khách, xe đậu kín lề đường trước quán. Bên trong quán khá rộng rãi và sạch sẽ, quán tuy không có điều hoà, chỉ bật quạt máy nhưng ngồi vẫn rất thoáng vào những ngày trưa nóng bức nha. -- CHẤT LƯỢNG, GIÁ CẢ: món ngon của quán là sườn cây nướng. Sườn miếng bự và được tẩm ướp đậm đà, nướng lên thơm lừng ăn rất bắt cơm, có điều cơm sườn nướng này cho thêm chén nước mắm ngọt thì sẽ ngon hơn nữa. Ngoài món này ra thì thực đơn vẫn còn khá nhiều lựa chọn khác, có thể gọi cơm đĩa mix nhiều đồ ăn với nhau, hôm mình ăn thì có gọi thêm đậu phụ nhồi thịt ăn cũng rất ngon. Phần cơm thường có món xào ăn kèm như măng xào, bắp chuối xào, vả xào ăn khá ngon miệng. Giá cả tầm trung không quá cao. -- DỊCH VỤ: nhân viên ở đây thái độ vui vẻ và rất nhiệt tình. Quán mới mở mà thấy ok lắm, sẽ ủng hộ dài dài.",9.0,9.0,9.0,9.0,9.0,Chắc chắn,0,quang-tri,all,21/,40/
hothanhthuy28889,2018-09-24T16:42:00,Cơm tấm 157,Ảnh sưu tầm,10.0,9.0,8.0,8.0,10.0,Chắc chắn,0,quang-tri,all,21/,40/
luxubu_xiloxila,2022-04-30T00:02:00,Bún Thuỷ,Quán không chỉ có bún bò giò ngon mà còn bánh cuốn nữa. Quán sạch sẽ phục vụ nhanh.,10.0,10.0,10.0,9.0,10.0,Chắc chắn,0,quang-tri,all,21/,40/
phannhung2286,2017-01-31T12:01:00,Osaka Cafe,"🌹 Lâu lắm rồi mới quay lại quán cafe này, hôm nay là sáng mồng 4 nên khá đông khách, chỉ còn trống vài ba bàn 🌹Quán đông vì không gian rộng và thoáng mát. Có chỗ cho trẻ em chơi. 🌹 Đồ uống của quán pha chế ngon giá cả hợp lý. Tết giá cả có chút thay đổi so với menu nhưng không tăng cao hơn nhiều lắm. 🌹 Tết nên nhân viên quán ít, phục vụ rất chậm. Gọi dọn bàn thì một lúc sau mới ra, nước cũng vậy. Xong gọi tính tiền cũng phải ra hỏi lại nước.",8.0,8.0,8.0,8.0,8.0,None,0,quang-tri,all,75/2/,
ynhi4953,2016-07-15T16:05:00,Osaka Cafe,"Quán này đã có từ lâu nhưng có thể nói vẫn giữ phong độ được đến bây giờ. Hồi trước ở quán có món kem Ý rất ngon, giá cả ở đây cũng rẻ mà chất lượng, đặc biệt cf uống ngon chứ không phải bột tạp như 1 số quán cf bình dân. Không gian thoáng, lại mát mẻ nên đông vào sáng và tối ^^",10.0,8.0,9.0,8.0,8.0,Chắc chắn,0,quang-tri,all,75/2/,
phannhung2286,2016-02-02T22:01:00,Quán Cafe cũ và đông khách,"Osaka là có lẽ là quán cafe hoạt động lâu nhất ở đường Đào Duy Từ, đường này còn gọi là phố cafe. Quán theo phong cách nhà gỗ cổ, không gian rộng, thoáng. Cafe và đồ uống pha chế ngon, giá rẻ chỉ từ 8k. Quán này buổi sáng và tối rất đông khách.",7.0,8.0,8.0,6.0,7.0,None,0,quang-tri,all,75/2/,
haiidangvn,2018-01-07T19:01:00,Rất ngon,Ăn chân gà ở đây rất tuyệt,10.0,10.0,10.0,8.0,7.0,Chắc chắn,0,quang-tri,all,45/46/,40/
