user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
phamphuong1001409807,2021-05-16T10:04:00,Tuyệt,Nhà nghỉ mình còn phòng có e út không chị có gì chị liên hệ em 0762502028,10.0,10.0,5.0,5.0,5.0,None,1,quang-tri,travel,86/,
letrang93.tl,2018-02-16T15:57:00,Trung Tâm Thánh Mẫu La Vang,"Chỗ này lần trước mình đi du lịch cả nhà có ghé đến. Mình không theo đạo nhưng nghe nói chỗ này rất đẹp, cổ kính, lại là nơi đã từng chứng kiến Đức Mẹ hiện ra cứu khổ dân chúng nên tò mò. Trong này khá nhiều tượng, mang phong cách cổ kính Châu Âu. Kiến trúc uy nga, lên hình cực kì đẹp. Hôm mình đi cũng khá vắng khách nên có thể chụp được nhiều kiểu ảnh mà không dính người khác vào khuôn hình. Nơi này rất đáng để đến tham quan 1 lần khi đến Quảng Trị.",8.0,7.0,9.0,8.0,9.0,None,0,quang-tri,travel,10/68/,40/
xvinhtran,2017-08-29T11:09:00,Trung Tâm hành hương Đức Mẹ La Vang,"Từ sân bay Phú Bài đi xe về đây khoảng hơn một tiếng. Đây là nơi lúc xưa Đức Mẹ hiện ra khi mọi người bị cấm Đạo chạy vào rừng (thời vua Cảnh Thịnh - con của vua Quang Trung). Rừng khi đó toàn là cây lá vằng. Sau này, khi người Pháp khảo sát về vùng này đã viết không dấu từ ""lá vằng"" thành La Vang. Và địa danh La Vang ra đời từ đó. Khu hành hương cách khá xa so với thành phố Đông Hà, Quảng Trị. Gọi taxi thì không xe nào tới để rước khách. Nên đặt xe trước hoặc thuê xe từ Đông Hà vào đây. Giá xe 16c khoảng 1tr- 1tr2/ ngày. Nên thỏa thuận chính xác những điểm sẽ đi trong ngày nếu không muốn bị ép giá.",7.0,9.0,9.0,8.0,10.0,Chắc chắn,0,quang-tri,travel,10/68/,40/
phannhung2286,2017-03-15T08:09:00,Trung Tâm Thánh Mẫu La Vang,"* Lâu rồi mới ghé lại thăm nơi này, đây là mảnh đất thánh của những người theo đạo thiên chúa. Khu Thánh mẫu này bây giờ đã có khá nhiều thay đổi. Một số đền thờ đã cũ đi, một số đền thờ và ngôi nhà mới đã được xây dựng thêm. * Hôm mình đến thì thấy đang xây một đền thờ rất lớn, nhìn rất to lớn và nguy nga. Xây xong chắc sẽ rất đẹp. * Chỗ này cũng đã xây thêm một khu nhà mới, có thêm nhiều chỗ cho những người hành hương đến nghỉ lại.",8.0,8.0,8.0,8.0,8.0,None,1,quang-tri,travel,10/68/,40/
baongoc.nlbn,2016-11-19T10:58:00,Trung Tâm Thánh Mẫu La Vang,Ra đến Huế thì đây là nới không thể không ghé cho những người có Đạo. Từ sân bay Huế mình thuê taxi ra đây cả đi lẫn về luôn là 1tr. Vì lúc mình đi thời tiết ở Huế khá nắng và nóng nên thuê taxi đi cho chắc chứ thuê xe máy chắc mệt lắm. Chỗ này yên tĩnh và trang nghiêm lắm. Nhà thờ đang trong thời gian xây dựng. Hình như năm 2017 sẽ hoàn thành. Nơi đây cũng có quầy mua quà lưu niệm để mang về nữa nha.,8.0,8.0,8.0,8.0,8.0,None,0,quang-tri,travel,10/68/,40/
handonguyen,2016-06-14T19:48:00,1 Địa điểm tâm linh đáng ghé thăm,"Trung tâm Hành hương Đức Mẹ La Vang tọa lạc tại tỉnh Quảng Trị nổi bật với : - Linh đài : nơi đây hơn 200 năm trước Đức Mẹ đã hiện ra để cứu giúp người dân cùng khổ. - Giếng Đức Mẹ - Ngôi tháp cổ: là một chứng tích trải qua bao thăng trầm lịch sử, bao tàn phá của thời gian và chiến tranh.",8.0,8.0,8.0,8.0,8.0,None,0,quang-tri,travel,10/68/,40/
phannhung2286,2016-03-23T12:25:00,Trung Tâm Thánh Mẫu La Vang,"Thánh địa La Vang là nơi hành hương quan trọng và lớn nhất của Giáo Hội Công giáo Việt Nam. Mỗi 3 năm cứ đến tháng 8 là có rất đông người đổ về đây tham gia lễ hội Công giáo. Khu này khá rộng và bình thường thì vắng khách nhưng đến mùa lễ hội thì lại rất đông. Mình thích đi ngắm cảnh nên ít đi vào mùa lễ. Ở đây có nước từ các vòi chảy ra rất mát, lần nào đến cũng xin một ít mang về.",9.0,9.0,9.0,9.0,9.0,None,0,quang-tri,travel,10/68/,40/
quocvanle11,2018-08-13T10:09:00,tệ nên tẩy chay,xe chất đồ người đầy xe ra cả luồng .giá cả thì thất thường. đặc biệt vải bọc ghế gối rất bẩn. thái độ khó chịu với khách.đon khách dồn khách rất lâu. thời này rồi đi xe này không khác gì xe dù,1.0,1.0,1.0,1.0,1.0,None,0,quang-tri,travel,91/20/,
xuantoan08051990,2018-10-10T21:13:00,Món ăn ở đây thật tuyệt,A ơi. Hôm nay e thuê nghỉ có để quên 1 chứng minh thư ở nha nghỉ. Tên đỗ xuân toàn. E thuê phòng 202 . A có thể gửi vào Huế giup e dc k ạ. Sdt e a 0964209723,7.0,7.0,7.0,7.0,7.0,None,1,quang-tri,travel,86/,
phannhung2286,2017-03-15T07:46:00,Thành Cổ Quảng Trị,"* Lâu rồi mới quay lại nơi này, mỗi lần về quê nếu có dịp đều ghé vào đây thắp hương. Thành cổ bây giờ đã được trùng tu và tôn tạo nhiều và một số văn phòng làm việc ngày trước cũng được khôi phục lại. * Đến đây thì hãy lên tháp cao nhất dâng hương, sau đó đi dạo tham quan các khu vực trong căn cứ quân sự này. * Ở giữa có một bảo tàng 2 tầng, lưu giữ những cổ vật và ảnh chụp thời gian kháng chiến chống Pháp. * Vào đây không mất vé và không tốn tiền gửi xe máy.",7.0,8.0,9.0,8.0,8.0,None,0,quang-tri,travel,10/68/,40/
ponponrua,2016-07-10T13:14:00,Thành Cổ Quảng Trị,"Mình từ Quảng Bình vào Đà Nẵng nên cố sắp xếp thời gian ghé vào thành cổ quảng trị. Thành cổ Quảng Trị hoặc Cổ thành Quảng Trị là một Di tích quốc gia đặc biệt của Việt Nam được xếp hạng đợt 4, tọa lạc ở trung tâm thị xã Quảng Trị, tỉnh Quảng Trị. Đường vào dễ tìm , khu di tích rất rộng, có điều chỗ giữ xe hơi bất tiện. Có đài tưởng niệm, bảo tàng thành cổ, và một con đường dẫn ra địa đạo. Không khí ở đây yên tĩnh và thiêng liêng lắm, có nhiều đoàn khách tới tham quan nữa",8.0,8.0,8.0,8.0,8.0,None,0,quang-tri,travel,10/68/,40/
phannhung2286,2016-02-24T13:15:00,Thành cổ Quảng Trị - Đi tích lịch sử thiêng liêng,"Thành cổ Quảng Trị là mảnh đất anh hùng với nhiều trận chiến ác liệt của quân ta và kẻ thù. Khu thành này giờ yên bình nhưng đã có rất nhiều các chiến sỹ ngã xuống. Khu đi tích này sau chiến tranh đã được tôn tạo lại và có thêm một nhà bảo tàng lưu giữ các vật dụng, các loại vũ khí... mà các chiến sỹ sử dụng ngày xưa. Quảng Trị, mảnh đất anh hùng.",10.0,8.0,8.0,8.0,10.0,None,0,quang-tri,travel,10/68/,40/
dactinh.ly,2016-02-19T09:43:00,Di tích với nhiều xương máu,"Mình có dịp đến đây vào ngày 13/02/2016 trong chuyến phượt Đà Nẵng - Quảng Trị. Cảm giác khi đến đây thật khó tả, nghe kể lại cỏ ở đây quanh năm xanh tốt vì dưới kia toàn là xương cốt của các liệt sĩ, vì chôn tập thể nên bây giờ không phân biệt được ai và ai. Đã có gần 7 sư đoàn hy sinh ở đây. Thêm lòng tự hào dân tộc khi đến đây.",7.0,6.0,6.0,8.0,9.0,None,0,quang-tri,travel,10/68/,40/
foodee_dmfl5d2h,2019-02-07T20:31:00,Mũi Trèo - Điểm check in đẹp điên đảo cho những bạn thích sống ảo,"Một vài tips nhỏ cho các bạn muốn check-in Mũi Trèo ———- 1. Các bạn có thể đi từ hướng quốc lộ 1A, tuy đường xe chạy hơi nhiều nhưng đến Mũi Trèo nhanh hơn so với hướng đi dọc biển Cửa Việt. Mình chọn phương án sau vì tay lái hơi ẩu và mù đường. Tuy nhiên bạn hoàn toàn có thể tin tưởng vào google map. :) 2. Hình như các bạn có thể chạy xe trực tiếp ra Mũi Trèo và để xe ở đó trong trường hợp các bạn cảm thấy không an tâm. Hôm mình đi (Mồng 2 Tết) có khá nhiều bạn cũng check-in địa điểm này nên tụi mình để xe ở lề đường và chui vào “bụi” (đúng nghĩa đen). Lối vào này tương đối khó đi vì tối và có rắn 🐍 nhưng lại cực thú vị vì cứ như đi lạc vào rừng nguyên sinh. 3. Nếu các bạn chọn lối đi vào bụi như mình thì có một điểm nhận biết là lối ra Mũi Trèo gần như đối diện với một cái hồ nước nhỏ. 4. Các bạn nên đi vào buổi chiều và tới nơi thăm quan chụp hình vào khoảng 5-6 giờ vì thời điểm này không quá nắng và hoàng hôn trên biển hơi bị ảo diệu. 5. Mũi Trèo không phải là địa điểm sống ảo duy nhất. Ở đó có một bãi cỏ rất rộng và bờ vực khá Tây. Riêng mình không check-in Mũi Trèo vì khá đông bạn và không tìm được góc chụp ưng ý. ———- Đây là một số hình ảnh mà mình chụp được khi check-in Mũi Trèo.",10.0,10.0,10.0,10.0,10.0,None,0,quang-tri,travel,23/51/,40/
trancongchuc.law,2016-12-14T23:16:00,Mũi Trèo,"Đây là địa điểm rất ít người biết đến ở xã Vĩnh Kim, Vĩnh Linh, Quảng Trị. Cách quốc lộ 1A chừng 20km. Nếu bạn muốn sống ảo thì đây là địa điểm khá lý tưởng. Có bãi đá nhảy, bờ biển đẹp, đặc biệt muốn đi xuống thì bạn phải ""trèo"" nhá :))) Nơi đây còn khá hoang sơ, đường đi cũng khá khó tìm nếu bạn đi lần đầu và không có ai dẫn đường. Tuy nhiên, đổi lại sẽ là thiên nhiên cực đẹp. Buổi sáng đón bình minh ở đây thì không có gì phải chê ^^",9.0,8.0,8.0,8.0,8.0,None,1,quang-tri,travel,23/51/,40/
