user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
Chi2k,2019-03-03T16:53:00,Highlands Coffee - Victory Plaza,Cuối tuần thảnh thơi của mình😍,9.0,8.0,9.0,8.0,9.0,None,0,thai-binh,all,23/67/,3/
Chi2k,2018-08-29T10:37:00,Highlands Coffee - Lý Bôn,"Mk thích uống trà đào vs cafe nâu đá ở đây nhất. Quán view khá sang, chụp ảnh rất là đẹp, rộng rãi. Nhân viên thân thiện , mk đợi tầm 15-20 phút là có đồ rồi",9.0,8.0,9.0,8.0,9.0,None,0,thai-binh,all,23/67/,3/
hacquangia,2018-08-08T00:08:00,Highlands Coffee - Lý Bôn,Không gian đẹp cơ mà đồ uống vs đồ ăn giá hơi đắt menu đồ uống hầu như toàn coffe,9.0,1.0,5.0,6.0,9.0,None,0,thai-binh,all,23/67/,3/
nhamtrang,2018-03-28T20:29:00,Chủ yếu là cafe thui k thíc hợp vs m cho lắm vì k thíc cafe,Không gian nhẹ nhàng. Thoáng đãng nhân viên phục vụ nhiệt tình nhưng m nghĩ nên bổ sung thêm thực đơn cho những ng k thíc cafe như m.,5.0,1.0,5.0,5.0,5.0,None,0,thai-binh,all,23/67/,3/
nguyenvan10793,2017-10-23T10:36:00,Highlands Coffee - Lý Bôn,"Hôm nọ về đám cưới con bạn, nên cưới xong có phi lên thành phố uống cafe vs mấy đứa bạn. Kiểu lâu lâu cũng k lên thành phố nên cũng chẳng biết quán nào mà tìm, thấy ẻm highlands này to vật con nhà bà vã nên chui vô luôn. Không gian rộng, thoáng, kê được nhiều góc để ngồi phết. Order rồi thanh toán luôn tại quầy, sau đó cầm thẻ về, khi nào thẻ rung thì ra lấy đồ. Kiểu tự phục vụ chứ không được bưng tận bàn đâu nhé. Đồ uống thì cũng bình thường, chủ yếu toàn đá là đá, nếu không phải k có quán trà sữa nào xung quanh đó thì chắc mình cũn không vào. Giá cũng rất đắt nữa, 50k/cốc nhưng chỉ được size M, tương đương với size M của trà sữa thui nhé. Chủ yếu vào đây là lấy chỗ ngồi lịch sự thui.",8.0,5.0,6.0,6.0,8.0,None,0,thai-binh,all,23/67/,3/
Donuts,2017-10-03T15:55:00,Gó,Cũng giống hlands mọi nơi . Nhưng quán không hay có khuyến mại nên nếu với giá thành hơi chát thì chắc năm có khi đi vào quán uống được 1 2 lần,6.0,3.0,6.0,7.0,6.0,Có thể,0,thai-binh,all,23/67/,3/
bttlnh,2017-07-31T23:03:00,Highlands coffee,"Highlands coffee mới mở ở Thái Bình. Ngay Victory Plaza, gần bến xe thành phố. Quán ngay góc phần tư nên có 2 mặt đường rất thoáng mát, rộng rãi. Nhân viên mới nên chưa chuyên nghiệp lắm, còn lúng túng khi khách order đồ. Điểm cộng có đồ là nhân viên mang ra cho mình chứ không phải vào lấy. # Bánh mì thịt nướng: món sở trường của mình, bao giờ vào highlands cũng phải làm cái bánh mì thịt nướng đã rồi tính tiếp. Bánh mì giòn, nhưng thịt tẩm ướp không được ngon bằng mình ăn trên Hà nội. Nhưng nhìn chung thì vẫn ngon. # Cafe phin sữa đá: Đắng không thể nào uống nổi, không khác gì cafe đen luôn. Nhân viên chắc chỉ cho có tí sữa. Cafe thì ít mà đá thì nhiều. Uống mấy ngụm đã hết rồi.",8.0,7.0,7.0,8.0,9.0,None,1,thai-binh,all,23/67/,3/
foodee_xg6l78tt,2024-05-17T15:21:00,Cũng khá ok,Bên mình có ship về kiến xương không ạ. Muốn ăn quá mà không đi lên đó để ăn được.,5.0,5.0,5.0,5.0,5.0,None,0,thai-binh,all,77/,45/
ngyngtun,2021-10-28T20:30:00,3 phần đùi kfc,Có ship tới neo ngã tư gia lễ k ạ trưa mai e đặt,10.0,10.0,10.0,10.0,10.0,None,0,thai-binh,all,77/,45/
foodee_0jj4p4p3,2021-05-14T16:19:00,BÁN MANG VỀ,Cửa hàng có mở bán đem về ko ạ?,10.0,10.0,10.0,10.0,10.0,None,0,thai-binh,all,77/,45/
