user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_u18viv8t,2024-05-13T08:15:00,The food and service,"The food and service are very good, the service team is sweet and kind behaviour towards customers whether local or foreigners, they are trying to give the best food and service.",10.0,9.0,10.0,10.0,10.0,None,0,tuyen-quang,all,48/,45/
leuleugh,2017-02-26T21:39:00,Mình đã ăn đây,"Nói chung đồ ăn ngon , đặc biệt là các món về hải sản và thú rừng, chất lượng phục vụ tốt không gian thoáng mát sạch sẽ ... dẽ quay lại nhiều lần nữa",8.0,9.0,9.0,8.0,9.0,None,0,tuyen-quang,all,48/,45/
quynhgiang669,2016-06-06T15:20:00,Đầu Bò,"VC mình được mời đến nhà hàng Đầu Bò ăn cá lăng 4 món , nào nướng , trộn, hấp, canh . VC mình thấy không hợp khẩu vị, nhạt nhẽo . Giá cả thì đắt so với số lượng và chất lượng",5.0,3.0,3.0,5.0,5.0,None,0,tuyen-quang,all,48/,45/
jinham1707,2016-01-21T00:41:00,Đầu Bò,"Quán đồ ăn ngon có nhiều đặc sản như ba ba hay cầy hương. Nếu muốn ăn món đặc sản thì giá khá đắt còn cơm bình thường thì không đắt lắm, đồ khá ngon, sạch sẽ, nhân viên nhanh nhẹn",4.0,3.0,6.0,6.0,4.0,None,0,tuyen-quang,all,48/,45/
Jimnynguyen,2015-12-21T15:44:00,Quán ăn ngon,"Quán này được mệnh danh ngon nhất tuyên quang.mình hay ra quán này ăn ạ.ở đây có nhìu món ngon như cá xào,xôi chim,chim quay,nộm,... Nhân viên xinh và rất nhiệt tình.cô chủ cũng nhiệt tình lắm ạ.k gian đẹp,rộng rãi Vị trí hơi xa trung tâm thành phố ạ",5.0,7.0,6.0,6.0,8.0,None,0,tuyen-quang,all,48/,45/
nhocmaruko.kute,2014-11-10T17:21:00,Đầu Bò,"Quán này mình đến ăn với lớp hồi liên hoan cuối năm. Không gian rộng rãi, thoáng mát, sạch se, có hẳn sân rộng bên cạnh để xe. Giá không mắc lắm cơ mà chất lượng. Phục vụ tận tình, chu đáo Sau này có dịp, nhất định sẽ quay là quán nhiều nhiều :D",10.0,7.0,8.0,9.0,10.0,None,0,tuyen-quang,all,48/,45/
thuphuong1985cntt,2013-07-18T10:59:00,Đầu Bò,ngon,6.0,6.0,6.0,6.0,6.0,None,0,tuyen-quang,all,48/,45/
foodee_hvdmlbg5,2023-04-13T10:30:00,Cho xin số điện thoại với ah,Cho xin số điện thoại với ah,5.0,5.0,5.0,5.0,5.0,None,0,tuyen-quang,all,77/,45/
foodee_ievlzqds,2019-03-10T17:20:00,Ngon bổ rẻ,"Quán ngay đầu đường thôi nên dễ tìm đò ăn ngon giá cả hợp lý, đến giờ cơm quán khá đông nhé :)",10.0,8.0,9.0,8.0,8.0,None,0,tuyen-quang,all,77/,45/
nguyetthuc1997,2019-01-02T11:49:00,View đẹp giá rẻ,"View đẹp giá siêu rẻ, phù hợp với mọi tầng lớp, lứa tuổi",10.0,10.0,10.0,10.0,10.0,None,0,tuyen-quang,all,48/,12/7/
foodee_jwjcodct,2024-02-08T12:09:00,Bên mk sao e ko gọi được vậy ạ,Bên mk sao e ko gọi được vậy ạ,3.0,3.0,3.0,2.0,5.0,None,0,tuyen-quang,all,23/67/,43/
foodee_ievlzqds,2019-03-10T17:18:00,Ngon giá cả ok,"Quán ngon giá cả ok, nhưng đĩa to lén đi ăn là pahir tầm 3-5 đứa đi cơ chứ một đứa đi ăn là k ăn nổi. Chị chủ bảo chỉ có một cỡ đĩa k bán đĩa nhỏ nên đi ăn thì nhớ rủ rê thêm nhé.:) ốc tươi sạch và ngon quán đông nhưng k phải chờ lâu lăm đâu nếu chờ lâu nhớ nhắc lại k chị ý quên nhé. Ngay cổng bảo tàng nên tìm khá dễ gần đấy có quán bin cà phê cũng khá ổn",8.0,8.0,9.0,8.0,8.0,None,0,tuyen-quang,all,77/,45/
6198,2016-04-23T10:22:00,Nhím 9X - Đinh Tiên Hoàng,"Đồ ăn ngon nhưng ít. Quán khá đẹp nhưng hơi tối và đường vào hẹp, có chỗ để xe. Phù hợp cho tụ tập theo lớp, có 3 tầng để chọn. Trà sữa ngon có nhiều lựa chọn, rẻ. Gần hồ nên thoải mái có thể mai đồ về để đi chơi ở bảo tàng gần đấy. Bảo tàng đẹp, có nhiều cây, đường đi, chỗ nghỉ chân đẹp. Bảo tàng rộng có thể đạp xe quang bảo tàng hoặc rượt dốc",8.0,5.0,9.0,9.0,10.0,None,0,tuyen-quang,all,23/67/,45/
nhocmaruko.kute,2014-11-10T19:01:00,Ăn Vặt Hải Yến,"Quán rộng, thoáng, sạch sẽ. Cơ mà chỗ để xe hơi hẹp, toàn phải để dưới lề đường. Thực đơn phong phú, chất lượng tốt, giá cả phù hợp với học sinh. Phục vụ tần tình chu đáo Nói chung đây là địa điểm lý tưởng để ăn vặt, hẹn hò, tổ chức sinh nhật.",10.0,8.0,8.0,9.0,9.0,None,1,tuyen-quang,all,49/58/,45/
foodee_ievlzqds,2019-03-10T16:56:00,Nên đến,Menu có giá cả đầy đủ cũng khá đa dạng quán đẹp đồ uống ok khách du lịch nên đến quán để thưởng thức không gian rộng rãi sạch đẹp mình hay đến vs bạn bè,10.0,7.0,7.0,7.0,9.0,None,0,tuyen-quang,all,23/67/,3/
lananhct,2018-04-22T10:08:00,"Kem, Chè & Đồ Ăn Vặt - Bình Thuận","Đồ ăn ngon, giá rẻ hợp lí phù hợp với nhiều người. Chất lượng. Nhiều món ăn và đồ uống hấp dẫn. Sẽ rủ bạn bè tới nhiều và giới thiệu cho mọi người.",10.0,10.0,10.0,10.0,8.0,None,0,tuyen-quang,all,49/58/,45/
foodee_hx1fjano,2021-12-20T17:20:00,Muốn mua hàng,Quán cho em hỏi quán có ship hàng đi không ạ,5.0,5.0,5.0,5.0,5.0,None,0,tuyen-quang,all,23/67/,11/
helennguyen201186,2020-03-26T21:28:00,Quán sạch sẽ. Đồ ăn ngon . View đẹp nhìn ra hồ .,Có chỗ để oto. Giá cả hợp lý. Chủ quán vui vẻ nhiệt tình. Đã ăn nhiều lần. Vote.!,10.0,10.0,10.0,9.0,10.0,Chắc chắn,0,tuyen-quang,all,77/64/,45/
thuhuongduong8394,2017-02-16T11:18:00,Bánh Ngọt Thu Phương,"Quán nằm trên đường Bình thuận, gần ngã tư đèn đỏ vào chợ Tam Cờ. Quá cả khá hợp lí 5-300k. Ở đây có nhiều loại bánh từ bánh kem để ăn sáng đến gato cốt tiramissu mà mình rất thích. Bánh ăn ngon, tươi vì thường được làm trong ngày. Nếu đặt bánh sinh nhật thì bạn có thể tìm mẫu vào bảo ngta làm theo. Không thì bánh mẫu sẵn ở đây cũng khá đẹp đấy. À các bạn nam nếu muốn mua socola tặng bạn gái thì cũng có thể mua ở đây. Mình ăn thử và thấy khá ngon. Socola loại ngọt đắng chứ hông phải loại 90% milk đâu nhé. Chuẩn vị scl.",10.0,8.0,9.0,9.0,5.0,None,0,tuyen-quang,all,90/,45/
