user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_v43oj12y,2024-06-12T18:16:00,Sông Hồng Resort Cafe,Thật tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,all,23/67/87/,45/
foodee_t9u7ak5m,2024-05-31T12:44:00,Tuyệt vời,Tuyệt vời,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,all,23/67/87/,45/
oanh.do.0811,2017-01-23T15:43:00,Tuyệt vời thật,"Với mình, đây là một nơi đáng để đến nếu có ai đó lưỡng lự chưa muốn đến vì sợ đi xa. Còn ai muốn trốn nhà, trốn phố, trốn phường tìm đến nơi yên tĩnh thì tha hồ hài lòng vì đã chọn đúng địa điểm - Vĩnh Yên vốn là một thành phố thật dễ chịu mà. Tuy nhiên, cũng không vì thế mà các đám hội họp ngại không đến nhé, phòng ốc rộng rãi tha hồ mà bay nhảy luôn, phòng mình đã từng khuân máy chiếu lên đây để tổ chức tiệc tùng, diễn xuất ^^. Đồ ăn thì ngon roài nên không bàn tới nữa, các sếp của mình lại là người quen nữa nên hình như giá cũng khá dễ chịu :"")",7.0,7.0,8.0,8.0,9.0,None,1,vinh-phuc,all,23/67/87/,45/
taokinhte_25,2016-08-16T15:02:00,Tuyệt vời,"Hôm trc cùng phòng đi du hí. Được chị trưởng phòng cho giải ngố ở sông hồng thủ đô. Điều đầu tiên khi bước vào sông hồng thủ đô là mình thấy thích sự chuyên nghiệp nơi đây. Nhân viên vui vẻ, nhiệt tình và lễ phép. Tiếp đến là đồ ăn. Ngon tuyệt vời. Đồ ăn tươi ngon mà giá cũng ko phải quá cao. Hihi Còn nữa là khung cảnh ở đây!!! Ôi trời! Đẹp mê lòng người. Có phong cảnh, bể bơi và cafe luông. Đầy đủ cả. Nếu cả gia đình thi thoảng tiêu hoang-tự thưởng cho mình ngày nghỉ thì sông hồng thủ đô là số 1 đấy ạ. Mình rất thích nơi đây! Có cơ hội sẽ quay lại.",10.0,10.0,10.0,10.0,10.0,None,0,vinh-phuc,all,23/67/87/,45/
tramnn.47,2015-11-09T01:28:00,Sông Hồng Resort Cafe,"Trong resort này có vài quán cafe và nhà hàng. Cafe có 1 chỗ ở ngoài khách sạn 7 tầng, và 1 cái ở xa hơn, nằm cạnh sân tennis. Quán này chắc là cái thứ 2, có 2 tầng, decor kiểu cái chòi. Có rất nhiều cây, phủ kín, có cây leo là hoa hoàng yến. Nhưng nhìn dễ chịu, thiên nhiên thôi chứ không thật sự đẹp lắm. Đồ uống bình thường, mình k rõ giá vì được mời. Nhân viên lễ phép, lịch sự!",8.0,8.0,7.0,8.0,7.0,Chắc chắn,0,vinh-phuc,all,23/67/87/,45/
Ranable,2019-01-15T17:35:00,Tocotoco Xuân hoà,"Vị trí: mặt đường Không gian: sạch sẽ và cực kỳ tộng rãi Đồ uống: Trà sữa dâu tây: thơm mùi siro dâu, vị ngọt nhẹ nhàng, uống được Trà xanh machiato: ngon, nên giảm đá Trà xoài chanh dây: hơi chua mới mình, mùi hoa quả cực rõ",8.0,7.0,8.0,8.0,10.0,None,1,vinh-phuc,all,23/67/,45/
thoanguyenduong,2018-05-07T20:08:00,Trà Sữa Tocotoco - Nguyễn Văn Linh,"Đồ uống bình thường, giá phù hợp không quá đắt như một số hãng khác, đương nhiên cũng phụ thuộc vào chất lượng. Nhưng món chè khá ngon, một bát mà ăn no luôn ấy!!!",8.0,8.0,7.0,8.0,9.0,None,0,vinh-phuc,all,23/67/,45/
bienhoahong70,2021-09-28T00:27:00,Trà sữa cỏ tiên,"Quán có món trà sữa cỏ tiên rất độc đáo. Toping có trân châu, cỏ tiên, đậu đỏ, nho khô, lạc rang. Lần nào công ty cũng phải gọi 10-20 cốc Giá rẻ. Có 25k/ cốc Quá yêu thương",10.0,10.0,10.0,10.0,10.0,None,0,vinh-phuc,all,77/,45/
bienhoahong70,2021-09-28T00:22:00,Quán tâm đắc,Quán mới chuyển địa điểm qua siêu thị Go! vĩnh Phúc . Vị trí đối diện khu vui chơi Kubo. Vị trí thuận tiện. Luôn yêu thích quán vì sạch sẽ. Món ăn ngon. Vị gà cực mê. Thái độ phục vụ tốt! Luôn ủng hộ,10.0,10.0,10.0,10.0,10.0,None,0,vinh-phuc,all,77/,45/
foodee_2y07d9pz,2021-03-23T10:52:00,Sasin - Mì Cay 7 Cấp Độ Hàn Quốc,Ăn siêu ngon. Đặc biệt là nước dùng.,10.0,7.0,10.0,7.0,9.0,None,1,vinh-phuc,all,77/,12/
