user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_5xisshmg,2023-10-30T20:28:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn Belvedere,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
foodee_5xisshmg,2023-10-30T20:16:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn Belvedere,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
foodee_x4fxnl0y,2023-10-30T15:28:00,Tam Dao Belvedere Resort - Tam Đảo,Cảnh đẹp lắm ạ. Sương mù huyền ảo nói chung đep lắm,10.0,10.0,10.0,10.0,10.0,None,0,vinh-phuc,travel,4/,45/
foodee_moncyvqe,2023-10-30T15:08:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn chọn Belvedere 🥰,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
foodee_fpzd8t0h,2023-10-30T14:52:00,Tam Dao Belvedere Resort - Tam Đảo,Mình sẽ vẫn chọn Belvedere!,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
foodee_ty58eps1,2023-10-30T14:43:00,Tam Dao Belvedere Resort - Tam Đảo,Sạch sẽ rất ok,10.0,10.0,10.0,10.0,10.0,None,0,vinh-phuc,travel,4/,45/
Huongluuly120889,2023-10-30T14:37:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn chọn Belvedere,7.0,6.0,7.0,6.0,6.0,None,0,vinh-phuc,travel,4/,45/
foodee_bub7m9b8,2023-10-30T14:15:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọ belvedere,10.0,10.0,10.0,10.0,10.0,None,0,vinh-phuc,travel,4/,45/
foodee_r3typtkd,2023-10-30T14:12:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn Belvedere,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
foodee_50abcz5i,2023-10-30T13:52:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn Belvedere,10.0,10.0,10.0,10.0,10.0,None,1,vinh-phuc,travel,4/,45/
foodee_x7h0u3l3,2023-10-30T13:29:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn belvedere,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
foodee_j1wv4lba,2023-10-30T13:21:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn belvedere,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
foodee_mhge6bag,2023-10-30T13:12:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn Belvedere,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
foodee_7ng1unxe,2023-10-30T13:11:00,Tam Dao Belvedere Resort - Tam Đảo,mình vẫn sẽ chọn belvedere!.,10.0,10.0,10.0,9.0,9.0,None,0,vinh-phuc,travel,4/,45/
foodee_skn2rem6vj,2023-10-30T12:45:00,Mình sẽ chọn belvedere resort,Mình sẽ chọn belvedere rosort,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
foodee_rgqa51i6,2023-10-30T12:37:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn Belvedere,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
foodee_074vxk93,2023-10-30T12:32:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn belvedere,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
ByyNhu,2023-10-30T12:25:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn Belvedere,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
foodee_19bbyj7t,2023-10-30T12:25:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn Belvedere resoort- tam đảo,8.0,9.0,9.0,8.0,10.0,None,0,vinh-phuc,travel,4/,45/
foodee_opcsl9kq,2023-10-30T12:25:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn Belvedere,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
foodee_ojbfpj4k,2023-10-30T12:24:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn Blevelere,10.0,10.0,10.0,10.0,10.0,None,0,vinh-phuc,travel,4/,45/
foodee_mcw5ce68,2023-10-30T12:24:00,Tam Dao Belvedere Resort - Tam Đảo,Mínhe van se chon belevedere,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
foodee_jdrriq9d,2023-10-30T12:24:00,Tam Dao Belvedere Resort - Tam Đảo,Dịch vụ tốt,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
foodee_o99qtmkt,2023-10-30T12:23:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn Belvedere,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
tranglink,2023-10-30T12:23:00,Tam Dao Belvedere Resort - Tam Đảo,Tam đảo belvedere ressot Tam Đảo,10.0,10.0,9.0,10.0,10.0,None,0,vinh-phuc,travel,4/,45/
foodee_j3igch44,2023-10-30T12:22:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn Belvedere!.,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
foodee_x6jwbuts,2023-10-30T12:22:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn belvedere,6.0,6.0,7.0,7.0,7.0,None,0,vinh-phuc,travel,4/,45/
foodee_c9lmti48,2023-10-30T12:22:00,Tam Dao Belvedere Resort - Tam Đảo,Mình vẫn sẽ chọn belvedere,5.0,5.0,5.0,5.0,5.0,None,0,vinh-phuc,travel,4/,45/
thaihoa36,2023-10-30T12:22:00,Mình vẫn sẽ chọn Belvedere!.,Mình vẫn sẽ chọn Belvedere!.,10.0,10.0,10.0,10.0,10.0,None,0,vinh-phuc,travel,4/,45/
