user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
tibodallas,2016-05-03T21:27:00,Worse service bar in Vt,This place is a robbery! It is forbidden to bring 2 sandwiches at 1AM with a group of 10 people (all drinking). The bar does not serve any food at this time but still forbid it's customer to do it. It seems that the owner is not familiar with the concept of eating make you even more thirstier and consume more.. Too bad for them we ran away and will never go there again. Also note that it is forbidden to play cards inside.,1.0,1.0,1.0,1.0,1.0,Không,0,vung-tau,entertain,48/44/55/46/,45/
nhunguyen.doremon92,2017-02-28T12:39:00,Rạp hơi nhỏ và hơi vắng,"Đi VT thấy khá ít rạp phim, chắc do nhu cầu của ngta cũng ít. Có CGV chiếu nhiều fim hơn Lotte mà xa chỗ ở nên đi Lotte. Tiện thể dạo Lotte mua ít đồ luôn. Lúc tới khá sớm (tầm 8h) rạp vắng hoe, nv chưa tới, có chỗ màn hình cảm ứng mà điều chỉnh hông đc :)) Sau 10:30 quay lên, ban đầu tính coi Because i love you, mà sau chờ thêm 15p để coi Master luôn và rất may là ko hề thấy hối hận. Tính là tính đi coi 49 ngày mà coi sớm sợ mấy cảnh hù ma giật mình, sợ rạp vắng đồ... Sau 10h thì thấy ngta vô đông rồi, mình đi thứ 6 chắc đa phần khách du lịch và các bạn trẻ. Nhân viên rạp nhanh nhẹn, đi mình nên ko mua bắp nước, fim công chiếu từ 17/2 và có km cho suất đầu 60-70k mà chắc suất đầu của fim đầu thôi, chứ mình mua vé cũng 85k rồi. Rạp cũng nhỏ, cũng bình thường nhưng chắc lớn hơn rạp Phú Thọ tí. Thiết kế ngồi ổn, màn hình rộng fim coi hay. Wc tuỳ phòng, khu bồn rửa mặt cũng khá sạch sẽ nhưng ko có bệ chải đầu trang điểm gì đâu. Cô lao công cũng dễ chịu, dễ thương, chặn bảng mà lúc đi ra mình mới thấy, cứ tưởng bị la bị nói gì rồi... )) P/s: lỡ có đi siêu thị hay đem đồ ngoài rạp vào thì nv cũng niêm phong rồi ghi lại thông tin trên vé, chỉ cho mình thấy chỗ ngta để đồ luôn nên cũng an tâm. Cứ coi fim xong thong thả ra lấy, ko sợ bị mất, mà ngăn tủ nhìn cũng sạch sẽ nữa nên an tâm.",7.0,6.0,8.0,8.0,7.0,Có thể,0,vung-tau,entertain,33/,12/
max.ct1102,2018-10-14T14:40:00,TiNiWorld - Lapen Center,"Trung tâm hấp dẫn, đồ chơi chất lượng rất cao và hiện đại, thường xuyên có chương trình sân khấu hấp dẫn. Đây là địa điểm vui chơi lý tưởng cho các bé tới ở Vũng Tàu!",8.0,8.0,9.0,8.0,9.0,Chắc chắn,0,vung-tau,entertain,8/,
votruongthinh2208,2016-09-28T07:45:00,Không Gian Thư giản,"Do dịp giửa tuần rãnh nên cùng nhau với bạn bè đi xem phim giải trí, rạp nằm ngay trên đường Lê Hồng Phong. do hnay là thứ 4 nên được giảm giá còn 40k 1 vé vào buổi tối rạp rất đông khách, do phải cạnh tranh với nhiều rạp khác nên rạp được nâng cấp liên tục mang lại phong cách mới mẽ và sáng tạo, nhân viên nhiệt tình vui vẽ niềm nở đón chào khách đến xem phim. Rạp có bãi đậu xe khá rộng và an toàn, có nhân viên trông giữ xe cho khách vào xem. Thường thì giá vé vào thứ 7 và chủ nhật là 70k 80k cũng đắt lắm.",8.0,8.0,8.0,8.0,8.0,None,0,vung-tau,entertain,33/,
phapsu.nguyenquehang,2015-07-29T11:36:00,Việt Phú Cinema - Lê Hồng Phong,"Rạp ra đời trước CGV và Lotte cinema nên bên trong hơi cũ. Chỉ có 3 phòng chiếu phim, ghế san sát nhau nên lúc xem phim không thoải mái. Phim của rạp suất chiếu cũng ít hơn hai rạp kia. Nhìn chung thì với một rạp phim đàn anh ở VT thì như thế là ổn.",7.0,8.0,6.0,4.0,4.0,None,0,vung-tau,entertain,33/,
winne_pooh.1903,2015-04-28T21:44:00,Việt Phú Cinema - Lê Hồng Phong,"Rạp Việt Phú ra đời trước Lotte và CGV, nên về đầu tư thiết kế không gian không được bằng hai rạp kia, có phần hơi đơn giản và diện tích cũng nhỏ hơn. Nhưng bên trong rạp thì mình thấy cũng không chênh lệch nhiều về chất lượng. Màn hình Việt Phú cũng to cỡ hai rạp kia, chỉ khác là do rạp bên này nhỏ hơn nên gần như là chỉ có 1 dãy ghế, hai rạp kia phân bổ nhiều dãy ghế hơn nhưng màn hình cũng không khác nhiều,nên bạn nào không được ngồi chính giữa thì cũng hơi lệch. Giá vé bên này tầm 55k cho 2D và 85k cho 3D.",7.0,7.0,7.0,7.0,6.0,None,0,vung-tau,entertain,33/,
chiphanvt,2015-03-08T23:29:00,Việt Phú Cinema,"Tình cờ hôm nay mình có tham gia chương trình “nhận vé xem phim miễn phí” trên facebook, ai dè trúng thật 100%. Vé này mình có thể gửi tặng bạn bè làm quà hay dùng tùy ý luôn. Riêng mình thì lấy làm của riêng để giải mã tò mò của bộ phim “Trúng Số”. Rạp hôm nay không đông lắm, chắc do đầu tuần. Tuy là miễn phí, nhưng chất lượng phục vụ không thay đổi nhé, nhân viên cũng rất chu đáo, dẫn khách đến tận ghế ngồi luôn, không gian thoải mái, màn hình chiếu phim với âm thanh sống động. Mình thấy khá là thích cái rạp này rồi nhé!!!",8.0,7.0,8.0,8.0,8.0,None,0,vung-tau,entertain,33/,
chiphanvt,2015-02-25T23:15:00,Việt Phú Cinema,"Hôm nay mình đi trúng ngày Happy day thứ 4 luôn nên giá vé đồng giá có 40k 1 suất 2D à. Ghế ngồi ở rạp cũng rất thoải mái, có chỗ để ly nước. Phòng rộng, có máy lạnh, màn hình lớn, rõ nét. Sảnh ngoài rạp là nơi soát vé, sau đó có nhân viên dắt bạn vào ghế ngồi rất tận tình luôn. Ghế ngồi là mình tự đặt lúc mua vé, có thể đặt trước, nên rất yên tâm là không sợ ai chiếm chỗ. Phòng chờ cũng khá rộng, có bàn ghế cho khách ngồi. Giá về đồ ăn thức uống ở đây mình thấy cũng ở mức trung bình thôi. Bắp rang khoảng 30-35k, nước suối 10k. Ngoài ra còn áp dụng cho combo nữa. Giá vé bình thường ở đây là khoảng 40-50k tùy suất các ngày trong tuần, 3 ngày cuối tuần thì từ 50-60k, giữ xe 3k. Bên cạnh đó còn có giảm giá cho sinh viên nữa nhé.",8.0,7.0,7.0,7.0,8.0,Chắc chắn,0,vung-tau,entertain,33/,
nhi2411,2017-08-31T21:07:00,Bảo Như - Karaoke & Coffee,"Nhân viên phục vụ ổn nhưng trái dừa đã bị chua ,để ý thấy uống hai lần trái dừa ở đây rồi nhưng vẫn như vậy không thể uống được , cookie thì uống ổn nhất trong thực đơn ,",4.0,4.0,5.0,6.0,6.0,None,1,vung-tau,entertain,23/67/87/,45/
nga.t2n,2017-08-30T11:45:00,Vui,"Lần trước lạc trôi đến đây thấy quán này to đẹp nên cả hội tạt qua ún cafe. Ai dè có karaoke luôn nên quất tới nhá. Phòng kara có nhiều kiểu lắm, mỗi phòng 1 phong cách, decor đẹp, đèn sáng lấp lánh. Cảm giác rất phê. hê hê Đồ ăn cũng đa dạng, 1 phần khá nhiều, ăn ngon, nước uống ổn. Thích chỗ này lắm, có dịp sẽ quay lại.",7.0,7.0,8.0,8.0,8.0,None,0,vung-tau,entertain,23/67/87/,45/
