user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
phuongthanh8690,2018-06-23T12:36:00,Siêu Thị Lotte Mart - 3 Tháng 2,🍒Hồi xưa thì hay đi Coop chứ bây giờ toàn đi Lotte thôi vì nhiều mặt hàng. Có điều cầu thang lên xuống thiết kế hơi bất tiện :))) Quầy bánh của lotte lúc nào cũng đông vì khá ngon 🍒Có bánh mì baguette dài 5k ăn ngon,7.0,7.0,8.0,7.0,7.0,None,1,vung-tau,shop,80/,45/
chicuong78vn,2018-05-06T01:38:00,Mua hàng tại đây 1 bịch xúc ghi là mua 2 tặng 1,"Mua hàng tại đây 1 bịch xúc ghi là mua 2 tặng 1 . Tưởng vậy tôi mới lấy 3 bịch , Nhưng tính tiền 3 bịch( vậy mà cũng ghi mua 2 bịch tặng 1 bịch) lừa đảo........",5.0,5.0,5.0,1.0,5.0,None,0,vung-tau,shop,80/,45/
anhnhat994,2018-02-11T11:18:00,....,Vì có hội chợ cuối tuần nên ghé đây chơi luôn và uống nước. Nước cũng ngon,8.0,9.0,8.0,8.0,7.0,None,1,vung-tau,shop,80/,45/
minhnhutf24,2017-08-31T20:44:00,"Siêu thị rộng, hơi vắng","Siêu thị 3 tầng đầy đủ rạp phim, khu chơi game, quán ăn như trên HCM. Duy có cái hơi ít khách. Khách vào đa số trong bãi xe cũng chỉ là dân TP.HCM xuống chơi.",10.0,6.0,5.0,4.0,10.0,Có thể,1,vung-tau,shop,80/,45/
ronswift,2017-08-27T21:38:00,Siêu Thị Lotte Mart - 3 Tháng 2,"Siêu thị này nằm ngay trung tâm thành phố vũng tàu. Do đi chơi mà cần phải nấu nướng nữa để ăn cho đúng ý nên bà chị dẫn tụi mình đi siêu thị lựa đồ về nấu ăn. Siêu thị rộng rãi lắm ý. Dịp đi cuối tuần nên đông người lắm tuy vậy chứ tính tiền cũng mau chứ không phải đợi lâu. Thấy mấy gian hàng ở đây cũng trang trí đẹp nên mấy đứa cũng nhào vô sống ảo :))). À hàng cây hoa là nhiều thứ hay lắm á. Sen đá cây to trồng trong chậu sành luôn mà 42k thôi, mà tiếc là đi chơi bằng xe máy nên mua mang về sợ bị bể với không đủ chỗ chứa nên tiếc rẻ không mua :(((",8.0,7.0,8.0,8.0,7.0,None,0,vung-tau,shop,80/,45/
nhunguyen.doremon92,2017-04-04T23:08:00,"Bánh kẹo ngoại lạ, đẹp mắt","Bữa đi vs bạn ghé đây chơi rồi mua quà cho cháu luôn, đi dạo một vòng sthi có quá trời thứ để mua luôn. Mua vỉ kẹo hình minion với 2 hộp bánh xốp vị Tiramisu với 1 hộp Topcake. Topcake thì hơi ngọt nên mình ko ăn, mua thử loại khoai môn thấy anh chị khen ngon. Bánh xốp Tiramisu vỏ xốp ngon, nhân kem lạ lạ, thơm thơm & ko quá ngọt. Kẹo thì cháu ăn chứ mình ko hảo. Thiết kế gửi đồ hơi rối nhưng nhân viên nhìn chung đều nhiệt tình, dễ thương hết. Bị mất thẻ siêu thị nên làm lại cũng nhanh, chị chỗ quầy dịch vụ nhẹ nhành và khá nhiệt tình. Bánh gấu vani sữa thì khá quen rồi, bánh gấu double socola ngon tuyệt vs những ai mê socola như mình luôn :)",8.0,6.0,8.0,8.0,8.0,Có thể,0,vung-tau,shop,80/,45/
anhnhat994,2016-01-28T01:36:00,Vui,"Lần nào chạy xuống đây cũng ăn món này thích cái bánh bắp cắn pup 1 cái có nhân ở trong nữa nha, thơm thơm nóng nóng béo béo, ngon lắm, có bánh con cá mà đợi lâu ko mua, có kem ống nữa qn cũng ngon",7.0,8.0,10.0,6.0,7.0,None,0,vung-tau,shop,80/,45/
0938470781,2015-11-26T18:54:00,Siêu Thị Lotte Mart - 3 Tháng 2,"Tuần nào cũng chở con ra đây vừa mua sắm vừa chơi đc. Nhà vệ sinh sạch sẽ lại có wifi miễn phí. Từng ngày có Lotte ko đi Coop luôn, dẫu Coop gần nhà",5.0,7.0,10.0,10.0,10.0,None,0,vung-tau,shop,80/,45/
phapsu.nguyenquehang,2015-06-07T13:00:00,Siêu Thị Lotte Mart - 3 Tháng 2,"Rất thích nhân viên bảo vệ ở đây, họ thân thiện và tinh tế hơn hẳn CoopMark. Có điều nhân viên ở 1 số quầy hàng chưa thực sự tốt. Nhân viên ở quầy Mochi bán hàng mà mặt như ai thiếu tiền cô ấy -_-, nhân viên quầy thức ăn trên tầng 2 ăn nói như ra lệnh cho khách.",7.0,5.0,6.0,4.0,8.0,None,1,vung-tau,shop,80/,45/
xitinnguyen88,2015-05-13T14:29:00,Siêu Thị Lotte Mart - 3 Tháng 2,"Không gian cũng như cách bài trí, nhân viên...tất cả đều làm mình thích hơn ở các siêu thị khác nhiều. Thứ gì nhìn cũng bắt mắt hết. Tầm trệt là khu game và các shop đồ, quán ăn như Kfc, lotte, Iyo... Tầng 2 là khu mua sắm siêu thị Tầng 3 có rạp Lotte cinema. Giữ xe miễn phí nhé.",8.0,8.0,8.0,8.0,8.0,None,0,vung-tau,shop,80/,45/
