user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_hmnao517,2024-06-30T09:50:00,Hồ Đá Xanh,Mát mẻ để nghỉ dưỡng,10.0,10.0,10.0,10.0,10.0,None,0,vung-tau,travel,42/3/,45/
Dhejbxhd,2020-02-24T13:35:00,Hồ Đá Xanh,"• Nằm trong tỉnh Bà Rịa, từ QL51 hướng đi về Sài Gòn quẹo vô là tới, đường đi cũng không khó khăn lắm, khá dễ tìm. • Phí chụp ảnh tham quan là 40k/người • Nhìn chung không gian ở đây rất rất đẹp, nước xanh trong vắt, đồi núi hoang sơ, khung cảnh hữu tình, rất thích hợp để chụp ảnh • Tham quan 1 lần cho biết chứ không quay lại.",6.0,6.0,8.0,6.0,10.0,None,0,vung-tau,travel,42/3/,45/
hanh.hong.vu,2018-07-06T15:07:00,Hồ Đá Xanh,View đẹp lên hình đẹp mà ở ngoài không hề như vậy đâu Mấy bạn đừng bị lừa 🤣 Phí vô 40k có chụp hay không cũng thu :)) Đường đi bụi sỏi đá :((( Vô cho biết chứ không muốn quay lại 😭,5.0,5.0,5.0,5.0,10.0,Không,0,vung-tau,travel,42/3/,45/
txu1357,2018-06-21T22:22:00,Hồ Đá Xanh,"View lên hình ảo, ở ngoài khá xơ xác 😂 Đi trưa rất nóng nên mn muốn đi thì chiều lại hoặc sáng sơm vẫn mát hơn, nắng hầm lắm, k chụp hình nổi đâu. Chỗ thay đồ cũng hơi ọp ẹp nè )))) Phí 40k, mình vô 6 ng nhưng chụp có 4ng những vẫn tính tiền đủ nè!!!",7.0,6.0,7.0,6.0,7.0,None,1,vung-tau,travel,42/3/,45/
kevinhuynh12,2018-06-08T19:44:00,Hồ Đá Xanh,Thấy có nhiều bạn Review ở đây rất buồn cười. Hể đi đâu tới chỗ nào mà có thu phí thì mặc định nói ng ta chém. Chắc đối với các bạn cái gì Free mới đúng ý. Cầu ng ta xây để cho các bạn tới chụp chứ đâu phải tự dưng ng ta đến chiếm chỗ r ngang nhiên thu tiền đâu?,8.0,8.0,8.0,8.0,8.0,None,1,vung-tau,travel,42/3/,45/
foodee_a46a4839,2018-05-13T13:14:00,Hồ Đá Xanh,Các bạn đừng nên vào đây. Hồ k đẹp như trên hình đâu. Phí 40k 1 người lận. Đường vào thì bụi và khó đi lắm.,5.0,1.0,3.0,1.0,4.0,Không,0,vung-tau,travel,42/3/,45/
vybao23,2017-12-27T02:09:00,Hồ đá xanh,"Đường vào hồ khá là bụi và khó đi, nhưng hồ nước rất trong xanh. 2 đứa vừa mới đặt mông xuống ghế thì chị chủ lại thu 90k, vừa ngạc nhiên lại hoang mang không biết có nghe nhầm không 😂 bởi chụp hình thôi mà 90k lận á. Mà xui cái đi lúc nắng oi ả -.- phải ngồi đợi bớt nắng rồi mới ra. 90k và bạn muốn chụp bao nhiêu cũng được, à có cừu nữa nhưng hơi hôi và bẩn, mà nó cứ hay đu đu theo người í 😂 mình ngồi mà bu cả đám lại. Nói chung đây là địa điểm thích hợp cho các bạn checkin sống ảo, view lên hình bao đẹp bao cool 😌",6.0,5.0,7.0,7.0,8.0,None,0,vung-tau,travel,42/3/,45/
haminhngoc2015,2017-09-30T00:16:00,ĐẸP NHƯ Ở ĐÀ LẠT..!!,"Đặt mông ngồi xuống là bị thu 90k/2 người, mình còn bị ngơ ngác nên đã hỏi lại thì được biết họ ở ngoài vào đây sửa sang, trang trí lại và thu tiền tham quan, chụp hình. Nói chung cảnh đẹp, nước xanh thích cực như ở Đà Lạt, lên hình bao đẹp. Nhưng mình nghĩ chỉ thích hợp cho các bạn teen chụp ngoại cảnh và chụp hình cưới, còn mình đi mỗi 2 người, tự chụp cho nhau bằng điện thoại sẽ chẳng thể nào thỏa mãn nếu bị mất tiền. Nghe nói có cả cừu nữa. Đường vào hồ đá xanh khá bụi và nhiều xe tải, đường xấu, đi từ từ không sẽ bị té. Cảnh đẹp, sẽ quay lại nếu là chụp hình cưới.",8.0,6.0,6.0,6.0,10.0,Có thể,0,vung-tau,travel,42/3/,45/
giangnguyen5359,2017-07-13T19:33:00,đã bị,"cũng thằng đeo khẩu trang trắng , kiểu như thích đánh nhau, đứng ra ngoài đường cũng đuổi . bộ đường nhà nó xây à? sống sao dân ở đó còn gét các bạn đừng nên vào đây",5.0,1.0,1.0,1.0,1.0,None,0,vung-tau,travel,42/3/,45/
minhhuy0717,2017-06-26T10:43:00,Cũng oke - cảnh đẹp,"- Giá cả: 90k ( 2 người) - Khoảng cách: gần 20km ( từ bãi trước của thành phố vũng tàu, đường đi khá dễ) - Theo mình thì tốt 90k/2 ngừoi thì khá đắt nhưng đó cũng là tiền công của những người đã mất công bố trí khung cảnh với mục đích cho mn chụp choẹt. Mình mong là ông chủ có thể bố trí thêm nhiều thứ đẹp khác nữa mà vẫn có thể giữ được bản chất ban đầu của ""ẻm"" chứ không khai thác quá mức để rồi làm mất đi một cảnh quan đẹp như thế này ở Vũng Tàu",4.0,5.0,6.0,5.0,8.0,None,0,vung-tau,travel,42/3/,45/
Nnttrinh289,2017-06-24T17:22:00,Bình thường,"Chỗ này ko rộng, chụp mấy chỗ là hết chỗ chụp, mình đi 2ng 90k đc chụp hết toàn bộ nơi ở trỏng như chụp vs cừu, thuyền,... Lúc mình đi thì thái độ nhân viên cũng ko quá tệ. Hên 1 cái là bạn mình đánh rơi thẻ xe, kiếm hoài vẫn ko ra, lại nói cô thu tiền ở đó thì đc tha:))) Đàn cừu ở đây hơi bị dơ, nhìn ko sạch sẽ, đứng gần tụi nó là nghe mùi😖. Nói chung bạn nào thích sống ảo thì bỏ tiền vào chụp, còn ko thì nên tham quan những nơi khác ở VT vừa đẹp vừa dc free.",8.0,5.0,6.0,5.0,7.0,Không,0,vung-tau,travel,42/3/,45/
quocphong.zilp,2017-06-03T16:24:00,Quá tệ,"Thái độ của nhân viên (đeo khẩu trang, áo khoác, đội nón nhìn giống bảo kê hơn) kém, thiếu chuyên nghiệp, nói thẳng ra là côn đồ. Sẵn sàng mang xe đuổi theo khi cần thiết. Khuyến cáo các bạn nếu như còn phân vân chưa muốn vào hay chưa muốn cống nạp tiền thì thôi quay đầu rút nhanh, cẩn thận rước họa vì cái nghiệp sống ảo. Thật sự mình đã đi qua rất nhiều nơi, nhiều khu sống ảo( có thu phí, lẫn free) ở BRVT này rồi. Mọi người ở đây điều rất dễ thương, nói chuyện lúc nào cũng vui vẻ. Và hôm nay ông này đã làm xấu một phần những gì mình đã nghĩ.",5.0,1.0,1.0,1.0,7.0,Không,1,vung-tau,travel,42/3/,45/
nguyenanhthu2017,2017-04-27T15:07:00,Nhất định phải ghé lại đây Hồ Đá Xanh!,"Tuần vừa rồi mình cùng anh chị em trong đoàn yoga Bạc Liêu có ghé điểm chụp hình Hồ Đá Xanh,đoàn mình đi 15 người, tới lúc 5h30 sáng,gọi điện thoại theo số trên bảng hiệu,5 phút sau có a chủ còn khá trẻ ra mở cửa, khi vào mình hỏi giá cả như thế nào thì được giải thích rõ ràng hợp lí: 20k/ 1 người,nếu chụp cừu và thuyền hoa thạch thảo tươi thêm 50/4 người trở xuống (Đi 4 người là lợi nhất...hj), nhóm mình đóng phí 450k.(do đi nhóm đông bớt chút xíu...). Phải nói là anh chủ và nhân viên ở đây cực kì nhiệt tình( nào là chụp hình quay phim giúp, nào là dắt mấy cô lớn tuổi ra cầu tre,kéo thuyền,khiêng đồ,...vậy mà lúc nào cũng tươi cười). Giá nước ở đây cũng khá rẻ 10k đến 15k /1 chai tùy loại. Chụp thả gha nào cừu,thuyền hoa, cừu, cầu... gần 6h sang đến 9h sáng,ai cũng mệt nhưng rất vui vì có nhiều tấm hình đẹp lung linh (nhờ a chủ chụp giúp). ra về còn xin số điện thoại của a chủ,và quay phim cả đoàn và nhân viên. hẹn một ngày gần nhất sẻ giới thiệu thêm chị em, bạn bè có dịp đi Vũng lại ghé thăm Hồ Đá Xanh.",8.0,8.0,8.0,10.0,9.0,Chắc chắn,1,vung-tau,travel,42/3/,45/
wildcat_pro,2017-04-23T23:38:00,Hồ Đá Xanh,"Mình có đôi lờ muốn chia sẻ với các bạn có ý định muốn đi tới địa điểm này. Hôm trước mình có đi để chơi là chính. Lúc mình tới thì họ đòi mình 90k, trong khi đó có 1 nhóm 4 người tới trước mình thì bị thu tới 120k và một cặp tới sau mình thì giá là 60k. Biết rằng họ xây dựng để kiếm tiền nhưng họ có thai độ rất côn đồ. Lúc mình tới có 3 đoàn chụp ảnh cưới ở đó chiếm hết các địa điểm chụp hình. mình nói với cậu thanh niên thu tiền rằng mình chưa muốn chụp, chừng nào chụp mình đóng tiền thì cậu thanh niên đi vào gọi một anh đeo khẩu trang đội nón ra. Anh ta nói mình không đóng thì dắt xe ra ngoài. Mình đồng ý dắt xe ra ngoài thì anh ta có những hành động chửi bới và doạ đánh mình. Mình cũng bình tĩnh leo lên xe đi được 2-300m thì thấy qua gương chiếu hậu anh ta và một người nữa bám theo mình. Mình cũng thường xuyên đi chơi một mình nên găp đủ trường hợp. Lúc đó mình dừng lại lôi đồ phòng thân ra thì anh ta dừng lại nhìn mình 1 lúc rồi bỏ đi. Mình kể câu chuyện của mình để muốn nhắn nhủ vối các bạn rằng đừng vì sống ảo mà làm giàu cho cái thể loại côn đồ đó. Đó là hành động ăn cướp và doạ dẫm chứ không phải là người cung cấp dịch vụ có lương tâm. Bạn nào đi rồi cũng gặp cảnh đó thì có thể xác nhận câu chuyện của mình và chia sẻ cho các ban khác biết .",5.0,2.0,1.0,1.0,5.0,Không,1,vung-tau,travel,42/3/,45/
nguynnhi5617,2017-04-05T03:31:00,Đi hồi ra tết lận nè,Đợt mình đi là mùng 6 tết nên cũng đông người tìm đến đây và chỗ này thì dễ tìm lắm Hoang mang cái là người ta thu tiền phí chụp hình. Có 2 loại mình nhớ không rõ lắm. + loại 1: 120k chụp được với tất cả mọi thứ ở đây kể cả cừu + loại 2: không nhớ bao nhiêu nữa chỉ chụp được với cây cầu hay mấy tấm bự bự gì đó thôi chứ xích đu hay thuyền là không được Chỗ này hình như ngươi ta khai thác đá nên hình thành cái hồ xanh rất đẹp chứ nhìn qua bên kia xíu là khác liền hà. Nhưng dù nhỏ đi chăng nữa cũng đu sống ảo,6.0,5.0,5.0,4.0,5.0,None,0,vung-tau,travel,42/3/,45/
defploy,2017-03-16T12:38:00,Hồ Đá Xanh,"Hồ rất dễ kiếm. Nước trong xanh cực kì, không khí mát mẻ. Mình đi chủ nhật, phí 2 ng chụp trọn gói trên cầu, chụp cừu và thuyền hoa là 90k/ 2 người. Cầu dựng trên phao nổi ko sợ chìm nhưng hơi bấp bênh. Xui đi ngay CN nên có tới 4 cặp cô dâu chú rể, chiếm tấm ván lun mình ko chụp đc. Đàn cừu thì có em sạch em dơ, cừu non là sạch nhất nhưng em còn nhỏ quá mình ko dám bế lên chụp sợ các em ngạt. Tụi này ngoan lắm, lúc chụp mình đưa tay nhử nhử tưởng đc ăn nên tới bên cạnh dụi đầu vào chân mình. Có điều ko hài lòng là mình đứng đợi chụp thuyền hoa trước mà cô dâu chú rể tới sau mình nhưng nhân viên ở đó cũng bắt mình nhường trong khi ảnh cưới chụp rất lâu và mình cũng đã đứng đợi trước khá lâu. Mình cũng trả tiền mà, nên cứ mặt dày Lên chụp trước, cho đáng tiền bỏ ra chứ.",8.0,7.0,9.0,7.0,7.0,None,0,vung-tau,travel,42/3/,45/
nhanma_alpha,2017-03-12T23:28:00,Hồ Đá Xanh,"Mới đi hồi chiều luôn nhé, nước hồ xanh rất đẹp, nhưng cảnh chung quanh thì chán. Phí 4 người 120k, vấn đề là mình đi 1 người và ""một người nào đó"" đòi 70k.... không hiểu gì xảy ra, mình đi về luôn. Cừu thì có, nhưng không nhiều, hơn chục con, con nào lông cũng dính hạt ji đen đen á, không có sạch đẹp @@",6.0,1.0,3.0,1.0,5.0,Không,0,vung-tau,travel,42/3/,45/
