user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
foodee_d3b92tuc,2024-06-26T12:52:00,Lan Rừng - Resort Spa Restaurant,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,vung-tau,wedding,48/14/41/4/,45/11/51/44/
foodee_d3b92tuc,2024-06-26T12:46:00,Lan Rừng - Resort Spa Restaurant,Tốt,5.0,5.0,5.0,5.0,5.0,None,0,vung-tau,wedding,48/14/41/4/,45/11/51/44/
foodee_0ic42yir,2024-06-23T13:32:00,Lan Rừng - Resort Spa Restaurant,tốt,5.0,5.0,5.0,5.0,5.0,None,0,vung-tau,wedding,48/14/41/4/,45/11/51/44/
foodee_j1h6k41o,2024-06-23T12:19:00,Lan Rừng - Resort Spa Restaurant,Tôi hài lifng về dv nơi đây,10.0,10.0,10.0,10.0,10.0,None,0,vung-tau,wedding,48/14/41/4/,45/11/51/44/
foodee_t8muwrv4,2024-06-22T13:25:00,Lan Rừng - Resort Spa Restaurant,Tốt Tốt Tốt,5.0,5.0,5.0,5.0,5.0,None,0,vung-tau,wedding,48/14/41/4/,45/11/51/44/
foodee_mlfzqsiy,2023-10-11T11:49:00,Lan Rừng - Resort Spa Restaurant,Đẹp và yên bình,5.0,5.0,5.0,5.0,5.0,None,0,vung-tau,wedding,48/14/41/4/,45/11/51/44/
august_10th,2020-05-20T10:47:00,Lan Rừng - Resort Spa Restaurant,"Accor mua lại đổi Tên là Mercure. Đẹp lồng lộn luôn. Đúng là có yếu tố nước ngoài có khác. Thuở xưa chỗ này bô nhếch bô nhác quê mùa một cục bây giờ sang chảnh đúng chất, bài trí nhẹ nhàng tao nhã mà rất xịn. Nhà hàng làm đồ ăn chơi thì không được ngon không biết ăn chính thì sao, buffet sáng cũng tạm, có món nóng là ngon nhất. Nhân viên thương mến nhưng không được chuyên nghiệp lắm. Có hồ bơi tràn đẹp.",9.0,6.0,8.0,7.0,9.0,None,1,vung-tau,wedding,48/14/41/4/,45/11/51/44/
Hangnguyen24788,2020-01-25T23:39:00,"Cà phê, điểm tâm sáng ở Lan Rừng","🌟 Nhà hàng Lan Rừng đã có từ rất lâu ỏe Vũng_Tàu, khi xuống đây chơi, mọi người hay ghé Lan Rừng để chọn làm nơi nghỉ dưỡng, hay đơn giản là ghé đến đây uống cà phê ăn sáng và hóng gió biển. 🌟 Không gian sang trọng. Kiến trúc kiểu Châu Âu nên nơi đây có nhiều view chụp sống ảo. Ú hay ghé đây ăn sáng hay uống nước, ngồi ở khu vực gần biển để tiện ngắm biển và hóng gió biển. 🌟 Các món ăn hay nước khá cao, nhưng nhìn chung cũng tạm ổn, ăn được, cà phê uống cũng khá thơm và dành cho team thích đắng. Nhân viên phục vụ ok, nhiệt tình.",10.0,8.0,8.0,9.0,10.0,None,0,vung-tau,wedding,48/14/41/4/,45/11/51/44/
tanknguyen00,2019-04-07T21:39:00,Tầm nhìn đẹp giá ổn,"Thực đơn nhà hàng và cà phê giá đều ổn so với dịch vụ. Rất thích hàu phô mai ở đây, con bự chảng mà ăn vẫn ngon! Ngồi sát biển rất thích, lãng mạn. Mình cũng thích tắm biển ở cạnh nhà hàng.",9.0,8.0,8.0,8.0,8.0,None,0,vung-tau,wedding,48/14/41/4/,45/11/51/44/
dieuhuongnguyen2801,2019-03-10T07:59:00,Nice,"View đẹp, ăn hải sản mà ngồi sát biển kiểu này là đúng chất Hải sản giá hơi cao, cái này đương nhiên tuy nhiên đổi lại cảm thấy yên tâm hơn mấy quán ngoài hay mấy quán ở chợ đêm. Cua gạch tầm 950k/kg. Giá cao thật nhưng đáng, đúng chất cua gạch, ăn gạch ngán luôn :)). Bọn mình bị cái tật đi đâu cũng gọi nhiều hơn nhu cầu. Ăn cua xong thấy no luôn không ăn được mấy món khác nữa, tội lỗi",8.0,5.0,9.0,8.0,8.0,None,0,vung-tau,wedding,48/14/41/4/,45/11/51/44/
pham_hung19881988,2019-01-01T14:49:00,Chap nhan duoc,Chỗ ngồi sát biển view đẹp nhưng nước uống ngon và giá khá cao .,9.0,4.0,4.0,5.0,10.0,None,0,vung-tau,wedding,48/14/41/4/,45/11/51/44/
hangminh160196,2018-09-08T22:26:00,Beautiful resort,"Mình đã đi khá nhìu resort rồi nên cũng không overwhelmed trước 1 resort 4-5 sao như hồi nhỏ nữa và cũng có own expectation for a good resort (chưa nói đến luxury nha). Nhắc đến Vũng Tàu thì mình không expect nhiều lắm :)) Nhưng mừng quá Lan Rừng match my criterias. Không gian view biển đẹp, biển không được xanh vắt như Úc )) nhưng cảnh tượng cũng khá ấn tượng và rất relaxing. Nội thất phòng style mẹ mình thích :))) Nhà tắm sạch, vòi sen dùng thoải mái (1 số resort sang chảnh mà vòi sen nó khó dùng lắm). Buffet sáng cũng đầy đủ món, có mấy món mình khoái như bánh su kem, cheesecake, yogurt, sữa đậu xanh. Nhân viên rất nice và nhiệt tình, dọn dẹp liên tục nên resort sạch lắm. Nói chung là 1 trải nghiệm perfect for a family trip.",10.0,8.0,9.0,8.0,9.0,None,0,vung-tau,wedding,48/14/41/4/,45/11/51/44/
phuong_thao0983,2018-08-01T09:51:00,Caphê sáng tại quán,"Sáng truoc khi về lại sg có ghé quán cfe vì thay view sát bãi trước. Chỉ mỗi view biển thôi chứ nước uống khá chát à. Nhưng dù sao cũng ghé để nghe tieng sóng bien , hơi biển và gió biển cho tinh thần khỏe để lên xe về. Chỉ cần trải nghiệm thế là đủ",10.0,8.0,9.0,8.0,9.0,None,0,vung-tau,wedding,48/14/41/4/,45/11/51/44/
